UCL_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL201001,4980,10369,7485,5381,7401,3863,1947,41426,643,417,288,227,320,207,145,2244,275,371,303,220,322,222,125,1842,9587,19430,14983,11469,17738,10291,5741,89244,575,1129,748,557,853,488,249,4602,878,1808,1115,694,790,419,206,5910,1457,2942,1861,1250,1646,907,449,10507,11043,22369,16846,12721,19381,11200,6192,99753,13907,13401,7633,5171,6861,3609,2149,52731,317,357,233,176,146,72,43,1349,25264,36127,24711,18072,26393,14883,8388,153834
UCL203001,315,502,399,274,382,152,64,2094,46,30,21,11,27,4,7,149,6,9,10,9,11,4,3,58,506,878,710,548,853,359,160,4015,25,81,47,40,45,6,7,259,52,97,61,31,41,12,3,294,86,178,108,70,91,21,12,552,591,1055,816,612,943,378,174,4570,899,843,413,320,368,126,58,3035,18,24,15,11,10,3,3,82,1503,1925,1248,940,1323,503,238,7678
UCL211001,106,194,127,78,103,26,4,633,16,7,0,3,3,0,0,36,6,4,6,3,7,0,0,26,170,333,230,165,249,65,20,1226,14,22,18,15,12,0,0,87,25,28,13,11,5,3,3,88,44,50,31,25,24,4,4,172,210,387,258,189,274,66,19,1397,261,268,130,75,67,21,5,826,7,3,3,0,0,0,0,17,483,653,390,266,340,88,25,2243
UCL211002,227,453,307,169,286,65,29,1528,30,35,16,14,13,6,0,115,6,6,14,3,7,0,3,37,322,684,519,327,607,193,70,2719,15,72,46,30,22,9,0,183,54,116,54,37,43,5,0,312,69,190,96,63,63,18,3,493,392,866,619,394,664,207,74,3213,669,546,291,202,187,50,18,1962,7,8,0,0,5,0,0,30,1067,1430,914,598,854,253,88,5205
UCL211003,216,470,303,198,267,78,20,1552,46,38,21,20,10,5,3,135,6,7,4,4,4,0,3,36,346,693,503,386,558,192,83,2760,20,54,34,17,30,3,0,158,44,65,44,22,32,6,0,220,65,116,76,40,56,15,0,372,414,817,577,427,615,206,88,3134,674,607,309,184,208,52,14,2045,4,4,8,0,4,0,0,20,1088,1423,886,614,827,254,103,5203
UCL211004,132,203,132,93,117,41,12,736,27,9,6,4,7,3,3,69,0,11,0,3,4,0,0,23,259,387,259,186,292,106,36,1532,32,64,32,17,23,7,0,177,44,87,42,20,33,3,7,227,67,148,77,42,56,7,9,406,332,528,343,227,354,114,41,1942,704,645,323,152,179,58,41,2097,16,17,6,3,3,3,0,43,1046,1192,669,380,538,175,85,4082
UCL212001,78,140,101,65,92,21,6,503,8,5,3,0,3,0,0,18,0,5,7,0,6,0,0,22,129,234,184,145,218,53,10,980,16,28,10,8,10,3,0,68,19,29,15,14,9,3,0,95,31,59,27,21,20,7,0,164,160,294,210,162,239,59,14,1142,306,292,112,77,78,15,0,879,8,5,3,3,3,0,0,27,473,592,328,243,312,78,15,2049
UCL212002,88,194,118,87,137,26,7,665,12,15,9,3,11,0,3,45,0,7,6,4,8,0,0,32,166,321,234,184,313,68,23,1306,13,29,15,14,14,3,0,89,31,59,21,15,12,6,0,149,49,87,39,29,27,7,0,234,212,401,276,214,336,77,22,1546,383,319,171,116,110,27,13,1139,3,8,9,4,3,0,0,32,603,731,455,329,451,110,36,2711
UCL212003,68,135,94,61,91,22,18,498,12,5,7,6,0,0,3,31,0,4,0,0,6,3,0,15,121,214,168,143,215,82,41,983,4,7,3,4,5,0,0,29,6,16,5,5,4,0,0,40,15,20,6,10,12,4,0,70,135,239,178,153,224,82,39,1052,163,116,79,47,63,20,8,492,0,0,0,0,0,0,0,0,302,358,249,204,287,97,55,1548
UCL212004,44,126,70,63,65,19,5,400,14,9,0,5,5,0,0,38,3,4,3,0,3,0,0,14,94,202,135,130,164,50,19,780,10,19,20,10,12,3,0,77,13,30,13,9,16,3,0,91,24,51,38,21,34,5,0,166,111,254,169,147,192,55,21,944,166,130,58,43,48,9,6,456,3,4,0,0,0,0,0,13,282,384,224,193,244,62,23,1415
