UCL_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
UCL201001,1250438,..,..,..,..,1250438,..,2105,30,2136,15,2154,..,32522,5060,37586,396,37978,..,110,3,113,3,113,..,27443,7970,35407,216,35629,..,62120,20401,82518,455,82973,..,6459,2279,8737,43,8787,..,96026,30649,126667,719,127384,..,6843,953,7798,97,7894,..,2476,69,2541,34,2578,..,7755,300,8053,74,8131,..,6830,187,7015,84,7098,..,42690,7806,50500,442,50940,..,5106,249,5359,44,5402,..,24363,886,25246,181,25431,..,26275,2321,28595,304,28900,..,17325,749,18078,132,18210,..,12056,777,12834,127,12955,..,15195,979,16171,118,16289,..,100315,5966,106282,908,107190,..,39694,5449,45144,619,45759,..,3628,587,4220,35,4254,..,5011,1861,6874,60,6932,..,11358,1891,13249,153,13408,..,6061,508,6567,72,6644,..,6608,1613,8221,86,8310,..,5163,591,5752,52,5798,..,6154,1203,7357,51,7408,..,4480,464,4946,79,5028,..,6104,1226,7329,73,7400,..,6183,166,6346,51,6400,..,6750,473,7229,45,7278,..,8193,214,8408,64,8476,..,2792
UCL203001,61063,..,..,..,..,61063,..,64,0,64,0,64,..,290,58,346,8,354,..,12,0,12,0,12,..,148,36,186,0,188,..,602,147,751,3,752,..,54,22,78,0,78,..,812,209,1015,3,1024,..,752,132,885,13,894,..,141,3,145,3,142,..,119,3,122,0,123,..,251,3,255,3,260,..,273,30,302,5,310,..,58,3,59,0,59,..,273,4,282,3,278,..,346,23,370,3,375,..,119,6,120,0,120,..,132,10,143,0,143,..,169,7,175,3,180,..,1096,56,1150,10,1158,..,734,94,831,21,848,..,75,3,81,0,81,..,43,20,64,0,64,..,367,68,436,8,444,..,33,5,38,0,38,..,170,29,205,0,207,..,130,21,154,0,150,..,91,16,104,0,100,..,13,0,13,0,13,..,285,51,339,4,345,..,111,0,108,0,108,..,73,0,76,0,76,..,130,0,131,0,131,..,59
UCL211001,15038,..,..,..,..,15038,..,10,0,13,0,13,..,27,3,30,0,30,..,7,0,7,0,8,..,12,3,16,0,18,..,29,10,43,0,43,..,0,0,0,0,3,..,42,16,54,3,60,..,44,9,50,0,50,..,15,3,19,0,19,..,27,0,28,0,28,..,68,0,67,0,67,..,10,0,10,0,13,..,11,0,11,0,11,..,36,0,33,0,33,..,60,4,61,0,65,..,25,3,29,0,31,..,22,0,18,0,18,..,95,27,123,0,124,..,241,38,284,3,286,..,43,9,47,7,56,..,6,0,9,0,9,..,11,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,6,0,6,..,9,0,9,0,9,..,4,0,4,0,4,..,0,0,0,0,0,..,22,5,27,0,27,..,25,0,25,0,25,..,0,0,0,0,0,..,33,5,37,0,37,..,11
UCL211002,39445,..,..,..,..,39445,..,29,3,29,0,29,..,85,9,94,0,94,..,12,0,10,0,10,..,66,13,81,0,81,..,314,97,413,3,418,..,27,10,37,0,37,..,405,121,528,3,526,..,46,8,52,0,52,..,59,3,58,0,62,..,48,4,49,0,49,..,61,3,64,0,64,..,62,11,72,0,72,..,47,0,46,0,46,..,99,5,107,0,107,..,122,9,129,0,127,..,36,8,46,3,46,..,43,4,50,0,50,..,57,7,58,0,58,..,405,28,432,4,441,..,101,4,99,0,101,..,42,8,51,0,51,..,14,0,19,0,19,..,8,0,7,0,7,..,14,0,14,0,14,..,32,8,34,0,34,..,14,3,18,0,18,..,27,0,29,0,29,..,3,0,3,0,3,..,16,0,16,5,20,..,50,3,55,0,55,..,10,0,12,0,12,..,63,0,66,0,71,..,10
UCL211003,39143,..,..,..,..,39143,..,27,0,27,0,27,..,77,7,81,0,81,..,9,0,9,0,9,..,43,10,45,0,45,..,143,58,200,3,206,..,18,0,18,0,18,..,201,68,268,3,266,..,12,0,11,0,11,..,14,0,14,0,14,..,30,0,30,0,30,..,42,0,42,0,44,..,52,10,64,0,62,..,28,0,27,0,27,..,88,3,95,0,95,..,100,10,110,0,114,..,46,0,48,0,48,..,36,0,32,0,34,..,60,5,62,0,62,..,359,21,377,3,380,..,79,9,82,0,82,..,17,0,17,0,12,..,23,10,30,0,30,..,3,0,3,0,3,..,11,0,11,0,11,..,13,3,18,0,18,..,6,0,6,0,6,..,16,0,14,0,14,..,4,0,4,0,4,..,3,4,3,0,3,..,42,0,48,0,44,..,19,0,19,0,19,..,28,0,31,0,31,..,7
UCL211004,19495,..,..,..,..,19495,..,20,0,20,0,20,..,195,27,218,7,224,..,4,0,4,0,4,..,38,16,52,0,52,..,74,35,105,0,112,..,22,3,28,0,28,..,139,49,189,0,190,..,87,16,107,0,107,..,22,0,22,0,22,..,41,0,39,0,39,..,47,0,49,0,49,..,137,15,151,0,153,..,60,4,65,0,65,..,214,15,227,0,224,..,316,42,362,5,363,..,109,3,110,0,110,..,88,8,94,5,98,..,50,24,76,0,76,..,828,92,925,9,936,..,188,14,196,5,201,..,6,0,9,0,9,..,26,5,24,0,24,..,99,18,113,0,113,..,322,20,341,4,348,..,13,7,15,0,15,..,60,14,75,0,76,..,22,4,28,0,28,..,264,26,295,4,297,..,135,33,167,0,165,..,113,0,111,0,113,..,30,4,32,3,34,..,147,3,153,0,158,..,27
UCL212001,12755,..,..,..,..,12755,..,8,0,8,0,8,..,50,7,60,0,60,..,0,0,3,0,4,..,28,24,50,0,50,..,60,42,99,3,102,..,0,3,3,0,3,..,84,67,152,3,156,..,23,0,23,0,23,..,9,0,9,0,9,..,16,0,16,0,16,..,10,0,10,0,10,..,95,19,109,0,113,..,11,0,11,0,11,..,16,3,17,0,17,..,72,15,80,0,85,..,23,0,23,0,23,..,0,0,0,0,0,..,28,0,28,0,28,..,151,17,167,0,170,..,214,40,253,0,254,..,11,4,16,0,16,..,5,25,30,0,30,..,0,0,4,0,4,..,0,0,0,0,0,..,8,8,16,0,17,..,11,0,11,0,11,..,0,0,0,0,0,..,19,3,19,0,19,..,5,0,5,0,5,..,16,0,16,0,16,..,0,0,3,0,3,..,26,0,27,0,27,..,33
UCL212002,16595,..,..,..,..,16595,..,27,0,27,0,27,..,463,150,615,8,619,..,17,0,17,0,17,..,32,16,49,0,49,..,88,45,134,3,137,..,4,3,4,0,4,..,125,68,191,3,192,..,9,0,9,0,9,..,13,0,13,0,13,..,28,0,27,0,27,..,27,0,27,0,27,..,63,9,75,3,76,..,20,0,20,0,20,..,55,0,54,0,56,..,332,61,394,9,403,..,54,3,60,0,60,..,59,6,64,0,64,..,80,8,85,0,85,..,596,75,679,10,688,..,361,43,409,3,413,..,13,4,15,0,15,..,12,0,11,0,11,..,65,9,74,3,74,..,0,0,0,0,0,..,32,10,46,0,46,..,7,0,7,0,7,..,4,0,4,0,4,..,90,12,105,3,108,..,8,0,7,0,7,..,40,3,44,0,44,..,4,0,6,0,6,..,53,3,51,0,51,..,13
UCL212003,14742,..,..,..,..,14742,..,41,0,41,0,37,..,32,0,32,0,32,..,0,0,0,0,0,..,18,3,23,0,23,..,42,13,59,0,59,..,3,0,3,0,3,..,62,22,87,0,87,..,47,5,51,0,55,..,14,0,14,0,14,..,13,0,11,0,11,..,45,0,45,0,45,..,59,4,63,0,63,..,6,0,6,0,6,..,48,0,48,0,48,..,47,6,52,0,50,..,31,0,34,0,34,..,24,0,24,0,24,..,7,0,8,0,8,..,165,4,170,0,173,..,154,10,165,5,165,..,10,3,14,0,14,..,4,0,4,0,4,..,19,0,19,0,19,..,58,0,58,0,58,..,6,0,8,0,8,..,31,4,37,0,37,..,12,0,12,0,12,..,18,0,16,0,16,..,25,0,28,0,28,..,17,0,17,0,17,..,10,0,10,0,10,..,41,0,43,0,43,..,3
UCL212004,10462,..,..,..,..,10462,..,22,0,22,0,22,..,18,3,25,4,29,..,0,0,0,0,0,..,17,10,28,0,28,..,39,13,51,0,51,..,4,0,4,0,4,..,64,18,81,0,81,..,3,0,6,0,6,..,21,0,17,0,17,..,4,0,4,0,4,..,30,0,30,0,30,..,60,8,69,0,70,..,17,0,17,0,17,..,25,0,25,0,25,..,11,0,11,0,9,..,30,0,30,0,30,..,12,0,12,0,8,..,20,3,22,0,22,..,110,3,115,0,113,..,117,9,122,0,126,..,9,3,18,0,18,..,4,0,4,0,4,..,3,0,3,0,3,..,12,0,12,0,12,..,6,0,9,0,9,..,13,0,17,0,17,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,4,0,4,0,4,..,16,0,14,0,20,..,6
