UCL_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
UCL201001,233,997,60,74,138,1135,1446,888,3467,47870,35609,4004,87479,3949,4156,8105,95585,65412,1767,162762
UCL203001,8,40,3,7,7,52,85,53,192,1894,1815,210,3922,231,208,436,4355,3131,94,7579
UCL211001,5,16,0,0,3,17,17,3,37,506,469,53,1021,66,52,112,1136,675,15,1835
UCL211002,4,30,4,4,8,34,55,26,117,1137,1147,114,2398,139,195,338,2742,1855,51,4644
UCL211003,3,24,0,0,3,24,52,16,90,1136,1215,139,2497,123,145,266,2760,1843,37,4646
UCL211004,3,17,0,8,9,24,43,18,86,770,603,81,1454,121,136,254,1716,1546,43,3297
UCL212001,3,8,3,0,8,16,37,10,63,425,387,38,846,54,56,113,958,766,28,1754
UCL212002,6,18,3,0,3,24,27,19,69,569,538,75,1178,56,82,140,1320,934,32,2284
UCL212003,3,13,3,0,3,17,9,4,28,560,413,52,1021,31,42,75,1100,516,7,1622
UCL212004,0,3,0,0,0,3,11,8,24,320,312,36,667,46,58,104,774,406,13,1193
UCL212005,4,14,0,0,3,15,11,15,39,320,418,45,782,27,33,60,839,500,24,1369
UCL213001,0,3,0,0,0,3,12,6,17,242,202,23,468,22,15,43,512,343,14,869
UCL213002,0,0,0,0,0,0,6,8,16,138,168,20,323,14,24,41,359,269,14,641
UCL213003,0,0,0,0,0,3,7,5,18,103,158,15,275,12,15,28,301,231,11,543
UCL213004,0,3,0,0,0,3,7,3,8,103,132,24,259,15,12,26,291,229,9,519
UCL213005,0,0,0,0,0,0,9,3,13,147,167,10,323,12,12,23,348,208,3,558
UCL213006,0,3,0,0,0,3,10,3,16,147,165,12,325,16,13,31,360,221,8,588
UCL213007,0,7,0,0,0,7,8,5,20,163,173,13,354,17,30,46,395,291,7,697
UCL213008,0,3,0,0,0,4,3,3,10,186,177,15,377,10,13,16,396,175,3,577
UCL213009,0,0,0,0,0,0,0,3,5,152,163,13,330,15,20,34,365,155,3,526
UCL213010,0,3,0,0,0,4,20,10,42,173,213,24,405,49,38,86,488,468,20,973
UCL213011,3,5,3,3,3,10,14,7,34,122,170,19,303,53,50,98,403,444,13,866
UCL213012,0,3,0,0,0,3,3,0,14,189,222,18,420,17,14,32,452,190,0,647
UCL213013,3,3,0,0,0,3,5,0,11,125,120,17,258,17,16,30,292,206,3,501
UCL213014,0,12,0,0,0,11,5,7,23,150,163,12,327,23,12,33,357,235,5,602
UCL213015,0,0,0,3,3,3,7,8,14,112,122,7,242,10,15,21,263,176,6,453
UCL213016,0,7,0,0,0,4,3,3,13,157,173,18,344,13,13,21,365,101,3,470
UCL213017,0,5,0,0,0,5,17,16,39,187,246,20,458,29,26,60,516,370,17,907
UCL213018,0,0,0,0,0,0,4,0,8,175,169,19,360,13,21,32,392,252,4,655
UCL214001,0,0,0,0,0,3,4,3,12,90,75,11,176,10,7,17,187,133,3,330
UCL214002,0,0,0,0,0,4,16,3,21,99,130,9,234,13,9,26,261,227,3,486
UCL214003,0,0,0,0,0,0,5,0,5,106,144,6,253,13,15,29,281,179,6,460
UCL214004,0,3,0,0,0,3,3,3,9,66,44,14,125,7,3,11,132,111,6,249
UCL214005,0,0,0,0,0,0,0,0,0,14,17,0,26,0,0,0,28,8,0,37
UCL214006,0,4,0,0,0,4,3,0,4,107,114,13,234,6,0,11,241,77,0,317
UCL214007,0,0,0,0,0,0,9,3,13,82,102,10,195,3,6,18,211,149,3,366
UCL214008,5,3,0,0,0,3,8,0,14,107,138,11,255,8,8,18,265,155,7,428
UCL214009,0,0,0,0,0,0,0,0,3,43,50,6,95,6,3,15,107,64,0,175
UCL214010,0,0,0,0,0,0,0,0,0,96,82,4,178,4,4,11,195,107,0,302
UCL214011,0,3,0,0,0,4,0,0,3,70,68,7,144,9,14,17,168,109,0,271
UCL214012,0,0,0,0,0,0,5,8,15,41,60,11,112,10,5,14,126,120,8,252
UCL214013,0,0,0,0,0,0,0,0,6,46,67,0,118,7,9,12,132,75,6,218
UCL214014,0,3,0,0,0,3,11,3,17,61,91,5,155,15,13,30,186,247,5,433
UCL214015,0,3,0,0,0,3,11,6,15,55,44,9,111,6,9,16,123,121,4,254
UCL214016,0,0,0,0,0,0,3,6,9,90,83,12,179,12,11,27,209,166,8,382
UCL214017,0,3,0,0,0,3,5,0,5,45,60,13,118,5,0,5,122,111,0,228
UCL214018,0,3,0,0,0,3,0,3,5,112,90,16,217,20,6,28,241,140,0,385
UCL214019,0,0,0,0,0,4,5,3,13,67,92,25,186,14,19,36,217,206,6,428
UCL214020,0,0,0,0,0,0,3,3,10,56,95,3,156,21,5,19,178,126,3,304
UCL215001,0,0,0,0,0,0,0,0,0,13,17,0,28,0,0,0,29,8,0,39
UCL215002,0,0,0,0,0,0,0,0,7,26,18,0,38,3,3,9,49,27,3,78
UCL215003,0,0,0,0,0,0,0,0,0,27,23,0,53,3,3,4,52,19,0,75
UCL215004,0,0,0,0,0,0,3,0,3,8,23,5,39,0,0,0,34,15,0,51
UCL215005,0,0,0,0,0,0,0,0,0,17,22,4,50,0,4,4,59,43,0,100
UCL215006,0,0,0,0,0,0,0,0,0,33,28,0,60,0,4,4,64,21,0,84
UCL215007,0,0,0,0,0,0,0,0,3,47,51,0,96,3,7,9,103,44,0,153
UCL215008,0,0,0,0,0,0,0,0,0,23,12,0,32,3,0,3,33,15,0,56
UCL215009,0,0,0,0,0,0,0,0,0,0,9,0,15,0,0,3,14,12,0,30
UCL215010,0,0,0,0,0,0,0,0,0,18,18,3,36,0,0,0,36,17,0,48
UCL215011,0,0,0,0,0,0,0,3,3,3,15,0,22,0,0,3,20,15,3,40
UCL215012,0,0,0,0,0,0,0,0,3,37,41,6,89,7,3,8,98,46,0,140
UCL215013,0,0,0,0,0,0,0,0,3,18,13,3,34,0,3,3,39,26,0,59
UCL215014,0,0,0,0,0,0,0,0,0,14,16,6,28,4,0,6,30,12,0,48
UCL215015,0,0,0,0,0,0,0,0,0,23,29,3,54,0,0,0,57,20,0,79
UCL215016,0,3,0,0,0,3,3,0,13,52,50,12,115,3,5,12,124,95,0,219
UCL215017,0,0,0,0,0,0,0,0,3,17,22,3,34,0,0,3,44,23,0,64
UCL215018,0,3,0,0,0,3,3,0,6,29,43,7,78,0,0,0,77,62,3,142
UCL215019,0,0,0,0,0,0,0,0,0,14,36,0,46,0,0,3,53,23,0,77
UCL215020,0,0,0,0,0,0,0,0,0,7,9,3,15,0,0,0,18,30,0,49
UCL215021,0,0,0,0,0,0,3,0,4,14,16,4,33,0,0,3,34,13,0,51
UCL215022,0,0,0,0,0,0,7,3,8,59,54,3,121,7,13,18,141,131,3,280
UCL215023,0,0,0,0,0,0,3,0,3,9,18,3,25,3,0,3,32,21,3,50
UCL215024,0,0,0,0,0,0,0,3,3,6,18,3,29,0,0,4,34,30,3,70
UCL215025,0,0,0,0,0,0,0,0,0,10,12,0,19,0,0,3,23,15,0,38
UCL215026,0,3,0,0,0,4,0,0,4,37,65,5,110,4,11,16,120,91,0,209
UCL215027,0,0,0,0,0,0,0,0,0,16,32,5,55,3,6,7,64,56,3,127
UCL215028,0,0,0,0,0,0,3,3,7,28,49,4,87,3,7,7,98,76,3,168
UCL215029,0,0,0,0,0,0,0,0,0,34,29,5,66,7,3,5,72,40,0,115
UCL215030,0,0,0,0,0,0,0,0,3,13,8,0,23,4,0,8,25,34,0,61
UCL215031,0,0,0,0,0,0,0,0,0,3,12,3,16,0,0,0,16,15,0,33
UCL215032,0,0,0,0,0,0,4,0,5,28,36,7,66,4,4,6,75,70,0,147
UCL215033,0,0,0,0,0,0,0,0,0,22,5,0,22,0,3,4,27,18,0,48
UCL215034,0,0,0,0,0,0,0,0,0,5,18,3,22,0,3,3,30,15,0,41
UCL215035,0,0,0,0,0,0,0,0,0,7,18,0,28,0,0,0,28,13,0,38
UCL215036,0,0,0,0,0,0,0,0,0,14,18,3,31,0,0,0,33,21,0,52
UCL215037,0,0,0,0,0,0,0,0,3,11,18,0,26,3,0,6,33,58,0,88
UCL215038,0,0,0,0,0,0,0,0,0,18,14,3,40,3,3,11,50,26,0,76
UCL215039,0,0,0,0,0,0,0,0,4,15,20,0,35,0,0,0,33,28,0,66
UCL215040,0,0,0,0,0,0,3,0,3,35,30,3,65,4,0,7,68,64,0,135
UCL215041,0,0,0,0,0,0,0,0,0,17,37,0,51,3,0,3,52,38,0,92
UCL215042,0,0,0,0,0,0,4,0,3,13,26,3,44,0,3,6,45,36,0,81
UCL215043,0,4,0,0,0,4,4,0,4,34,41,6,82,11,9,20,100,87,3,185
UCL215044,0,3,0,0,0,3,0,0,5,70,69,7,146,3,4,5,153,78,0,237
UCL215045,0,0,0,0,0,0,0,0,0,13,25,0,35,3,0,5,45,27,0,74
UCL215046,0,0,0,0,0,0,0,0,0,20,11,0,28,0,3,7,32,28,0,63
UCL215047,0,0,0,0,0,0,0,0,0,24,27,3,54,4,6,7,63,30,0,96
UCL215048,0,0,0,0,0,0,0,0,0,10,6,0,14,0,0,0,14,7,0,28
UCL215049,0,0,0,0,0,0,0,3,4,22,16,5,42,0,0,0,45,17,3,64
UCL215050,0,0,0,0,0,0,0,0,3,39,51,4,98,8,7,10,109,83,0,195
UCL215051,0,0,0,0,0,0,0,0,0,9,15,0,26,0,0,0,26,23,0,47
UCL215052,0,0,0,0,0,0,0,0,3,31,58,4,93,0,3,4,94,39,0,133
UCL215053,0,0,0,0,0,0,3,0,3,26,24,3,58,8,3,9,60,56,0,121
UCL215054,0,3,0,0,0,8,0,0,5,21,44,0,68,3,0,10,70,54,0,127
UCL215055,0,0,0,0,0,0,0,0,0,19,23,0,47,0,3,3,48,21,0,71
UCL215056,0,0,0,0,0,0,0,0,0,7,23,3,31,4,0,4,34,19,0,51
UCL215057,0,0,0,0,0,0,0,0,0,16,20,4,42,0,0,0,42,20,0,64
UCL215058,0,0,0,0,0,0,0,0,6,27,31,6,70,5,0,5,72,61,4,132
UCL215059,0,0,0,0,0,0,0,0,0,21,12,0,34,0,0,0,34,32,0,63
