UCL_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
UCL201001,3647,7721,7309,6836,5739,3960,1438,506,37155,5211,25253,23971,10483,4754,1305,164,25,71172,13459,47886,46176,48660,40641,28554,14811,5077,245262,9403,25183,18522,16431,11563,7342,4417,1266,94132,1280,4143,3831,3167,2023,1089,483,160,16179,2798,11999,9880,8225,6335,3578,1702,640,45161,1075,6236,5969,5977,7099,5079,2176,579,34189,15610,56341,48055,35775,23750,13226,4732,1529,199015,7631,19938,17067,14525,11834,7358,2530,695,81589,6172,15039,9294,5206,3252,1754,646,209,41584,3811,12797,7966,5677,3227,1807,900,259,36434,755,443,270,264,290,286,268,75,2668,1173,3604,3669,3152,2206,1294,613,279,15992,20530,28000,21956,19081,15468,13088,10206,5361,133691,92558,264606,223939,183462,138189,89726,45081,16668,1054215,4901,11698,10089,6807,3883,1708,604,217,39906,1228,9107,7929,3959,1895,527,66,18,24732,1894,7808,6219,4479,2924,2013,1824,766,27924,1492,4993,3253,2167,1013,388,116,48,13477,1010,2413,2184,1412,796,251,113,38,8209,9828,39744,29482,25111,20060,11299,5740,2065,143337,4729,22988,21962,22174,21471,13790,5307,1592,114016,20486,72819
UCL203001,130,206,227,161,188,113,48,8,1084,155,442,340,191,110,30,0,0,1273,668,1701,1531,1813,1744,1352,666,258,9731,573,1364,888,662,564,409,226,78,4767,61,174,197,165,107,93,44,19,873,125,517,408,352,302,132,49,26,1914,61,294,317,263,394,305,141,38,1811,347,1071,1030,920,729,398,126,39,4666,352,553,448,448,358,238,80,26,2504,178,318,260,123,110,47,15,7,1063,183,459,273,227,155,84,62,12,1467,16,13,8,13,14,8,11,0,84,37,106,122,112,78,46,14,10,524,879,812,719,816,727,695,599,346,5588,3757,8034,6777,6268,5586,3953,2093,875,37337,172,292,292,154,92,36,10,5,1052,28,114,90,67,41,13,0,0,352,56,191,167,117,91,67,75,37,802,78,161,110,68,41,11,3,0,469,51,97,82,74,34,12,3,8,348,567,1691,1266,1198,1143,576,313,127,6886,218,952,896,836,956,633,275,82,4848,584,1704
UCL211001,5,19,23,32,21,16,4,0,125,20,65,53,41,25,9,0,0,213,188,529,422,453,394,276,106,38,2408,105,202,146,135,114,96,38,8,852,18,64,59,47,31,26,11,0,257,16,87,86,68,51,35,6,7,349,11,54,56,70,78,79,20,7,381,90,191,200,211,184,92,21,6,988,63,106,98,70,60,31,17,0,444,21,42,30,10,16,10,3,0,130,43,83,87,56,45,32,7,4,345,4,4,4,0,4,0,0,0,20,3,25,25,23,19,19,9,3,131,224,198,187,167,193,135,93,44,1249,812,1678,1472,1384,1238,847,342,120,7897,7,28,45,11,13,4,3,0,112,0,15,20,9,17,6,0,0,68,7,32,25,30,14,21,9,3,138,9,22,11,8,3,0,0,0,48,14,33,29,18,9,7,0,0,101,94,338,238,244,248,143,57,30,1385,38,202,173,167,172,105,30,7,901,143,454
UCL211002,31,75,97,79,72,66,18,4,446,79,346,230,121,72,32,0,0,885,320,893,775,891,822,707,342,101,4846,317,713,451,360,333,220,128,38,2549,51,139,113,114,74,65,49,14,618,75,268,251,220,229,114,54,15,1214,50,226,224,207,297,274,96,23,1394,212,570,612,598,429,225,94,14,2755,150,290,290,249,221,162,66,8,1438,164,166,137,93,80,48,14,3,712,108,250,194,129,106,62,32,10,889,12,6,4,8,8,11,3,3,50,18,50,79,74,52,32,17,7,318,548,481,436,422,397,450,342,169,3242,2131,4479,3899,3561,3186,2457,1249,408,21368,53,112,110,68,41,20,9,0,409,9,52,53,34,31,4,0,0,181,24,71,74,60,27,23,40,19,338,18,42,33,25,7,9,0,0,133,28,65,60,52,19,3,3,0,231,275,941,728,774,720,443,217,77,4170,169,606,602,551,589,445,202,63,3221,377,959
UCL211003,25,71,67,77,58,59,21,3,387,88,260,174,92,57,23,3,0,705,350,1003,841,957,950,736,359,111,5305,313,707,446,417,386,258,139,31,2701,64,146,154,163,132,71,31,13,763,95,255,228,221,203,98,40,9,1151,71,208,208,173,252,247,117,25,1285,158,507,557,428,364,212,62,16,2307,173,260,273,250,234,146,54,5,1397,74,131,90,51,67,42,18,3,476,92,250,159,138,98,57,32,6,827,10,3,9,0,3,10,4,0,43,10,41,74,60,55,35,22,8,298,539,480,419,469,490,457,384,222,3467,2051,4322,3700,3495,3348,2438,1272,471,21101,38,87,111,48,49,19,9,4,369,14,36,48,37,34,14,4,0,185,17,71,62,79,52,39,22,14,354,21,33,41,19,17,4,0,4,142,24,75,79,41,27,7,3,0,255,344,986,767,744,829,468,213,75,4425,150,591,580,496,536,382,146,60,2941,289,901
UCL211004,13,36,43,27,20,23,3,0,165,43,156,147,44,29,6,0,0,428,210,662,666,590,608,444,140,25,3347,221,450,261,186,144,92,31,11,1399,21,65,41,42,21,16,3,0,209,23,61,58,42,44,24,5,4,257,7,54,61,44,65,43,12,3,282,139,413,346,180,153,88,15,3,1336,83,168,170,109,92,43,21,0,688,48,80,47,15,12,12,4,0,218,65,134,85,62,47,34,10,0,443,10,11,7,7,4,9,4,0,47,3,36,49,40,22,14,7,0,179,347,385,326,300,289,230,108,23,1999,1230,2708,2302,1689,1564,1069,365,70,10995,19,80,58,28,16,4,0,0,214,7,64,53,16,5,8,0,0,156,26,57,58,40,31,22,9,9,242,11,14,22,9,3,0,0,0,63,11,31,34,8,4,3,0,0,93,96,341,249,206,178,73,18,9,1175,73,323,277,173,141,60,10,4,1064,230,692
UCL212001,4,33,12,17,27,8,3,0,102,24,43,25,14,5,0,3,0,118,134,372,240,241,258,223,110,21,1593,50,163,112,106,97,67,39,13,643,19,78,95,76,47,27,17,3,355,17,62,68,60,63,32,9,3,311,12,51,69,64,63,55,19,5,336,71,152,168,145,130,49,20,0,738,52,102,89,75,52,28,15,0,418,29,44,28,17,12,10,0,0,134,40,92,60,67,52,28,12,3,360,4,6,0,3,3,5,4,0,24,13,10,20,14,12,8,5,4,82,270,278,192,207,225,240,167,85,1670,733,1474,1182,1104,1047,779,411,150,6886,9,18,24,20,9,0,4,0,82,0,7,7,4,3,0,0,0,18,12,8,12,21,9,10,7,0,85,9,14,9,7,0,4,0,0,32,8,32,31,20,12,3,0,3,105,84,284,179,208,199,137,66,21,1174,60,178,191,163,137,96,35,4,866,144,332
UCL212002,20,29,30,26,20,14,6,0,146,13,65,51,17,9,3,0,0,164,177,464,437,457,403,263,146,38,2385,129,235,154,194,132,93,42,13,992,21,71,69,70,47,35,12,5,334,26,148,106,103,71,45,10,3,511,17,88,62,76,96,85,36,14,476,76,235,217,177,184,90,17,12,1006,61,130,113,100,73,46,15,7,543,23,39,18,15,19,25,0,0,139,71,121,82,64,49,39,13,0,439,6,3,0,4,3,0,7,3,32,3,29,31,18,14,15,11,0,120,295,324,283,326,287,256,193,77,2036,943,1975,1651,1643,1413,1006,525,181,9328,25,46,46,29,17,7,0,0,167,6,25,12,5,13,4,0,0,61,14,23,31,22,26,17,7,3,145,6,8,13,7,5,0,0,0,42,12,36,34,16,11,3,3,0,114,133,429,316,286,291,127,78,35,1706,71,224,208,207,229,127,44,24,1136,130,434
UCL212003,17,18,33,30,32,11,6,0,146,29,68,83,52,28,14,4,0,262,131,401,498,591,521,361,137,51,2682,156,360,202,174,131,64,31,16,1137,19,43,44,28,19,12,8,0,173,23,49,58,51,52,17,15,0,258,14,57,55,44,69,48,16,6,318,70,188,256,244,224,88,23,10,1108,49,87,96,111,80,41,14,7,483,50,65,51,27,15,10,3,4,231,36,58,62,62,32,22,10,4,284,0,3,0,3,0,0,0,0,8,6,21,36,24,21,7,4,3,131,137,138,154,138,126,120,61,29,901,737,1566,1625,1584,1361,811,335,120,8133,13,34,64,41,28,7,0,0,188,3,8,29,17,9,4,0,0,79,8,27,39,35,18,9,9,5,153,11,14,8,11,3,0,0,0,56,11,28,15,15,4,9,0,0,89,84,251,232,249,262,83,55,15,1226,53,216,249,224,199,86,35,6,1060,124,353
UCL212004,4,15,15,18,12,11,8,0,92,14,39,36,16,11,8,0,0,128,159,447,370,470,399,270,116,26,2257,66,184,137,121,121,63,36,8,739,9,40,23,29,17,11,3,3,134,20,68,60,57,45,17,9,0,268,4,35,29,40,37,25,14,5,203,38,120,136,111,70,52,19,0,542,33,58,65,45,39,21,8,3,270,12,27,21,15,7,8,0,6,94,29,61,39,39,21,28,14,0,233,0,0,0,0,0,0,0,0,4,4,13,16,24,11,7,3,0,74,146,142,125,149,160,135,121,66,1049,545,1252,1077,1134,960,647,362,126,6102,12,34,19,14,12,5,0,0,91,0,8,13,7,7,3,0,0,33,5,15,28,23,4,11,7,3,99,3,9,11,6,0,4,0,0,36,4,9,10,9,7,0,0,0,44,102,290,177,148,166,100,55,14,1050,40,137,139,145,146,80,31,12,729,106,296
