UCL_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
UCL201001,230413,429004,113844,12614,785875,162644,29969,978483,36519,34221,15777,2212,88730,57620,9013,155370,27781,32141,11569,1872,73362,21709,8885,103957,64301,66356,27349,4087,162093,79332,17901,259326,20401,12211,6838,1565,41025,38802,7537,87360,12972,3851,2525,1006,20350,22713,6075,49142,25335,6917,4738,2771,39765,38834,14450,93048,73,50,32,3,155,148,23,329,58785,23027,14138,5347,101295,100505,28080,229883,78,27,24,3,132,393,16,549,185,53,72,6,318,1056,17,1389,7,16,0,0,26,82,0,114,870,715,374,82,2037,1209,445,3689,1141,810,470,97,2513,2744,482,5735,948,935,337,74,2293,1755,364,4412,355590,520134,156131,22217,1054074,346965,76804,1477840
UCL203001,12804,15563,6474,565,35399,11987,1981,49368,1205,495,578,61,2336,3674,309,6320,379,200,140,25,741,494,126,1361,1584,691,717,93,3081,4164,437,7684,312,155,145,16,620,1163,106,1891,15,3,6,0,25,71,14,107,41,12,8,0,58,110,16,186,0,0,0,0,0,3,0,4,369,166,158,15,708,1350,133,2189,11,4,4,0,12,27,0,46,16,0,10,0,27,100,8,131,0,0,0,0,0,0,0,0,34,92,14,5,141,55,18,216,58,98,25,7,182,183,29,399,38,31,15,4,88,63,18,170,14853,16543,7393,680,39466,17743,2595,59805
UCL211001,3182,3543,1577,99,8401,2455,342,11197,231,81,154,15,481,826,69,1374,26,7,24,0,63,34,8,101,255,92,179,17,541,857,80,1478,48,13,36,3,97,211,20,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,13,36,3,97,211,20,329,10,0,0,0,10,7,0,15,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,7,3,0,12,6,0,17,10,9,3,0,17,21,0,44,5,7,5,0,16,9,0,24,3502,3659,1795,126,9080,3557,435,13075
UCL211002,7635,8599,3850,300,20382,7388,1345,29115,865,597,519,59,2031,2523,297,4853,116,64,80,5,273,171,59,508,981,660,599,63,2305,2692,356,5361,151,55,97,8,318,732,65,1113,13,9,3,0,25,36,12,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,63,103,12,334,772,79,1187,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,10,12,16,3,34,18,0,49,14,12,15,3,36,18,0,59,37,24,10,8,68,77,9,154,8833,9351,4571,380,23131,10949,1788,35872
UCL211003,8338,9070,4093,363,21862,7785,1258,30907,416,132,290,42,882,1733,186,2804,99,30,56,13,189,159,43,388,516,159,343,52,1068,1892,231,3196,60,36,59,3,161,278,26,460,13,4,0,0,16,39,4,56,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,69,39,62,3,176,328,28,529,4,3,0,0,10,46,3,59,10,0,0,0,14,22,0,31,0,0,0,0,0,4,0,3,16,10,4,0,30,14,3,47,31,11,8,0,46,86,4,138,27,20,12,0,56,55,6,124,8979,9300,4518,420,23214,10146,1532,34897
UCL211004,3642,5724,2695,188,12251,2903,485,15639,330,471,343,33,1175,804,69,2045,45,73,79,3,201,76,15,294,381,544,419,38,1376,880,78,2342,7,6,21,0,38,22,3,61,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,11,11,23,0,46,25,3,70,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,10,3,10,3,0,10,3,0,19,9,8,4,0,22,17,0,38,4038,6296,3144,228,13704,3820,575,18101
UCL212001,2868,2876,1437,100,7288,2262,346,9891,352,101,152,21,631,922,64,1613,19,5,10,0,33,24,4,58,368,105,164,21,664,946,69,1678,115,48,95,8,271,655,53,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,48,95,8,271,652,53,979,8,3,4,0,16,12,0,28,10,0,0,3,12,16,0,24,0,0,0,0,0,3,0,3,3,0,0,0,7,4,0,9,18,5,3,0,28,37,3,66,16,5,6,0,25,20,0,53,3390,3045,1702,140,8282,3919,462,12667
UCL212002,3795,4464,2019,140,10417,3415,444,14275,341,220,167,15,742,1063,99,1904,24,17,5,0,46,36,11,97,362,229,172,22,783,1100,106,1993,4,10,12,0,28,83,3,112,3,0,0,0,3,18,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,16,0,36,104,3,142,12,0,0,0,12,36,0,49,3,0,0,0,4,21,0,20,0,0,0,0,0,0,0,0,3,8,3,0,14,9,5,23,17,8,3,0,34,62,4,96,12,3,3,0,16,10,3,29,4193,4720,2210,156,11288,4686,561,16531
UCL212003,2635,4470,1390,123,8617,1772,214,10598,86,19,52,10,156,244,6,411,19,21,17,0,49,35,4,95,99,34,68,10,209,287,11,504,173,71,98,5,348,451,20,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,71,98,5,348,451,20,814,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,4,0,0,3,0,0,5,5,3,0,0,7,6,0,18,2905,4579,1559,139,9184,2508,242,11937
UCL212004,2308,2557,1072,63,6009,2056,235,8295,99,28,32,0,159,308,16,485,3,9,11,0,23,15,0,46,105,38,38,0,188,329,17,528,88,35,55,9,190,463,25,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,35,55,9,190,463,25,677,0,0,0,0,0,3,0,3,15,0,0,0,17,35,3,55,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,7,18,3,3,0,20,41,3,61,11,3,3,0,16,32,0,46,2529,2639,1169,79,6414,2911,281,9605
