UCL_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
UCL201001,595,1043,6375,5225,1242,10124,1379,11161,704,37856,4180,11395,22817,11878,7049,14613,6944,15515,2004,96395,31948,71080,59195,17290,21482,18945,21216,24091,5209,270451,48521,65545,45000,11086,17992,13311,20631,18075,4505,244656,45998,45478,39536,9714,14998,11339,22911,17870,3925,211767,26606,31170,25011,6145,10553,7583,17320,13428,2460,140286,6762,10519,5176,1496,2925,2631,3742,3841,865,37966,902,1384,476,141,326,318,243,559,274,4617,139,163,82,16,45,39,33,62,113,699,165650,237783,203671,62984,76610,78903,94414,104607,20060,1044686,517,1220,1031,9810,2700,22821,223,3740,625,42691,4474,15502,4410,22490,15557,23970,1014,4988,1413,93822,24289,89898,12016,33827,44795,22093,2257,9598,3817,242586,28765,71535,8908,26025,44326,15454,2714,9125,3079,209920,24197,52609,7864,26744,49628,16608,4001,12850,2751,197250,11719,31908,4304,16396,32396,10288,2699,10206,1505,121420,2276,6509,815,3130,7382,2283,337,2099,569,25394,210,501,65,169,526,186,16,226,215,2113,42,88,18,27,64,24,4,25,107,396,96483,269766,39424,138626,197373,113738,13258,52848,14074,935589
UCL203001,26,31,349,170,48,458,60,585,25,1745,177,317,1131,453,164,557,271,777,52,3895,836,1654,2390,612,447,580,754,1029,135,8433,1217,1681,1689,451,435,437,734,840,147,7629,1231,1316,1473,515,441,351,964,808,142,7230,832,1007,1098,367,360,305,776,629,81,5459,216,286,169,76,110,91,165,150,33,1287,33,38,19,3,10,14,13,36,10,169,5,9,7,0,0,0,0,0,4,26,4569,6331,8310,2641,2011,2788,3740,4841,635,35868,16,30,72,509,102,1152,22,235,35,2176,175,538,245,1146,516,946,58,273,42,3956,605,2687,462,1323,1275,749,77,303,89,7558,665,2225,365,1110,1475,611,93,416,101,7052,688,1795,355,1330,1621,667,125,654,71,7314,386,1261,197,886,1171,518,104,604,61,5186,67,192,30,156,232,82,12,133,18,926,5,11,6,3,18,4,0,16,12,70,4,3,0,0,3,0,0,3,10,25,2617,8745,1732,6460,6415,4738,492,2638,438,34262
UCL211001,14,11,137,46,11,109,16,148,9,511,41,38,391,74,25,77,79,176,25,925,196,247,639,142,80,106,242,260,31,1935,252,258,402,114,109,87,235,199,35,1694,292,241,331,125,99,85,284,222,43,1720,205,193,212,70,80,70,231,165,16,1232,36,37,58,17,16,23,66,35,8,296,9,0,7,0,0,0,3,8,0,23,5,0,0,0,0,0,0,0,0,5,1042,1025,2163,589,423,564,1153,1209,176,8339,8,10,18,118,41,278,7,65,10,545,28,78,65,217,105,159,8,57,9,719,121,519,109,350,306,217,12,107,16,1756,148,387,73,285,340,158,24,122,20,1553,160,332,56,274,436,180,26,159,19,1647,92,233,51,221,307,127,17,145,8,1194,12,33,4,29,53,25,6,27,8,188,0,3,0,0,0,0,0,3,3,12,0,0,0,0,0,3,0,0,0,3,569,1582,377,1487,1590,1143,90,681,88,7624
UCL211002,22,14,239,128,16,290,23,354,23,1107,121,181,713,282,85,283,118,412,49,2232,511,946,1395,340,255,326,373,544,68,4754,716,965,949,270,232,249,400,415,79,4286,768,736,847,274,237,230,477,499,82,4156,531,623,587,168,215,216,414,371,40,3162,108,151,123,43,48,67,117,92,21,777,23,24,7,3,7,6,14,10,6,102,0,0,0,0,0,0,0,3,3,14,2799,3648,4860,1510,1103,1666,1937,2700,367,20591,10,23,35,293,55,717,6,157,21,1327,96,338,134,694,334,549,14,158,23,2337,273,1464,261,759,771,486,11,221,45,4291,354,1354,213,652,897,326,27,284,55,4166,394,1136,193,723,1032,396,60,384,60,4374,240,817,93,523,754,272,51,302,30,3086,49,122,22,77,115,45,9,69,12,516,8,10,0,8,9,0,0,7,8,43,3,0,0,3,0,0,0,0,0,7,1436,5263,954,3727,3966,2789,170,1585,248,20146
UCL211003,25,10,201,107,26,271,45,427,18,1129,118,175,706,240,80,276,148,504,46,2300,486,872,1449,279,237,269,390,695,59,4725,651,863,872,288,242,258,432,509,69,4174,686,692,863,290,267,243,489,472,62,4065,532,576,603,231,240,176,440,422,63,3278,136,153,102,55,61,55,119,79,22,781,26,21,13,3,4,7,9,19,7,103,0,3,3,4,0,0,0,0,0,10,2665,3368,4811,1497,1161,1557,2070,3118,338,20572,14,23,49,278,73,718,10,171,21,1356,92,332,151,656,272,554,20,235,24,2336,326,1471,255,737,746,411,39,274,45,4294,363,1260,195,593,851,346,29,279,49,3985,365,1036,167,715,1008,397,68,406,56,4209,255,788,101,560,777,312,60,342,43,3234,44,126,23,71,143,64,6,63,18,554,4,3,3,0,6,3,0,14,8,38,0,4,0,3,6,0,0,0,3,16,1475,5038,945,3611,3877,2807,239,1772,267,20020
UCL211004,11,4,190,40,10,130,29,177,16,596,50,52,435,80,63,110,147,219,27,1187,256,266,899,171,214,184,602,401,70,3066,309,285,663,184,219,133,672,358,66,2886,246,151,461,134,178,113,603,296,61,2250,195,134,349,111,146,77,424,212,31,1675,40,41,55,29,23,32,86,38,14,353,3,0,0,3,3,0,6,5,0,24,3,0,0,0,0,0,0,0,0,3,1105,935,3057,746,852,790,2571,1688,291,12035,13,3,36,95,45,343,8,82,7,636,64,89,65,266,202,255,37,79,24,1071,235,503,143,507,620,295,74,130,39,2547,185,380,101,421,585,228,79,144,40,2163,133,233,77,420,524,251,94,224,22,1978,73,162,34,315,430,176,43,160,24,1418,10,16,5,38,69,21,4,18,5,190,0,0,0,0,3,0,0,0,3,12,0,0,0,0,0,0,0,0,0,4,714,1396,458,2062,2471,1572,341,840,166,10024
UCL212001,12,6,90,17,7,116,6,124,12,399,37,42,186,51,17,94,51,172,14,662,173,234,467,118,67,123,162,266,28,1629,258,232,250,121,45,85,163,172,37,1358,261,199,250,80,65,78,191,157,18,1297,174,164,180,76,73,87,172,160,25,1113,65,46,28,20,21,23,40,35,7,279,12,7,3,3,0,3,3,8,4,41,0,0,0,0,0,0,0,0,0,4,983,924,1463,490,301,605,779,1097,141,6780,8,4,13,72,22,252,0,53,9,435,31,110,37,192,91,140,3,69,3,670,88,441,78,263,244,159,16,130,26,1441,126,366,56,220,267,161,5,113,17,1330,132,302,58,253,315,168,11,161,22,1418,110,218,41,179,258,123,17,130,12,1078,26,37,6,32,54,29,0,28,5,220,3,0,0,0,3,0,0,4,0,16,0,0,0,0,0,0,0,0,0,3,520,1476,293,1206,1250,1029,48,700,93,6619
UCL212002,20,15,116,42,14,181,16,175,22,597,60,61,309,51,25,84,64,175,19,851,248,378,611,109,86,141,201,348,32,2148,381,294,425,109,84,121,234,309,50,2007,407,281,401,83,95,122,291,324,34,2039,275,238,255,68,114,92,270,227,26,1572,82,85,53,27,32,42,83,64,10,467,12,9,3,7,0,7,12,11,5,56,3,0,0,0,0,0,0,3,3,13,1488,1358,2174,495,453,789,1161,1643,185,9751,10,10,14,121,50,372,0,71,9,647,39,128,42,201,139,178,10,75,11,820,158,629,111,317,319,169,9,183,25,1921,161,514,77,334,383,182,21,170,28,1868,187,415,103,342,506,235,27,206,17,2036,123,335,41,288,336,143,29,204,17,1520,22,46,9,54,58,32,3,46,11,281,3,6,0,3,9,0,0,3,4,24,0,0,0,0,0,0,0,0,3,4,707,2084,398,1656,1790,1312,99,956,119,9121
UCL212003,6,9,122,52,3,99,12,154,5,465,32,53,333,57,42,107,88,155,14,885,197,217,658,100,108,104,197,185,30,1798,309,285,501,109,165,103,259,153,21,1900,384,265,447,136,167,116,306,169,38,2025,241,211,288,96,136,74,233,102,15,1405,34,53,52,23,27,35,45,30,10,305,3,3,0,0,3,0,0,3,0,16,0,0,0,0,0,0,0,0,0,9,1217,1095,2400,576,650,635,1149,958,130,8806,3,8,23,123,28,317,4,41,7,550,35,95,61,220,159,215,12,39,12,839,137,428,113,284,395,159,25,44,10,1601,166,443,89,292,475,144,25,69,18,1731,184,351,81,355,641,237,29,113,33,2029,93,282,45,216,383,145,16,80,16,1272,11,28,3,44,59,21,3,24,3,198,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,628,1641,415,1536,2145,1239,113,419,110,8231
UCL212004,6,3,67,28,4,89,12,100,5,313,23,39,217,34,26,47,30,87,10,527,113,233,450,81,67,71,140,183,30,1360,204,206,306,57,77,49,142,145,17,1204,199,168,327,58,54,53,189,157,26,1228,136,122,223,48,44,32,163,109,26,892,47,34,46,8,11,13,25,24,10,216,4,4,0,0,0,3,0,3,0,20,0,0,0,0,0,0,0,0,0,3,729,803,1648,318,292,346,705,800,118,5763,4,3,16,80,17,179,0,29,3,333,16,95,38,159,120,110,0,19,8,573,83,393,70,199,312,131,11,45,21,1260,110,291,55,185,315,137,9,59,16,1176,92,254,53,170,318,111,16,87,17,1121,62,179,24,150,221,71,11,86,12,820,7,32,11,26,33,15,0,10,3,146,0,3,0,0,3,5,0,0,0,18,0,0,0,0,0,0,0,0,0,3,386,1256,266,965,1334,760,45,343,83,5443
