UCL_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
UCL201001,55,313,187,3180,852,694,644,428,186,6536,36,211,448,2575,2345,5017,8216,7907,3222,29981,65,316,424,968,327,165,124,26,6,2418,75,490,1219,3465,691,278,104,42,6,6368,47,159,366,2728,1958,1499,1090,392,99,8336,306,1204,4324,8482,2538,2712,1657,557,123,21893,6,23,53,284,533,1718,2687,1514,299,7114,4,146,401,2014,851,996,652,320,102,5485,30,378,957,2411,647,281,150,103,28,4973,25,166,1103,3392,151,75,32,4,0,4949,27,148,114,688,494,977,1709,1042,429,5626,686,3980,5102,15223,5571,3851,1793,632,178,37015,4,48,55,512,346,345,416,247,75,2057,326,1049,2320,7511,809,341,166,31,11,12560,9,25,64,370,232,89,38,9,3,843,205,1344,2429,7680,3092,1917,778,170,54,17652,11,37,92,1265,606,1390,1112,496,524,5532,25,228,306,1882,1659,1813,1830,1042,378,9168,175,830,1479,2365,810,669,352,131,22,6842,65,634,1335,4133,2215,1490,971,368,120,11341
UCL203001,0,18,11,55,24,23,20,15,12,173,0,3,10,30,47,103,182,157,84,618,0,3,5,16,4,0,0,0,0,25,3,9,15,34,0,7,0,0,0,69,0,0,3,16,6,10,3,5,0,38,3,9,37,79,23,30,9,7,0,199,0,0,0,0,0,16,37,12,0,64,0,3,4,12,4,3,0,0,0,29,3,6,38,74,20,12,11,0,0,174,0,0,7,41,0,0,0,0,0,50,0,5,6,7,16,86,179,93,46,428,7,42,86,270,126,121,57,25,3,748,0,5,3,13,14,36,30,24,11,133,10,35,48,125,13,5,7,0,0,241,0,3,0,12,8,3,0,0,0,25,3,33,64,116,42,19,13,3,0,287,0,0,3,21,15,35,23,21,16,141,0,7,6,46,74,95,106,61,20,412,0,11,12,20,21,16,9,0,0,91,0,16,32,77,37,28,14,11,0,216
UCL211001,0,0,0,9,0,3,4,3,0,16,0,0,3,3,0,6,17,8,5,34,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,9,0,3,0,4,0,0,3,0,0,15,0,0,0,0,0,3,4,3,0,11,0,3,0,5,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,6,3,10,14,10,0,0,0,0,0,41,0,0,3,0,6,7,27,11,7,68,0,8,12,47,30,25,17,6,0,152,0,0,0,0,3,0,4,0,0,5,0,3,0,12,0,0,0,0,0,16,0,0,0,7,3,0,0,0,0,14,0,21,20,30,8,4,0,0,0,76,0,0,0,0,0,0,4,0,4,15,0,0,3,6,14,12,13,8,5,62,0,0,0,3,0,0,0,0,0,3,0,3,3,8,7,3,0,0,0,31
UCL211002,0,5,4,14,9,4,12,10,3,63,0,0,0,4,9,17,25,28,11,90,0,0,0,9,0,0,0,4,0,18,0,4,0,10,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,6,0,11,12,32,11,13,3,8,0,85,0,0,0,0,3,12,10,3,0,25,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,5,0,0,3,10,0,0,0,0,0,13,3,0,0,4,6,36,91,72,8,220,3,29,32,106,62,50,37,18,3,343,0,0,0,0,6,6,9,9,0,36,0,4,3,25,3,0,0,0,0,40,0,0,0,3,6,0,0,0,0,11,9,26,20,76,14,5,0,0,0,151,0,0,0,4,0,0,3,0,8,14,0,3,4,19,26,32,41,25,8,155,0,3,0,7,7,0,0,0,0,21,0,7,15,37,15,9,8,4,0,102
UCL211003,0,7,0,19,10,7,14,6,3,65,0,0,3,3,9,11,19,17,12,67,0,0,5,0,0,0,0,0,0,8,0,7,9,15,0,0,0,0,0,24,0,0,0,3,0,3,0,0,0,11,0,3,11,30,15,11,3,0,0,80,0,0,0,0,0,3,8,3,0,16,0,0,0,7,3,0,0,0,0,11,0,8,31,114,34,20,6,9,0,221,0,3,0,14,0,0,0,0,0,20,0,0,0,3,3,18,34,17,10,92,0,15,33,104,56,44,21,11,3,297,0,0,0,3,6,5,9,0,0,24,0,3,3,21,0,0,0,0,0,31,0,0,0,4,6,0,0,0,0,17,3,17,22,46,9,10,5,0,0,110,0,0,0,0,0,0,0,3,3,7,0,0,3,18,15,19,29,27,5,111,0,0,3,5,0,3,3,0,0,19,0,6,25,31,17,12,8,0,0,105
UCL211004,0,4,0,5,9,8,21,3,0,56,0,0,4,9,15,45,51,20,4,143,0,0,0,3,0,0,0,0,0,3,0,4,3,9,3,0,0,0,0,20,0,0,7,12,7,4,12,0,0,41,6,10,3,22,9,8,3,0,0,60,3,13,11,26,45,91,116,43,0,341,0,0,0,14,4,3,3,0,0,31,0,13,27,30,10,5,0,0,0,83,0,0,13,9,0,0,0,0,0,23,0,0,0,3,3,12,30,8,4,68,43,131,134,240,92,48,29,3,3,720,0,0,0,3,8,5,12,6,3,33,0,9,3,47,9,10,0,0,0,76,0,0,0,0,3,0,0,0,0,4,4,32,49,114,59,12,12,0,0,290,0,0,0,12,6,21,10,8,0,52,3,3,0,13,24,37,46,20,4,143,0,3,0,11,0,10,4,0,0,26,0,3,8,27,6,9,8,0,0,68
UCL212001,0,0,0,3,5,0,4,0,5,15,0,3,4,11,11,23,47,59,32,181,0,0,3,3,0,0,0,0,0,12,0,4,11,16,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,4,3,32,71,6,0,0,0,0,114,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,14,0,0,0,4,3,8,15,3,0,26,3,7,27,44,17,15,13,5,0,130,0,0,0,3,0,0,0,0,0,11,0,4,3,11,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,11,10,27,4,3,0,0,0,54,0,0,0,0,0,3,3,0,0,12,0,3,0,9,3,3,14,9,0,37,0,0,0,0,0,0,0,0,0,4,0,3,6,6,3,3,4,0,0,26
UCL212002,0,9,0,8,0,8,3,6,0,30,0,0,0,7,20,41,91,97,34,279,0,0,0,8,0,0,0,0,0,10,0,0,3,10,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,4,3,8,11,53,6,5,0,0,0,95,0,0,0,0,0,6,4,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,3,0,0,0,14,0,0,0,0,0,6,22,17,9,60,13,45,48,66,36,23,22,4,0,258,0,0,0,4,0,3,6,3,0,16,0,35,15,64,14,5,0,0,0,133,0,0,0,0,3,3,0,0,0,5,3,21,18,63,3,6,0,0,0,116,0,0,0,3,3,0,0,0,3,5,0,0,0,11,8,9,21,4,0,53,0,0,0,3,7,0,0,0,0,11,0,12,7,16,13,3,0,3,0,58
UCL212003,0,4,4,25,9,9,8,4,3,65,0,0,4,3,20,29,35,20,10,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,4,0,0,0,14,0,3,0,10,3,3,3,3,0,28,0,0,0,3,8,26,39,13,0,84,0,0,0,3,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,17,11,3,53,5,25,38,90,68,38,18,10,0,297,0,0,0,4,4,3,14,3,0,24,0,0,9,4,3,6,0,0,0,27,0,0,0,3,4,0,0,0,0,13,0,6,18,24,15,9,3,0,0,76,0,0,0,0,0,5,8,3,0,24,0,3,3,19,24,28,26,21,3,129,0,0,3,3,0,4,0,0,0,16,0,9,8,24,15,11,4,3,0,75
UCL212004,0,0,0,5,4,6,7,3,4,33,0,0,0,0,5,20,19,24,13,84,0,0,0,6,0,0,0,0,0,11,0,3,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,4,0,0,0,22,0,0,0,3,0,6,10,3,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,3,3,14,32,21,8,82,0,5,9,42,26,26,10,0,0,123,0,0,0,0,0,3,5,0,0,13,0,0,0,3,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,3,0,3,9,18,6,3,0,0,0,43,0,0,0,0,0,4,3,0,0,12,0,0,3,0,10,29,21,11,0,81,0,0,4,0,0,0,0,0,0,6,0,10,5,16,12,7,3,3,0,51
