UCL_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
UCL201001,845759,218577,194116,4167,3195,1265821,109487,33610,28621,1238,523,173475,23231,7147,7146,331,690,38542,978483,259326,229883,5735,4412,1477840
UCL203001,40102,5403,1490,290,129,47415,7992,2007,586,97,24,10703,1274,271,106,14,19,1681,49368,7684,2189,399,170,59805
UCL211001,9369,946,191,27,15,10539,1588,463,126,11,5,2193,250,74,18,3,3,340,11197,1478,329,44,24,13075
UCL211002,23968,3855,795,51,95,28763,4430,1332,335,5,29,6134,720,172,54,6,28,981,29115,5361,1187,59,154,35872
UCL211003,25372,2034,341,87,78,27918,4782,1004,151,43,32,6009,753,161,37,13,9,972,30907,3196,529,138,124,34897
UCL211004,13212,1712,40,12,29,15016,1954,540,27,3,3,2526,475,85,4,0,5,568,15639,2342,70,19,38,18101
UCL212001,7779,1000,478,32,38,9331,1803,590,425,23,6,2855,314,85,69,6,8,475,9891,1678,979,66,53,12667
UCL212002,11377,1232,62,43,20,12731,2447,650,63,42,3,3199,451,121,21,10,6,603,14275,1993,142,96,29,16531
UCL212003,9479,347,588,5,7,10423,916,127,205,0,3,1258,197,25,29,0,4,259,10598,504,814,5,18,11937
UCL212004,6948,347,420,47,18,7779,1158,160,226,12,10,1561,189,26,35,7,13,269,8295,528,677,61,46,9605
UCL212005,7715,982,324,15,42,9067,1532,490,242,9,8,2287,226,56,76,0,3,360,9474,1530,643,23,54,11713
UCL213001,4565,500,22,19,6,5124,638,179,41,8,0,865,123,31,0,0,14,168,5324,713,71,29,17,6161
UCL213002,3372,156,61,14,18,3621,941,141,37,9,3,1133,150,18,3,3,47,216,4469,312,101,21,65,4969
UCL213003,2986,249,9,22,6,3272,888,229,11,10,3,1141,119,25,0,3,3,158,3996,501,23,34,9,4569
UCL213004,3156,137,115,35,7,3448,545,69,80,35,0,732,97,10,7,7,0,117,3793,214,201,77,8,4294
UCL213005,3755,103,28,4,20,3904,625,80,20,0,3,728,101,5,4,0,0,119,4477,196,52,5,22,4746
UCL213006,3233,387,18,8,11,3661,770,245,19,5,3,1046,144,45,3,0,0,194,4147,679,42,20,15,4900
UCL213007,4179,223,218,6,13,4642,1066,208,160,3,8,1440,143,19,19,0,3,178,5389,446,392,9,27,6265
UCL213008,3587,394,19,0,3,3997,411,95,4,0,0,514,83,17,0,0,0,101,4079,500,26,0,4,4610
UCL213009,3495,204,0,3,0,3706,399,89,0,0,0,488,57,12,0,0,0,73,3949,306,4,3,3,4268
UCL213010,3891,404,120,10,8,4436,1113,351,128,17,3,1605,172,56,16,0,0,245,5181,806,262,26,13,6290
UCL213011,3415,161,242,3,14,3832,1129,174,174,0,0,1479,157,12,37,0,0,215,4702,346,454,10,14,5524
UCL213012,5242,436,41,17,25,5761,552,116,10,0,0,681,87,17,4,0,0,111,5889,569,51,25,29,6558
UCL213013,2713,101,116,17,18,2961,673,70,96,4,4,850,104,10,11,0,0,134,3493,192,225,28,19,3942
UCL213014,3596,253,199,28,9,4080,705,186,98,15,5,1006,110,31,13,0,0,155,4411,466,312,43,10,5243
UCL213015,2420,149,206,17,36,2828,694,91,128,14,6,936,112,10,25,0,10,161,3229,259,362,26,52,3924
UCL213016,4651,456,36,5,10,5149,387,72,16,0,4,482,90,12,0,0,0,105,5129,539,46,6,15,5740
UCL213017,4831,591,33,17,11,5483,1230,410,27,11,3,1677,222,58,4,3,3,285,6278,1054,64,28,20,7442
UCL213018,3825,171,307,17,13,4336,570,136,182,17,3,904,112,17,22,3,3,154,4506,325,510,37,16,5397
UCL214001,1858,49,56,19,4,1994,624,61,39,13,5,743,88,4,10,3,3,108,2569,118,108,38,13,2841
UCL214002,2571,38,194,14,16,2837,782,21,152,7,4,970,108,5,24,3,0,141,3471,61,372,23,24,3948
UCL214003,2795,130,19,5,30,2976,635,98,10,3,3,751,92,13,3,0,3,110,3519,244,28,11,35,3832
UCL214004,1304,68,43,9,4,1424,450,37,68,0,0,555,84,12,8,0,3,108,1841,112,120,9,4,2088
UCL214005,276,0,39,0,3,316,61,0,9,0,0,67,10,0,4,0,0,14,342,0,46,0,3,392
UCL214006,2593,271,5,0,4,2877,177,77,3,0,0,255,58,13,0,0,0,68,2833,362,6,0,9,3202
UCL214007,2532,82,52,15,12,2695,745,52,42,5,3,851,91,10,7,0,0,100,3373,140,96,20,17,3648
UCL214008,2372,227,10,33,5,2648,397,65,3,13,0,482,66,14,0,3,0,83,2832,308,13,47,10,3212
UCL214009,1477,108,25,0,10,1616,291,57,12,0,0,351,48,3,0,0,0,45,1809,166,32,0,6,2020
UCL214010,1725,151,24,16,12,1931,259,59,17,9,0,348,48,13,5,0,4,59,2028,225,44,31,9,2342
UCL214011,1461,31,144,11,5,1648,437,19,138,5,0,601,53,3,12,0,0,66,1959,46,291,17,9,2321
UCL214012,1518,62,36,37,23,1685,507,41,29,27,4,614,75,8,3,5,7,102,2106,114,66,78,33,2400
