UCL_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
UCL201001,4901,67528,2770,17500,8128,3226,386,1537,704,106685,5770,49426,800,11771,6141,2187,225,1035,459,77804,30695,42805,2884,12142,57650,17660,1481,5280,2063,172655,11405,38692,2339,37493,19362,6758,744,3582,1340,121714,5096,16639,2236,3808,6007,5170,302,980,410,40655,3742,1400,10473,7874,6317,5195,535,2883,395,38826,77,87,43,138,135,103,27,155,25,797,1871,3490,499,1654,2744,1197,124,488,318,12385,968,1712,564,2158,2299,1648,296,1180,2102,12929,74399,252790,30310,100049,120349,48898,5209,20773,8758,661531,8811,24537,4623,3531,5663,3320,1063,1981,668,54199,12887,36539,7323,2716,6942,3958,2624,3372,1207,77565,28736,41726,65810,5218,10713,7886,15812,15026,2517,193445,11879,11197,43114,1547,3333,2635,3251,6391,914,84267,2645,2792,5908,1017,1673,1167,1049,2208,267,18720,7542,91635,4202,22570,9155,4154,1218,2633,1042,144157,9009,64714,1793,13547,7067,2867,963,1766,651,102374,75134,90316,9789,18978,78981,33034,10145,12742,4332,333442,20537,62114,5030,49160,24964,9976,3386,6678,2300,184135,8992,30767,6159,6019,8333,8096,1595,2850,759,73566
UCL203001,190,3118,168,929,381,138,21,87,42,5060,202,2061,31,509,213,85,3,35,10,3145,749,827,102,441,1841,589,48,143,49,4793,285,1082,91,1983,554,263,29,172,43,4502,120,393,71,116,160,160,12,43,10,1077,138,43,524,351,218,210,18,135,25,1665,0,4,3,7,0,3,0,3,0,22,29,81,17,43,73,28,3,8,3,285,40,46,30,87,81,70,15,74,74,519,1933,8288,1305,4647,3783,1748,183,849,276,23011,191,626,179,125,117,114,17,77,14,1463,194,507,181,51,119,71,62,58,18,1252,795,1077,2673,233,263,283,652,731,76,6791,444,313,2202,127,136,135,186,419,48,4009,123,123,258,46,56,71,66,100,10,850,284,4109,245,1179,423,178,52,146,57,6674,352,2856,82,611,252,107,43,63,17,4382,1784,1793,314,621,2312,979,281,360,97,8537,471,1595,200,2578,694,356,117,299,62,6377,195,733,164,174,210,233,46,104,13,1868
UCL211001,31,555,25,234,79,36,3,20,6,972,48,404,4,127,39,17,3,7,5,653,171,178,26,102,549,167,16,45,14,1262,67,209,29,522,99,72,4,57,8,1066,6,41,8,13,24,20,0,11,3,126,36,14,140,92,60,69,6,41,0,454,0,0,0,0,0,0,0,3,0,8,3,5,4,9,10,4,0,0,0,43,8,9,8,30,22,24,3,19,20,143,386,1495,296,1150,952,443,43,221,55,5037,32,63,25,15,16,8,7,9,4,170,27,65,43,6,31,10,12,8,4,211,213,184,866,63,65,69,222,187,32,1903,69,33,424,9,23,21,50,61,6,691,28,35,63,16,25,27,29,47,6,285,51,701,35,316,87,39,13,22,11,1266,84,569,14,140,46,19,13,19,5,919,386,359,80,140,656,240,84,91,21,2055,97,286,46,650,123,86,16,75,13,1395,14,70,19,19,34,38,15,20,3,226
UCL211002,102,1911,74,553,194,77,9,49,12,2986,117,1390,25,331,123,67,3,30,16,2101,397,518,67,219,1171,321,19,94,27,2828,172,628,53,1042,333,169,10,128,21,2561,45,176,36,62,76,86,7,29,0,524,62,27,288,217,150,151,10,87,9,997,0,0,0,4,3,4,0,6,0,17,19,48,10,35,45,11,0,9,3,172,14,27,15,52,39,41,3,46,38,282,1014,4993,708,2592,2253,998,69,543,144,13319,79,274,64,50,52,32,11,29,3,593,120,338,135,34,83,39,16,48,10,823,406,398,1544,103,124,130,379,332,55,3466,290,72,1250,49,36,66,89,185,18,2061,110,106,164,31,54,38,33,69,11,615,161,2532,117,723,221,95,23,79,16,3966,236,1982,50,403,148,97,30,51,25,3027,1019,1092,204,330,1402,564,102,214,58,4979,261,950,100,1347,401,215,54,196,46,3573,100,348,105,108,104,125,26,75,12,1005
UCL211003,140,2026,88,597,241,97,4,52,26,3266,130,1250,26,326,154,64,11,42,6,2008,346,470,51,156,995,274,21,101,24,2438,144,531,48,1171,292,153,19,161,27,2549,47,127,25,50,74,60,0,16,3,398,82,32,327,193,136,145,13,109,4,1041,0,4,0,0,0,0,0,3,0,9,18,43,5,13,27,22,0,9,7,134,28,36,18,59,58,37,3,53,33,333,1027,4773,716,2631,2124,915,94,615,141,13030,86,216,64,40,63,24,4,27,9,536,83,270,103,29,68,28,16,44,14,658,422,480,1762,119,160,155,390,388,34,3916,320,94,1242,55,65,71,123,203,20,2189,141,115,175,32,49,41,71,120,8,752,193,2650,121,767,254,110,13,76,32,4216,237,1776,53,400,178,98,35,64,15,2855,821,983,144,228,1246,468,101,234,40,4266,263,792,86,1520,352,197,63,261,36,3565,67,235,70,65,87,85,25,50,9,697
UCL211004,22,383,38,243,82,20,10,12,0,824,39,432,5,224,39,26,4,14,3,791,178,172,34,103,660,202,28,68,16,1448,78,145,24,743,182,91,33,69,13,1377,21,29,8,12,28,18,0,3,4,132,51,16,133,99,96,77,13,61,8,547,0,0,0,0,3,0,0,0,0,10,3,9,0,14,17,8,3,7,0,59,7,11,9,39,33,32,8,24,25,183,442,1285,331,1514,1240,515,131,288,75,5814,39,59,53,22,39,21,14,13,5,257,50,150,53,25,53,26,38,28,11,433,214,160,1139,80,138,88,386,264,36,2498,80,30,675,12,28,26,120,151,20,1136,17,16,72,8,17,18,30,35,4,220,36,467,54,293,100,27,21,17,6,1021,44,540,15,245,50,34,21,20,3,986,385,312,100,158,829,297,234,140,36,2487,136,209,51,919,230,113,78,119,23,1874,28,69,36,21,34,37,25,19,6,284
UCL212001,36,517,20,165,53,26,4,18,6,849,43,446,8,89,31,14,0,14,3,650,116,123,6,61,368,120,3,58,7,878,40,196,25,423,67,49,0,42,10,848,3,39,3,15,12,17,0,8,0,108,40,11,100,57,60,54,0,44,4,360,0,0,0,0,3,3,0,0,0,4,4,9,3,6,4,0,0,5,3,39,3,16,8,26,16,38,3,20,18,145,324,1401,198,865,643,346,23,231,56,4085,30,51,14,5,11,5,5,15,0,140,9,21,27,3,11,8,0,4,0,87,141,95,538,32,33,62,120,106,17,1135,81,23,264,9,12,12,26,56,10,488,77,63,62,21,17,25,29,64,4,357,52,667,32,221,57,37,5,17,12,1103,70,610,12,109,40,17,8,22,8,893,280,286,28,101,432,185,40,102,15,1477,73,269,37,556,82,64,11,71,13,1170,12,82,17,26,14,20,3,19,0,204
UCL212002,42,778,34,299,78,23,4,31,6,1292,52,529,5,150,39,20,0,14,9,815,156,236,20,77,466,129,5,71,5,1167,67,238,4,581,116,60,9,63,10,1151,9,35,12,5,21,9,0,10,0,103,47,16,142,90,79,85,0,49,3,514,0,3,0,0,0,0,0,4,0,11,9,15,8,6,10,6,0,8,0,57,7,24,3,31,25,29,0,35,26,181,442,1961,290,1248,868,386,30,330,68,5637,41,88,27,16,14,8,7,19,3,216,23,58,33,8,23,19,8,15,3,184,241,170,855,40,68,63,184,216,20,1852,146,24,398,20,20,23,43,100,6,772,67,53,72,15,31,17,21,56,0,333,56,1091,46,361,83,28,17,45,6,1732,91,749,19,164,50,16,3,26,9,1130,400,454,63,96,549,211,55,125,20,1983,104,353,25,696,131,83,23,111,21,1534,20,68,27,7,24,20,9,22,3,193
UCL212003,38,481,43,201,80,25,3,8,5,889,53,493,8,166,47,10,3,9,0,791,164,183,17,93,532,142,11,28,14,1189,52,164,22,475,154,55,3,32,3,959,17,48,15,22,30,34,3,10,3,179,28,10,130,88,84,80,4,34,0,457,0,0,0,0,0,0,0,0,0,5,3,14,3,17,27,3,0,3,4,73,11,16,9,19,22,22,3,7,9,112,408,1515,305,1115,1052,417,46,147,42,5047,39,101,32,15,37,17,8,5,3,257,42,114,40,16,34,9,3,8,3,273,246,246,902,60,91,86,230,160,19,2035,109,35,627,12,29,15,59,83,9,982,25,15,87,10,20,12,13,23,3,211,61,565,51,247,87,38,26,21,5,1099,79,635,21,192,59,12,6,15,3,1028,444,376,59,143,668,221,90,67,20,2088,92,238,44,590,184,78,31,55,12,1334,31,93,37,38,41,63,12,19,0,351
UCL212004,23,493,22,140,71,20,0,6,6,778,25,363,3,83,33,9,0,3,3,523,106,115,12,51,378,69,6,21,12,768,47,111,14,312,91,41,0,24,7,645,10,27,10,4,22,14,0,0,3,88,24,6,100,62,65,54,0,28,3,336,0,0,0,0,0,0,0,0,0,3,0,5,3,6,4,4,0,0,0,26,0,3,0,29,18,8,0,15,9,80,257,1184,203,695,712,231,17,113,43,3452,19,56,11,12,13,12,3,4,0,127,13,41,29,3,17,3,0,3,0,121,175,192,888,30,57,25,178,123,28,1696,79,17,249,14,16,9,67,117,14,570,21,24,34,10,9,9,6,26,0,136,42,664,28,162,72,24,7,7,9,1014,44,449,17,90,40,11,6,7,4,663,237,220,32,72,437,115,25,48,21,1214,64,155,17,400,101,52,11,36,10,844,20,50,18,8,26,16,3,3,3,153
