UCL_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL201001,70572,13413,85254,694787,220944,21928,937661,2248801,249160,3435626
UCL203001,3660,881,4593,24734,10399,1038,36173,82729,10322,129222
UCL211001,507,94,617,5865,2286,276,8432,17213,2261,27901
UCL211002,1932,366,2325,14928,6420,764,22108,47677,6219,76000
UCL211003,1902,558,2494,14710,6420,727,21853,46175,6552,74584
UCL211004,433,76,517,9544,3245,361,13157,25003,3615,41769
UCL212001,719,191,923,4757,1942,206,6898,17258,3017,27176
UCL212002,932,230,1171,7170,2545,322,10036,22944,3819,36801
UCL212003,493,86,594,6229,2352,245,8828,17113,1692,27628
UCL212004,415,186,609,4189,1696,202,6083,12318,2079,20483
UCL212005,751,192,952,4684,2010,219,6919,16026,2326,25264
UCL213001,261,36,305,3066,1094,122,4281,8442,979,13703
UCL213002,385,155,542,1770,773,68,2613,6608,1438,10661
UCL213003,360,84,453,1688,846,75,2614,6179,946,9737
UCL213004,286,42,332,1908,782,124,2815,5766,874,9459
UCL213005,290,52,353,1913,891,102,2911,6598,720,10230
UCL213006,346,94,446,1793,811,90,2690,6817,1098,10605
UCL213007,440,78,525,2436,977,121,3528,8116,1036,12681
UCL213008,195,30,228,2616,861,98,3576,6303,563,10440
UCL213009,213,39,255,2230,801,96,3128,5792,542,9461
UCL213010,433,87,521,2014,987,101,3105,8284,1257,12650
UCL213011,376,64,443,1573,809,85,2471,7322,1419,11213
UCL213012,349,64,418,3397,1375,184,4956,8548,837,14333
UCL213013,265,60,329,1473,605,59,2132,5288,912,8336
UCL213014,374,70,445,2084,849,135,3068,6834,1067,10969
UCL213015,299,77,380,1531,635,64,2233,5243,1122,8603
UCL213016,229,29,261,3523,1111,169,4802,7436,790,13025
UCL213017,549,298,852,2724,1279,137,4133,9561,1526,15223
UCL213018,289,120,411,2172,982,101,3260,7432,995,11683
UCL214001,220,53,279,919,494,46,1458,3901,472,5826
UCL214002,386,79,470,1106,628,52,1784,5258,806,7848
UCL214003,257,121,376,1336,596,103,2039,4819,1560,8408
UCL214004,162,26,191,696,257,14,963,2992,478,4437
UCL214005,15,3,17,163,65,5,237,547,72,856
UCL214006,138,58,198,2047,538,93,2678,4280,530,7483
UCL214007,285,100,393,1218,573,64,1851,4922,651,7429
UCL214008,206,32,236,1298,582,73,1950,4418,578,6947
UCL214009,177,39,222,694,382,43,1124,2706,388,4223
UCL214010,133,14,149,1200,413,37,1652,3336,507,5491
UCL214011,217,71,293,850,360,31,1238,3089,588,4916
UCL214012,144,101,242,693,349,30,1069,3408,731,5210
UCL214013,179,28,213,782,351,36,1165,2568,384,4116
UCL214014,273,70,349,938,409,36,1386,4257,686,6328
UCL214015,229,61,298,676,534,31,1244,4162,661,6063
UCL214016,132,69,198,666,369,29,1064,3185,686,4937
UCL214017,208,33,245,694,360,38,1092,3111,509,4715
UCL214018,34,8,43,1641,458,48,2145,3810,600,6564
UCL214019,257,96,353,1071,451,49,1569,4241,798,6602
UCL214020,268,97,363,1024,476,53,1552,4083,854,6492
UCL215001,18,6,24,153,79,10,240,649,75,965
UCL215002,101,15,115,329,130,18,476,1354,234,2069
UCL215003,95,15,109,372,240,13,627,1357,170,2157
UCL215004,25,11,37,177,81,8,270,761,143,1167
UCL215005,52,15,69,392,143,17,554,1132,171,1854
UCL215006,42,12,58,369,224,16,616,1106,176,1895
UCL215007,84,3,91,1104,295,40,1441,1990,254,3688
UCL215008,6,0,6,403,96,15,519,650,85,1252
UCL215009,10,3,15,104,42,9,151,502,55,706
UCL215010,31,0,29,449,136,13,607,986,97,1688
UCL215011,34,27,65,119,64,7,180,621,116,918
UCL215012,75,17,96,415,192,13,620,1596,238,2452
UCL215013,3,0,3,455,72,15,545,655,118,1317
UCL215014,3,0,3,219,77,11,297,610,65,971
UCL215015,79,22,105,282,98,29,408,1299,229,1941
UCL215016,40,21,56,638,225,33,899,1890,255,3042
UCL215017,47,7,59,314,135,19,471,932,142,1545
UCL215018,96,26,123,382,189,21,590,1640,267,2496
UCL215019,8,0,9,350,92,12,461,765,98,1318
UCL215020,72,18,88,129,56,5,197,827,142,1165
UCL215021,13,7,25,181,78,9,270,637,112,1015
UCL215022,38,4,46,611,308,44,964,2366,422,3748
UCL215023,65,9,74,210,79,8,295,882,141,1318
UCL215024,100,14,118,200,113,8,324,1117,164,1605
UCL215025,55,20,73,142,77,7,217,653,136,1010
UCL215026,237,52,292,619,370,35,1023,2828,400,4251
UCL215027,116,31,148,355,217,10,577,1425,277,2285
UCL215028,125,33,154,448,194,28,662,2016,270,2948
UCL215029,9,0,9,344,113,13,471,1126,157,1747
UCL215030,63,29,84,153,67,13,237,823,161,1222
UCL215031,72,33,103,150,75,12,237,773,179,1186
UCL215032,113,57,173,348,201,12,564,1613,284,2465
UCL215033,4,0,4,753,135,20,909,828,56,1793
UCL215034,97,15,114,117,67,10,198,740,101,1040
UCL215035,14,3,19,251,92,14,354,541,78,974
UCL215036,10,0,10,254,52,6,317,496,78,891
UCL215037,69,17,83,165,90,0,264,1066,193,1517
UCL215038,59,8,73,222,85,19,327,800,106,1232
UCL215039,33,9,50,154,74,3,232,706,124,1063
UCL215040,151,38,189,441,199,32,673,2024,355,3049
UCL215041,40,14,53,434,129,15,583,1016,173,1768
UCL215042,25,6,27,272,120,8,398,729,115,1247
UCL215043,145,26,176,506,228,16,751,1941,297,2991
UCL215044,210,25,239,664,293,44,1003,2624,419,4052
UCL215045,16,0,15,268,75,13,356,679,105,1147
UCL215046,16,4,21,218,91,8,317,534,64,918
UCL215047,10,3,13,286,99,13,392,653,108,1151
UCL215048,38,12,46,110,85,3,202,571,120,895
UCL215049,21,3,30,504,222,22,753,1275,172,2198
UCL215050,119,27,145,625,294,26,943,2226,333,3509
UCL215051,60,3,64,133,89,6,231,837,61,1126
UCL215052,118,21,144,526,230,34,792,1713,266,2767
UCL215053,86,12,98,234,128,18,376,1075,215,1668
UCL215054,12,3,21,251,77,19,342,799,105,1247
UCL215055,42,9,54,279,114,15,411,818,145,1364
UCL215056,40,12,55,141,64,6,214,605,92,913
UCL215057,34,7,44,230,105,23,357,931,111,1407
UCL215058,116,32,151,367,162,14,542,1565,232,2345
UCL215059,65,10,81,213,106,4,323,1000,145,1473
UCL215060,63,15,82,204,107,15,325,772,134,1222
UCL215061,102,18,125,221,75,10,304,1061,129,1495
UCL215062,131,39,173,484,231,21,737,2039,305,3088
UCL215063,78,22,93,231,118,10,355,1097,209,1665
UCL215064,61,11,71,105,54,3,164,604,122,894
UCL215065,136,40,180,331,165,15,515,2185,336,3029
UCL215066,154,29,180,429,393,14,840,2115,317,3270
UCL215067,124,24,147,437,207,28,668,1577,260,2512
UCL215068,92,34,131,422,169,14,601,1421,340,2357
UCL215069,37,3,40,603,234,30,870,1521,117,2504
UCL215070,22,31,58,245,73,10,328,1020,373,1717
UCL215071,91,42,134,325,166,11,506,1548,244,2296
UCL215072,39,8,42,701,247,27,975,1825,239,3041
UCL215073,13,4,21,172,73,5,258,645,105,1005
UCL215074,58,11,74,292,143,19,455,1139,147,1745
UCL215075,47,12,59,158,83,6,242,707,93,1041
UCL215076,8,0,8,357,118,22,499,829,48,1376
UCL215077,93,16,105,250,81,9,344,1262,146,1742
UCL215078,20,6,28,296,136,13,447,882,141,1466
UCL215079,115,30,147,594,228,25,848,2070,362,3277
UCL215080,60,21,81,250,143,14,406,1036,227,1672
UCL215081,61,9,72,194,98,3,297,658,102,1052
UCL215082,15,6,21,219,61,13,294,422,94,811
UCL215083,85,30,113,539,253,41,840,1643,279,2757
UCL215084,3,0,9,300,136,15,449,744,102,1298
UCL215085,41,4,43,251,154,16,415,1019,190,1626
UCL215086,105,29,138,272,137,18,431,1283,230,1943
UCL215087,123,19,142,630,266,32,928,1942,281,3154
UCL215088,69,18,83,189,103,14,305,878,153,1337
UCL215089,10,0,7,249,126,7,382,884,59,1324
UCL215090,39,50,93,709,234,43,987,1698,323,3005
UCL215091,32,4,40,744,296,33,1072,1919,193,3183
UCL215092,20,3,25,161,80,10,251,562,113,928
UCL215093,17,0,17,404,141,25,567,1043,162,1767
UCL215094,76,17,99,519,204,25,744,1446,208,2398
UCL215095,10,4,15,175,98,9,289,548,83,921
UCL215096,77,33,109,198,92,11,308,972,185,1462
UCL215097,37,10,50,144,71,4,223,650,107,980
UCL221001,0,3,5,132,44,18,192,322,48,562
UCL221002,7,6,13,138,85,5,224,396,70,697
UCL221003,26,0,28,133,59,8,193,538,71,804
UCL221004,8,0,9,102,35,4,138,242,34,415
UCL221005,9,0,9,160,48,3,212,334,34,581
UCL221006,25,12,32,100,38,4,131,358,70,558
UCL221007,0,0,3,92,37,7,140,257,32,424
UCL221008,3,3,5,67,39,5,120,282,49,457
UCL221009,48,21,70,86,59,5,145,422,80,642
UCL221010,3,0,3,103,31,6,140,292,27,461
UCL221011,3,7,10,90,29,7,124,274,57,447
UCL221012,6,0,10,117,23,4,154,241,41,430
UCL221013,9,0,9,85,59,5,144,206,28,383
UCL221014,0,3,6,107,37,3,147,289,58,487
UCL221015,12,6,18,101,83,6,190,452,81,724
UCL221016,5,0,10,147,27,0,169,212,27,404
UCL221017,11,3,19,150,48,0,194,436,42,678
UCL221018,44,18,65,100,64,4,168,595,83,844
UCL221019,30,3,40,176,94,6,269,817,136,1220
UCL221020,53,19,75,87,44,3,137,528,85,751
UCL221021,11,5,13,73,42,0,118,433,57,606
UCL221022,15,10,22,71,53,4,123,497,77,698
UCL221023,12,3,19,62,32,3,103,252,59,412
UCL221024,18,6,25,73,28,0,101,431,67,602
UCL221025,17,5,22,104,46,4,151,529,57,737
UCL221026,3,4,10,129,57,9,196,493,78,771
UCL221027,33,23,51,62,37,7,100,420,91,610
UCL221028,35,9,51,62,29,0,95,466,112,667
UCL221029,17,5,18,69,36,3,109,383,77,571
