UCL_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL201001,13487,20721,34204,5739,6483,12223,8655,20056,28711,6899,28865,35760,24865,54132,78997,25297,31590,56893,60834,28892,89731,56808,34721,91530,76740,38450,115191,76561,29847,106407,65715,25128,90845,66750,18868,85615,134996,29010,164005,96264,5659,101923,62569,3359,65925,47489,13528,61019,110369,3767,114140,98402,13966,112370,15618,16734,32348,1054074,423771,1477840
UCL203001,293,454,746,182,278,458,336,1161,1498,332,1868,2193,1315,3739,5059,1342,1972,3310,3272,1623,4889,2690,1817,4502,3448,1788,5236,3268,1186,4458,2631,901,3530,2654,623,3272,4957,820,5774,3195,136,3339,1901,79,1980,1131,263,1398,2286,68,2348,3524,480,4003,704,1099,1808,39466,20337,59805
UCL211001,34,69,105,38,40,82,66,226,294,88,356,452,274,725,1006,317,405,719,730,359,1091,638,407,1047,841,374,1212,876,248,1126,685,157,841,668,104,771,1229,151,1381,734,43,780,396,8,402,177,39,214,268,10,279,861,55,916,157,218,375,9080,3997,13075
UCL211002,165,273,432,90,145,236,171,714,887,219,1144,1361,744,2483,3224,851,1261,2108,2182,1128,3307,1746,1235,2981,2131,1057,3185,2105,752,2854,1697,535,2236,1573,344,1919,2807,402,3210,1689,85,1772,958,26,987,545,174,714,1080,20,1098,1965,330,2290,407,635,1044,23131,12734,35872
UCL211003,131,202,334,106,142,251,167,624,792,182,1048,1234,693,2092,2782,826,1193,2019,2099,1076,3176,1824,1149,2970,2276,1022,3292,2237,726,2961,1710,481,2196,1592,330,1925,2827,423,3249,1771,64,1838,969,37,1013,532,149,685,901,22,921,1994,278,2270,377,628,1007,23214,11680,34897
UCL211004,164,109,270,68,54,118,121,265,387,137,353,490,420,723,1143,549,378,926,1128,361,1489,970,465,1438,1318,490,1808,1337,337,1675,1042,205,1250,1042,132,1168,1759,128,1879,947,29,980,517,9,519,293,32,324,368,14,379,1240,65,1303,294,270,560,13704,4396,18101
UCL212001,75,86,160,43,56,100,78,267,348,93,478,577,318,880,1199,329,459,787,921,385,1305,680,396,1076,789,355,1141,804,226,1025,553,158,707,543,96,639,883,109,993,514,25,537,274,12,282,125,50,175,248,10,254,795,68,863,224,274,498,8282,4390,12667
UCL212002,110,105,218,45,74,116,94,318,409,103,521,628,426,907,1331,452,517,966,1071,455,1526,823,534,1361,1107,443,1556,1019,283,1297,786,217,1002,771,119,893,1297,156,1456,842,46,883,389,18,410,231,57,287,428,18,448,1038,94,1133,255,364,616,11288,5252,16531
UCL212003,64,68,131,35,38,70,59,120,180,56,182,236,176,473,656,213,239,456,506,229,735,495,262,754,680,324,997,740,223,964,675,148,823,693,98,800,1384,117,1497,956,7,959,565,3,570,353,33,389,594,3,603,797,48,845,138,142,281,9184,2753,11937
UCL212004,31,72,108,27,47,67,46,172,217,65,290,357,187,531,719,263,295,558,532,245,775,422,273,696,495,289,780,509,191,699,425,165,586,436,132,568,845,168,1011,543,19,566,326,7,337,204,70,280,370,13,387,593,46,647,107,159,267,6414,3192,9605
