UCL_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
UCL201001,45113,125354,91520,692493,12684,967163,260,321,145,2885,68,3678,332222,4296,7465,7114,2529,353615,23636,3073,1689,5304,335,34041,29017,8844,5555,15956,521,59893,249617,107457,78973,633002,14205,1083247,51476,989,4463,704,541,58169,14899,1953,1497,6944,247,25537,41312,11937,8142,61014,1363,123758,99525,14270,7441,35614,1758,158609,12090,1988,1183,3012,202,18483,186420,3118,2279,1581,1198,194591,59655,29730,20122,263419,4056,376981,145416,31271,15177,90131,3479,285468,16080,130,414,177,75,16874,30589,5892,2691,4531,579,44278,28487,3327,1892,5610,426,39750,32062,6486,3951,14682,511,57688,13194,1358,1034,643,293,16528,18523,5367,4039,1837,277,30049,29430,4386,3248,8213,380,45653,16865,1268,1259,2137,208,21733,60184,26822,20422,189940,3176,300546,16544,1407,802,1490,235,20478,14416,1971,1411,655,118,18574,17317,1257,1038,2510,213,22338,49984,2233,1506,1393,311,55417,27935,3121,1491,1976,334,34865,99647,1172,2301,778,1260,105164,7714,2136,1462,8237,148,19692,503034,34256,28011,38106,6113,609512,23709,2060,1631,13679,217003,258085,2004668,267450,191238,1469396,263442,4196198
UCL203001,853,5196,3628,43829,912,54413,3,15,8,223,12,255,2388,62,117,309,20,2896,2202,277,159,568,37,3240,1748,596,378,1400,61,4180,7607,4757,3466,40926,974,57728,973,20,165,29,27,1217,231,70,56,317,4,679,1691,600,347,4299,110,7034,668,164,64,439,16,1351,461,66,57,182,17,777,2298,62,27,53,13,2456,1852,1314,857,15890,268,20182,2830,740,326,2956,133,6986,157,0,11,3,0,174,153,43,18,57,0,270,990,120,59,206,14,1392,297,111,64,293,9,769,229,40,30,37,12,342,373,235,177,87,3,876,1018,193,126,427,32,1791,302,51,41,80,11,485,2209,1343,996,12641,263,17454,764,69,48,87,19,986,277,46,50,44,7,425,445,51,68,171,10,747,323,16,13,35,4,391,257,45,18,45,5,367,525,10,27,11,8,575,339,131,74,482,14,1042,8499,964,733,1807,173,12174,415,87,76,1073,8456,10109,37158,10297,7182,91571,10895,157104
UCL211001,140,1054,764,12395,248,14607,0,6,0,90,0,101,169,10,25,69,0,266,168,16,18,40,4,242,257,118,61,235,10,684,1140,949,650,11107,225,14067,199,7,50,3,7,272,46,13,6,93,0,157,458,171,117,1696,23,2473,39,11,6,65,5,125,53,11,4,19,0,99,323,6,3,8,5,350,226,237,130,3959,60,4608,225,108,45,608,19,999,20,0,0,0,0,20,28,0,0,20,0,47,12,6,0,7,0,28,35,20,5,63,0,121,53,15,18,10,0,101,62,41,38,32,0,186,136,26,16,73,7,254,29,8,3,19,0,63,312,245,182,2887,45,3672,62,22,10,16,4,108,37,12,3,0,0,56,43,4,8,46,0,103,60,3,0,3,0,69,0,0,0,0,0,0,20,0,8,0,0,27,64,16,7,71,0,156,1264,181,142,370,12,1967,67,8,13,311,1912,2310,4815,1933,1355,24588,2437,35130
UCL211002,270,2486,1701,31839,683,36975,0,14,8,149,3,173,1142,39,49,322,17,1576,213,44,21,101,4,387,852,424,241,914,21,2447,3248,2376,1732,31070,673,39101,433,21,81,7,10,544,97,32,25,240,3,391,516,269,197,3041,50,4076,177,55,19,221,4,482,91,26,17,59,0,192,1005,32,23,28,7,1095,776,655,450,12752,215,14843,424,259,91,1527,30,2332,42,0,3,0,0,51,29,25,3,53,0,112,33,10,3,18,4,71,126,73,31,173,5,402,79,26,14,26,0,144,164,99,77,68,5,409,194,57,40,207,4,498,97,12,11,43,4,166,949,696,473,9187,127,11429,44,15,4,18,3,83,98,24,6,14,0,139,94,15,17,98,0,228,109,20,14,17,0,163,19,15,0,4,0,36,98,6,15,3,0,119,124,41,36,389,11,603,2312,437,355,956,39,4101,151,48,21,948,5255,6424,11595,4827,3361,67255,6724,93759
UCL211003,230,2238,1420,33593,686,38169,0,9,0,202,3,212,649,36,49,492,21,1238,58,22,13,55,0,149,383,238,131,495,16,1256,2569,2149,1431,32228,727,39105,329,9,77,18,12,451,69,27,7,254,7,365,403,245,110,3356,62,4181,117,50,22,154,3,352,47,28,11,37,0,118,758,21,20,29,4,833,580,541,296,11621,214,13251,339,238,93,1874,56,2592,53,0,3,4,0,63,39,10,3,27,0,80,22,0,3,19,0,47,75,37,13,104,7,237,116,38,12,25,0,190,135,111,68,81,3,395,106,40,20,120,0,280,65,7,12,47,0,131,704,547,367,8542,150,10317,32,4,4,19,0,57,91,30,7,19,3,161,69,10,11,85,9,189,169,17,9,15,0,211,23,3,3,10,0,41,99,9,10,3,0,122,89,47,24,296,7,462,2552,346,235,904,49,4084,114,36,34,953,5723,6853,9354,4164,2635,68974,7255,92379
UCL211004,666,1897,1260,13378,345,17544,11,3,3,89,3,102,601,15,44,69,20,755,333,46,46,62,0,493,312,119,73,208,4,711,3284,1504,1202,10783,339,17107,935,15,108,9,4,1075,108,25,12,91,0,242,545,156,114,1066,30,1906,356,101,52,240,3,756,123,16,17,38,8,203,1496,41,22,29,11,1602,671,382,223,3295,74,4641,827,297,160,923,26,2236,53,0,0,0,0,62,132,35,3,31,6,206,269,45,19,53,4,401,1488,358,259,912,31,3046,372,35,34,16,7,461,273,77,54,41,7,453,382,42,36,145,6,619,83,7,3,26,0,123,840,358,288,2500,65,4046,362,28,30,50,4,467,83,8,3,10,0,103,295,27,20,35,3,390,245,16,9,15,0,286,194,39,25,31,0,290,331,6,24,12,7,373,88,26,16,100,4,234,6200,402,294,460,118,7477,374,48,35,317,3362,4134,18906,3670,2685,24937,4258,54456
UCL212001,178,756,447,10729,300,12409,0,14,3,181,10,212,372,7,10,49,3,449,80,15,0,66,3,174,113,35,29,108,4,281,953,634,450,10155,305,12503,190,7,34,5,0,241,31,3,0,77,0,117,158,65,48,1472,29,1768,217,50,12,138,12,434,59,10,3,26,9,113,350,4,4,3,3,365,152,138,88,2669,60,3097,830,204,98,1105,55,2294,65,0,0,0,0,65,8,4,5,3,0,23,12,0,4,0,0,11,21,23,3,33,0,78,39,11,10,22,0,86,54,21,25,24,0,125,48,20,13,58,0,141,13,3,7,8,0,24,236,150,99,2625,57,3176,23,6,0,11,0,34,30,3,3,3,0,41,24,4,4,26,0,60,53,0,3,0,0,64,339,30,13,27,3,411,148,0,3,0,3,156,32,9,5,89,0,134,1801,166,107,285,39,2398,110,14,17,265,2542,2941,5910,1493,935,21838,3267,33444
UCL212002,450,991,673,13045,304,15453,0,12,0,260,6,283,469,7,23,97,11,607,36,24,5,33,0,94,271,83,59,253,4,669,1411,981,595,12580,314,15880,325,3,54,3,10,396,35,13,5,109,0,160,203,82,68,1087,24,1465,246,39,13,172,7,481,32,7,8,14,0,55,1060,22,9,14,10,1111,266,234,166,4489,66,5223,1374,302,136,1622,74,3507,31,0,3,0,0,32,12,4,0,3,0,23,119,13,9,83,3,232,22,21,10,56,4,108,67,9,9,44,0,131,96,44,35,35,0,209,57,16,4,61,0,142,16,0,0,14,0,32,319,247,145,3418,72,4197,30,0,8,8,0,41,54,3,7,8,0,68,73,15,6,38,0,126,123,0,3,9,0,133,359,50,18,12,3,442,26,3,0,0,0,35,33,11,6,101,0,154,4539,210,158,477,76,5459,230,16,19,426,3362,4050,11034,2065,1366,27566,4166,46199
UCL212003,192,1425,944,10506,138,13201,0,3,0,48,3,53,257,17,34,55,3,364,180,46,10,70,5,316,259,105,53,171,0,591,2354,1176,908,8957,153,13551,272,19,46,7,4,337,68,5,5,69,0,150,393,123,104,867,16,1499,171,62,24,151,5,406,76,15,5,40,0,137,385,29,15,10,0,444,643,351,212,3633,50,4888,713,248,129,893,22,2004,12,0,3,3,0,21,55,12,9,24,0,96,44,18,3,15,0,84,501,145,104,375,6,1126,106,17,7,12,0,147,172,56,69,34,0,332,204,40,24,121,3,400,47,3,4,12,0,68,695,321,247,2418,40,3718,67,12,4,3,0,86,101,21,3,4,0,138,57,6,8,28,0,107,98,3,5,7,0,112,41,6,3,9,0,65,76,3,10,0,0,97,79,13,18,75,0,187,1260,236,172,318,29,2012,66,9,20,189,1433,1712,7792,2604,1865,20373,1797,34425
UCL212004,142,836,523,8416,179,10099,0,3,0,30,0,37,212,8,9,26,0,258,30,3,0,12,4,47,381,121,92,298,9,909,1092,684,510,7400,141,9828,130,7,40,4,4,189,32,8,6,49,0,95,227,84,65,706,22,1106,133,27,9,82,4,254,25,8,0,20,0,57,246,3,3,8,0,268,280,185,127,2247,40,2874,425,121,41,575,20,1174,18,0,0,0,0,18,0,0,0,5,0,4,6,0,0,4,0,6,122,45,25,157,0,343,61,24,17,10,0,116,64,41,22,22,0,145,115,17,11,65,0,210,20,3,4,11,0,35,440,225,180,1895,47,2787,4,3,0,3,0,12,34,10,3,0,0,53,56,7,0,34,3,106,63,3,3,3,3,76,5,0,0,3,0,10,46,0,3,0,3,52,36,27,9,55,0,128,782,108,65,275,14,1249,50,14,7,254,1848,2173,4436,1547,1042,16223,2235,25485
