UCL_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL201001,1427,2336,7493,9403,13683,23317,43902,44212,23452,169225,344,1492,4762,5299,6835,7874,7821,9022,3831,47278,11997,20078,48730,36686,33327,30092,28901,25188,17049,252054,107797,314913,694827,600369,544861,438612,317109,184951,85137,3288573
UCL203001,103,136,317,404,501,958,1922,2032,1351,7727,11,40,122,137,147,130,156,164,86,995,503,751,1430,1196,1458,1429,1557,1510,1107,10943,4321,11881,21658,19532,19867,18451,14379,8759,4591,123449
UCL211001,14,31,66,80,97,200,361,352,181,1386,0,7,24,34,43,29,26,14,3,165,133,195,355,314,302,362,306,260,88,2317,991,2329,4975,4336,4445,4184,3100,1583,614,26551
UCL211002,68,73,165,165,271,519,1079,1096,714,4143,3,17,25,49,54,34,22,24,10,248,340,505,839,755,853,873,1003,854,508,6533,2681,7185,12484,11368,11620,10866,8888,5172,2320,72593
UCL211003,52,93,219,211,302,508,1030,1104,750,4275,3,19,88,86,93,73,47,29,7,440,373,427,878,761,874,912,960,975,676,6835,2607,6850,12275,11003,11175,11081,8624,5168,2494,71281
UCL211004,49,49,189,172,232,448,712,344,144,2351,5,14,61,81,99,70,73,45,13,455,220,304,694,568,529,504,477,286,111,3701,1602,3695,8560,7557,6362,5969,4134,1484,517,39871
UCL212001,32,47,107,116,177,303,571,573,309,2238,11,15,47,60,69,60,56,47,13,380,150,229,468,309,401,440,499,432,271,3200,957,2166,4596,3856,3994,3977,3418,2088,922,25977
UCL212002,37,64,189,217,230,348,659,680,377,2807,13,35,121,152,124,80,70,61,40,695,217,216,566,507,565,569,589,484,277,3991,1226,2731,6114,5631,5838,5299,4255,2584,1171,34852
UCL212003,11,14,42,44,70,126,315,278,185,1080,9,5,10,17,8,16,18,17,4,97,95,111,230,256,225,260,232,163,93,1673,1048,2327,4344,4659,5031,4227,2704,1338,594,26261
UCL212004,11,19,52,60,68,159,313,343,184,1211,0,0,13,8,10,16,14,21,11,95,113,130,265,208,274,301,304,299,183,2079,610,1624,3572,3109,3234,3081,2337,1424,608,19594
UCL212005,13,18,49,53,62,177,402,453,325,1560,0,3,24,16,16,11,15,0,0,93,136,139,241,250,337,349,397,385,225,2467,841,2009,3739,3530,4042,3915,3138,1916,952,24080
UCL213001,10,11,19,25,53,112,206,157,74,666,0,0,4,9,5,5,4,6,0,39,47,51,118,167,150,139,166,133,86,1054,452,1028,2201,2329,2352,2035,1611,724,305,13030
UCL213002,4,12,26,32,53,93,213,219,142,787,0,3,0,0,11,9,15,3,0,45,76,89,161,139,165,205,255,246,179,1508,313,729,1461,1322,1474,1653,1637,1114,542,10248
UCL213003,8,8,26,43,40,79,220,254,179,860,0,5,8,16,29,41,20,3,3,130,36,55,112,83,116,137,188,164,100,995,284,733,1410,1273,1449,1537,1284,897,453,9322
UCL213004,10,4,23,21,33,63,168,166,139,623,3,3,4,12,7,3,7,3,3,44,39,46,91,111,132,115,134,138,53,868,306,623,1503,1309,1405,1430,1351,820,332,9075
