UCL_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
UCL201001,2089,34110,32202,20695,14042,8158,2569,608,114480,510,6125,7949,7276,6335,3100,750,165,32213,25688,93384,71025,47356,33125,18249,6771,2214,297807,12054,35626,30620,25714,19266,13105,5434,1862,143672,26200,59427,52563,55927,42867,28097,15981,5073,286141,2628,2326,1860,1460,915,533,199,38,9968,1831,3593,3893,4067,3717,2605,1265,447,21417,30661,65350,58314,61457,47502,31232,17441,5564,317520,1157,2851,2559,2069,1768,1443,883,335,13058,20402,27163,21269,18895,16153,14437,11230,5914,135460,92558,264606,223939,183462,138189,89726,45081,16668,1054215,3052,43210,32149,18283,11043,4917,1116,289,114061,1439,13292,14651,13035,9862,4224,1079,222,57799,35113,118723,88232,54357,33976,17135,6446,2117,356097,15671,41578,40180,36235,25212,14338,6117,2231,181553,18032,33154,28294,28046,17776,7787,2669,1123,136877,2993,3090,3361,3224,2404,1313,329,115,16827,2435,4667,6052,7265,5936,4191,1797,961,33299,23456,40918,37707,38534,26110,13294,4784,2197,187003,1150,2772,2439,2358,2322,2187,1203,601,15026,19462,25682,19561,18945,18561,19172,16644,12210,150237,99339,286168,234917,181747,127088,75266,37386,19861,1061779,5144,77319
UCL203001,51,585,552,461,352,208,57,12,2269,18,204,218,210,213,97,20,10,979,706,2101,1731,1110,973,527,189,65,7403,347,972,904,929,796,600,236,80,4866,1526,3082,2395,2522,2226,1554,854,297,14455,152,119,73,72,57,33,7,4,516,72,134,139,129,162,132,49,26,836,1749,3338,2603,2719,2445,1714,913,329,15808,29,71,69,42,55,46,37,17,371,864,763,699,799,750,757,640,372,5648,3757,8034,6777,6268,5586,3953,2093,875,37337,56,673,634,382,272,128,27,11,2182,51,461,477,433,366,155,46,11,1994,918,3139,2436,1546,1203,657,246,66,10215,518,1375,1439,1347,1170,645,286,150,6936,1275,1903,1474,1540,1050,439,130,53,7871,214,180,157,153,111,51,18,3,887,132,185,213,269,229,152,70,34,1281,1623,2270,1845,1959,1394,643,221,95,10038,32,78,42,59,67,77,50,22,433,829,732,639,788,898,987,1039,805,6725,4030,8716,7518,6515,5369,3291,1918,1154,38521,105,1255
UCL211001,0,48,52,63,40,33,3,0,239,0,23,39,42,39,27,11,0,186,41,228,238,146,146,90,13,11,919,43,201,216,242,226,128,32,6,1096,434,914,692,657,528,361,159,49,3789,53,28,21,18,7,7,0,0,137,22,43,29,40,33,36,12,3,207,504,985,740,712,573,403,169,50,4131,7,11,16,8,12,8,7,0,74,220,187,175,160,202,153,102,49,1255,812,1678,1472,1384,1238,847,342,120,7897,13,97,82,66,39,9,3,0,300,15,93,78,89,64,21,5,0,358,88,514,405,217,202,118,32,11,1592,107,347,324,311,243,143,43,18,1544,361,622,410,436,298,99,20,7,2251,65,70,54,63,34,15,0,3,309,26,55,74,72,82,52,14,4,368,453,742,539,561,413,170,32,21,2923,3,18,10,14,16,16,12,3,88,194,192,166,176,211,230,173,60,1414,870,2006,1602,1436,1190,707,304,110,8219,10,142
UCL211002,19,244,264,270,218,147,51,6,1221,6,90,152,177,181,102,20,0,724,279,1080,958,632,489,355,118,28,3944,149,489,514,514,478,323,132,29,2623,993,1928,1427,1376,1273,927,487,136,8552,106,79,48,34,28,14,7,0,318,40,69,90,90,79,57,33,9,462,1135,2081,1558,1500,1382,1005,519,152,9331,14,24,25,31,31,35,22,8,191,528,472,419,440,418,496,375,184,3330,2131,4479,3899,3561,3186,2457,1249,408,21368,42,297,321,277,237,90,27,0,1297,20,257,327,326,276,119,33,6,1361,476,1700,1383,893,734,435,175,51,5846,282,679,739,806,612,419,203,53,3787,779,1250,967,887,595,238,70,27,4820,185,138,112,90,95,42,10,6,672,66,121,124,133,115,87,54,14,706,1029,1514,1201,1112,799,363,132,45,6198,10,25,29,40,44,48,25,18,242,536,436,398,483,558,657,620,361,4049,2399,4910,4402,3936,3260,2128,1208,544,22787,60,545
UCL211003,11,136,184,200,165,129,35,8,870,8,89,142,134,128,92,24,5,620,235,936,795,498,487,275,105,25,3347,100,428,452,446,490,353,148,45,2461,978,2058,1548,1598,1433,948,508,132,9199,120,72,58,45,29,19,0,5,354,52,90,79,74,78,76,29,15,481,1146,2213,1687,1718,1544,1045,534,152,10031,19,38,28,30,29,43,24,11,215,528,479,420,464,512,510,409,234,3557,2051,4322,3700,3495,3348,2438,1272,471,21101,55,277,231,194,161,80,9,5,1007,25,250,320,261,253,115,26,5,1262,425,1617,1280,793,660,371,150,54,5349,252,637,676,707,642,417,159,74,3568,795,1235,969,858,691,274,74,33,4928,112,155,109,104,97,34,0,3,626,80,142,151,149,175,98,47,20,859,989,1540,1229,1111,957,410,118,54,6409,20,32,31,25,46,50,29,18,248,536,456,430,473,558,627,665,510,4249,2307,4803,4203,3567,3287,2072,1156,711,22097,65,412
UCL211004,5,114,138,45,45,23,8,0,373,0,20,29,20,45,18,0,0,129,84,343,327,153,122,76,11,5,1128,107,376,327,210,208,110,27,0,1376,566,1330,1015,854,775,525,172,35,5264,68,51,43,28,15,7,0,0,212,33,74,81,68,47,46,10,0,353,672,1455,1138,947,832,573,186,35,5835,12,24,25,27,18,19,5,0,139,349,371,320,290,295,246,119,26,2012,1230,2708,2302,1689,1564,1069,365,70,10995,17,129,113,46,30,8,3,0,345,14,87,77,58,40,13,3,0,295,133,681,516,230,178,69,15,3,1815,219,622,520,347,244,103,20,6,2091,441,946,698,492,353,106,15,14,3061,85,97,75,56,48,18,0,0,381,67,114,106,92,99,38,3,0,527,592,1156,877,641,495,171,25,11,3967,10,28,27,22,22,19,8,6,137,330,381,302,294,305,303,161,68,2141,1313,3083,2433,1634,1314,688,234,94,10795,16,241
UCL212001,0,28,53,23,36,15,0,0,159,4,17,25,27,28,14,7,3,118,39,245,205,144,127,68,28,3,864,37,151,139,143,147,87,33,5,747,302,690,496,485,426,298,138,39,2871,57,35,29,15,13,4,3,0,153,27,26,34,41,31,25,14,0,183,382,751,559,537,466,325,150,39,3212,10,10,13,8,5,12,5,5,70,259,279,191,213,234,255,188,90,1711,733,1474,1182,1104,1047,779,411,150,6886,11,57,50,34,24,12,3,0,200,20,53,68,69,40,14,3,0,272,102,466,331,233,184,80,41,10,1450,79,226,250,240,218,132,42,7,1205,276,452,314,317,211,85,24,3,1679,81,65,40,28,19,15,0,0,258,35,51,42,44,55,28,3,3,257,394,566,402,395,279,127,33,8,2199,9,7,16,11,11,16,6,9,75,246,243,177,208,252,320,293,182,1911,857,1623,1296,1187,1012,691,423,218,7308,11,92
UCL212002,10,101,82,79,54,15,9,3,356,5,42,49,67,55,19,7,0,234,61,345,267,193,175,115,23,11,1187,60,231,207,191,175,133,44,20,1064,463,868,679,733,591,401,189,47,3974,34,25,26,23,18,8,0,0,139,15,29,46,35,30,26,19,5,202,511,927,755,788,641,442,208,54,4312,4,15,17,6,14,9,14,3,96,284,313,279,327,294,265,216,90,2069,943,1975,1651,1643,1413,1006,525,181,9328,21,122,83,60,44,14,6,0,351,13,111,126,96,89,34,12,0,475,156,671,445,302,255,130,45,9,2013,131,381,383,367,275,135,58,29,1757,315,527,475,420,324,112,30,3,2202,62,54,40,57,35,29,6,3,293,39,61,57,65,46,35,10,7,331,418,648,570,539,408,176,46,19,2822,8,42,24,16,10,17,10,7,137,281,308,264,279,309,343,286,207,2276,1027,2269,1904,1653,1392,844,460,277,9829,35,226
UCL212003,3,48,61,75,63,24,6,0,280,6,21,43,33,42,21,4,0,179,89,266,271,207,184,85,29,8,1151,81,169,240,258,211,118,55,9,1144,359,859,785,801,635,391,147,63,4040,39,23,20,7,15,3,0,0,109,12,27,32,44,55,35,7,9,221,414,904,835,854,698,435,160,65,4372,8,10,18,18,19,10,0,3,84,133,136,148,129,141,129,73,31,921,737,1566,1625,1584,1361,811,335,120,8133,9,70,88,68,46,10,3,0,296,13,89,94,102,81,32,7,0,424,161,469,505,282,228,102,43,13,1802,152,356,368,363,241,110,54,13,1664,234,431,388,402,261,81,20,10,1834,37,46,36,37,42,16,0,0,218,23,40,67,80,57,48,17,3,341,304,521,496,520,363,138,35,11,2388,3,14,15,15,24,16,6,5,102,141,123,145,160,159,158,122,67,1066,779,1637,1718,1507,1136,577,277,117,7746,8,120
UCL212004,6,35,65,39,44,17,3,0,211,0,27,19,29,16,16,0,0,107,51,219,188,125,118,59,22,4,787,31,127,129,144,100,67,39,8,648,269,658,515,579,471,301,157,36,2979,35,21,7,4,12,0,0,0,83,6,29,17,37,25,23,8,3,142,317,702,538,622,504,321,159,41,3206,0,4,11,16,9,13,3,0,51,143,137,127,157,171,155,129,66,1087,545,1252,1077,1134,960,647,362,126,6102,7,53,49,41,37,16,0,3,205,9,59,69,61,42,17,3,0,265,104,398,289,182,158,75,28,3,1240,84,244,232,181,154,70,40,9,1016,215,421,277,240,187,69,17,8,1426,33,43,24,26,22,3,3,0,151,21,39,37,34,45,16,8,0,207,272,508,333,301,243,92,22,10,1780,3,6,11,15,7,7,3,0,52,144,164,138,151,187,222,208,138,1364,627,1427,1113,929,840,507,315,162,5921,14,85
