UCL_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
UCL201001,22323,82907,68489,72587,205537,259231,121511,190585,21512,1044686,129,538,516,559,732,558,230,240,41,3531,62,43,95,86,128,289,114,208,3,1035,1346,5064,4837,5192,12373,9212,3732,3147,356,45256,321,235,491,632,1919,1522,549,478,30,6173,539,2974,2786,2710,3365,4024,1350,1608,203,19566,889,2242,2865,3060,6850,5866,2213,2206,159,26348,3753,29764,18931,16755,17743,11146,5660,5814,1214,110789,1836,22780,12197,8737,6872,4923,3057,3986,989,65380,1014,1814,2496,3284,5760,4594,1896,1740,210,22807,670,1619,1653,1791,3569,3796,1653,1844,135,16736,2280,1953,4386,4932,9833,11926,3818,4192,287,43599,556,1824,1859,1791,3548,3704,1654,1793,141,16871,3034,9071,9545,9998,14662,17207,7162,8954,506,80130,1176,6711,6144,4985,6619,5118,2062,2259,384,35458,3128,3387,5787,6694,13018,8491,4444,3451,316,48716,4382,18868,17741,17150,20389,15204,9574,14623,842,118773,9031,22136,33035,40442,34948,25326,9160,10334,1784,186197,704,5328,2681,2544,2342,2303,1161,1514,184,18765,1009,6651,5081,5144,6406,3994,1983,1994,348,32605
UCL203001,1039,3318,2162,2578,6819,8544,4306,6386,714,35868,12,34,21,22,19,23,10,18,0,163,8,0,3,3,3,0,0,4,0,18,46,182,164,136,218,242,80,70,14,1151,9,22,28,22,100,48,17,14,0,268,22,130,80,87,93,103,30,33,12,595,16,75,65,64,107,71,39,26,0,462,223,1366,860,801,747,487,252,233,44,5010,121,1250,523,419,262,170,119,145,53,3070,22,62,68,78,85,74,39,40,4,475,17,65,56,46,73,46,27,17,3,342,81,64,157,148,286,227,108,66,0,1149,16,42,52,52,122,84,32,48,3,455,56,235,231,231,370,269,128,139,12,1663,36,324,232,175,192,86,41,60,17,1157,153,223,264,282,474,357,166,136,21,2076,214,707,765,716,867,553,362,559,32,4773,519,1065,1741,2098,1497,1007,423,370,70,8799,23,185,72,72,56,33,20,27,9,503,39,272,182,220,192,119,73,50,16,1167
UCL211001,244,573,382,580,1679,1879,1242,1614,146,8339,3,12,7,11,5,0,0,0,0,37,0,0,0,0,0,0,0,0,0,3,14,46,37,27,69,81,29,24,0,334,0,3,3,3,3,3,0,0,0,16,4,31,18,32,33,25,9,15,3,171,3,7,11,16,28,18,9,4,0,94,40,262,199,216,190,74,43,48,8,1085,36,258,117,112,67,39,32,46,14,719,3,16,17,20,47,16,12,12,3,149,3,6,4,7,17,13,3,3,0,54,13,13,23,37,56,30,11,13,0,187,0,10,8,17,29,16,11,10,0,97,10,42,37,46,61,41,24,15,0,273,10,57,44,53,52,26,17,17,3,280,37,31,60,106,196,112,65,51,7,679,49,105,131,151,186,102,75,105,8,912,120,211,336,510,364,239,106,109,20,2007,5,27,11,9,10,3,0,3,0,69,4,58,35,54,56,33,20,7,6,268
UCL211002,571,1861,1178,1573,4101,4530,2723,3668,392,20591,3,35,20,16,4,12,9,3,0,101,0,3,5,8,7,3,11,13,0,42,31,146,94,86,191,111,71,67,12,807,3,3,8,11,20,23,4,9,0,91,13,77,65,60,72,56,7,9,3,366,4,33,29,26,38,24,10,9,0,183,135,777,477,454,394,194,101,93,30,2654,78,816,312,241,174,74,63,112,35,1902,14,41,43,59,64,34,22,17,0,292,28,37,30,30,79,51,50,28,3,324,29,24,50,61,96,69,25,17,3,377,5,30,23,19,70,36,13,24,0,231,36,155,145,146,191,149,75,72,4,977,17,155,97,88,85,50,13,30,11,544,92,109,167,196,293,204,93,88,8,1255,133,424,456,495,585,328,252,385,27,3085,346,591,1012,1306,898,694,241,244,35,5364,19,121,62,72,48,29,21,30,5,405,26,159,98,122,106,60,51,32,9,661
UCL211003,677,1850,1133,1603,4286,4358,2672,3616,377,20572,8,29,25,25,32,22,13,13,7,173,4,4,4,4,10,20,6,14,0,65,45,143,98,119,296,146,71,59,9,987,7,7,11,24,30,38,9,7,0,131,5,86,46,56,71,55,21,31,8,377,12,43,17,18,37,16,10,16,0,172,129,866,480,444,401,168,116,76,22,2706,63,689,298,243,145,99,61,89,27,1715,13,46,45,38,35,32,16,18,0,241,14,35,25,21,55,24,12,12,0,195,61,53,122,118,297,135,72,48,7,910,3,24,24,27,57,44,17,24,0,221,35,122,84,126,184,110,54,65,6,796,32,173,121,105,110,46,28,19,6,642,90,81,146,163,307,182,82,85,16,1155,122,404,411,406,444,293,194,295,31,2594,379,585,999,1423,935,623,251,231,42,5462,23,101,41,39,29,25,11,17,0,282,29,151,105,138,125,65,49,30,9,698
UCL211004,319,744,567,793,2787,3057,1446,2009,315,12035,3,10,3,7,18,5,0,4,0,52,0,0,0,0,3,3,0,0,0,10,19,51,44,53,140,88,21,24,0,442,3,0,10,7,30,21,0,7,0,77,4,32,31,44,40,53,18,17,9,251,9,19,21,32,77,50,22,11,0,244,69,364,264,265,300,138,58,44,13,1516,32,292,116,133,82,72,28,23,12,782,24,50,61,72,153,138,45,53,4,593,4,14,11,11,33,15,14,3,0,101,35,15,44,44,98,87,20,10,3,357,11,3,19,15,48,37,18,12,0,158,22,38,41,59,96,92,31,17,6,397,16,84,67,75,99,53,15,12,6,430,36,62,65,81,164,119,38,34,4,589,48,114,145,210,239,139,65,93,5,1057,87,218,326,470,462,270,70,115,18,2042,9,61,23,28,20,15,9,14,3,178,8,67,46,56,66,26,22,12,3,317
UCL212001,189,554,355,464,1465,1516,806,1269,156,6780,6,27,24,30,38,29,9,14,3,186,3,0,0,3,0,0,3,0,0,8,5,35,11,34,42,50,17,9,3,206,3,0,3,4,10,9,0,0,0,29,3,15,15,21,8,17,8,10,0,90,0,13,5,13,30,20,7,4,0,94,45,290,153,194,201,80,41,33,10,1051,14,233,114,91,86,29,24,51,9,645,3,13,21,18,29,15,3,11,3,118,3,17,0,9,14,9,6,0,0,63,10,9,12,23,32,32,4,15,0,130,0,8,6,13,29,6,8,14,0,92,7,32,33,39,73,25,14,19,3,258,15,58,39,44,91,45,24,18,6,344,32,28,53,55,114,80,26,22,8,414,29,94,112,162,172,93,83,126,11,874,88,117,247,359,396,193,73,91,8,1568,0,21,3,11,6,6,3,3,0,60,3,28,21,37,46,32,7,8,4,187
UCL212002,299,761,483,694,2059,2277,1250,1677,243,9751,6,24,37,33,44,38,26,23,5,233,0,0,0,0,0,0,0,0,0,0,27,50,42,54,96,80,38,34,8,423,14,4,8,9,34,39,8,7,0,126,7,31,34,24,40,32,7,6,0,176,0,14,24,19,23,23,13,0,4,112,50,358,184,271,224,88,77,45,15,1308,18,275,96,101,74,53,32,47,10,703,8,23,19,20,26,20,10,11,0,134,3,10,11,16,28,13,6,12,0,93,11,12,18,27,49,23,11,14,0,177,8,13,11,19,34,15,10,5,0,107,12,48,38,55,118,67,22,24,4,393,14,72,40,56,67,56,18,12,0,343,25,38,51,75,108,72,34,28,4,436,39,113,158,177,233,144,112,148,7,1127,151,219,431,631,459,340,101,124,37,2490,3,29,15,10,7,5,5,4,0,73,14,69,52,61,82,27,24,19,4,350
UCL212003,196,607,394,541,1740,2287,1174,1727,138,8806,0,3,3,8,6,8,3,0,0,26,0,0,0,3,7,0,0,0,0,11,5,38,40,38,82,57,22,11,0,286,3,3,7,4,13,20,9,3,0,63,6,40,24,27,41,45,9,13,0,205,6,23,20,25,40,32,14,9,0,164,39,314,222,168,155,96,42,38,13,1091,23,249,88,76,65,29,32,20,8,599,23,18,71,83,137,97,28,34,8,499,3,11,12,10,19,19,7,9,0,91,19,16,46,56,84,72,19,33,4,343,3,9,25,21,34,26,12,16,0,133,16,64,57,76,100,68,32,24,0,437,6,74,44,47,55,28,9,14,0,283,27,46,86,112,159,112,47,31,3,622,40,114,189,192,211,108,102,117,6,1084,93,182,322,356,300,197,59,83,15,1607,8,50,19,20,16,18,6,6,4,149,13,70,53,45,55,32,19,18,6,304
UCL212004,209,428,233,322,1212,1250,829,1181,103,5763,0,8,3,9,0,4,3,0,0,32,0,0,0,0,7,3,3,0,0,18,7,26,12,16,20,17,9,3,0,111,3,4,12,7,28,17,5,8,0,87,0,19,16,18,15,20,12,6,0,108,4,0,8,12,12,11,0,3,0,44,41,242,127,129,109,55,34,32,9,769,13,189,65,68,43,28,21,22,4,456,3,15,9,10,16,11,12,3,0,78,0,8,9,5,16,17,0,0,0,61,8,6,23,22,38,32,4,8,0,149,3,8,15,9,25,4,6,11,0,73,6,25,21,24,35,37,10,14,0,174,11,46,34,22,27,14,3,6,3,163,60,55,96,111,175,86,40,24,5,648,29,103,88,97,108,59,72,104,4,660,78,151,277,360,239,162,72,74,14,1431,4,33,7,6,4,4,3,4,0,63,6,57,24,27,38,24,11,14,3,203
