UCL_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
UCL212005,243,685,411,573,1412,1536,938,1221,127,7142,7,20,13,7,8,10,6,5,0,78,0,0,0,0,0,0,0,0,0,0,9,42,38,43,102,71,26,18,4,348,0,3,6,5,10,20,5,3,0,52,3,21,8,10,9,15,0,8,0,75,3,17,14,16,35,17,18,7,0,121,55,335,148,191,165,73,50,34,12,1058,22,293,96,120,62,34,23,46,9,709,6,16,6,10,10,7,4,9,0,78,0,14,10,8,18,9,0,0,0,58,8,13,10,27,28,24,10,10,0,128,3,17,10,10,22,9,3,5,3,89,7,33,37,46,74,37,22,22,4,271,12,77,40,34,32,13,10,12,0,225,33,40,59,66,92,57,13,19,0,386,35,110,148,145,140,111,71,118,12,893,125,198,380,482,295,232,70,74,16,1875,4,30,13,17,19,8,9,0,4,104,7,83,30,33,48,25,6,11,4,244
UCL213001,109,260,173,237,711,1054,548,925,88,4096,0,15,6,4,9,0,3,4,0,36,0,0,0,0,0,0,0,3,0,10,11,17,12,14,27,28,8,7,0,138,3,0,0,0,0,0,0,0,0,8,9,14,18,14,16,12,0,5,0,85,0,9,8,10,17,12,14,3,0,62,14,158,77,72,59,44,24,20,5,483,4,131,43,28,18,12,9,6,0,262,8,18,19,13,30,42,11,12,5,166,0,0,0,0,3,8,5,0,0,22,7,5,7,19,25,28,3,12,0,109,0,4,4,8,17,11,3,4,0,48,5,31,40,20,34,28,20,17,3,191,3,33,13,17,25,17,3,6,0,117,18,15,47,29,83,74,25,17,0,316,23,72,90,96,106,74,56,64,3,586,38,83,141,186,131,90,33,43,3,753,0,22,3,5,8,0,0,5,0,56,0,30,10,20,31,12,8,5,3,125
UCL213002,97,196,148,239,481,476,284,488,50,2449,3,10,0,7,7,6,3,0,0,34,0,0,0,0,0,0,0,0,0,0,10,27,25,27,46,6,13,9,3,164,0,0,3,3,3,3,0,0,0,12,0,12,4,9,5,8,0,0,0,43,0,5,5,3,8,3,3,6,0,35,21,79,60,67,42,25,12,21,3,339,12,61,37,40,30,8,10,13,5,220,0,4,3,10,4,6,0,3,0,30,3,3,3,0,10,0,0,0,0,20,0,3,8,4,8,3,3,6,0,34,0,5,8,4,4,9,3,0,0,25,3,15,14,22,16,11,4,5,3,93,3,26,16,18,8,10,3,6,0,90,10,14,7,10,26,29,8,8,0,121,16,40,43,67,62,27,19,30,0,309,39,64,129,159,95,87,29,27,3,642,0,6,3,5,3,0,0,0,0,21,6,19,14,13,15,8,9,10,0,95
UCL213003,93,228,162,222,599,474,374,493,62,2711,3,7,6,8,7,9,0,5,0,39,0,0,0,0,0,0,0,0,0,0,15,25,28,44,65,45,10,11,5,241,0,0,0,0,3,0,0,0,0,6,0,13,3,6,7,4,0,0,0,34,4,4,3,6,4,0,0,0,0,19,23,93,58,59,58,28,11,10,8,346,7,101,30,33,12,20,5,15,3,223,0,11,8,6,3,4,0,5,0,43,0,6,8,11,11,5,0,5,0,40,3,3,3,5,9,6,3,0,0,36,0,9,0,0,14,6,3,0,0,28,0,12,14,15,19,9,6,3,0,87,0,21,18,14,22,3,3,7,0,79,13,19,22,34,47,13,4,5,3,161,9,28,50,52,39,29,32,18,3,259,24,95,114,139,123,40,26,27,5,586,0,12,3,0,0,0,7,0,0,27,0,20,10,14,16,5,4,6,0,77
UCL213004,61,207,125,161,463,594,353,503,56,2533,4,12,7,10,12,12,3,3,0,59,0,3,0,0,0,0,0,0,0,4,4,17,8,6,18,10,12,4,0,86,0,3,0,0,3,0,0,0,0,7,3,20,3,9,6,14,3,3,0,64,0,3,5,6,12,14,3,3,0,48,20,61,48,48,45,23,5,9,3,266,6,70,31,36,15,19,15,14,4,213,0,7,3,3,14,0,0,0,0,29,0,10,0,5,5,0,3,0,0,24,7,3,7,9,5,9,0,4,0,47,5,3,0,3,13,9,3,6,0,45,10,25,11,11,21,14,4,3,0,112,0,23,10,15,12,7,3,7,0,78,7,15,15,17,23,17,8,8,0,116,15,52,55,63,50,27,29,46,3,334,34,77,104,129,78,42,30,15,3,514,3,6,3,0,3,3,0,4,0,22,3,18,16,19,26,6,5,7,0,122
UCL213005,93,234,157,191,523,614,317,491,52,2657,0,8,0,3,4,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,14,21,7,10,15,0,5,3,78,0,0,3,3,6,7,0,0,0,14,0,15,10,8,7,11,3,5,0,51,0,3,7,0,5,3,0,0,0,23,24,75,68,75,47,33,6,22,3,356,7,98,39,33,19,9,11,16,4,239,0,9,6,11,7,7,0,3,0,52,0,0,3,0,3,0,0,6,0,18,6,3,16,9,26,10,4,7,0,86,0,3,4,3,18,5,3,3,0,35,3,24,25,20,22,20,3,3,3,121,3,33,26,18,7,9,3,4,0,103,6,18,24,27,44,31,10,8,0,165,5,45,50,56,59,35,24,30,0,305,23,97,177,173,122,84,23,27,3,724,3,18,10,4,7,3,0,3,0,45,4,22,20,18,20,3,3,4,0,94
UCL213006,109,245,129,187,525,554,384,563,68,2763,0,11,3,7,3,10,0,3,0,30,0,0,0,0,0,0,0,0,0,0,10,21,19,21,38,24,8,13,0,141,0,0,0,0,0,3,0,0,0,3,7,5,3,11,4,13,8,4,0,53,0,0,3,7,13,7,0,4,0,36,31,100,61,85,49,52,27,13,3,423,24,101,62,55,36,31,21,33,4,371,0,10,3,9,3,3,5,3,0,44,0,5,0,3,3,0,0,0,0,18,3,3,11,9,14,9,4,3,0,59,0,4,0,0,16,4,5,5,0,32,0,18,13,11,20,13,8,7,0,94,0,29,14,13,17,5,3,7,3,87,7,16,17,28,29,16,8,7,0,127,18,42,42,47,55,48,32,41,3,320,36,66,126,183,122,90,33,35,0,696,7,18,8,12,4,6,3,3,0,64,4,18,11,18,32,12,5,6,0,107
UCL213007,111,297,175,251,770,815,448,629,74,3571,3,24,6,11,8,6,0,5,0,62,0,0,0,0,0,0,0,0,0,3,0,17,10,9,15,9,4,0,0,72,10,0,9,3,9,15,0,0,0,44,0,15,8,11,14,9,4,0,0,59,0,10,0,6,19,8,6,0,0,44,22,129,89,100,81,31,35,16,5,506,16,130,46,43,27,9,10,25,4,306,3,8,0,4,7,8,3,0,0,42,5,4,3,4,16,8,7,0,0,39,3,9,9,8,26,24,5,6,0,87,0,3,5,5,13,9,4,0,0,35,5,25,11,37,36,17,10,13,0,147,3,44,22,15,26,11,0,8,0,133,10,13,29,34,49,30,13,16,0,196,14,43,73,77,74,36,45,55,8,417,69,111,176,222,155,141,40,47,7,968,3,21,10,9,4,0,3,3,0,54,9,26,23,27,30,10,7,4,6,138
UCL213008,100,269,134,165,666,924,449,684,51,3455,0,5,5,4,4,6,0,0,0,27,0,0,0,0,0,0,0,0,0,4,10,17,12,23,21,34,10,7,0,132,3,0,4,0,10,3,4,5,0,34,0,11,9,7,13,11,0,7,0,52,3,16,3,3,11,8,3,4,0,50,24,116,85,68,87,44,18,20,7,461,9,114,37,30,25,6,8,6,3,236,0,5,7,13,27,20,11,9,0,92,0,3,0,0,12,6,0,5,0,30,6,7,23,21,31,24,10,6,0,131,0,5,3,4,17,13,8,0,0,48,4,33,20,21,33,24,11,7,0,149,3,28,20,15,28,11,3,4,7,119,15,23,29,22,56,47,16,17,0,232,17,54,54,79,68,45,34,34,3,383,40,89,144,191,123,60,20,34,7,698,7,7,6,13,4,8,0,3,0,44,5,30,13,25,24,9,3,4,0,109
UCL213009,86,224,126,178,562,736,357,499,48,2815,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,20,17,19,17,22,3,3,0,105,0,3,0,0,9,3,0,0,0,23,3,15,14,16,9,9,3,3,0,77,0,5,4,9,7,9,3,0,0,38,19,97,81,74,71,50,28,15,4,436,9,87,44,42,16,13,4,9,3,232,3,9,6,11,3,5,3,0,0,45,0,6,0,3,7,8,4,0,0,22,8,3,15,18,24,19,7,0,0,100,3,3,8,8,15,7,5,0,0,47,5,18,24,17,26,20,8,4,0,128,0,22,17,23,7,3,4,4,0,85,22,13,21,16,34,25,5,13,0,161,15,46,69,59,62,39,26,17,4,329,49,81,168,187,144,79,21,22,3,759,0,14,7,6,6,3,3,0,0,34,3,28,24,10,24,5,3,8,0,111
UCL213010,89,240,168,214,659,610,313,429,63,2777,3,5,4,13,8,3,3,5,0,34,0,0,3,0,0,0,0,0,0,7,0,8,12,8,9,9,3,4,0,60,0,3,0,0,8,11,0,0,0,27,0,9,11,5,7,8,3,0,0,39,0,3,0,0,5,0,3,0,0,16,14,119,65,78,61,25,16,9,4,397,10,99,37,24,22,12,7,13,3,230,3,6,5,8,9,0,0,7,0,43,0,7,5,4,6,3,5,0,0,20,8,3,11,9,24,13,3,3,0,75,0,3,5,3,7,3,3,3,0,31,8,18,15,7,8,14,3,3,0,71,3,24,19,13,18,3,3,3,0,79,13,33,28,32,63,23,7,16,0,221,15,55,54,60,61,33,12,19,7,309,41,99,147,175,107,61,27,22,12,689,0,18,3,9,5,0,0,0,0,33,3,21,18,19,24,11,4,0,0,97
