UCL_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
UCL201001,23,58,350,938,3290,3608,6641,4275,655,674,563,626,672,422,404,23199,17,177,827,3488,2729,9822,9719,12397,1877,3155,2297,1967,2194,1526,1136,53328,0,4,11,131,827,1512,2469,3183,549,642,751,891,1136,715,709,13538,15,221,985,7322,1917,2620,1515,602,112,97,153,114,120,42,544,16383,3,42,111,4395,2390,3069,2123,974,220,161,202,155,192,133,500,14677,784,9659,22350,32316,16417,13404,16953,15232,3724,3611,3174,2973,3065,1700,4349,149707,14,116,298,1220,1265,1840,3237,2589,760,779,793,949,1062,633,560,16124,4,16,46,386,21366,23235,9649,8724,1597,1938,2481,2418,2415,1492,2827,78584,0,7,43,72,318,244,963,1252,138,160,124,161,177,116,58,3845,385,6124,9358,24006,24827,41530,48029,39731,8073,9883,11483,11694,12651,8290,8338,264413,2573,49148,101600,136570,121826,188334,230598,243576,47823,57062,63528,66545,71191,45498,48507,1474364
UCL203001,0,0,9,56,45,56,98,98,29,21,4,8,13,10,3,451,0,0,9,18,21,34,40,84,14,42,18,21,25,23,5,347,0,0,0,3,14,19,47,169,34,28,47,27,38,28,19,477,0,6,128,281,63,56,23,3,4,0,0,0,3,0,10,587,0,0,0,39,9,19,13,7,0,0,0,3,6,3,7,114,29,591,1351,1484,533,396,470,522,98,55,99,81,57,23,205,6000,0,3,0,35,28,37,90,76,17,12,16,18,18,16,9,388,0,0,0,9,92,57,42,44,14,13,20,9,27,13,24,360,0,0,0,0,9,0,36,44,3,0,4,3,0,0,0,113,5,347,554,770,279,404,592,753,141,209,318,204,223,148,194,5132,70,2379,3697,4022,1824,2161,2907,3965,749,894,1118,967,1151,769,1039,27705
UCL211001,0,0,0,3,9,3,18,26,3,3,0,0,0,3,0,62,0,0,4,0,3,0,10,25,8,3,0,0,0,6,0,70,0,0,0,0,0,4,4,4,0,0,4,3,0,3,4,37,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,141,201,92,60,68,66,11,9,3,11,11,0,28,782,0,0,0,11,7,3,7,5,6,5,3,9,0,3,0,59,0,0,0,0,5,3,3,4,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,7,0,0,0,0,0,0,3,17,3,67,97,120,56,42,64,179,43,51,26,15,42,41,28,876,12,361,465,513,301,271,342,643,124,156,94,72,99,93,127,3673
UCL211002,0,3,3,15,16,11,74,29,11,9,0,3,9,7,3,193,0,0,0,0,8,5,9,45,10,9,12,3,3,0,3,116,0,0,0,3,0,13,25,20,3,3,3,6,14,3,6,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,5,0,0,0,4,0,0,0,0,0,0,0,14,11,273,514,585,231,141,177,155,40,36,35,26,27,9,90,2370,0,0,8,26,16,23,56,23,11,12,7,7,10,0,3,215,0,0,0,0,14,9,5,26,0,3,12,9,3,3,4,95,0,0,0,3,3,0,13,14,3,0,0,0,0,0,0,41,0,73,84,112,73,87,211,260,29,47,22,34,44,50,34,1166,22,834,1081,1084,637,623,1178,1517,267,359,303,270,316,249,354,9098
UCL211003,0,0,3,14,22,18,56,41,17,11,10,3,3,0,0,188,0,0,0,16,10,17,38,46,8,11,3,3,4,6,11,171,0,0,0,0,4,4,22,176,29,19,38,41,24,20,23,403,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,22,208,369,459,180,141,150,119,23,9,17,6,8,8,78,1799,0,0,3,25,18,10,28,19,7,3,9,3,10,0,5,144,0,0,0,0,3,6,13,20,3,3,3,4,3,10,6,74,0,0,0,0,0,7,13,15,3,0,0,3,0,3,0,39,6,39,65,82,55,50,130,399,46,54,106,64,78,49,66,1297,44,472,658,815,534,528,967,1546,254,216,339,254,288,188,350,7454
UCL211004,0,0,3,6,12,21,29,35,6,3,3,4,0,0,3,127,0,0,9,3,15,33,48,94,15,11,3,9,10,4,0,246,0,0,0,4,7,8,21,38,9,5,7,5,4,5,9,119,0,0,3,55,6,30,22,19,0,0,4,0,0,0,4,148,0,0,0,34,14,14,9,3,0,0,0,0,0,0,0,75,3,143,423,692,239,155,89,107,8,14,11,17,5,8,69,1974,0,0,3,9,3,3,19,16,8,7,5,5,3,3,0,85,0,0,0,3,36,55,36,55,11,7,14,7,4,5,16,243,0,0,0,0,3,0,16,24,0,0,3,0,5,0,0,51,0,55,86,327,208,416,885,663,105,84,126,113,112,47,88,3328,7,561,1068,1694,961,1313,2201,2529,374,384,410,429,367,180,432,12901
UCL212001,0,0,0,0,7,3,9,15,3,3,3,0,3,0,0,51,0,0,3,0,3,4,12,12,3,12,9,3,3,0,0,74,0,0,0,0,0,3,0,14,3,7,4,0,0,9,5,51,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,67,38,50,45,14,10,0,0,0,4,0,6,228,10,60,98,169,43,42,42,38,9,4,10,10,23,16,27,585,0,0,0,3,3,3,5,9,4,0,0,3,4,0,0,39,0,0,0,0,28,31,26,28,0,3,4,4,11,3,3,133,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,12,4,23,41,45,61,82,180,205,54,58,57,54,58,26,72,1014,33,300,398,423,265,338,559,647,159,183,205,166,225,183,270,4344
UCL212002,0,0,0,0,3,0,29,34,5,5,0,18,8,7,0,104,0,0,0,0,4,12,24,40,4,15,4,12,17,5,3,135,0,0,0,0,0,7,18,13,0,0,0,0,0,0,3,52,0,6,23,16,3,6,3,0,0,0,0,0,0,0,0,56,0,0,0,42,32,48,49,12,0,0,0,5,0,6,10,205,8,91,196,195,47,28,54,41,27,17,7,10,4,0,31,762,0,3,0,4,3,3,18,10,0,3,3,3,5,7,0,63,0,0,0,0,5,5,3,6,0,0,0,4,0,0,0,27,0,0,0,0,0,0,3,19,0,0,3,3,7,0,0,33,3,31,41,38,25,79,493,582,95,107,227,140,158,79,86,2178,26,425,629,512,269,428,1328,1740,306,339,505,435,400,232,304,7868
UCL212003,0,0,3,12,14,5,33,47,10,7,0,3,8,0,5,150,0,0,0,11,0,15,7,7,3,6,10,3,3,3,4,79,0,0,0,0,4,7,9,5,0,6,5,3,5,0,5,48,0,0,3,6,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,12,9,107,309,471,232,167,152,90,22,33,13,4,16,5,45,1663,0,0,0,8,11,7,24,9,0,3,3,3,0,4,0,71,0,0,0,0,9,5,6,12,3,4,7,6,5,3,0,63,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,44,67,119,80,81,74,56,9,8,28,15,3,0,19,601,9,384,691,934,583,590,773,584,138,124,107,107,102,48,160,5348
UCL212004,0,3,0,0,7,3,16,36,4,8,4,3,0,3,3,89,0,0,0,0,0,5,12,10,7,5,10,0,3,0,0,59,0,0,0,0,3,0,7,7,0,3,5,0,0,0,3,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,161,171,180,88,39,43,37,11,5,4,12,4,6,29,783,0,0,0,8,0,3,3,7,0,3,0,0,0,0,0,29,0,0,0,3,7,6,4,7,0,3,0,0,0,3,0,29,0,0,0,0,0,0,3,9,0,3,0,4,0,0,0,18,0,29,35,49,26,26,73,124,8,6,7,16,5,13,13,428,4,428,424,346,262,207,328,457,67,69,70,93,69,52,107,2990
