UCL_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
UCL213016,24,136,614,1009,818,435,54,6,0,3101,135,102,88,129,121,172,94,5,0,843,6,7,24,24,29,30,13,0,0,137,4,11,17,14,13,4,0,0,0,67,173,252,739,1175,981,644,163,16,0,4144,11,15,22,18,25,20,0,0,0,111,32,8,8,4,3,6,4,0,0,67,41,26,26,21,29,27,4,0,0,175,213,273,769,1198,1013,667,167,16,0,4322,262,49,61,66,72,232,540,273,84,1641,23,24,37,61,57,51,45,18,8,325,497,351,864,1327,1139,957,754,310,98,6289,16,68,412,380,432,210,24,0,0,1543,180,138,323,619,510,332,74,3,0,2184,11,8,70,45,31,22,8,0,0,197,4,4,13,6,11,10,3,0,0,55,216,220,814,1049,986,578,109,4,0,3976,6,10,14,6,19,4,0,0,0,56,40,12,19,22,19,13,0,0,0,121,44,20,30,36,42,14,0,0,0,184
UCL213017,71,210,627,650,719,505,63,9,0,2857,173,77,91,107,113,152,81,11,5,808,11,12,22,13,28,26,16,3,0,129,4,17,23,12,21,14,5,4,0,94,256,318,759,781,882,698,172,27,6,3888,11,38,27,35,30,29,0,0,0,174,20,4,6,8,4,12,6,0,0,56,26,48,31,44,37,39,6,0,0,227,283,362,791,825,913,732,175,27,6,4110,220,70,101,108,146,292,697,499,200,2336,35,34,48,70,59,77,64,77,76,538,538,462,943,1005,1118,1107,939,597,287,6989,36,159,322,297,402,286,22,3,0,1529,232,153,329,456,447,393,87,12,0,2096,16,10,46,36,33,45,7,3,0,203,13,11,13,12,12,7,5,0,0,74,297,331,708,792,896,742,122,16,0,3901,12,19,27,11,21,14,0,0,0,100,21,8,22,22,10,16,4,0,0,113,33,26,50,40,33,33,3,0,0,213
UCL213018,74,202,545,480,566,431,59,8,7,2372,127,63,69,70,89,97,90,13,0,624,5,4,23,11,15,36,5,0,0,105,4,3,14,7,7,7,4,0,0,54,205,284,654,564,684,568,154,26,7,3148,11,26,24,18,20,18,0,0,0,112,28,4,7,5,4,5,3,0,0,60,39,36,24,22,26,24,3,0,0,173,246,314,682,592,708,598,156,32,7,3327,202,56,67,74,92,198,568,404,107,1768,12,23,37,45,52,44,60,42,24,345,467,394,787,705,854,840,786,472,136,5435,20,116,265,217,318,189,26,3,0,1162,183,123,237,314,372,303,57,6,0,1598,6,6,46,27,31,34,9,0,0,157,3,3,5,5,6,7,3,0,0,42,208,252,557,567,731,535,93,13,0,2960,6,12,13,11,17,6,0,0,0,73,33,19,20,14,20,14,3,0,0,127,40,30,33,29,31,22,3,0,0,200
UCL214001,40,88,213,216,273,193,34,3,0,1060,65,52,50,39,54,65,30,5,0,360,3,0,9,5,16,21,3,0,0,60,0,5,5,3,4,3,3,0,0,28,112,136,279,262,345,284,70,8,0,1510,12,17,19,13,14,14,0,0,0,83,9,5,4,3,3,3,3,0,0,37,19,16,24,13,17,18,3,0,0,118,130,156,308,275,363,297,74,8,0,1626,81,31,46,57,69,146,322,204,89,1049,7,17,20,21,16,24,24,20,4,149,220,205,369,348,446,472,426,241,101,2825,31,41,108,121,200,101,6,0,0,605,67,55,123,119,156,121,43,7,0,689,3,5,16,9,12,21,8,0,0,81,0,3,4,0,4,3,0,0,0,17,106,108,255,250,371,237,58,11,0,1395,8,9,4,9,17,3,0,0,0,51,10,3,0,8,6,0,0,0,0,28,15,15,4,20,22,7,3,0,0,76
UCL214002,29,137,246,251,294,277,50,9,3,1302,56,34,43,37,63,77,43,9,0,366,4,3,8,9,7,19,10,0,0,72,5,6,3,8,4,8,0,0,0,27,98,179,304,308,370,380,109,15,6,1766,6,24,21,12,13,16,3,0,0,100,10,3,5,3,3,4,0,0,0,30,15,22,26,14,16,23,8,0,0,129,115,208,326,321,388,400,110,21,6,1895,134,33,38,74,95,179,426,344,158,1475,20,12,33,26,34,32,56,28,18,263,268,254,405,414,514,614,594,392,179,3634,11,48,131,120,217,118,26,0,0,684,83,59,119,145,214,214,43,5,0,895,7,13,19,16,17,24,8,0,0,100,3,3,7,8,0,4,3,0,0,28,105,129,282,288,451,361,79,13,0,1712,11,10,14,3,3,6,0,0,0,53,5,5,12,16,7,4,0,0,0,48,13,13,29,21,9,9,0,0,0,102
UCL214003,26,103,207,262,315,221,46,6,0,1182,85,40,60,82,108,136,55,10,3,576,0,0,4,6,12,19,12,0,0,51,3,3,7,3,4,5,0,0,0,27,111,144,273,352,435,382,116,20,8,1835,3,8,14,22,18,15,0,0,0,77,12,5,4,5,3,7,6,0,0,33,15,11,12,23,21,19,6,0,0,108,123,159,289,379,454,397,119,17,8,1949,116,92,283,233,199,226,409,299,93,1949,14,11,34,37,53,48,46,44,29,313,255,258,606,645,712,672,575,360,124,4209,8,45,113,135,205,169,13,0,0,696,76,62,132,215,288,238,63,5,4,1079,7,0,16,26,15,17,10,0,0,93,4,0,8,6,3,10,3,0,0,35,97,108,267,378,512,431,96,10,4,1899,3,5,9,9,6,8,0,0,0,44,4,4,12,18,19,6,3,0,0,57,11,9,17,28,28,11,3,0,0,104
UCL214004,20,69,169,162,191,149,29,3,0,797,33,20,37,26,21,30,19,5,0,186,9,7,6,7,10,8,0,0,0,43,0,0,9,8,3,4,0,3,0,30,58,99,219,199,224,194,48,8,0,1051,3,3,9,10,10,7,0,0,0,42,5,7,7,0,0,0,0,0,0,19,9,6,13,8,12,10,0,0,0,58,68,104,233,208,235,203,48,8,0,1113,76,13,31,49,54,90,264,212,70,859,8,13,30,16,24,23,33,29,5,186,149,129,293,271,316,320,352,250,73,2158,12,40,66,76,117,65,3,0,0,371,50,31,81,106,80,74,19,3,0,451,6,9,13,5,17,9,0,0,0,54,3,0,5,5,7,4,0,0,0,25,62,79,162,194,216,151,31,5,0,901,4,8,4,8,4,0,0,0,0,32,13,4,8,4,9,4,0,0,0,39,19,8,11,6,10,5,0,0,0,74
UCL214005,5,21,24,39,50,19,4,0,0,176,11,5,3,7,10,8,4,0,0,43,0,0,0,0,3,0,0,0,0,8,0,0,3,0,0,0,3,0,0,7,13,29,24,48,62,29,18,0,0,233,0,0,3,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,6,0,0,0,12,18,34,28,48,61,34,18,0,0,242,33,0,3,3,7,18,64,18,10,158,0,5,0,0,0,3,5,6,0,21,45,33,32,51,76,62,82,26,10,424,3,7,12,23,33,13,3,0,0,91,14,7,16,25,17,18,3,0,0,103,0,0,3,3,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,6,20,14,31,57,51,39,6,0,0,210,0,0,0,5,0,0,0,0,0,5,0,4,0,0,5,0,0,0,0,13,3,4,0,4,5,0,0,0,0,14
UCL214006,32,111,366,572,534,270,47,3,0,1936,101,65,30,40,44,72,49,7,0,398,7,6,12,7,8,20,3,0,0,66,5,0,3,5,8,8,0,0,0,31,142,190,416,623,587,370,96,8,0,2428,7,7,12,11,6,16,0,0,0,66,26,4,3,0,0,4,3,0,0,41,32,15,17,13,10,20,4,0,0,105,172,201,433,638,597,383,98,8,0,2531,164,32,13,24,25,81,289,152,53,832,17,11,22,36,34,25,24,19,12,198,350,242,464,696,659,494,407,183,63,3568,6,61,198,205,256,130,18,0,0,876,122,107,156,354,296,162,37,3,0,1238,4,3,39,39,12,4,5,0,0,108,5,0,4,5,4,4,0,0,0,25,144,171,398,606,566,300,64,3,0,2244,3,7,3,9,12,8,0,0,0,47,23,11,6,14,10,7,0,0,0,82,30,16,7,25,25,19,6,0,0,126
UCL214007,36,123,282,291,303,271,50,4,3,1374,75,46,49,44,58,85,71,11,0,448,8,3,10,8,15,15,11,3,0,80,5,5,6,6,0,6,3,0,0,36,133,179,358,352,385,379,130,15,3,1931,12,20,15,11,19,10,0,0,0,89,3,10,9,4,3,3,4,0,0,40,16,28,26,18,16,17,4,0,0,126,152,209,384,366,400,397,134,15,3,2064,148,42,34,51,64,122,371,246,98,1168,7,15,22,18,30,35,38,37,19,219,303,264,439,435,499,550,538,304,121,3450,21,62,150,131,208,145,26,0,3,752,91,82,151,190,232,206,46,3,0,999,8,14,24,18,17,22,9,0,0,110,9,3,3,4,4,4,3,0,3,28,122,164,324,345,456,376,84,3,6,1887,4,6,4,3,11,6,0,0,0,37,12,6,6,5,9,3,0,0,0,44,20,21,9,8,19,7,0,0,0,89
UCL214008,45,105,289,312,358,252,48,12,0,1418,55,34,27,49,80,86,50,11,0,391,4,4,5,17,16,19,5,0,0,79,8,5,8,12,12,9,0,0,0,59,102,154,330,388,464,367,102,24,3,1938,9,13,22,14,16,13,0,0,0,84,3,3,5,0,3,0,3,0,0,20,10,16,22,11,22,15,3,0,0,107,118,171,354,404,485,381,105,24,3,2042,104,27,38,47,80,156,329,210,73,1059,10,11,22,19,34,27,41,27,8,194,228,205,413,465,592,567,479,255,77,3292,9,54,131,148,181,110,17,0,0,656,68,66,148,239,216,198,53,3,0,1006,4,3,23,7,15,22,3,0,0,87,4,6,10,11,11,11,0,0,0,48,81,131,314,406,430,339,81,8,0,1789,3,8,3,9,8,3,0,0,0,34,10,4,9,9,9,4,4,0,0,48,21,15,14,21,10,3,4,0,0,83
UCL214009,10,16,122,166,162,121,27,0,0,629,25,12,32,29,35,67,35,9,0,241,7,0,6,3,12,13,5,0,0,42,3,0,4,3,3,3,3,0,0,23,39,35,169,204,207,208,68,8,3,929,3,9,3,5,10,12,0,0,0,41,3,0,3,0,0,3,0,0,0,8,6,9,4,5,10,18,0,0,0,52,43,41,172,206,219,222,63,8,3,982,61,7,8,26,33,120,331,192,73,856,3,3,14,13,26,24,23,21,6,129,108,50,195,250,273,367,422,220,86,1969,3,16,57,77,103,67,4,0,0,327,45,21,64,118,99,122,32,0,0,498,3,0,17,7,11,19,4,0,0,53,4,0,0,4,4,3,3,0,3,17,53,36,137,201,210,211,48,0,3,895,0,3,9,3,6,5,0,0,0,21,3,0,3,5,3,0,0,0,0,20,3,3,11,10,11,10,0,0,0,39
UCL214010,29,94,230,284,321,193,34,3,0,1183,50,33,31,28,29,43,26,5,0,255,4,4,3,16,6,10,3,0,0,44,4,8,3,6,3,0,0,0,0,36,96,140,276,332,359,249,57,11,0,1519,7,10,14,13,5,15,0,0,0,63,9,3,0,0,4,4,0,0,0,27,19,9,16,12,13,17,0,0,0,92,112,150,289,343,371,264,57,11,0,1605,217,31,29,30,38,75,219,164,46,858,18,9,23,31,26,22,30,14,0,179,347,191,346,409,437,367,310,195,48,2642,6,57,115,131,172,77,10,3,0,572,66,60,99,174,154,103,31,0,0,691,0,5,23,11,13,13,0,0,0,73,4,4,3,0,3,4,0,0,0,23,84,124,246,317,347,202,42,4,0,1363,7,10,8,6,15,4,0,0,0,51,14,3,3,10,5,3,0,0,0,40,17,13,11,19,20,6,0,0,0,89
UCL214011,22,84,180,164,182,166,30,6,0,830,29,23,40,37,37,59,22,4,0,242,4,6,8,7,10,15,10,0,0,66,3,6,6,3,3,9,0,0,0,33,61,110,235,215,233,247,56,6,3,1172,7,12,17,10,11,4,0,0,0,56,8,7,3,3,3,5,0,0,0,24,16,13,18,12,16,10,0,0,0,82,73,122,250,225,246,263,62,6,3,1250,109,24,33,26,38,84,281,186,85,868,10,7,13,24,25,22,30,31,20,183,188,157,299,275,307,372,370,225,110,2301,10,46,92,81,128,76,10,0,3,442,37,34,79,118,128,115,34,6,0,549,0,3,22,9,8,12,0,0,0,65,4,0,0,0,3,3,0,0,0,15,45,83,200,204,265,213,37,9,3,1062,3,3,7,6,7,0,0,0,0,30,9,3,7,3,9,4,0,0,0,39,9,7,20,12,14,9,0,0,0,70
UCL214012,15,55,99,129,166,145,25,0,0,633,45,14,42,25,30,58,38,3,0,251,8,3,9,5,10,7,4,3,0,51,8,4,4,5,4,7,3,0,0,32,68,81,155,174,205,215,67,10,0,973,10,14,15,5,9,14,0,0,0,70,4,3,8,0,3,11,0,0,0,26,17,10,24,7,15,26,0,0,0,102,84,94,174,178,220,237,67,10,0,1073,65,15,37,50,75,176,432,247,75,1158,8,10,18,30,37,47,66,28,31,281,161,119,228,262,336,462,566,281,102,2517,9,28,50,61,97,71,10,0,0,326,52,31,79,104,130,121,39,0,0,554,3,4,20,15,10,23,0,0,0,85,0,0,0,3,6,7,3,0,0,27,62,66,151,176,241,223,57,3,0,989,3,5,3,5,16,6,0,0,0,38,4,5,6,4,6,10,0,0,0,36,9,10,7,16,24,17,0,0,0,78
UCL214013,20,62,173,178,166,138,25,0,0,766,45,21,29,26,37,44,26,6,3,239,0,4,9,4,9,8,3,0,0,42,0,3,7,5,3,0,3,0,0,24,69,90,218,221,212,198,60,9,3,1079,0,7,10,5,3,7,0,0,0,35,3,3,3,0,4,3,0,0,0,18,3,10,12,7,8,10,0,0,0,53,72,102,233,227,223,201,65,9,3,1130,83,14,25,16,30,78,206,142,53,650,5,10,19,11,20,18,27,18,5,126,159,130,277,253,268,299,299,161,66,1911,9,28,75,76,90,60,6,3,0,350,52,32,105,113,114,105,25,9,0,550,0,4,12,9,4,9,3,0,0,56,5,0,0,3,0,0,0,0,0,16,65,61,197,205,211,175,37,7,0,963,3,8,4,0,6,3,0,0,0,21,4,0,8,3,11,3,3,0,0,28,8,7,12,4,17,8,3,0,0,50
UCL214014,21,88,154,179,193,173,14,0,0,828,50,44,46,44,38,66,33,6,0,331,3,6,4,7,10,10,6,0,0,43,4,4,6,3,11,4,0,3,0,35,82,133,210,231,252,253,55,7,3,1229,7,22,17,26,13,11,0,0,0,100,6,6,0,3,5,8,0,0,0,32,19,31,14,27,19,11,0,0,0,134,96,165,226,258,276,272,56,7,3,1361,108,39,33,70,113,176,445,334,100,1413,12,11,9,23,35,26,42,34,16,199,208,209,271,361,421,467,546,376,118,2977,13,39,80,64,141,84,16,0,0,441,65,59,91,126,150,133,39,9,5,671,3,5,13,9,7,10,4,0,0,57,8,3,0,7,9,5,0,3,0,30,86,103,191,207,304,229,57,12,5,1186,3,13,14,10,4,4,0,0,0,46,6,6,13,4,7,4,0,0,0,40,10,22,24,16,9,6,0,0,0,85
UCL214015,17,58,92,133,207,183,38,3,0,722,30,24,20,31,54,89,55,6,3,306,3,0,6,3,13,13,9,0,0,52,3,0,6,0,3,7,0,0,0,22,54,79,126,165,274,289,95,8,3,1099,6,13,10,13,22,19,0,0,0,79,8,0,4,7,4,8,0,0,0,32,13,14,14,25,28,21,0,0,0,113,65,96,135,185,298,316,99,8,3,1212,69,16,25,51,81,232,575,305,118,1479,9,8,16,21,33,44,66,40,21,252,143,118,175,263,414,594,736,351,137,2934,4,17,40,76,123,105,9,0,0,382,38,29,62,84,148,160,52,3,0,572,0,0,7,14,13,21,9,0,0,63,0,3,6,0,4,3,4,0,0,15,46,52,112,175,283,288,72,5,0,1033,9,6,9,7,14,7,0,0,0,53,5,0,3,0,13,9,0,0,0,41,9,11,12,7,27,22,0,0,0,93
UCL214016,10,74,179,152,202,178,22,0,3,819,38,36,39,45,31,51,17,5,0,261,0,0,6,7,6,13,3,4,0,38,6,4,0,7,8,9,6,0,0,41,55,115,231,200,247,251,47,11,4,1159,9,8,13,11,16,7,0,0,0,69,3,4,4,0,3,3,0,0,0,18,9,18,12,15,22,10,0,0,0,88,65,127,242,217,266,260,47,11,4,1250,82,112,31,41,65,131,248,131,60,897,10,18,24,36,43,44,43,29,23,278,163,259,301,292,374,432,335,176,86,2419,7,22,81,97,120,94,9,0,0,427,64,53,74,88,131,125,31,3,0,569,0,3,14,3,11,11,3,3,0,48,4,0,0,3,0,0,0,0,0,19,79,86,169,193,256,231,46,8,0,1064,12,4,8,11,3,3,0,0,0,41,11,3,3,4,5,8,0,0,0,45,24,10,12,19,10,11,0,0,0,87
UCL214017,29,87,165,162,191,145,25,5,0,809,32,19,36,23,42,54,33,3,0,247,5,0,9,6,9,17,0,0,0,42,3,3,10,7,4,8,3,0,0,37,67,106,220,202,244,220,61,11,0,1130,10,10,21,10,7,11,0,0,0,77,3,3,3,4,0,3,0,0,0,23,16,14,22,20,14,16,0,0,0,98,79,128,241,220,254,233,61,11,0,1232,80,15,37,43,62,122,248,161,71,843,12,8,16,12,27,29,31,25,3,179,175,153,300,279,344,383,342,200,81,2249,12,56,92,93,125,77,16,0,0,470,48,33,68,90,123,116,17,3,3,494,4,4,15,7,13,8,0,0,0,58,0,0,3,5,3,7,0,0,0,14,65,89,180,188,271,207,32,3,3,1037,3,7,7,10,3,3,0,0,0,26,3,0,5,0,3,4,3,0,0,17,10,10,8,12,8,3,3,0,0,48
UCL214018,37,118,385,389,465,265,28,4,3,1699,64,51,49,45,48,50,24,0,0,338,3,5,12,7,17,13,5,0,0,67,5,10,11,7,10,4,4,0,0,55,110,185,454,457,535,333,62,7,3,2151,14,8,11,21,15,17,0,0,0,90,14,4,8,0,4,0,0,0,0,27,27,17,16,20,18,17,0,0,0,116,134,202,471,478,555,358,67,7,3,2270,161,44,33,41,50,124,168,82,7,714,14,13,42,30,44,54,21,14,3,242,312,264,547,546,645,534,260,100,16,3225,12,83,197,189,234,114,16,0,0,848,101,72,149,215,211,137,18,3,0,902,3,4,30,21,16,12,0,0,0,91,3,5,4,11,9,3,0,0,0,30,116,168,383,430,469,266,34,3,0,1874,8,10,20,11,10,9,0,0,0,76,21,8,13,16,10,3,0,0,0,67,33,16,31,29,17,13,0,0,0,143
UCL214019,23,84,204,162,223,160,24,3,0,881,63,28,69,51,79,90,30,6,3,410,5,3,8,13,11,16,3,4,0,64,3,4,8,6,7,7,3,3,0,39,93,123,294,229,318,267,57,9,3,1394,9,23,21,17,15,17,0,0,0,97,16,5,4,4,3,7,0,0,0,39,19,30,23,19,25,24,0,0,0,131,117,149,315,249,341,294,60,9,3,1529,107,27,49,53,84,195,390,272,99,1290,15,11,28,10,46,37,46,49,21,270,244,193,392,309,476,528,499,331,123,3089,7,30,90,84,120,70,10,0,0,405,90,53,134,144,189,164,33,4,0,803,11,9,20,9,21,23,3,0,0,96,3,3,3,5,0,3,0,0,0,24,112,94,246,239,331,264,43,8,0,1333,4,7,9,7,9,4,0,0,0,38,10,6,15,12,10,14,0,0,0,73,11,13,23,25,20,11,0,0,0,109
UCL214020,39,88,211,256,252,199,33,3,0,1086,50,17,26,28,43,63,29,5,0,257,9,11,4,10,16,20,4,4,0,67,5,10,5,5,3,3,0,0,0,33,98,121,251,302,309,282,63,12,0,1446,10,5,19,13,15,9,0,0,0,59,8,0,0,0,3,8,4,0,0,29,15,7,14,10,17,16,4,0,0,88,109,131,265,313,328,298,65,12,0,1535,80,20,18,23,59,154,439,337,130,1261,19,24,27,33,49,50,59,50,25,329,213,176,310,371,433,509,564,399,150,3125,13,32,97,104,145,74,13,0,0,479,61,56,108,173,165,161,30,3,0,763,9,13,17,17,10,14,8,0,0,78,3,5,0,3,4,4,4,0,0,27,89,103,225,289,331,250,56,3,0,1343,0,0,9,10,6,7,0,0,0,39,12,8,3,0,4,6,0,0,0,31,11,10,16,6,13,12,3,0,0,74
UCL215001,0,10,18,30,42,43,9,0,0,155,18,7,7,7,16,28,14,0,0,100,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19,14,22,36,67,72,18,0,0,263,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,5,19,14,26,42,70,72,18,0,0,267,13,5,3,6,9,34,60,35,4,171,5,0,0,4,7,8,6,0,0,34,40,22,30,48,79,115,88,37,9,470,0,3,9,10,28,31,3,0,0,86,3,16,10,31,46,32,10,0,0,149,0,0,0,3,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,16,23,44,78,66,12,0,0,248,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,0,13
UCL215002,13,42,79,96,80,61,10,0,0,368,16,11,9,11,18,26,14,3,0,105,0,0,3,3,3,8,0,0,0,20,0,3,5,0,0,3,0,0,0,12,27,49,89,107,103,102,22,4,3,507,0,0,7,7,4,5,0,0,0,18,0,3,0,0,0,0,0,0,0,10,3,3,7,7,5,3,0,0,0,29,32,55,100,116,110,105,22,4,3,537,24,5,6,9,23,51,142,78,29,380,3,3,4,11,15,21,19,12,4,90,60,65,110,134,140,180,182,93,35,1005,3,14,28,35,61,29,8,0,0,178,13,10,41,62,50,47,7,0,0,234,0,3,3,3,6,8,3,0,0,29,0,0,3,0,0,0,0,0,0,7,20,30,73,100,113,77,22,0,0,441,0,0,3,4,3,0,0,0,0,10,5,0,4,11,0,3,0,0,0,20,3,0,11,12,3,3,0,0,0,35
UCL215003,10,19,73,82,106,84,24,0,0,394,15,5,12,15,28,48,17,4,0,148,6,0,0,0,5,5,0,0,0,17,0,0,4,0,3,4,0,0,0,11,30,29,88,98,141,140,40,6,0,577,0,0,0,3,5,7,0,0,0,18,0,0,0,0,0,3,0,0,0,3,0,0,0,3,5,4,0,0,0,18,35,32,89,102,149,147,41,6,0,594,22,3,9,12,15,54,147,79,39,380,3,0,7,12,9,10,19,8,3,74,57,36,108,123,173,210,209,90,39,1047,3,10,50,24,64,41,8,0,0,210,26,24,24,64,83,69,23,3,0,316,3,3,3,7,4,9,0,0,0,30,0,0,0,0,3,3,0,0,0,13,30,35,81,96,158,125,34,3,0,571,0,0,0,3,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,7,0,0,0,7,3,0,3,0,0,10
