SOS_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOS20,6562,8645,11541,16991,41188,63711,37788,80287,2605,269316,17891,40165,46344,55181,94794,127003,56698,79941,4610,522619,5757,14048,16823,19957,58347,69578,29288,34858,4489,253145,8098,46045,36855,36976,31841,23125,11376,12675,3721,210713,9153,30074,34871,35749,73007,56556,21169,18923,2888,282404,6058,56824,30656,24127,28658,23813,11372,15661,3005,200164,2889,6893,8442,9977,29443,23793,12268,15749,2452,111906,4439,35654,25923,20154,32713,23086,9047,10278,3642,164935,1378,2772,2119,2214,5259,5442,1715,3158,11139,35204,62221,241120,213588,221314,395255,416098,190724,271528,38557,2050402
SOS21,1575,2033,2109,3396,7233,9871,6866,14707,531,48314,3733,6072,8929,10977,14043,14705,7796,10594,623,77464,2190,3738,3649,5123,15589,18694,8634,10535,1121,69259,3044,10743,9052,11041,8422,6003,2996,3304,924,55525,2350,6357,7472,8488,13468,8925,3708,3230,528,54519,1913,14052,6944,6496,6663,4348,2562,3024,735,46733,1202,1658,1725,2150,6225,6018,4299,6797,623,30696,2200,12403,6552,7169,9567,7482,3938,3759,1142,54207,482,588,397,512,931,980,384,677,2458,7409,18685,57636,46817,55363,82136,77020,41177,56617,8683,444140
SOS22,199,261,262,396,575,996,586,1818,75,5174,365,571,814,956,946,975,601,821,57,6098,255,484,450,593,1396,1771,769,1088,114,6917,328,908,863,928,614,481,228,339,113,4803,213,640,710,705,940,638,250,278,42,4414,154,1035,559,499,489,326,202,247,54,3563,155,150,169,228,605,624,401,783,69,3185,261,1221,644,670,825,859,403,470,122,5471,59,58,43,47,84,74,33,62,237,698,1990,5330,4508,5019,6477,6743,3472,5908,880,40321
SOS23,1620,2841,2582,3584,3490,7590,4067,20192,980,46932,1536,2865,4153,4585,4155,5023,2566,4391,359,29621,985,1896,1870,2433,5325,7591,3112,5318,592,29124,1061,3673,3174,3316,2223,1964,1038,1227,358,18031,956,3359,3512,3627,4097,3222,1229,1425,271,21702,574,4555,2109,1910,1763,1376,794,1194,268,14545,632,764,833,1015,2109,2538,1585,3455,287,13209,996,4875,2664,2638,3278,3385,1552,2565,557,22505,264,282,192,252,347,453,149,428,1184,3548,8622,25102,21079,23359,26795,33143,16075,40191,4861,199216
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,23
SOS29,7,3,12,11,31,40,17,52,7,178,34,34,33,40,54,108,31,64,7,405,6,10,26,18,59,70,35,55,5,297,13,59,40,55,28,32,21,19,8,277,15,14,23,21,45,33,9,10,7,182,3,29,16,16,30,13,7,11,6,134,14,11,11,14,42,35,15,48,13,200,6,46,42,46,51,47,19,31,12,307,8,10,7,0,0,3,3,3,23,57,111,212,205,226,348,385,170,296,84,2033
