SOS_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOS20,2131735,2221565,4353298,142523,135220,277742,261919,248790,510706,131821,128075,259900,165623,162436,328057,353161,364222,717381,306022,314671,620699,274841,290627,565475,219820,237818,457642,156263,175652,331909,86471,107472,193940,33259,56588,89845,2047702,2140236,4187942,84028,81328,165356,10304,10466,20771,563,543,1104,275,306,574,11137,11317,22452,1269380,1312098,2581483,729832,772244,1502067,1311504,1354180,2665680,698591,745057,1443651,1688343,1763189,3451529,28017,26825,54840,240203,228996,469204,107108,108183,215289,80180,82846,163027,77740,108963,186701,1022747,1113884,2136628,182561,174551,357117,203478,191367,394846,85914,84802,170717,82985,107343,190326,20407,28009,48417,1974354,2057037,4031393,144159,153932,298085
SOS21,508725,544123,1052851,34560,32682,67242,68022,64531,132552,32838,30827,63665,31234,30455,61683,60709,65121,125830,59972,64952,124918,63752,69755,133503,63525,70339,133862,53877,59492,113365,29427,36406,65842,10823,19567,30387,476404,513436,989836,32330,30690,63015,8616,9298,17911,327,339,670,236,213,452,9176,9847,19028,409112,437111,846226,59360,63646,123008,438578,469836,908417,34271,37007,71279,448575,481218,929796,6285,6106,12395,61559,58552,120114,23171,22735,45906,7089,9117,16202,9093,18228,27322,148251,186913,335166,65981,68106,134087,84195,79646,163839,37135,35368,72506,27861,30117,57978,2533,2372,4908,457860,489342,947197,41652,45155,86803
SOS22,49397,49424,98824,2708,2500,5204,6240,5886,12129,2826,2552,5379,2060,1913,3976,4325,4555,8880,5280,5736,11016,6869,7166,14036,8048,7991,16033,6999,6484,13490,3069,3165,6229,972,1475,2449,45927,46243,92167,3474,3186,6652,611,619,1230,26,26,56,20,15,34,659,663,1318,39692,39553,79249,5101,5290,10389,43902,43801,87699,1586,1757,3348,43835,43727,87557,534,522,1057,5541,5265,10807,1961,1903,3863,360,461,828,590,1407,1998,12716,16300,29014,6737,6739,13473,9200,7490,16692,4201,3427,7626,3024,2485,5510,110,97,214,43735,43868,87600,9079,8582,17659
SOS23,213864,200186,414055,10584,10062,20650,27624,26317,53945,14188,12860,27043,10371,8809,19177,17911,17334,35251,23893,24097,47992,33275,33153,66424,35706,33382,69088,27407,22945,50347,10409,8465,18869,2499,2766,5266,200229,188365,388598,13633,11821,25454,2330,2097,4431,106,71,180,41,54,95,2485,2226,4709,172948,161197,334150,21765,21004,42766,184983,175812,360793,9586,9565,19154,187353,177525,364875,2137,2047,4183,24794,23632,48428,10132,9848,19974,2257,2823,5080,2276,5573,7853,58008,74550,132554,30440,27460,57901,38369,27142,65512,16812,10899,27704,10933,7539,18465,582,469,1059,188206,180600,368808,20019,15013,35033
SOS27,28,4,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,11,0,11,5,0,5,0,0,0,0,0,0,0,0,0,20,4,26,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,6,4,6,18,0,18,7,4,10,25,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,4,0,4,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,310,38,349
SOS29,4331,3238,7565,215,163,379,173,197,367,180,178,357,447,453,898,1052,795,1848,813,479,1295,628,347,975,460,352,816,283,204,482,72,49,121,9,28,38,0,0,0,4331,3238,7565,146,102,247,13,7,16,3,6,11,160,117,279,2581,1804,4389,1057,952,2011,2372,1835,4201,698,692,1393,2454,1897,4355,22,15,37,113,145,259,68,85,158,102,136,242,131,161,299,1345,1347,2698,379,247,627,475,301,776,257,143,404,155,82,238,43,42,85,0,0,0,0,0,0
