SOS_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOS20,1159,1169,2327,134200,127247,261447,7164,6805,13968,142523,135220,277742,1114,1137,2257,129526,123338,252867,6394,5897,12290,137042,130375,267411,1139,1026,2163,118279,112215,230497,5448,5176,10626,124878,118415,243290,1100,1088,2192,124624,121030,245655,6096,5957,12055,131821,128075,259900,1135,1126,2256,155242,152302,307539,9249,9012,18260,165623,162436,328057,936,940,1880,163774,168823,332597,10908,11163,22067,175619,180931,356549,793,750,1543,166053,172080,338130,10706,10458,21156,177545,183288,360832,647,663,1305,148373,150551,298916,8706,8093,16801,157720,159303,317029,685,698,1378,139731,147121,286849,7889,7552,15443,148298,155371,303665,702,660,1360,135251,144907,280158,7523,7264,14791,143480,152833,296314,487,606,1089,123781,130489,254272,7093,6698,13795,131365,137798,269160,417,427,842,111720,120246,231966,6413,6452,12867,118550,127127,245672,346,382,723,95353,104529,199879,5577,5789,11363,101271,110694,211969,484,653,1129,257843,316312,574157,17673,22739,40412,276000,339707,615699,11137,11317,22452,2003755,2091189,4094948,116836,119058,235897,2131735,2221565,4353298
SOS21,1285,1261,2544,31179,29378,60551,2097,2050,4145,34560,32682,67242,1260,1194,2457,31840,30436,62281,2073,1991,4057,35171,33621,68797,1078,1041,2121,29789,28083,57871,1984,1784,3766,32847,30910,63758,963,987,1957,29996,27951,57949,1872,1890,3760,32838,30827,63665,821,797,1617,28302,27643,55949,2108,2012,4122,31234,30455,61683,642,754,1396,27966,29463,57428,2034,2031,4064,30645,32244,62885,470,548,1020,27591,30274,57862,2011,2054,4064,30070,32872,62941,411,511,919,26766,28970,55738,1756,1849,3600,28930,31326,60261,415,508,923,28575,31174,59745,2048,1944,3993,31042,33619,64659,409,547,955,29224,32116,61336,2072,2026,4095,31701,34686,66388,389,455,842,29521,32472,61991,2148,2144,4291,32054,35069,67121,340,398,736,29679,33063,62745,2169,2255,4428,32186,35719,67904,279,298,576,28841,31921,60758,2220,2403,4627,31336,34626,65961,425,552,975,86025,105184,191208,7678,9724,17409,94130,115464,209593,9176,9847,19028,465285,498118,963405,34264,36159,70422,508725,544123,1052851
SOS22,84,71,156,2442,2271,4706,183,157,342,2708,2500,5204,88,86,175,2942,2630,5573,257,218,472,3283,2935,6214,82,74,155,2661,2673,5336,212,204,419,2954,2952,5909,69,77,149,2558,2299,4852,203,174,377,2826,2552,5379,42,34,77,1854,1734,3584,168,143,307,2060,1913,3976,29,44,70,1835,1931,3773,195,179,376,2069,2150,4222,32,32,59,2068,2208,4275,156,168,330,2256,2404,4661,23,37,59,2140,2470,4608,177,208,386,2343,2715,5055,30,25,64,2698,2767,5465,207,229,434,2932,3019,5954,30,43,72,2984,3169,6153,278,255,527,3295,3462,6752,38,38,78,3277,3407,6682,267,256,521,3577,3705,7281,34,31,70,3629,3715,7337,315,288,604,3978,4033,8015,25,19,39,3714,3636,7343,328,305,632,4063,3951,8022,50,44,98,10035,10068,20099,958,1016,1971,11040,11125,22173,659,663,1318,44824,44978,89796,3914,3794,7702,49397,49424,98824
SOS23,209,220,428,9600,9061,18662,772,780,1560,10584,10062,20650,266,242,510,12213,11348,23563,999,942,1939,13481,12526,26009,245,316,564,12846,12447,25296,1045,1028,2075,14141,13789,27936,244,234,482,12920,11700,24620,1026,923,1945,14188,12860,27043,179,125,300,9434,8006,17443,752,676,1433,10371,8809,19177,149,115,263,7885,7240,15125,660,570,1231,8691,7927,16619,137,108,251,8420,8597,17019,656,700,1357,9218,9407,18626,121,112,232,9585,9638,19223,773,762,1535,10487,10508,20990,158,126,285,12288,12525,24811,964,943,1905,13408,13589,26999,175,152,331,14573,14809,29382,1194,1153,2350,15946,16115,32063,166,130,298,15855,15672,31522,1300,1227,2533,17326,17036,34357,137,127,259,16705,15941,32653,1371,1310,2679,18211,17379,35594,92,103,198,16011,14736,30743,1391,1168,2560,17495,16001,33494,184,120,305,36714,31100,67810,3411,2957,6367,40309,34174,74487,2485,2226,4709,195058,182813,377878,16321,15151,31473,213864,200186,414055
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,24,3,0,3,28,4,29
SOS29,16,6,25,175,138,312,24,13,39,215,163,379,0,8,8,72,87,157,15,11,24,88,105,195,7,7,9,69,73,145,13,16,25,88,88,176,15,13,28,141,146,288,20,16,39,180,178,357,10,6,23,371,385,753,65,62,121,447,453,898,21,4,22,439,386,821,85,60,143,542,450,994,20,13,28,411,279,691,76,51,134,513,345,856,25,6,32,352,205,555,64,42,108,441,253,693,16,17,38,296,176,471,58,30,95,372,229,601,16,6,23,286,144,427,51,25,73,349,170,524,11,5,20,223,146,364,47,25,66,277,177,451,12,4,12,196,158,355,35,27,58,237,188,425,4,3,12,188,137,324,33,26,55,219,169,390,0,6,6,316,238,556,47,36,80,365,279,643,160,117,279,3534,2688,6219,638,434,1069,4331,3238,7565
