SOS_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
SOS20,58,328,204,3236,877,715,664,440,200,6714,38,214,455,2609,2395,5118,8396,8071,3309,30595,69,319,426,980,336,169,124,26,6,2444,81,501,1233,3501,692,285,105,42,6,6442,51,158,370,2742,1958,1510,1093,395,99,8371,303,1214,4363,8560,2560,2741,1668,565,123,22092,6,23,55,288,532,1737,2720,1527,299,7181,4,148,402,2030,850,994,652,321,102,5508,29,380,997,2480,668,292,158,106,30,5141,26,168,1110,3432,155,75,32,4,0,5005,27,155,120,696,506,1058,1888,1134,476,6058,697,4025,5189,15494,5698,3969,1846,656,180,37761,4,53,56,525,361,381,447,268,85,2189,331,1089,2366,7640,820,345,170,31,11,12802,9,33,66,381,244,89,38,7,6,865,203,1372,2489,7790,3136,1934,791,175,56,17940,11,37,93,1286,622,1424,1137,519,544,5670,25,235,313,1925,1729,1909,1942,1100,395,9577,180,844,1493,2386,834,683,364,136,22,6934,67,653,1369,4212,2256,1515,986,381,120,11553
SOS21,3,58,22,254,135,151,164,121,55,959,0,15,27,102,181,462,880,717,311,2690,5,16,21,53,19,12,5,3,0,139,3,29,78,149,10,7,5,0,0,285,0,0,12,56,36,28,16,8,4,151,21,52,116,408,123,101,42,14,3,878,3,13,21,55,82,290,434,160,30,1080,0,16,10,68,33,25,31,3,0,178,0,20,69,217,61,35,15,14,3,430,4,18,39,153,7,3,0,0,0,227,3,5,19,107,126,390,969,580,170,2374,95,475,611,1674,1012,793,577,207,50,5491,0,6,3,51,68,94,160,74,17,467,13,65,52,283,56,28,3,3,3,504,3,7,14,52,56,21,9,6,0,166,50,289,304,712,231,91,35,11,0,1714,0,7,8,76,28,90,70,41,49,376,5,36,44,243,273,511,667,367,113,2265,9,27,35,78,44,28,20,5,0,246,12,103,156,384,247,160,117,42,6,1225
SOS22,0,3,3,13,12,16,11,11,3,78,0,0,3,6,10,33,76,30,9,166,0,0,4,0,4,0,0,0,0,12,0,0,0,8,0,0,0,0,0,16,0,0,0,4,0,0,0,0,0,7,0,0,0,6,8,3,3,0,0,24,0,0,0,4,4,27,37,9,0,88,0,0,0,3,4,0,3,0,0,12,0,0,0,0,0,3,0,0,0,5,0,0,0,4,0,0,0,0,0,6,0,0,3,16,19,70,138,57,13,312,3,17,29,132,103,117,106,33,8,544,0,3,0,3,12,14,26,9,0,63,0,0,3,3,0,0,0,0,0,8,0,0,0,0,7,3,0,0,0,9,5,19,12,34,8,4,0,0,0,90,0,0,0,3,0,10,9,3,4,29,0,0,0,15,26,65,79,35,11,239,0,0,0,6,6,4,0,0,0,14,0,5,10,16,12,19,21,3,0,83
SOS23,0,15,9,73,69,63,76,47,15,377,0,8,5,48,104,290,566,315,96,1434,0,8,6,9,10,3,3,0,0,37,0,4,11,11,3,6,0,0,0,30,0,0,0,38,19,26,12,0,4,99,0,5,32,85,38,34,13,10,0,218,0,0,3,18,36,164,240,69,4,535,0,0,3,13,23,21,6,3,0,74,0,0,4,5,3,0,0,3,0,16,0,3,0,17,0,0,0,0,0,22,4,11,21,74,101,276,527,175,38,1221,22,116,197,662,592,603,303,85,12,2585,0,0,4,17,36,36,58,21,3,175,0,0,0,29,3,6,0,0,0,38,0,0,0,22,35,14,3,3,0,74,21,62,54,192,44,18,4,0,0,401,0,0,0,21,11,35,47,11,5,141,0,3,15,72,105,184,227,86,17,717,3,9,9,14,25,17,3,0,0,81,0,33,41,117,106,65,49,17,0,423
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,10,0,0,0,0,0,14,0,0,8,10,0,3,6,0,0,34,0,0,0,3,0,0,0,0,0,3,0,0,4,12,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,5,0,0,5,17,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,7,0,3,9,0,0,17,0,3,17,51,19,15,8,0,0,123,0,0,0,0,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,3,0,0,0,13,3,0,0,0,0,23,0,0,0,5,0,0,0,0,0,8,0,0,3,3,0,3,4,0,0,7,0,0,3,4,0,0,0,0,0,8,0,0,0,9,3,0,3,0,0,10
