SOS_CODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
SOS20,27410,26070,53480,29136,27449,56591,28588,27201,55788,28893,27652,56553,28499,26840,55342,142523,135220,277742,27857,26202,54054,27809,26725,54534,27155,25932,53084,27199,25866,53063,27030,25646,52674,137042,130375,267411,26050,24814,50864,25190,23830,49020,25094,23548,48639,24568,23289,47854,23972,22939,46914,124878,118415,243290,24554,23242,47799,24872,24505,49382,25192,24562,49754,27313,26400,53709,29895,29366,59256,131821,128075,259900,31443,30986,62428,32877,31848,64732,33371,32115,65493,33756,33555,67315,34165,33925,68096,165623,162436,328057,34753,35171,69926,35469,36360,71824,34622,36496,71116,35602,36861,72456,35176,36044,71226,175619,180931,356549,35607,37493,73097,35575,37196,72765,35657,36663,72325,35789,36661,72452,34920,35279,70200,177545,183288,360832,34066,34159,68228,32558,33015,65575,31208,31714,62923,30139,30571,60716,29747,29846,59592,157720,159303,317029,29511,30250,59762,29217,30230,59444,29771,31216,60985,29535,31237,60774,30267,32439,62706,148298,155371,303665,30710,33627,64331,29366,31133,60502,28562,30561,59122,28180,29496,57672,26662,28023,54682,143480,152833,296314,26635,27922,54554,25859,27311,53167,26502,27996,54498,26601,27600,54207,25767,26961,52729,131365,137798,269160,25405,26969
SOS21,6618,6130,12740,6759,6349,13103,6849,6593,13442,7215,6718,13937,7127,6895,14019,34560,32682,67242,6953,6534,13488,7023,6835,13861,7069,6750,13813,7002,6701,13696,7128,6806,13936,35171,33621,68797,6837,6543,13388,6451,6060,12517,6542,6185,12728,6480,6000,12478,6526,6122,12650,32847,30910,63758,6627,6196,12822,6580,6272,12854,6978,6511,13489,6553,5977,12530,6101,5868,11974,32838,30827,63665,6111,5899,12007,6359,6045,12404,6145,6178,12325,6261,6129,12384,6359,6204,12562,31234,30455,61683,6255,6474,12729,6241,6509,12745,6060,6328,12386,6128,6481,12608,5956,6457,12422,30645,32244,62885,6193,6553,12745,6169,6673,12849,5949,6665,12609,5930,6436,12369,5832,6545,12375,30070,32872,62941,5960,6560,12520,5672,6189,11859,5737,6203,11934,5951,6063,12020,5607,6312,11920,28930,31326,60261,5866,6298,12171,5915,6528,12437,6189,6640,12825,6391,6906,13297,6682,7244,13927,31042,33619,64659,6752,7509,14257,6335,6895,13225,6564,6961,13522,6179,6734,12909,5874,6594,12471,31701,34686,66388,6060,6718,12772,6234,6606,12840,6402,7083,13483,6578,7359,13938,6778,7305,14078,32054,35069,67121,6496,7382
SOS22,470,485,950,529,488,1013,558,478,1033,547,502,1047,601,555,1158,2708,2500,5204,602,549,1148,679,565,1245,626,614,1238,659,597,1256,723,608,1327,3283,2935,6214,678,653,1332,601,514,1110,597,577,1178,531,611,1146,545,599,1139,2954,2952,5909,594,565,1159,542,579,1123,616,530,1148,564,489,1056,504,381,888,2826,2552,5379,451,393,845,428,350,785,402,402,806,391,397,784,388,376,759,2060,1913,3976,409,436,839,428,406,833,408,403,813,403,441,840,423,462,887,2069,2150,4222,435,464,898,427,485,911,438,519,951,473,476,952,478,465,945,2256,2404,4661,442,514,961,448,579,1024,425,516,936,519,542,1062,512,558,1067,2343,2715,5055,570,541,1113,552,545,1098,555,578,1133,613,667,1285,635,698,1332,2932,3019,5954,655,724,1381,643,701,1347,689,668,1353,665,697,1358,632,677,1314,3295,3462,6752,654,681,1338,701,697,1393,722,755,1478,731,761,1485,770,812,1585,3577,3705,7281,842,846
SOS23,1859,1800,3659,1991,1941,3936,2117,2032,4150,2290,2106,4395,2322,2184,4510,10584,10062,20650,2403,2319,4725,2619,2476,5095,2741,2482,5220,2791,2520,5312,2932,2726,5656,13481,12526,26009,2869,2749,5618,2697,2738,5430,2870,2758,5628,2861,2757,5618,2847,2792,5636,14141,13789,27936,2950,2737,5683,2926,2821,5746,2982,2760,5739,2798,2471,5268,2535,2074,4607,14188,12860,27043,2309,1901,4207,2188,1851,4039,2035,1734,3775,1906,1659,3568,1937,1656,3591,10371,8809,19177,1822,1520,3337,1722,1609,3333,1778,1536,3311,1670,1623,3292,1708,1641,3345,8691,7927,16619,1742,1768,3509,1812,1810,3622,1829,1846,3672,1965,1924,3890,1877,2060,3937,9218,9407,18626,1996,2056,4045,2011,1965,3977,2039,2001,4040,2190,2234,4425,2251,2253,4507,10487,10508,20990,2382,2362,4749,2528,2574,5105,2678,2770,5444,2683,2792,5479,3129,3101,6230,13408,13589,26999,3189,3304,6488,3105,3119,6218,3243,3393,6637,3193,3206,6396,3219,3095,6319,15946,16115,32063,3317,3297,6609,3215,3250,6466,3493,3404,6897,3587,3491,7076,3709,3597,7308,17326,17036,34357,3770,3610
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0
SOS29,55,36,94,38,43,80,32,26,62,51,35,86,35,22,60,215,163,379,21,27,43,22,20,42,20,17,30,20,23,44,14,18,32,88,105,195,26,29,49,25,17,41,5,10,18,14,10,25,23,22,41,88,88,176,16,18,34,18,15,36,29,28,54,55,50,103,58,65,125,180,178,357,81,60,140,77,88,168,100,91,193,97,97,196,98,112,210,447,453,898,137,117,253,128,93,218,88,74,164,87,75,160,102,95,194,542,450,994,128,85,216,94,64,159,95,63,162,93,56,147,101,73,173,513,345,856,120,78,198,84,55,140,85,50,131,79,36,118,74,34,104,441,253,693,93,33,129,56,53,108,89,34,120,68,42,111,77,57,128,372,229,601,93,47,138,60,32,99,75,31,109,69,21,96,50,32,83,349,170,524,65,29,93,54,34,90,56,42,93,53,42,96,51,32,86,277,177,451,47,36
