GCCSA_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
2RVIC,12472,10590,7573,4001,1325,642,52035,4878,9962,10956,11456,10224,4901,907,238,53525,1039,2386,2246,1740,1347,820,305,134,10022,4078,6653,4769,3907,2646,1929,594,193,24779,128,99,67,90,130,183,166,63,919,161,527,836,745,579,326,140,63,3383,7903,6277,6741,8274,9274,9823,8532,5626,62449,29061,60546,61505,60407,56710,37948,18442,9183,333815,931,2199,2926,2234,2225,1523,437,142,12610,853,2516,2268,1553,1220,531,49,14,9011,5848,14895,15540,19235,18858,15151,6809,2140,98474,4271,9537,7583,7281,7086,4651,2306,640,43352,2037,4981,6029,5790,4258,2393,962,288,26730,4123,13707,12537,14118,15165,8870,3827,1293,73635,2103,9085,10189,10372,13675,10634,3785,1026,60876,5734,17099,19033,16920,13434,7821,2521,979,83539,6655,12885,14162,14837,13664,7365,1730,392,71688,2022,3881,3607,2659,2338,1553,518,196,16771,5394,9645,7438,6263,4490,3110,1101,337,37784,248,183,124,180,213,328,277,117,1681,384,1179,1803,1700,1479,955,407,175,8081,16921,14474,15052,17996,19229,19534,15333,8728,127271,57525,116274,118303,121121
2GMEL,65896,45955,26008,12698,4504,2392,254447,16221,47326,43585,35660,25258,11735,3083,942,183817,8553,20952,13172,7719,4271,2207,958,440,58274,9715,19962,13742,10876,5804,4211,1225,530,66062,777,347,259,354,378,512,412,154,3189,1826,4905,4993,3705,2383,1290,496,233,19827,20608,27071,20896,19219,17017,16255,14346,11052,146458,105594,299447,248640,194393,137369,81197,39519,20696,1126854,8761,19935,18135,14246,10157,6042,2147,744,80162,6620,34991,32666,14920,6936,1938,245,49,98377,16510,59158,56502,58223,48045,33646,17755,6134,295972,12183,32931,23854,20576,14020,8554,4864,1393,118373,2626,7330,6975,5414,3321,1589,680,209,28154,13355,53845,41540,35846,28614,16067,7904,2840,200019,6246,31179,30020,30134,30972,20418,7896,2257,159116,37434,133296,115589,83276,51163,26800,9452,3973,460992,24232,67904,61318,50879,37759,19565,5751,1682,269085,15002,36388,22779,13137,7718,4087,1637,656,101396,13762,33237,22158,17009,9319,6198,2195,804,104677,1551,812,545,633,694,811,699,234,5977,3040,8683,8893,7080,4747,2687,1146,531,36795,42854,56472,44448,40147,34194,30789,25312,16656,290876,204172,576154,485427,391515
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5
29499,37,27,36,12,3,0,259,42,101,52,30,25,11,0,0,264,19,51,21,11,4,0,0,0,101,25,35,23,13,8,0,0,0,101,3,0,0,0,0,0,0,0,3,4,7,3,6,8,3,0,0,27,139,200,151,89,76,40,13,11,711,348,640,356,230,211,95,23,16,1920,19,43,19,12,9,6,3,0,118,8,41,18,5,4,3,0,0,80,32,123,61,59,50,46,10,0,387,22,68,37,27,24,6,4,0,196,12,28,14,13,8,3,0,0,78,31,91,39,30,32,13,0,0,247,16,38,28,18,35,18,3,0,154,83,182,85,54,53,21,3,0,481,50,147,71,50,48,21,3,0,391,25,79,35,19,11,0,0,0,170,29,54,39,26,18,3,0,0,171,3,0,0,0,0,0,0,0,5,13,10,15,9,8,3,0,0,63,318,513,501,337,227,113,32,9,2040,650,1413,971,670
