GCCSA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
2RVIC,922,1970,4754,5425,6819,7252,4583,1538,291,33560,20,179,972,1019,1103,708,112,13,3,4131,1215,3251,7138,8272,9548,7011,1174,117,25,37742,66,320,1338,1514,2341,1785,257,15,3,7641,2391,6080,12049,9904,9616,7258,1407,132,39,48881,338,762,1779,2180,2453,1937,490,60,13,10024,4010,3719,5115,4447,4285,3832,1226,161,23,26828,4875,2842,2941,2143,1905,1827,653,74,11,17265,241,783,2653,3685,5211,5169,1543,115,25,19428,154,301,699,778,811,670,142,17,0,3567,40,219,918,1232,1259,783,222,34,5,4708,51,183,502,621,734,666,289,46,11,3098,175,744,2557,2978,2797,2563,1065,156,6,13046,226,532,1336,1601,1906,1828,515,55,9,7999,339,1118,3305,4298,5419,4228,718,78,12,19512,341,753,2709,3354,3374,3637,863,64,3,15105,190,821,2839,3336,3888,3949,1013,114,15,16158,491,534,792,857,884,820,309,55,6,4749,657,1376,2433,2268,2687,2329,699,106,12,12577,948,1550,2711,2859,3453,2866,1045,364,95,15896
2GMEL,217,639,1613,1683,1735,1422,715,258,39,8327,10,110,786,899,867,570,132,16,5,3394,1684,6438,22711,28769,29846,19943,4041,386,54,113873,112,727,3965,3890,3467,2180,380,24,8,14757,5338,17317,43299,34510,29710,17508,3665,344,55,151744,710,2776,9986,11945,11809,7523,1751,215,26,46744,9823,16496,23828,17702,14475,9731,3005,364,56,95488,12377,13951,19255,9618,6690,4256,973,107,14,67244,698,4387,18946,18750,19438,14307,3406,222,27,80188,543,1831,7897,8409,6194,3072,563,51,9,28570,195,2525,14534,15154,10265,5059,1369,193,48,49338,253,1372,5029,4221,3651,2546,995,198,24,18287,648,6143,31423,29933,20515,13208,5059,675,76,107676,706,3724,9798,8395,7566,5557,1783,196,18,37747,532,2807,11911,13269,13451,9332,2126,264,24,53717,1600,4556,13408,12423,10788,9786,2856,269,24,55715,506,2956,13426,13007,11943,9463,3255,387,48,54990,2432,3785,6379,4430,3304,2172,793,154,16,23474,1192,3846,9775,8780,8789,6287,1821,249,23,40779,2000,6386,16173,14028,13840,8929,2844,548,161,64905
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
29499,3,7,16,4,10,7,0,0,0,45,0,0,6,3,0,0,0,0,0,7,0,10,30,38,15,7,4,0,0,107,0,0,7,3,4,5,0,0,0,17,4,20,70,49,25,21,3,0,0,182,0,3,9,9,5,8,0,0,0,35,3,14,17,19,13,9,0,0,0,70,11,35,46,11,6,4,0,0,0,116,0,4,38,23,21,18,3,0,0,111,0,3,6,4,0,0,0,0,0,20,0,0,6,10,0,4,0,3,0,26,0,0,10,5,3,0,0,0,0,13,0,0,40,15,8,5,0,0,0,71,0,3,22,9,9,9,0,0,0,52,9,21,21,13,8,9,0,0,0,78,0,7,13,5,3,15,0,0,0,44,0,3,12,15,9,10,0,0,0,51,0,7,17,4,7,0,0,0,0,41,0,6,12,15,12,3,3,0,0,54,7,6,33,15,26,9,0,0,0,94
