GCCSA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
2RVIC,..,155827,155827,182040,13004,195040,71096,2267,73363,68385,845,69223,31336,324,31662,12882,235,13113,365732,172499,538228
2GMEL,..,366005,366005,442770,50885,493655,254783,16837,271619,269991,7022,277011,109030,2577,111605,52984,1592,54576,1129553,444918,1574474
29799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
