GCCSA_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
2RVIC,577,1526,985,985,963,816,268,505,2376,9005,15638,54949,48694,52921,47356,33351,16052,22158,5562,296681,1760,4447,3371,4389,4319,7263,3609,17374,942,47481,332,133,136,140,462,609,723,2033,53,4618,1706,3255,2861,3561,11854,11874,7441,7277,522,50356,489,309,416,540,2527,2384,1270,1450,83,9474,1824,3060,2765,4117,8350,15991,6593,10999,787,54481,444,1057,949,1058,2754,2971,1911,2478,110,13734,2578,15657,8806,9318,10779,7111,4547,5788,791,65363,1667,15342,5974,5410,4359,3184,2068,4783,747,43530,1079,1923,1874,2249,3475,4161,2841,6395,405,24408,233,827,523,554,1488,1107,719,772,47,6273,599,669,1196,1361,2700,2515,1196,1444,81,11759,228,668,621,608,1378,1191,704,1339,53,6785,846,3105,2632,3193,4581,4923,2522,3968,201,25977,666,4122,2568,2466,2882,2201,927,1484,283,17593,2476,2544,3201,3704,9309,8418,4236,3803,339,38019,2171,6957,7293,7803,9380,6850,4929,7638,480,53513,5516,9497,16296,20631,14533,11464,4432,5470,876,88708,428,2341,1081,1150,1346,1057,588,1063,133,9192
2GMEL,1419,5785,4455,4186,6274,5341,1523,2197,8201,39376,40097,159563,147371,150970,187904,152448,66484,76656,17045,998542,455,1494,1427,1515,2268,2515,1108,2385,206,13368,268,143,167,169,471,1008,559,1685,37,4500,3484,8865,8960,10377,45489,39535,20766,23345,1404,162231,639,586,892,1153,5904,5987,2599,3377,169,21319,3972,8290,9489,12774,26848,53242,20898,35540,2409,173467,1722,4180,4877,5228,17910,19367,9054,11706,490,74537,6102,47948,30484,26652,37180,28077,14982,20324,2392,214139,3370,41260,24261,15996,15756,12824,7974,13474,2137,137055,3367,5649,7695,10390,21274,23968,12764,18966,1457,105527,1234,3100,2920,3256,10428,12427,5179,6968,373,45902,3401,3148,5953,7054,19554,29700,10255,15130,667,94869,908,2938,2868,2933,6594,8079,4107,7455,324,36207,4995,15074,14598,16238,32357,51775,20929,34073,1248,191289,2104,11740,11564,9743,14663,12633,5261,7002,931,75634,5339,6049,8350,9933,28365,23767,12701,10850,833,106181,5840,28697,23224,22903,32542,26657,15856,25476,1460,182653,11220,27719,40024,50371,48601,37944,15419,19332,2476,253104,1355,10504,5042,5089,6027,6727,3146,5147,463,43509
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,6,7,5,4,3,3,3,4,16,50,50,112,99,114,136,117,58,77,35,786,3,3,8,13,11,14,3,7,0,62,3,3,0,0,0,3,0,5,0,17,7,3,11,9,31,36,16,15,8,131,0,3,4,0,3,11,0,4,0,20,10,14,7,16,28,61,20,41,3,199,0,0,3,3,12,13,4,0,0,42,3,20,18,17,32,23,9,7,3,133,7,41,40,41,39,25,16,29,12,245,8,8,4,12,25,24,11,28,4,134,0,3,0,3,4,0,6,3,0,29,4,3,0,0,14,12,0,13,0,45,0,0,0,0,8,10,3,6,0,29,3,9,13,6,26,36,10,20,3,131,4,20,20,7,16,7,4,13,0,89,14,4,7,5,29,28,19,20,0,118,5,19,17,15,16,9,6,16,3,115,8,18,31,41,25,29,15,20,0,189,0,10,8,14,5,9,4,15,0,65
