GCCSA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
2RVIC,28747,175932,200137,69703,40647,515162,23068,538228
2GMEL,137311,546747,576152,173431,90645,1524287,50187,1574474
29799,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0
