GCCSA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
2RVIC,127719,10289,6542,1089,186,81,899,146809
2GMEL,511184,29164,14697,5801,545,260,1502,563155
29799,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0
