GCCSA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
2RVIC,30420,7822,38801,215993,93218,9997,319205,739010,115137,1173346
2GMEL,73797,14002,89151,745189,239874,23943,1009000,2388318,268192,3665515
29799,0,0,0,5,0,0,5,18,3,25
29499,25,13,38,649,290,14,960,3900,1969,6825
