GCCSA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2RVIC,117330,84407,40072,16459,671490
2GMEL,287668,179183,87676,38164,2249964
29799,10,0,0,0,25
29499,526,263,61,19,4580
