GCCSA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
2RVIC,767,475,4905,5525,1247,13613,644,8561,666,36413,2955,4991,11797,9526,4165,8427,2281,8460,834,53437,11914,24879,21971,13032,11399,8778,6207,12973,1614,112772,19050,26219,18121,13034,15027,8612,7726,12422,1947,122157,23321,24803,18316,16552,19205,10170,10964,16133,2152,141612,20354,20984,13568,12482,15007,8001,9799,14193,1802,116189,8979,4674,2600,2268,3377,1983,2281,3360,786,30307,2410,457,247,154,316,182,169,483,362,4785,383,72,67,46,66,43,38,85,128,919,90136,107552,91588,72622,69811,59819,40101,76668,10291,618583
2GMEL,1227,2370,8735,16178,4219,35607,1789,16529,1462,88109,9237,27831,30326,36386,23879,40500,8640,22030,3644,202474,58618,165390,77022,54001,69838,42937,25471,35874,9437,538588,81497,142263,58738,39896,66637,30625,25833,29436,8085,483008,75224,103062,52222,39796,69794,30146,29943,33473,7241,440905,41940,67058,32510,24758,46725,19440,22271,25702,4362,284768,10239,18051,6600,5034,11107,5328,4602,6472,1596,69019,1393,1969,595,342,916,539,295,851,526,7429,218,272,106,48,119,78,42,96,225,1203,279601,528261,266855,216447,293226,205194,118891,170451,36574,2115493
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,3,0,23
29499,6,0,9,15,0,16,4,10,0,64,20,28,35,79,16,31,9,66,5,289,52,183,113,99,60,39,48,104,13,726,38,74,62,38,33,21,55,51,20,386,36,52,37,26,23,17,48,44,14,300,22,53,30,19,26,10,30,28,5,215,5,4,3,4,9,4,3,0,0,42,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,178,405,297,277,182,134,200,307,57,2033
