CED_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
CED201,95,408,487,648,736,812,1163,851,412,5620,78,466,810,823,1040,856,727,304,176,5268,45,517,904,909,1087,852,464,186,76,5041,21,488,1202,970,1179,879,260,86,43,5127,8,318,1304,925,1133,798,187,55,21,4755,0,93,926,642,676,466,88,17,7,2913,3,28,506,559,538,316,60,15,9,2035,0,6,191,328,350,240,34,4,7,1159,3,3,189,372,349,179,30,14,4,1146,4,3,28,116,116,74,18,12,8,372,228,210,485,438,496,480,486,428,390,3648,4372,4515,9126,9391,10270,9165,6241,3359,1669,58110,4400,1095,1219,1237,1183,1671,811,341,210,12169,2296,913,360,507,487,683,426,174,50,5894,844,1173,842,845,835,1134,1218,613,172,7674,283,762,709,833,947,1149,2302,1481,447,8912,266,757,760,898,1038,1175,1838,1318,575,8630,182,979,1245,1126,1437,1314,1334,599,256,8475,110,1065,1696,1416,1695,1516,892,411,122,8921,57,997,2434,1908,2138,1754,684,197,85,10248
CED202,172,512,753,896,994,1069,1669,1171,651,7891,108,637,1045,1096,1169,980,936,398,258,6629,46,586,1100,1076,1149,922,550,212,119,5758,11,439,1040,1026,1128,856,298,116,62,4984,5,268,965,904,1051,781,223,88,52,4327,0,77,678,656,718,466,95,40,11,2746,0,19,406,535,572,362,73,23,8,2009,0,7,165,309,373,264,40,15,12,1181,0,8,125,280,322,253,57,11,7,1052,3,17,36,149,169,107,52,26,20,585,477,384,657,700,808,843,862,691,488,5924,4788,5012,9323,10008,10904,10353,8153,4361,2251,65149,3907,789,861,866,930,1409,600,191,78,9628,2450,608,444,455,463,575,463,143,49,5649,1069,1575,1286,1043,1095,1580,1426,636,232,9938,357,933,1001,1022,1241,1736,3395,1994,606,12284,458,948,1114,1273,1513,1811,2807,1831,879,12629,316,1200,1530,1519,1676,1671,1772,726,364,10766,129,1190,1950,1727,1875,1678,1202,464,188,10411,56,1044,2322,2002,2150,1816,776,267,113,10547
CED203,61,579,875,658,789,723,1025,1142,671,6517,50,622,1155,943,841,653,504,334,191,5301,33,514,1384,1001,912,616,346,162,70,5036,10,476,1716,1110,985,629,243,90,58,5318,5,349,2039,1280,1051,619,169,58,31,5606,0,108,1582,1060,788,415,96,18,11,4077,6,32,1070,1031,724,344,64,13,10,3291,0,8,488,667,504,261,34,9,3,1984,0,7,583,955,684,309,44,7,3,2604,3,12,109,483,406,145,46,9,9,1219,377,521,1263,947,816,684,633,649,627,6519,3742,6470,15939,12887,10910,7989,5851,4722,2475,70983,3547,2060,2328,1393,1112,1164,605,381,160,12749,1777,980,610,556,473,456,368,245,120,5594,818,1922,1694,1100,1056,1251,1224,1098,336,10505,256,1267,1462,1050,1190,1360,2404,2451,820,12258,158,1140,1684,1118,1276,1259,1666,1677,911,10887,144,1139,2165,1446,1333,1102,967,625,302,9228,63,1022,2809,1733,1555,1132,673,333,138,9464,24,932,3596,2151,1939,1280,490,173,102,10698
CED204,163,464,675,698,900,1076,1656,1143,589,7370,127,601,1036,1061,1079,1005,994,433,258,6591,57,594,1064,1068,1142,1012,604,254,96,5890,27,401,1003,976,1098,905,376,127,74,4993,10,248,890,848,1033,758,237,106,50,4182,5,82,630,587,683,482,120,41,12,2645,0,20,327,480,529,424,83,20,9,1901,0,7,133,290,341,232,48,14,15,1086,0,5,98,308,333,227,51,32,10,1057,9,8,47,143,172,105,58,31,7,577,496,324,676,706,779,919,922,760,692,6268,4537,4591,8664,9423,10472,10539,8279,4558,2389,63446,3584,592,656,797,800,1241,531,163,81,8449,2366,590,415,429,439,656,411,135,81,5528,951,1324,1089,992,1085,1638,1418,679,234,9402,373,796,914,1015,1226,1810,3228,2102,607,12078,358,813,1035,1049,1418,1767,2843,1823,811,11910,268,1128,1466,1492,1582,1705,1906,834,385,10767,148,1221,1902,1694,1899,1865,1237,549,195,10699,60,948,2202,1926,2101,1986,945,329,145,10636
CED205,72,414,660,648,730,800,1284,1170,631,6416,57,382,872,881,879,700,753,442,229,5192,14,355,1027,907,934,742,458,205,120,4769,16,343,1190,914,939,677,329,122,75,4604,4,265,1226,838,886,604,237,105,49,4210,0,86,730,591,510,373,113,34,19,2462,3,34,492,483,452,276,89,27,12,1857,0,9,203,289,260,195,43,20,5,1023,0,10,210,406,354,193,48,18,11,1254,5,5,55,165,179,114,55,34,15,614,345,346,818,586,597,592,595,584,531,4989,4583,5365,11494,10152,9841,8898,7534,4912,2376,65166,5421,2656,3008,2083,1663,1975,1117,514,187,18620,2010,1198,599,519,548,624,516,254,67,6320,743,1606,1586,1288,1268,1523,1605,1087,287,10995,286,1073,1221,1046,1210,1476,2802,2253,699,12057,188,961,1300,1081,1244,1341,2118,1816,918,10954,133,904,1722,1423,1422,1204,1402,861,354,9421,63,954,2497,1857,1745,1393,944,487,206,10147,39,862,3004,2169,2005,1446,771,301,116,10708
CED206,101,488,792,784,968,917,1147,820,348,6371,86,554,972,1073,1159,815,491,168,99,5415,34,593,1147,997,1151,742,269,90,24,5052,21,516,1238,994,1162,654,195,51,25,4851,11,319,1096,921,949,567,138,40,17,4058,4,71,688,563,580,352,52,5,0,2315,0,30,385,366,456,218,34,7,0,1498,0,7,183,234,246,137,18,3,4,832,0,9,122,218,233,97,15,3,0,693,4,8,50,91,109,47,19,13,5,356,541,422,904,758,845,733,651,405,190,5450,6097,6071,11558,10825,12050,9464,6221,3098,1162,66542,5808,1838,2318,1760,1800,1847,858,387,131,16746,2984,1312,661,594,600,568,375,161,43,7313,1275,1788,2040,1922,2034,2017,1529,722,170,13518,362,1101,1420,1443,1864,2085,3203,1697,428,13602,279,1040,1409,1295,1550,1458,1860,1258,493,10637,207,1216,1811,1660,1804,1350,1007,351,148,9546,123,1324,2338,1818,2051,1449,651,210,69,10024,63,1166,2930,2190,2445,1601,488,103,36,11017
CED207,108,431,637,748,867,846,1437,891,437,6406,79,503,890,991,1129,961,828,365,199,5943,49,562,1021,1003,1194,913,503,175,67,5492,19,485,1212,944,1195,815,311,83,38,5103,6,259,1184,901,1071,801,246,60,25,4561,0,67,737,626,644,450,102,22,6,2646,0,17,420,454,481,365,72,17,7,1833,0,8,119,271,325,175,34,7,8,935,3,3,126,287,286,164,44,6,0,921,8,8,35,103,102,69,40,21,12,396,386,259,529,596,665,646,647,486,335,4552,4487,4154,9276,9553,10398,9334,7104,3404,1586,59291,3848,653,948,996,994,1364,668,221,116,9801,2266,541,495,509,459,615,398,129,29,5445,932,945,945,981,874,1230,1258,522,156,7844,360,682,775,889,1003,1329,2620,1569,490,9717,395,823,892,1004,1246,1361,2355,1404,621,10102,320,1056,1254,1304,1562,1497,1637,682,296,9609,145,1150,1799,1610,1847,1574,1075,397,122,9719,58,1082,2500,1990,2293,1828,796,232,78,10853
CED208,110,592,695,597,680,649,988,1140,690,6147,95,573,894,736,837,649,788,551,363,5483,36,414,1023,777,862,630,516,351,166,4784,27,443,1305,792,903,672,362,179,108,4796,6,358,1551,1001,1002,688,275,138,81,5096,0,112,1069,746,762,491,143,72,45,3442,3,43,661,716,726,419,106,36,24,2731,3,28,390,508,504,296,62,21,13,1825,6,14,418,742,651,341,77,42,28,2315,3,13,82,337,370,155,45,28,35,1067,333,483,779,521,555,508,540,661,654,5033,5767,8937,12951,10534,10556,8469,6631,5446,2942,72227,6196,6351,3760,1752,1461,1621,989,489,184,22802,2419,1623,739,540,557,582,473,264,93,7299,1052,2313,1347,907,939,1218,1181,1049,362,10354,364,1523,1312,846,968,1070,1946,2088,761,10882,240,1288,1390,899,1045,1055,1527,1700,967,10122,195,1281,1792,1115,1277,1067,1322,986,537,9564,81,963,2178,1349,1410,1116,956,654,291,8993,64,931,2776,1555,1664,1287,727,413,207,9622
CED209,134,449,578,744,825,954,1460,1048,607,6791,103,514,874,1106,1129,1077,1047,505,270,6619,39,456,950,1022,1080,962,703,270,131,5618,19,357,1032,1023,1110,899,457,150,82,5128,9,245,1077,956,1038,810,327,116,78,4657,0,76,792,687,694,479,161,47,34,2956,0,21,469,537,575,385,114,33,22,2155,0,3,193,358,367,250,70,29,8,1277,0,3,175,381,357,235,84,35,11,1283,7,3,50,175,202,120,72,38,15,690,412,285,516,584,650,711,775,658,573,5166,4494,4162,8851,10165,10360,10128,8273,4483,2588,63504,3575,692,877,980,877,1364,628,225,205,9418,2618,686,409,548,479,629,466,159,70,6062,918,1325,964,923,900,1369,1469,693,237,8792,390,828,864,894,1049,1501,2692,1864,715,10786,354,911,891,1010,1158,1510,2462,1613,840,10753,256,1012,1286,1443,1539,1779,1951,931,401,10598,116,991,1644,1576,1655,1703,1410,557,236,9886,63,894,2175,1927,2050,1858,1083,348,140,10537
CED210,132,525,787,764,1006,1084,1665,1301,815,8076,101,635,1046,1089,1102,1034,943,425,224,6596,50,573,1113,988,1139,844,525,217,79,5528,21,483,1096,865,1039,782,300,144,59,4787,10,259,1046,824,923,661,217,84,64,4081,3,59,757,607,564,407,81,26,13,2513,4,27,455,450,493,315,54,26,5,1830,0,11,183,269,306,232,47,12,3,1062,0,5,165,286,295,177,37,18,11,987,11,8,46,137,138,80,60,32,12,523,430,374,676,625,776,849,865,743,567,5903,4517,4886,9797,9350,10253,10027,8124,4885,2467,64305,3891,737,1027,885,933,1410,602,218,109,9811,2360,676,455,481,412,604,369,157,46,5569,921,1312,1196,1024,1161,1639,1564,829,278,9933,355,867,994,1096,1241,1844,3329,2279,691,12703,302,932,1209,1092,1523,1667,2732,1982,1129,12561,250,1183,1561,1485,1520,1619,1756,858,350,10585,111,1179,2022,1572,1783,1523,1083,488,182,9958,60,1006,2343,1812,2018,1723,721,296,104,10084
