CED_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
CED212,60,109,217,286,294,180,76,13,11,1249,1911,2954,6214,6955,7669,5399,1250,88,21,32465,15,35,62,92,109,74,38,5,3,427,0,3,25,40,57,31,11,5,0,167,183,372,964,1349,1501,1079,231,24,3,5705,7,28,139,174,207,142,12,3,0,718,276,837,2168,1853,1643,1056,211,26,5,8074,46,157,451,608,600,421,113,13,4,2420,1039,1249,1389,1272,1315,1063,287,20,3,7636,1213,713,597,478,431,286,60,4,0,3786,21,120,382,447,600,538,156,6,0,2274,48,82,173,232,218,124,36,3,0,917,16,81,357,413,424,298,68,11,3,1674,28,102,234,288,264,166,75,14,0,1163,44,199,746,1092,969,669,244,25,3,3995,41,138,391,492,642,459,139,5,0,2302,19,106,649,786,966,583,126,22,0,3257,99,309,1137,1415,1489,1184,259,16,3,5919,106,621,1789,1967,2395,1997,473,31,4,9387,165,198,231,257,251,147,52,7,0,1310
CED213,64,71,180,254,319,240,95,23,3,1255,1920,2548,5323,6442,7927,6061,1508,149,24,31911,47,128,246,340,449,466,277,118,16,2086,0,9,41,72,80,53,9,3,0,275,193,288,697,1134,1287,1026,272,21,8,4927,7,35,117,151,237,156,29,5,0,742,404,1033,2163,2158,2149,1477,320,22,9,9733,45,112,315,470,488,404,120,15,0,1963,1160,916,1140,1265,1396,1199,337,24,3,7443,1082,709,693,628,679,523,149,13,0,4481,27,89,222,404,664,588,189,15,0,2199,16,56,58,119,164,123,23,0,0,558,10,39,174,248,272,199,92,11,0,1043,35,89,211,270,310,232,110,17,0,1284,47,155,453,739,826,672,347,44,7,3288,48,153,358,564,749,565,191,24,3,2654,260,486,688,734,836,655,134,16,0,3810,91,206,894,1185,1377,1179,256,19,4,5211,84,448,1281,1528,2214,1884,447,32,4,7930,191,185,277,324,348,300,118,13,4,1760
CED214,42,139,377,334,308,159,39,3,3,1408,1257,3231,10308,9258,7588,4191,669,56,15,36571,3,16,91,72,66,30,9,3,0,287,0,0,47,51,33,21,3,0,0,168,115,262,1291,1559,1436,906,150,10,3,5743,3,47,285,269,189,88,14,0,0,897,101,454,1552,1337,1048,593,77,13,3,5180,25,150,635,686,590,322,46,8,4,2468,694,1275,1966,1291,1048,612,110,11,3,7004,901,1231,1729,815,562,294,42,12,0,5589,34,304,1261,1294,1256,836,165,14,0,5167,35,136,576,695,421,168,24,3,0,2059,9,187,1282,1342,699,239,38,6,3,3799,21,114,386,390,230,120,26,3,0,1282,22,382,2239,2287,1339,574,134,9,0,6989,36,303,1062,741,581,327,76,3,0,3135,22,161,1221,1492,1278,710,132,8,0,5015,96,441,1805,1819,1665,1173,179,17,3,7196,58,468,2400,1975,1722,1199,238,3,0,8070,106,283,597,450,324,185,40,3,0,1988
CED215,50,46,122,121,168,172,66,24,8,782,1703,2279,5032,5356,6603,5443,1182,157,24,27784,104,268,694,707,825,961,673,214,38,4494,3,18,219,246,327,203,31,0,0,1041,151,340,758,821,960,827,145,10,0,4012,24,88,314,403,654,507,69,4,0,2067,195,567,1246,1054,1044,879,169,19,0,5169,34,96,197,239,244,154,42,3,0,1014,1019,739,1113,1053,1160,960,224,28,0,6299,1090,586,623,537,603,535,141,10,3,4127,30,80,246,338,536,496,169,13,0,1901,28,74,90,75,80,83,25,3,0,453,8,62,176,181,214,121,27,7,0,784,14,54,125,115,133,142,41,5,0,640,42,114,415,428,414,388,153,27,0,1974,40,92,235,312,399,356,96,13,0,1547,43,269,915,972,1055,816,133,11,3,4215,84,238,836,1004,1296,1084,198,6,0,4740,79,546,1511,1557,2087,1980,365,26,3,8151,60,68,100,123,126,110,36,13,0,640
CED216,53,84,198,286,383,217,87,12,4,1319,1592,2738,5870,7594,9250,5769,1607,126,21,34569,3,13,27,39,58,36,27,8,0,205,0,3,30,56,85,49,9,0,0,227,109,171,544,820,1084,663,239,22,6,3653,0,29,129,193,179,89,19,7,0,643,94,366,903,900,1106,711,210,21,0,4317,40,130,362,617,829,486,150,19,3,2645,782,1129,1107,1112,1217,875,355,52,0,6625,901,904,743,518,451,244,82,9,0,3852,11,84,307,442,598,425,105,14,7,1992,55,125,342,526,610,283,56,3,0,2001,21,176,780,1499,1396,642,196,23,13,4737,23,127,318,381,519,300,148,22,3,1835,65,527,1766,2661,2825,1768,675,70,0,10359,34,168,420,535,654,380,149,16,0,2358,11,91,465,751,908,645,150,12,3,3037,237,422,986,1361,2003,1705,444,27,0,7190,76,416,1390,1725,2350,1865,518,47,8,8391,283,272,323,338,348,192,83,10,0,1843
CED217,78,197,434,455,347,184,32,9,3,1736,2136,3785,9743,10204,7840,4255,543,31,9,38550,9,23,95,110,100,62,16,0,0,416,0,5,53,50,37,32,6,0,0,178,139,389,1454,2464,2203,1353,162,7,0,8182,5,68,265,292,174,105,13,0,0,926,315,879,2237,2127,1434,720,80,3,0,7793,34,193,721,850,689,394,58,5,0,2950,996,1658,2084,1970,1499,801,136,6,0,9148,1611,873,962,779,613,350,56,3,0,5247,78,477,2152,2396,2064,1330,196,13,0,8709,54,106,388,443,194,86,11,0,0,1276,18,214,1176,1094,523,210,27,4,0,3263,28,109,347,335,194,108,24,0,0,1140,44,282,1252,1342,603,311,61,7,0,3908,47,277,750,850,707,507,92,8,0,3232,26,199,1004,1276,996,619,121,5,0,4238,143,400,1445,1583,1137,661,98,9,0,5472,87,681,2310,2533,2032,1215,196,3,3,9066,151,191,311,311,180,121,26,0,0,1294
CED218,48,145,397,278,277,150,91,21,14,1429,1224,4339,12973,7890,7102,4758,1507,151,36,39986,0,30,62,39,63,48,35,10,0,288,0,5,66,64,60,40,9,4,0,251,75,194,1004,805,763,438,140,18,4,3446,4,30,289,207,153,54,18,0,0,763,35,332,1282,773,655,411,145,22,3,3657,26,187,769,642,618,332,116,13,3,2720,533,1471,2407,1219,1009,682,285,38,4,7645,772,1419,1814,646,456,254,67,12,3,5438,14,130,563,432,419,301,91,17,0,1977,29,197,846,722,426,230,50,9,3,2511,24,318,1997,1738,1260,579,218,43,11,6187,13,180,713,441,455,268,143,27,12,2261,54,944,4700,3173,2248,1451,616,81,7,13276,35,277,1025,579,486,313,137,17,6,2890,23,176,954,735,786,541,130,16,0,3354,175,545,2112,1337,1504,1299,357,42,4,7387,79,621,2954,1903,1997,1726,690,79,13,10053,182,366,699,376,301,181,80,14,0,2197
CED219,73,198,532,440,386,277,39,10,3,1962,1988,4081,10390,9221,8117,4807,670,56,9,39334,14,50,129,143,139,89,25,10,0,607,0,4,32,40,34,22,3,0,0,139,171,784,2546,3370,3076,1906,255,8,0,12118,8,46,289,260,204,116,13,3,0,941,285,1093,2717,2007,1470,843,165,5,0,8577,75,292,1007,1157,964,606,78,3,0,4172,1142,1750,2533,2051,1591,885,142,11,0,10107,1318,919,943,688,503,271,49,4,0,4699,52,304,1318,1381,1320,978,157,13,0,5519,50,132,424,329,204,98,13,0,0,1247,22,229,996,794,478,214,37,0,0,2769,26,115,324,227,186,119,29,6,0,1030,41,306,1326,1160,618,390,79,8,0,3925,51,282,817,837,713,502,84,9,0,3290,19,171,797,848,757,517,112,23,0,3243,106,398,1138,1274,995,656,122,8,0,4701,109,862,3036,2915,2485,1552,232,11,3,11197,130,197,282,200,156,109,19,3,0,1097
CED220,43,137,358,349,352,201,47,6,7,1496,1479,3040,7445,7678,7409,4444,908,62,19,32476,9,36,112,102,125,89,15,3,3,499,0,6,21,46,22,13,3,0,0,110,119,367,1222,1685,1913,1315,235,21,4,6889,0,19,166,232,149,89,20,0,0,674,113,489,1197,1121,1020,662,143,16,0,4754,41,171,644,735,705,413,100,3,0,2821,876,1403,1668,1310,1228,776,207,28,4,7492,954,885,1013,673,553,351,54,3,0,4482,18,152,691,635,700,558,149,16,0,2915,23,79,375,453,326,145,26,0,0,1427,13,223,949,1053,710,296,49,4,3,3294,9,99,314,271,219,118,35,6,0,1075,32,358,1624,1770,1225,594,171,25,0,5793,37,246,684,621,563,421,112,8,0,2684,7,127,503,765,779,518,111,11,0,2833,120,373,1071,1381,1411,944,185,16,0,5502,77,556,1957,1793,1843,1341,330,13,0,7905,183,246,272,246,236,83,36,8,3,1315
CED221,65,67,117,184,206,161,85,27,4,922,1932,2149,4952,5959,7382,6111,1384,185,42,30086,109,222,438,611,859,1121,925,307,66,4656,0,4,44,53,54,53,13,0,0,228,256,473,1035,1200,1502,1152,181,16,3,5816,8,25,102,108,188,156,9,0,0,597,273,559,1135,1102,1170,906,173,11,4,5328,61,89,241,294,355,274,60,3,3,1384,906,652,1008,1047,1287,997,273,30,4,6215,1188,636,792,720,790,635,221,14,3,5000,41,134,345,513,731,697,217,10,12,2699,26,45,77,104,92,90,25,0,0,463,13,49,176,218,240,139,24,5,3,873,31,54,129,153,161,140,48,3,4,714,40,117,362,544,556,457,165,20,3,2264,57,126,319,409,513,466,119,9,3,2021,154,450,847,1093,1409,1009,169,11,4,5131,88,230,904,1168,1277,1205,204,17,3,5106,129,464,1450,1714,2299,2238,377,32,4,8696,88,72,153,141,183,110,37,8,0,785
CED222,48,120,320,364,373,217,68,9,6,1513,1770,3224,7888,8590,8297,4896,1015,61,12,35753,10,43,116,131,143,77,18,8,0,557,0,7,26,40,25,15,0,0,0,120,165,447,1508,2187,2348,1507,256,14,0,8438,9,30,201,225,187,109,21,0,0,778,227,697,1928,1823,1470,810,156,14,0,7126,40,184,674,928,863,537,116,14,0,3361,1006,1376,1645,1427,1443,843,215,15,0,7967,1094,805,772,526,512,302,53,9,0,4067,29,181,633,733,870,601,133,5,0,3191,34,104,319,389,294,131,28,0,0,1287,16,174,768,994,698,341,85,3,0,3073,24,108,322,275,242,154,38,6,0,1164,37,295,1286,1632,1180,636,221,26,4,5326,35,219,585,623,613,411,109,8,0,2602,18,140,725,996,925,626,131,14,4,3582,115,349,1250,1486,1466,1024,185,12,0,5883,80,623,2062,2079,2109,1453,320,10,0,8749,168,221,293,252,228,124,52,16,0,1353
CED223,43,81,208,228,245,150,56,16,4,1020,1622,2946,6629,7744,7857,5710,1234,114,8,33855,6,19,34,58,48,42,20,5,0,237,0,4,27,45,60,36,4,0,0,175,149,228,615,962,1108,762,197,23,0,4049,4,28,141,189,158,118,26,0,0,667,181,614,1470,1380,1322,845,219,14,3,6052,39,127,386,551,568,392,82,18,0,2159,872,1165,1158,895,996,803,241,19,0,6153,881,744,610,433,382,208,51,4,4,3318,28,127,402,506,654,499,129,4,0,2354,51,103,320,455,393,225,30,0,0,1578,19,131,703,1006,752,414,80,6,0,3113,16,108,242,263,237,194,67,13,3,1151,56,413,1460,2017,1582,1099,331,38,5,6996,33,143,409,481,482,401,107,13,0,2067,59,239,881,1260,1301,887,168,19,0,4814,174,484,1405,1875,1956,1812,385,15,0,8109,87,596,2073,2319,2477,2106,537,38,0,10239,244,263,294,281,237,165,61,9,0,1549
CED224,57,134,235,263,298,163,75,24,4,1253,1640,3856,7825,6853,7975,5135,1557,164,22,35029,11,16,36,32,58,45,41,8,3,263,0,0,45,64,53,35,17,0,0,213,104,222,595,652,826,523,160,31,4,3113,7,28,189,141,135,51,11,0,0,568,49,321,850,636,746,428,166,18,3,3224,51,177,436,526,666,341,120,16,0,2334,709,1559,1444,993,1158,679,254,31,5,6822,912,1228,1123,547,519,248,67,9,0,4650,17,111,334,381,458,301,67,14,0,1673,81,202,557,471,463,236,60,3,0,2081,19,247,1157,1330,1250,604,190,29,6,4831,31,163,431,388,443,265,128,32,7,1881,82,858,2543,2319,2540,1653,627,76,13,10711,42,225,550,374,419,300,136,18,0,2066,13,137,620,663,773,590,169,25,0,2997,251,660,1550,1233,1703,1552,484,43,3,7487,96,673,2044,1988,2523,2055,716,83,11,10188,270,311,391,250,232,141,67,10,4,1671
CED225,64,118,225,316,373,202,46,18,0,1371,2395,3530,6714,8897,9212,5442,900,79,21,37183,25,54,105,147,167,124,47,33,4,710,0,12,33,43,49,23,7,0,0,173,205,436,1095,1913,2304,1360,227,19,5,7575,10,60,190,239,239,117,12,0,0,874,447,1137,2038,2158,2088,1122,192,13,4,9204,74,192,587,892,1000,621,98,10,0,3483,1219,1408,1449,1584,1550,949,172,16,0,8351,1652,775,515,512,425,238,54,11,0,4181,48,156,463,727,951,612,156,3,3,3118,62,134,268,369,339,165,32,3,0,1379,22,133,486,733,626,290,63,0,3,2362,38,125,245,289,258,168,44,9,0,1179,59,325,993,1505,1226,703,221,18,0,5056,69,208,499,589,619,457,109,7,0,2548,9,141,636,981,976,641,114,14,3,3519,154,394,1297,1841,1869,1375,235,8,3,7179,106,632,1778,2252,2471,1752,318,26,0,9333,218,247,258,262,240,107,32,3,3,1368
CED226,60,196,601,482,314,183,43,7,0,1886,2158,4260,13609,12064,9172,4715,636,36,14,46661,13,57,183,181,145,128,44,9,0,758,0,5,51,60,34,32,0,0,0,182,122,437,1966,2422,2176,1233,150,4,0,8520,12,60,508,416,253,112,16,0,0,1373,295,934,2314,2016,1401,677,131,4,0,7783,62,239,984,1080,959,457,66,0,0,3842,1195,1788,2977,2175,1624,851,138,5,0,10765,1477,1114,1769,1065,616,340,55,3,0,6440,94,629,3102,2896,2330,1363,204,5,0,10621,22,110,752,847,323,134,17,0,0,2199,19,180,1879,1835,753,318,53,0,0,5041,29,146,556,431,266,128,30,3,0,1597,31,329,2464,2542,1091,488,111,8,3,7059,67,409,1226,1000,791,457,88,3,0,4046,26,237,1317,1716,1529,870,180,8,0,5883,167,477,1823,1887,1458,841,149,8,4,6811,106,738,3302,3346,2488,1358,173,7,7,11519,159,257,551,466,250,154,30,3,0,1872
CED227,55,64,141,157,185,178,76,33,8,906,1730,2291,4791,5202,6652,5505,1273,186,36,27672,198,531,1309,1537,2076,2104,1162,348,56,9322,3,34,120,125,113,80,6,3,0,490,208,350,690,710,836,612,133,20,0,3551,3,37,137,140,230,177,23,3,0,746,211,449,909,696,821,651,140,15,3,3899,62,130,316,304,329,295,60,8,0,1505,1072,717,992,1001,1247,1023,199,20,4,6278,912,519,646,469,536,506,134,16,0,3741,30,115,330,443,698,689,182,19,5,2509,31,51,89,79,92,74,18,3,3,431,17,77,196,191,208,137,24,7,0,863,13,37,85,98,97,85,34,4,5,462,48,128,416,412,360,300,104,11,0,1781,44,136,332,348,459,434,84,12,0,1842,29,161,529,691,888,706,139,14,0,3158,62,246,881,1015,1230,997,188,11,4,4646,163,626,1532,1520,2067,2006,332,17,6,8254,66,72,108,137,118,110,34,3,0,644
CED228,68,192,385,325,368,206,56,12,3,1614,1558,3855,9234,7593,7348,4532,828,65,13,35036,6,37,112,70,77,58,10,3,0,379,0,5,36,39,35,17,4,0,0,137,124,352,1215,1429,1614,1006,190,10,0,5940,3,25,183,189,136,72,16,0,0,628,141,600,1545,1344,1188,620,147,14,0,5588,36,184,537,550,548,334,58,9,0,2260,904,1615,1811,1209,1144,727,182,24,0,7623,889,1224,1500,688,620,391,70,9,0,5389,50,390,1392,1187,1234,860,163,4,0,5274,58,133,464,365,269,133,14,0,0,1423,19,270,1205,1082,654,314,51,4,0,3607,19,133,337,293,235,128,34,3,0,1182,40,454,1770,1603,1158,683,162,25,0,5896,35,313,884,615,549,390,114,4,4,2898,19,216,915,999,1128,731,123,9,0,4128,155,435,1527,1242,1422,1146,198,10,3,6146,60,582,2165,1745,1751,1321,268,19,3,7904,142,332,454,287,183,126,53,12,0,1593
CED229,103,154,360,378,358,224,59,11,0,1651,2618,4248,10944,11132,10413,5985,1043,69,23,46475,40,89,167,228,239,219,191,55,8,1232,0,9,55,82,70,43,5,0,0,267,284,548,1634,2212,2178,1292,214,10,3,8374,7,84,350,338,282,179,25,6,0,1271,474,1283,3461,2886,2272,1132,236,13,7,11767,58,205,604,842,768,411,81,3,0,2975,1214,1545,2212,1934,1799,1012,216,15,9,9955,1779,938,934,684,626,336,67,12,3,5377,77,401,1919,2107,2082,1286,260,12,0,8152,45,102,357,393,270,160,19,0,0,1342,19,185,877,963,652,316,64,3,0,3073,22,125,340,361,297,195,34,6,0,1376,51,312,1277,1461,1026,600,189,24,4,4938,63,261,761,833,787,468,102,12,3,3291,125,380,1559,1855,1742,1120,184,13,0,6982,127,493,1851,1961,1805,1308,227,15,5,7790,107,811,2852,2891,2676,1839,305,21,0,11508,142,191,321,297,255,178,54,7,3,1450
CED230,78,115,193,211,288,216,72,25,10,1207,2004,2992,7035,6848,7784,5669,1200,178,24,33732,151,255,720,861,1042,1063,742,258,35,5126,4,18,119,114,110,96,14,0,0,472,230,458,1254,1358,1515,911,170,19,4,5921,12,54,274,289,483,365,59,0,0,1549,408,976,2247,1773,1595,1002,218,8,9,8236,53,149,467,490,538,359,78,16,0,2149,959,1003,1623,1404,1400,965,205,27,7,7587,1294,714,676,521,518,355,77,7,0,4157,45,144,523,630,822,713,208,20,0,3092,35,63,175,158,157,123,17,0,0,742,15,96,372,341,296,161,47,6,0,1321,20,95,252,192,179,115,49,4,0,913,42,196,699,725,645,548,188,18,0,3069,62,132,392,460,526,398,107,10,0,2089,20,146,708,823,890,632,130,12,3,3359,108,269,1137,1346,1443,1144,187,11,0,5642,113,666,1793,1746,2194,1866,347,14,4,8738,117,122,193,180,177,167,44,9,0,1011
CED231,49,301,782,315,233,116,44,11,3,1865,1471,7349,22946,9469,6120,3910,1070,90,24,52442,9,38,105,42,34,34,22,7,0,301,0,9,90,72,45,15,4,0,0,241,51,282,1429,850,605,363,89,14,0,3693,0,47,456,262,123,59,11,0,0,950,35,321,1744,756,482,277,68,5,0,3701,28,199,946,551,347,182,60,7,3,2325,510,2018,3345,1125,711,452,126,11,7,8304,1055,3569,5178,1259,613,357,88,7,4,12132,30,218,1076,674,555,300,81,8,0,2938,42,311,1726,932,446,230,54,3,0,3750,9,452,3166,1633,838,384,83,5,4,6575,15,210,898,352,213,148,79,4,0,1923,75,1479,9243,3803,1868,1076,417,55,14,18022,42,466,1624,703,445,246,80,10,3,3616,16,260,2120,1342,996,595,137,10,3,5478,212,986,3735,2025,1550,1268,386,29,3,10198,51,897,5067,2268,1610,1252,417,37,8,11610,113,522,1442,664,352,226,98,21,3,3442
CED232,48,149,540,328,283,191,59,19,8,1619,850,3977,16127,9598,7119,4579,1314,143,27,43727,4,17,84,59,44,36,28,10,0,291,0,8,108,90,63,33,4,0,0,314,55,188,1186,959,737,414,137,15,0,3692,3,40,346,250,149,60,10,0,0,853,29,310,1906,923,678,416,119,16,6,4407,13,149,835,670,541,354,122,17,3,2706,316,1152,2397,1350,966,630,233,28,5,7076,430,1470,2770,903,475,263,69,10,0,6394,15,163,847,627,502,313,121,15,0,2605,23,176,1178,892,610,287,68,3,3,3229,14,287,2472,1825,1054,474,189,30,12,6356,16,145,801,490,392,275,143,36,4,2310,42,776,5598,3752,2346,1467,616,74,10,14673,40,314,1329,757,498,332,130,7,0,3414,3,145,1235,1059,832,600,154,10,3,4049,140,479,2477,1695,1371,1251,380,35,0,7833,52,512,3178,1999,1658,1421,515,72,10,9421,98,383,1134,628,461,254,82,7,3,3056
CED233,39,91,250,234,306,179,76,12,7,1198,1682,2907,5506,6146,7869,5083,1282,143,14,30624,0,18,22,23,41,22,20,8,0,166,0,4,8,37,28,20,12,0,0,109,124,184,540,771,1148,757,232,44,0,3804,4,20,106,132,146,96,22,4,0,525,175,551,1036,1125,1354,777,233,31,3,5295,37,157,418,624,777,449,128,30,0,2633,1043,1472,1245,1104,1417,976,328,36,0,7626,962,737,670,549,670,524,89,21,0,4222,18,83,325,406,586,454,132,13,0,2017,56,117,265,364,381,203,28,8,0,1427,13,178,761,875,865,413,96,7,3,3226,17,99,365,294,300,211,88,14,0,1396,43,463,1355,1594,1595,1059,370,70,4,6574,37,177,409,457,548,424,131,19,0,2195,17,108,429,614,845,584,129,16,4,2750,179,406,931,1043,1635,1271,300,29,3,5788,95,532,1465,1658,2082,1717,509,42,7,8104,178,221,233,178,178,127,56,7,0,1177
CED234,67,79,149,168,228,180,79,30,10,976,1925,2176,4976,5639,7056,5537,1244,187,42,28785,230,380,1109,1276,1668,1823,933,301,50,7780,0,11,42,38,61,31,6,0,0,191,297,590,1163,1478,1635,1273,170,18,7,6622,16,49,235,261,295,207,33,3,0,1100,259,583,1061,920,1047,789,155,26,3,4839,55,92,211,278,339,248,75,11,0,1300,1198,616,1029,996,1237,938,228,22,3,6259,939,505,568,528,585,529,127,13,3,3792,37,86,302,427,659,671,221,22,3,2441,35,49,92,69,97,83,22,4,0,451,13,70,152,196,219,148,30,4,0,831,14,51,93,112,150,93,33,5,0,561,68,168,468,431,472,352,118,13,3,2102,32,110,292,336,423,330,81,13,4,1622,23,104,371,580,692,576,99,9,3,2450,131,215,841,985,1162,960,176,22,0,4491,81,507,1543,1656,2140,1973,372,23,6,8300,75,79,127,137,118,94,44,3,0,686
CED235,72,129,390,337,332,218,51,6,0,1530,1889,3762,8465,7553,7659,4719,693,38,9,34792,3,20,95,86,78,52,16,3,0,357,0,9,18,27,23,20,0,0,0,92,162,387,1424,1711,1922,1313,213,17,0,7152,6,44,251,224,165,125,19,0,0,835,272,909,2140,1686,1498,861,138,11,3,7510,44,159,557,575,641,392,64,3,0,2439,1149,1692,1795,1438,1388,918,147,10,0,8541,1170,887,1043,579,513,312,49,4,0,4566,47,279,1321,1198,1168,899,152,3,0,5080,33,98,366,352,257,113,23,3,0,1247,10,222,826,777,573,287,39,0,0,2734,29,106,328,203,206,96,27,0,0,996,45,336,1244,1124,760,392,98,5,0,3999,35,245,649,614,631,448,96,8,0,2719,27,184,915,950,975,678,134,17,0,3877,119,439,1352,1318,1306,931,140,11,0,5617,86,727,2427,2293,2217,1669,286,10,4,9714,132,231,223,155,153,112,22,8,0,1042
