CED_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED201,..,193,314,95,116,144,82,40,14,1001,..,99,412,408,515,971,1273,1042,557,5272,132,233,199,83,77,132,109,76,27,1061,11209,8614,8716,9027,9871,8681,5725,2918,1060,65813,..,190,7034,11886,12762,11966,7590,3134,625,55185,..,652,2568,1555,1396,740,234,45,9,7191,..,102,488,1147,1911,1062,435,269,142,5563,22852,..,..,..,..,..,..,..,..,22852,..,9259,..,..,..,..,..,..,..,9259,..,5271,4023,997,505,195,27,0,0,11010,..,677,546,192,236,434,397,318,179,2973,..,408,497,171,127,66,50,11,3,1330,..,419,768,288,286,293,163,82,23,2308,..,227,896,1013,1309,1681,1818,1404,735,9073,271,424,388,197,179,211,188,114,37,2018,23129,17624,17199,17440,18713,16645,10897,5371,1746,128763
CED202,..,996,504,143,218,233,134,47,16,2293,..,300,708,683,1039,1873,2073,1632,945,9261,263,451,255,146,153,203,178,109,54,1819,13618,8850,8683,9379,10085,9311,7142,3661,1524,72248,..,250,6096,10231,11007,10748,8433,3495,696,50961,..,1474,3861,2590,2248,1284,520,114,22,12120,..,282,1013,1746,1998,918,388,305,215,6856,27371,..,..,..,..,..,..,..,..,27371,..,6778,..,..,..,..,..,..,..,6778,..,4719,1911,706,535,243,51,3,0,8162,..,586,313,146,215,371,272,194,122,2218,..,456,303,111,115,76,37,7,3,1107,..,1987,1233,359,452,455,296,101,24,4909,..,613,1550,1573,2277,3299,3325,2260,1239,16144,524,850,591,367,360,379,323,163,72,3628,27899,17986,16874,17835,19205,17775,13640,6643,2395,140252
CED203,..,1833,2562,648,328,257,111,41,17,5784,..,306,1301,1391,1324,1456,1482,1531,913,9699,151,350,404,230,135,123,142,138,58,1728,11840,9029,14618,11968,10172,7391,5375,4117,1696,76212,..,404,8587,11963,10225,7368,5645,3959,864,49017,..,897,5617,3914,2329,1188,346,65,12,14365,..,84,440,1144,1709,1115,550,606,366,6012,23861,..,..,..,..,..,..,..,..,23861,..,6739,..,..,..,..,..,..,..,6739,..,2960,2890,1172,1028,487,65,4,0,8596,..,1104,1065,282,369,462,348,344,214,4196,..,899,1180,228,150,90,35,7,4,2596,..,3691,5576,1381,729,554,254,102,25,12312,..,574,2492,2620,2663,2692,2410,2133,1237,16822,295,583,814,457,322,250,220,200,99,3242,24157,17929,28666,23161,19527,14209,9865,7416,2823,147760
CED204,..,874,486,140,208,262,165,43,12,2190,..,243,607,569,995,1895,2016,1556,874,8759,215,410,243,109,137,218,194,107,52,1681,12784,8332,8004,8704,9686,9505,7288,3882,1490,69673,..,313,5564,9379,10557,10871,8686,4019,835,50225,..,1535,3456,2429,2137,1352,585,129,17,11648,..,289,938,1634,1923,1024,385,305,198,6687,25878,..,..,..,..,..,..,..,..,25878,..,6484,..,..,..,..,..,..,..,6484,..,4164,1754,699,496,238,53,0,0,7412,..,626,308,119,206,332,320,220,128,2264,..,453,299,146,104,77,43,7,6,1135,..,1652,1116,368,457,531,337,116,32,4599,..,507,1345,1415,2234,3474,3352,2291,1203,15821,430,744,548,327,303,396,351,166,71,3334,26307,16764,15332,16515,18421,18295,14108,7257,2493,135502
CED205,..,633,569,170,157,146,118,37,19,1846,..,164,407,380,539,938,1268,1363,759,5826,125,183,209,106,110,136,154,123,61,1203,12218,9379,10833,9651,9354,8378,6925,4345,1549,72638,..,700,9939,12986,12057,10844,9010,4952,965,61453,..,514,1736,919,817,522,217,72,10,4800,..,120,587,1404,1899,1175,604,484,245,6525,25061,..,..,..,..,..,..,..,..,25061,..,9960,..,..,..,..,..,..,..,9960,..,3860,4248,1338,876,326,58,0,0,10713,..,1433,1199,354,417,637,597,458,275,5364,..,1085,1168,347,212,133,42,10,9,3001,..,2044,2351,839,560,353,243,73,33,6496,..,379,1033,1081,1346,1748,2001,1883,1031,10511,256,378,508,325,257,236,255,185,77,2474,25314,20480,22768,19602,18433,15974,13024,8123,2645,146360
CED206,..,123,236,104,118,130,73,27,3,822,..,98,306,341,479,835,976,809,327,4182,195,256,257,123,136,140,146,102,24,1380,15502,11620,10895,10273,11463,8923,5748,2718,811,77962,..,843,9404,13340,15406,12367,7788,2898,449,62496,..,443,1738,1227,1110,586,188,38,10,5346,..,177,852,1635,2335,1398,657,427,190,7677,31430,..,..,..,..,..,..,..,..,31430,..,12348,..,..,..,..,..,..,..,12348,..,7399,6312,1629,855,302,35,0,0,16534,..,1068,939,328,416,599,556,456,201,4573,..,423,476,210,167,122,34,13,5,1439,..,562,984,345,307,283,164,55,15,2719,..,273,836,997,1389,1555,1533,1116,459,8165,394,486,602,362,314,263,241,164,34,2859,31824,24016,22138,20073,22297,17485,11206,5164,1372,155568
CED207,..,140,225,100,147,182,125,39,20,978,..,99,393,400,627,1169,1511,1119,568,5885,178,295,200,102,100,128,141,96,42,1291,12684,8243,8761,9045,9837,8608,6364,2974,1067,67580,..,241,7002,10837,11777,10994,8172,3061,575,52664,..,935,3757,2534,2127,1160,438,90,9,11058,..,150,627,1444,1991,1119,427,270,156,6186,25767,..,..,..,..,..,..,..,..,25767,..,7650,..,..,..,..,..,..,..,7650,..,5825,3097,839,466,205,34,0,0,10459,..,578,400,158,202,319,326,286,164,2445,..,451,351,155,157,109,49,22,3,1302,..,298,513,266,353,370,250,67,29,2148,..,249,893,1070,1618,2138,2306,1549,781,10598,404,574,466,279,256,232,238,149,69,2664,26174,16960,17109,17577,18946,16656,12238,5493,1788,132942
CED208,..,3457,1802,267,173,197,121,57,21,6096,..,540,739,553,681,1135,1494,1828,1200,8170,129,305,232,110,98,98,131,138,77,1312,11732,12679,12118,9997,10035,7917,6069,4835,2136,77514,..,383,9212,13233,12664,9376,7044,4887,1324,58123,..,987,2986,1320,1094,685,263,55,7,7404,..,49,294,1110,1916,1253,492,461,331,5907,23741,..,..,..,..,..,..,..,..,23741,..,9254,..,..,..,..,..,..,..,9254,..,3114,3262,955,805,415,45,0,0,8600,..,1351,1017,239,292,529,458,342,192,4426,..,1793,1419,242,127,81,35,16,5,3732,..,7402,4431,730,436,375,246,109,37,13765,..,1144,1586,1191,1544,1968,2151,2370,1617,13575,262,559,481,247,213,181,192,195,99,2433,24008,26039,24703,19285,19094,14862,10930,8433,3616,150967
CED209,..,839,538,98,133,155,99,32,10,1902,..,171,512,479,758,1527,1796,1506,1032,7780,181,351,223,125,137,229,229,115,49,1636,13592,7748,8278,9562,9704,9100,7040,3779,1611,70406,..,198,6397,12018,11856,11480,9169,4027,873,56020,..,1077,3641,2462,1929,1252,456,111,16,10953,..,114,539,1358,1670,841,284,265,181,5259,27918,..,..,..,..,..,..,..,..,27918,..,7165,..,..,..,..,..,..,..,7165,..,3915,1870,594,368,212,30,3,0,6989,..,535,300,99,149,253,226,152,113,1825,..,411,320,107,91,74,21,17,10,1043,..,1885,1347,332,307,321,205,70,23,4482,..,409,1139,1190,1795,2766,2789,2050,1342,13489,359,687,513,309,284,433,363,177,67,3195,28279,16404,16071,18464,18445,17627,13562,6872,2618,138338
CED210,..,702,534,141,221,236,141,56,14,2051,..,315,756,706,1086,1816,2036,1786,982,9477,217,357,262,129,140,217,199,116,52,1681,12113,8512,9141,8807,9548,9141,7211,4227,1634,70341,..,327,6175,9290,9994,10211,8380,4103,894,49365,..,1347,3681,2232,1771,1114,447,113,21,10739,..,307,1074,1793,2114,1077,479,358,250,7456,24293,..,..,..,..,..,..,..,..,24293,..,6802,..,..,..,..,..,..,..,6802,..,4517,2375,949,612,285,54,0,0,8796,..,716,417,171,260,365,305,238,122,2592,..,447,357,134,142,68,29,5,9,1197,..,1379,1316,391,469,431,302,116,16,4419,..,585,1606,1643,2498,3380,3229,2494,1357,16789,460,687,593,342,320,374,310,181,76,3348,24758,17112,17593,16938,18186,17316,13537,7616,2746,135805
