CED_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
CED201,52,93,347,573,147,1553,72,657,41,3527,346,833,1178,1079,823,1465,261,631,102,6723,1453,4116,2433,1375,2034,1296,524,812,232,14263,2232,3790,2141,1171,2246,1012,723,817,213,14354,2388,2983,2226,1460,2902,1208,1024,1203,230,15619,1531,2191,1489,1007,2230,868,931,1103,160,11509,279,464,317,183,429,210,204,270,38,2385,25,34,20,4,26,14,4,30,22,187,6,4,7,0,5,0,0,3,4,29,8312,14506,10162,6856,10834,7616,3735,5522,1057,68598
CED202,61,64,557,661,129,1562,61,883,66,4039,338,674,1420,1289,637,1129,225,831,111,6664,1196,3181,2587,1573,1566,1108,705,1154,173,13248,1988,3562,2131,1503,1978,949,890,1160,231,14405,2230,3142,2025,1801,2332,1059,1174,1507,260,15545,1611,2498,1395,1229,1726,767,956,1182,167,11523,533,540,247,209,330,188,239,298,72,2652,112,51,21,9,27,16,22,28,29,314,19,0,8,6,6,4,3,16,4,61,8083,13721,10388,8284,8726,6781,4270,7070,1116,68436
CED203,20,75,174,463,95,1098,48,405,34,2404,340,1047,816,1546,870,1523,218,880,138,7367,2398,8238,2872,2480,2756,1743,707,1518,355,23065,3244,7274,1881,1406,2426,1021,615,932,293,19099,2487,4766,1616,1283,2345,899,750,1040,252,15442,1129,2564,904,708,1323,532,621,844,144,8786,204,464,187,130,227,110,122,211,50,1699,18,30,20,9,15,10,8,43,21,183,6,10,3,3,4,3,0,5,8,39,9853,24456,8477,8032,10068,6941,3093,5876,1285,78078
CED204,55,50,436,607,139,1426,79,950,61,3790,277,622,1265,1145,456,1070,246,1014,95,6187,1147,3000,2347,1354,1302,895,581,1424,149,12207,1889,3568,1831,1372,1692,860,713,1205,202,13329,2189,3322,1901,1763,2146,1062,975,1488,211,15055,1702,2685,1380,1338,1683,819,877,1314,177,11963,579,610,269,240,350,230,220,255,79,2826,145,64,35,16,24,21,12,47,21,375,21,10,4,6,8,3,0,3,9,76,8005,13920,9467,7847,7803,6381,3698,7696,1002,65812
CED205,31,98,135,367,115,1019,60,436,57,2319,256,927,841,954,761,1349,352,912,164,6530,1440,4391,2471,1516,2113,1370,1089,1690,351,16419,2014,3836,2015,1291,1804,912,1066,1286,278,14490,2002,2916,1681,1187,1938,899,1135,1457,248,13474,1156,1957,1167,796,1412,613,875,1090,150,9225,273,555,268,183,414,181,169,268,54,2364,44,68,26,12,47,21,4,36,24,280,7,8,6,0,9,3,3,3,9,43,7233,14759,8608,6307,8611,6360,4750,7183,1339,65151
CED206,54,60,329,430,163,1551,88,638,82,3393,333,848,1236,1201,946,1662,517,855,200,7800,1299,2903,2611,1709,2149,1238,1407,1426,354,15096,1617,2429,2045,1464,2124,901,1375,1361,291,13609,1856,1972,2131,1633,2662,1156,1943,1712,266,15326,1134,1169,1297,907,1652,739,1275,1271,179,9616,179,240,205,137,254,143,230,270,48,1710,12,16,15,9,18,9,8,18,11,117,0,0,3,4,0,4,3,0,3,15,6493,9643,9873,7485,9956,7402,6839,7552,1438,66675
CED207,51,52,712,648,147,1357,58,879,66,3973,311,557,1694,1144,637,1023,268,792,104,6524,1358,2944,3542,1529,1820,1123,640,1130,214,14301,2240,2966,2669,1476,2107,995,817,1254,241,14754,2450,2559,2631,1726,2633,1140,1153,1442,266,16004,1676,1999,1788,1179,1965,874,939,1160,164,11745,508,547,337,229,444,237,235,316,64,2923,68,48,30,19,32,18,17,37,26,297,12,6,0,3,4,0,4,3,6,38,8669,11673,13411,7955,9789,6770,4123,7023,1151,70554
CED208,48,152,155,718,166,1264,48,485,53,3086,303,1357,812,1538,874,1769,241,872,138,7903,1928,6837,2030,1634,2403,1564,480,1150,304,18326,2908,5908,1481,960,2055,904,379,642,251,15490,2917,4849,1580,1159,2336,980,533,809,254,15408,1419,2932,996,794,1538,614,416,709,117,9527,278,726,245,190,413,159,103,210,44,2373,29,90,35,23,53,17,13,26,26,314,11,9,3,0,4,9,0,3,9,53,9845,22859,7328,7020,9839,7267,2205,4907,1196,72477
CED209,61,47,500,724,137,1542,67,933,68,4086,303,631,1212,1254,471,1152,227,962,88,6305,1431,3739,2621,1563,1313,1005,570,1097,185,13511,2494,4308,2375,1516,1947,1062,707,1145,231,15791,2581,3593,2082,1920,2227,1130,842,1276,250,15911,1935,2777,1537,1248,1704,930,764,1079,185,12154,793,674,238,238,459,221,178,297,85,3188,156,68,23,11,33,17,8,50,27,397,23,6,3,4,8,0,3,6,16,66,9779,15846,10586,8470,8297,7062,3366,6845,1138,71401
CED210,39,50,413,580,131,1354,82,809,69,3538,279,584,1273,1288,549,1158,292,868,101,6390,1130,3229,2651,1672,1541,1162,811,1306,217,13723,1684,2952,1997,1545,1723,973,928,1332,242,13382,1817,2545,1904,1887,2011,966,1262,1599,237,14240,1225,1980,1308,1280,1488,771,1028,1300,157,10530,307,427,230,223,291,154,198,300,64,2194,46,50,20,8,25,17,14,39,25,250,14,7,7,0,3,3,0,3,11,46,6547,11838,9790,8496,7765,6559,4615,7557,1113,64284
