CED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED215,281,47,862,332,287,266,88,297,21,2484,0,3,0,5,0,3,0,12,6,36,84,85,63,55,56,21,37,42,27,466,204,81,233,166,116,138,152,264,148,1501,4860,8320,7468,4864,3686,1910,1937,2814,572,36441
CED216,269,80,605,266,229,220,31,95,13,1804,10,9,4,3,7,0,5,3,0,30,229,355,55,83,138,106,9,21,28,1023,136,147,76,52,84,90,27,38,127,786,11988,22449,4219,3896,6168,3431,604,1182,755,54685
CED217,326,59,975,487,384,344,283,351,44,3258,5,3,6,5,13,10,21,14,5,82,86,110,97,112,137,59,116,79,36,823,120,98,291,193,200,185,261,268,269,1882,5384,11015,8956,6495,7539,3463,4018,3661,934,51469
CED218,382,104,786,354,247,212,31,95,13,2238,13,12,3,8,7,9,0,11,0,53,254,397,67,99,215,120,10,41,44,1256,108,178,65,78,102,87,22,43,171,861,12451,29590,4353,4219,7410,4288,574,1459,1008,65352
CED219,344,86,1140,491,381,391,290,439,37,3587,9,3,7,11,13,9,12,20,4,95,72,90,142,144,122,64,127,93,30,881,101,109,321,190,174,128,247,294,290,1856,5302,10946,10574,7735,7272,3816,4408,4635,953,55642
CED220,294,84,954,367,238,248,143,221,21,2575,3,8,12,5,3,8,10,24,0,74,123,165,86,94,123,74,66,69,9,812,88,106,181,125,127,111,86,154,195,1171,6298,14514,6674,4667,6064,3304,1766,2573,686,46539
CED221,340,56,952,379,235,309,137,332,26,2774,9,8,3,3,7,0,4,13,4,54,97,80,58,89,67,25,41,45,22,521,221,102,243,173,134,132,196,236,183,1614,6255,9471,7528,5526,4195,2294,2030,3026,613,40944
CED222,291,102,889,401,336,304,127,249,35,2736,6,8,12,3,13,6,3,17,0,71,132,167,92,87,131,64,61,56,34,823,117,106,209,120,127,117,126,157,196,1279,7043,14066,7981,5462,6521,3258,2079,2580,776,49767
CED223,235,82,601,295,258,207,53,122,17,1863,3,4,8,3,9,0,0,7,0,33,146,254,70,98,154,61,21,28,35,876,103,106,118,86,106,76,45,70,141,849,7970,19791,6632,4747,6209,2603,956,1637,659,51198
CED224,267,67,473,265,189,157,22,70,10,1519,10,5,7,8,4,5,3,8,3,46,224,316,36,69,160,99,9,21,17,965,109,171,41,46,71,61,8,39,142,684,10981,26276,3270,3495,6454,3378,449,1176,836,56313
CED225,265,92,834,385,361,317,129,200,24,2613,3,5,4,5,0,8,3,4,3,38,132,154,100,108,131,67,62,42,23,816,130,101,245,106,166,123,108,128,184,1299,7307,14191,9964,5759,6683,3205,2116,2655,720,52600
CED226,431,137,1333,637,464,430,440,419,42,4324,12,5,13,18,8,8,21,29,3,109,107,182,135,195,172,91,190,106,38,1213,141,125,269,190,209,146,316,223,316,1936,8121,17708,10512,8835,9839,4759,5271,4512,1202,70751
CED227,333,51,776,310,237,271,83,296,24,2372,9,3,3,3,4,8,9,20,3,57,54,60,35,55,32,24,36,24,13,331,261,108,233,149,112,158,145,299,168,1631,6084,7983,5582,4604,3203,1949,1593,2780,521,34303
CED228,274,91,918,452,289,271,143,227,37,2695,3,12,8,9,8,6,13,22,9,89,125,179,82,117,166,67,75,75,18,902,118,149,189,143,148,121,134,205,212,1413,6894,15754,6517,5032,6385,3260,2137,2922,902,49805
CED229,400,104,1287,581,534,483,281,337,35,4047,5,9,3,9,8,7,9,18,7,77,148,159,129,172,165,55,129,74,23,1060,199,140,379,205,272,193,240,249,219,2099,8003,14768,12860,8531,8336,3974,3756,3805,927,64960
CED230,294,64,988,404,323,322,159,354,22,2928,10,11,5,3,6,8,8,11,0,59,99,79,75,86,73,32,62,64,18,591,256,85,312,169,121,185,157,252,209,1745,6095,9506,9380,5963,4897,2749,2544,3656,680,45477
CED231,400,118,1391,634,294,270,30,194,26,3355,16,17,17,25,14,19,6,15,4,134,327,638,80,170,253,138,21,63,59,1757,159,280,128,189,126,79,53,122,227,1360,13034,39844,5958,7307,8835,4957,944,2807,1219,84894
CED232,446,142,1144,481,287,234,32,117,33,2911,11,11,3,8,6,10,0,7,3,59,307,459,64,109,208,97,17,45,53,1358,152,230,111,84,98,92,24,44,207,1038,13841,31541,5345,5282,7825,4310,655,1718,1144,71660
CED233,253,71,633,278,239,242,52,135,22,1915,7,4,6,11,6,13,3,11,6,65,128,168,55,76,129,67,30,32,19,699,111,109,113,87,100,96,45,60,157,877,8068,16287,5359,3869,5876,3225,821,1491,676,45679
CED234,349,50,847,342,244,275,116,369,32,2620,8,5,4,9,3,5,3,15,0,54,83,58,52,45,40,27,34,54,13,416,255,104,227,172,95,153,153,354,181,1703,6065,8266,6340,4591,3276,1924,1745,3509,530,36255
CED235,273,64,1061,442,368,318,215,271,28,3044,5,0,12,8,9,16,22,25,3,108,91,111,87,115,119,69,103,90,22,814,104,110,272,180,152,170,157,225,202,1574,5244,11901,8391,6156,6196,3341,2732,3056,766,47785
CED236,306,52,897,337,200,254,84,326,25,2484,6,10,6,5,9,0,0,17,0,52,89,69,41,65,49,19,48,50,11,439,295,88,203,145,100,116,149,289,139,1525,6263,7960,6002,4621,3003,1793,1701,3071,501,34907
CED237,274,93,1067,388,284,272,113,203,23,2712,0,6,11,9,14,8,11,27,8,95,203,462,110,155,224,115,50,58,42,1414,124,228,201,136,151,90,76,109,239,1356,8116,24505,7468,6000,7342,3566,1697,2765,952,62395
CED294,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
