CED_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
CED201,172,277,310,494,1415,2048,1198,2327,68,8312,510,1041,1299,1520,3130,3589,1521,1793,101,14506,233,482,610,770,2384,2907,1152,1456,165,10162,266,1549,1179,1301,1080,748,349,320,72,6856,347,1144,1410,1472,2819,2161,749,646,97,10834,213,2317,1106,954,1118,904,396,488,112,7616,93,228,232,341,1109,807,379,492,51,3735,172,1292,703,693,1129,784,324,339,91,5522,47,74,65,63,171,150,66,88,322,1057,2054,8403,6911,7603,14348,14104,6140,7942,1088,68598
CED202,251,373,365,586,1113,1587,1095,2613,96,8083,610,1210,1607,1948,2370,2561,1415,1885,119,13721,292,583,549,797,2274,2830,1268,1605,189,10388,458,1765,1390,1575,1165,850,426,507,146,8284,371,1031,1227,1351,2154,1402,620,497,85,8726,285,2237,1001,854,864,622,371,442,113,6781,150,228,259,332,817,808,564,1034,84,4270,276,1752,914,904,1156,871,520,522,155,7070,66,81,54,88,148,154,62,113,345,1116,2769,9251,7362,8427,12057,11684,6344,9229,1323,68436
CED203,284,263,466,761,1688,2240,1449,2611,97,9853,776,1961,2355,2882,4346,5638,2726,3553,214,24456,176,487,704,795,1953,2253,891,1060,154,8477,289,1805,1421,1391,1225,841,440,461,167,8032,316,996,1225,1281,2686,1989,804,662,102,10068,207,1921,1151,829,1023,826,361,479,143,6941,81,233,315,302,763,653,316,364,67,3093,151,1287,1176,760,1051,705,272,321,151,5876,68,85,72,87,203,186,81,125,390,1285,2349,9038,8883,9084,14935,15317,7351,9643,1481,78078
CED204,253,393,465,658,1054,1531,1066,2486,110,8005,721,1225,1681,2129,2430,2470,1296,1875,97,13920,292,618,583,796,2088,2370,1134,1430,153,9467,465,1621,1245,1527,1099,883,421,473,116,7847,355,979,1080,1242,1896,1132,558,476,79,7803,232,2089,981,821,877,514,376,396,91,6381,138,248,229,276,689,710,487,839,77,3698,307,1808,975,992,1395,1072,533,464,152,7696,65,100,75,80,122,120,49,89,306,1002,2835,9076,7308,8528,11640,10812,5910,8532,1176,65812
CED205,136,284,340,485,1432,1868,875,1724,90,7233,395,1280,1160,1442,3341,3931,1414,1617,189,14759,172,507,649,685,2351,2324,829,881,208,8608,196,1363,1213,1176,1004,621,247,336,141,6307,244,907,989,1027,2459,1807,589,512,91,8611,197,1888,1026,791,950,722,301,389,109,6360,104,271,400,462,1507,972,439,484,116,4750,148,1321,1318,905,1761,860,339,331,203,7183,37,122,98,99,208,178,45,79,471,1339,1632,7939,7200,7071,15002,13277,5081,6345,1613,65151
CED206,147,224,261,394,1265,1595,771,1742,100,6493,329,741,803,976,2278,2391,888,1087,146,9643,198,594,624,813,2475,2757,1015,1129,262,9873,231,1360,1212,1377,1304,872,411,513,199,7485,322,928,1164,1250,2916,1985,643,584,158,9956,205,2293,1211,952,1149,705,350,398,135,7402,167,400,600,654,1724,1451,714,960,176,6839,210,1469,1078,927,1579,1171,437,471,196,7552,52,112,91,81,239,178,41,79,561,1438,1863,8129,7040,7431,14936,13093,5276,6973,1931,66675
CED207,309,320,390,606,1221,1908,1264,2570,74,8669,564,1048,1344,1473,1925,2304,1212,1683,108,11673,363,646,724,955,2788,3924,1662,2135,217,13411,365,1796,1369,1489,1116,778,452,468,121,7955,357,1277,1389,1493,2255,1626,744,574,78,9789,235,1919,1011,891,963,739,417,488,98,6770,127,236,228,300,1045,852,520,720,98,4123,242,1656,846,797,1368,1023,467,498,136,7023,55,90,60,62,154,177,65,116,371,1151,2623,8984,7358,8052,12840,13334,6814,9253,1296,70554
CED208,199,355,542,668,1494,2502,1292,2698,88,9845,732,2093,2010,2380,4376,5750,2324,2993,208,22859,147,510,709,667,1626,1932,763,871,98,7328,287,2114,1372,1056,889,624,285,283,115,7020,310,1200,1288,1217,2473,2005,691,573,93,9839,218,2291,1216,836,887,851,373,483,102,7267,42,248,268,196,545,460,193,219,31,2205,116,1428,1065,581,696,516,178,205,111,4907,35,112,98,66,175,191,49,94,363,1196,2095,10348,8574,7668,13168,14841,6150,8424,1208,72477
CED209,327,509,528,735,1205,1903,1223,3254,104,9779,745,1490,2030,2125,2553,2989,1605,2205,111,15846,342,657,650,848,2055,2901,1309,1663,165,10586,454,1894,1413,1528,1163,938,443,512,136,8470,371,1263,1396,1316,1705,1143,504,510,84,8297,294,2308,1111,882,864,675,344,510,82,7062,121,243,233,275,555,658,413,814,65,3366,286,1878,896,895,1012,837,338,556,143,6845,55,105,77,98,125,166,61,115,337,1138,2989,10343,8332,8693,11231,12212,6244,10132,1224,71401
CED210,227,268,309,465,989,1375,870,1964,72,6547,515,973,1343,1562,2144,2365,1218,1624,97,11838,265,588,533,747,2242,2720,1146,1388,154,9790,408,1742,1492,1632,1172,986,430,487,143,8496,337,860,1054,1072,1983,1351,530,519,65,7765,260,1988,1027,911,918,599,331,432,105,6559,176,286,296,326,993,1030,567,845,93,4615,253,1764,978,990,1309,1158,388,542,162,7557,65,83,45,80,156,183,41,91,368,1113,2513,8552,7078,7789,11904,11758,5531,7898,1257,64284
