CED_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED201,40318,42095,82416,1924,2061,3983,298,308,603,13692,14441,28131,272,305,579,139,170,306,133,128,265,63,67,129,19,22,39,25,38,68,0,0,3,14639,15486,30119,2645,3137,5782,225,235,462,19427,20913,40345,2627,2769,5392,62374,65775,128153
CED202,38237,39989,78227,5552,6308,11857,645,658,1300,17300,19064,36358,528,588,1116,288,310,595,303,327,637,137,160,300,99,113,211,73,68,138,0,0,0,19377,21285,40664,1285,1377,2657,397,366,765,26607,29334,55937,5066,5600,10662,69908,74925,144836
CED203,38161,41636,79798,2867,2882,5745,924,1147,2072,16558,17464,34023,697,796,1492,272,326,598,341,358,696,154,207,362,93,119,216,175,204,382,5,3,6,19220,20628,39847,7172,7252,14424,474,509,983,29733,31260,60997,5617,5885,11498,73510,78785,152295
CED204,37665,38978,76644,4899,5436,10332,683,817,1502,16262,18174,34435,534,579,1115,258,281,541,280,278,556,118,150,271,166,162,326,69,81,150,0,3,5,18365,20537,38901,1133,1296,2431,373,297,669,24773,27559,52330,6295,6020,12314,68734,72559,141296
CED205,40235,41437,81672,3667,3538,7204,439,444,883,13553,12721,26273,352,288,644,212,194,411,159,133,298,75,84,158,54,50,111,54,57,109,10,0,17,14923,13978,28897,10553,9820,20378,391,277,663,29528,27615,57144,4573,4540,9117,74335,73594,147935
CED206,48622,49710,98337,3453,3412,6866,475,492,960,12914,12819,25733,270,266,538,140,158,295,130,132,256,43,63,104,61,41,98,27,23,49,0,0,0,14057,13985,28048,5399,5248,10648,273,234,503,23183,22880,46068,5133,5017,10155,76940,77611,154551
CED207,40771,41702,82475,3583,3873,7459,319,345,660,15028,16092,31115,361,381,740,107,102,211,150,143,287,48,60,110,47,58,108,33,33,62,3,0,3,16090,17214,33301,1229,1354,2587,268,301,566,21166,22746,43915,3552,3743,7290,65489,68190,133677
CED208,37526,41294,78818,2669,2732,5400,695,676,1372,16194,16321,32515,466,524,990,288,294,583,267,287,559,183,194,377,53,73,132,148,125,270,0,0,0,18303,18508,36809,12777,13366,26143,363,310,673,34106,34918,69023,3967,4211,8184,75598,80423,156021
CED209,37649,39167,76818,6966,7398,14367,587,667,1254,16410,17786,34191,533,548,1078,214,215,430,288,277,566,135,169,305,127,132,264,70,77,149,0,0,0,18362,19876,38239,2086,1837,3924,326,267,593,27746,29377,57123,4457,4707,9164,69856,73252,143108
CED210,37466,39824,77289,6108,6822,12932,484,588,1076,14573,16319,30891,487,544,1032,200,183,387,226,238,461,122,121,248,73,88,157,72,87,154,0,0,0,16240,18176,34417,2042,2188,4233,402,372,773,24799,27554,52351,5974,5386,11357,68233,72761,140991
CED211,38670,42041,80712,2230,2399,4622,422,441,861,15980,16773,32753,363,345,703,175,176,357,146,167,316,80,78,163,52,51,106,69,74,146,0,0,0,17292,18109,35405,4581,5118,9698,333,328,660,24433,25952,50386,2942,3486,6431,66053,71485,137534
CED212,37214,39554,76769,4543,5061,9600,431,477,910,16076,17699,33771,450,512,961,100,110,208,165,191,358,72,121,201,58,65,124,36,59,96,0,0,0,17395,19231,36629,1918,2215,4128,380,358,738,24228,26868,51095,4583,5065,9639,66026,71484,137509
CED213,39125,40142,79271,6610,7321,13933,779,697,1475,16299,17881,34177,718,673,1393,133,119,260,297,259,562,107,111,218,128,111,240,62,71,137,0,0,3,18531,19924,38453,974,1104,2079,357,386,742,26468,28740,55208,5155,5577,10735,70744,74464,145210
CED214,39808,41621,81431,4236,4378,8606,912,946,1852,16455,16275,32730,714,714,1430,290,277,566,365,363,723,148,162,317,75,81,153,156,154,309,8,0,6,19108,18979,38089,7482,6655,14135,538,463,1002,31364,30479,61837,5592,5446,11039,76762,77546,154313
CED215,38255,38689,76944,8166,9109,17275,708,733,1439,9577,10461,20042,762,788,1547,188,188,374,333,321,658,100,124,226,124,115,238,84,79,160,4,0,4,11878,12810,24688,943,1043,1985,317,293,610,21306,23252,44558,6979,6502,13485,66539,68439,134980
CED216,37137,41112,78255,3734,4064,7796,714,804,1515,15238,16239,31477,469,533,1006,188,164,352,265,272,541,78,98,181,24,34,64,108,118,228,0,0,0,17093,18263,35356,4807,5356,10166,261,261,523,25897,27944,53845,3641,4007,7645,66681,73064,139747
CED217,50165,51262,101430,4386,4581,8970,741,766,1507,20228,21113,41335,454,469,916,294,284,575,217,214,438,125,142,266,72,85,159,63,72,134,4,4,6,22197,23139,45337,4417,5013,9428,368,318,693,31371,33060,64428,6441,6217,12658,87980,90535,178513
CED218,31637,34924,66559,3170,3276,6446,1293,1448,2741,17745,18623,36365,977,1111,2090,392,501,899,542,610,1150,208,220,427,56,54,108,198,243,440,0,0,0,21400,22815,44218,8455,10045,18505,442,405,845,33469,36542,70012,4847,5194,10044,69952,76670,146621
CED219,48403,48789,97187,3484,3516,7003,556,554,1113,24936,24689,49629,478,436,912,246,216,455,216,195,414,67,78,150,65,64,128,57,42,96,15,0,15,26632,26276,52908,6739,7250,13987,523,416,937,37374,37458,74834,5495,5452,10951,91269,91698,182968
CED220,40610,43041,83652,2989,2906,5899,472,455,925,14204,14173,28373,365,378,739,156,152,304,185,162,346,77,76,151,39,37,76,57,49,110,0,0,0,15562,15478,31038,6575,6796,13369,367,283,651,25493,25462,50950,3612,3717,7328,69714,72222,141934
CED221,37151,37958,75115,7027,7580,14606,2408,2607,5011,9719,10369,20086,1099,994,2086,224,248,474,321,339,658,133,145,275,205,215,419,137,144,273,0,0,0,14232,15050,29284,782,956,1738,312,271,578,22346,23862,46210,5554,5548,11100,65055,67366,132423
CED222,39917,41893,81809,4211,4300,8510,490,486,973,17497,18356,35855,442,444,888,125,110,236,189,176,364,92,93,183,45,35,86,53,59,111,4,0,4,18946,19762,38703,4643,4848,9493,394,363,754,28187,29274,57454,4283,4464,8741,72386,75621,148004
CED223,39904,42691,82595,2877,2957,5837,520,491,1014,13420,14166,27589,477,443,927,151,169,326,176,213,391,78,82,158,68,74,145,106,95,204,0,0,0,15001,15735,30741,2904,3093,5997,276,276,554,21063,22061,43120,3231,3550,6785,64203,68301,132504
CED224,34432,38151,72578,3239,3463,6701,842,929,1772,15801,17103,32907,616,676,1293,248,287,530,341,355,698,155,143,292,51,64,119,128,147,276,0,0,0,18184,19705,37888,6434,7357,13783,312,288,598,28170,30809,58977,3519,3824,7347,66115,72783,138895
CED225,43189,43450,86641,3246,3349,6592,468,433,903,18116,19012,37135,433,440,876,143,145,291,198,192,391,88,81,165,41,44,84,48,54,103,3,3,7,19536,20417,39950,2577,2908,5481,337,300,632,25692,26971,52663,3556,3655,7213,72439,74079,146513
CED226,50140,50615,100758,5116,5301,10423,1551,1536,3085,27011,26394,53408,1004,1020,2026,483,455,941,436,440,875,232,241,480,145,150,296,191,201,388,3,0,3,31052,30444,61496,10655,11919,22574,524,462,992,47349,48131,95477,7223,6112,13336,104711,104856,209568
