CED_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED223,10366,17202,4140,466,32183,7072,935,40196,877,673,491,68,2114,2226,186,4526,695,747,386,42,1866,688,129,2677,1571,1421,877,114,3981,2910,314,7206,561,365,268,46,1236,1153,133,2523,72,15,22,4,113,106,28,244,99,26,29,7,161,163,19,339,3,0,0,0,3,3,0,7,740,409,315,55,1522,1421,177,3116,0,0,0,0,0,3,0,6,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,3,10,13,10,0,31,18,3,47,11,17,11,0,36,17,3,61,43,35,3,0,81,55,9,143,12730,19086,5346,637,37793,11484,1436,50718
CED224,6243,14163,2561,368,23333,4065,716,28117,1655,1635,622,99,4012,2426,340,6782,1084,1453,516,72,3131,791,209,4135,2737,3086,1139,170,7142,3222,555,10912,1356,666,339,120,2482,2361,665,5506,1203,411,184,124,1921,1775,644,4346,953,236,123,86,1402,1563,291,3253,0,0,0,0,0,0,0,0,3508,1311,650,329,5804,5701,1604,13102,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,27,14,4,83,38,26,145,47,29,14,4,87,36,26,155,51,41,9,0,106,65,15,179,12588,18630,4378,876,36472,13082,2910,52464
CED225,11472,22339,5117,419,39342,7106,990,47443,556,314,226,22,1121,1056,49,2226,228,234,186,10,662,257,32,948,783,549,418,32,1783,1315,82,3181,90,35,36,5,169,290,3,459,3,0,0,0,6,9,0,18,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,98,35,33,5,176,299,5,486,3,0,0,0,3,0,0,3,8,3,0,0,10,35,0,49,0,0,3,0,3,0,0,3,5,10,8,0,20,8,0,25,14,9,7,0,40,44,0,84,27,31,13,3,75,36,4,112,12403,22969,5588,460,41413,8807,1083,51300
CED226,12643,29616,7405,667,50337,8009,1536,59880,1776,2909,892,90,5668,1999,211,7883,588,978,308,44,1925,469,119,2511,2365,3891,1198,137,7590,2470,329,10391,273,320,190,28,812,520,67,1402,15,0,5,0,20,17,0,42,21,7,4,0,35,44,0,85,0,0,0,0,0,0,0,4,309,332,201,28,871,589,64,1530,23,3,7,0,33,71,8,106,0,0,0,0,8,4,0,6,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0,18,23,13,7,0,53,77,4,129,13,32,3,0,52,38,3,91,15360,33886,8822,831,58896,11177,1939,72018
CED227,14492,13138,4829,433,32891,12461,1258,46620,548,158,219,29,950,1577,90,2621,28,5,13,0,48,42,6,93,572,169,228,29,1000,1623,96,2711,298,124,172,21,612,1693,118,2422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,298,124,172,22,610,1704,118,2426,55,10,3,0,74,161,6,239,33,5,4,3,49,85,12,142,3,3,3,0,8,13,3,23,50,22,11,0,84,54,0,136,142,41,26,3,215,307,23,547,123,79,36,8,233,126,9,368,15616,13544,5291,492,34948,16218,1507,52681
CED228,8521,15279,5005,700,29501,6802,1242,37548,1040,1096,704,124,2964,1907,261,5126,1758,2341,801,157,5056,1451,516,7027,2794,3433,1509,284,8017,3361,777,12152,1001,719,459,109,2289,1871,302,4458,360,140,62,21,584,737,134,1453,645,188,106,47,987,939,195,2117,6,3,3,0,17,8,4,30,2013,1047,632,177,3869,3555,628,8055,0,0,0,0,0,0,0,0,4,3,0,0,8,7,0,14,0,0,0,0,0,3,0,3,41,53,30,4,125,49,19,196,45,55,30,4,131,60,24,214,52,36,15,3,110,72,15,192,13417,19852,7188,1162,41626,13851,2689,58164
CED229,14838,28289,7255,536,50917,8944,1092,60950,689,731,442,31,1891,1152,69,3107,342,476,342,17,1182,357,81,1618,1031,1209,785,51,3068,1507,145,4719,292,191,209,20,709,871,52,1631,5,9,3,0,22,13,10,47,0,3,0,0,3,3,0,4,0,0,0,0,0,0,0,0,299,205,215,20,739,887,64,1685,7,0,0,0,12,23,0,36,10,10,3,0,17,29,0,50,3,0,0,0,5,8,0,13,6,7,9,0,19,6,3,33,27,16,9,0,54,70,7,125,41,59,14,0,109,48,9,168,16237,29777,8277,602,54889,11448,1313,67648
CED230,16149,17902,6499,449,40999,12481,1282,54756,620,256,364,33,1280,1979,93,3354,108,82,114,3,302,166,22,492,729,341,480,36,1585,2147,118,3849,310,35,95,16,457,998,35,1486,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,3,0,0,3,3,0,3,313,36,95,16,458,1000,35,1489,18,4,8,3,34,116,0,150,40,8,13,0,59,128,0,192,6,3,0,0,3,9,0,13,20,15,4,0,37,25,0,68,85,27,20,3,140,283,3,429,54,45,11,0,117,88,10,207,17335,18359,7103,504,43296,15995,1443,60734
CED231,2147,2794,662,150,5757,1822,1044,8625,3039,2094,654,198,5981,2805,1774,10554,3020,2416,753,231,6421,2112,1941,10471,6053,4513,1405,428,12403,4916,3714,21028,1309,375,237,102,2019,2265,759,5043,2277,705,554,199,3743,4146,1254,9143,9745,3048,2325,1618,16737,16195,8714,41643,10,3,3,0,13,12,6,26,13339,4125,3123,1918,22509,22616,10736,55854,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,51,0,57,93,38,15,12,156,110,82,348,93,38,13,12,160,166,84,411,121,71,24,21,235,236,101,570,21760,11540,5225,2528,41061,29756,15679,86495
CED232,2305,4024,672,92,7095,1526,409,9027,2076,2203,565,99,4943,2212,487,7645,1969,2194,597,88,4842,1539,458,6839,4047,4395,1166,178,9790,3751,946,14481,2422,972,476,159,4031,4292,1163,9483,3391,937,594,206,5123,6463,1569,13156,7209,1806,928,527,10470,8952,2620,22047,17,5,4,0,31,26,3,66,13040,3724,2006,893,19666,19728,5356,44750,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,164,45,28,11,251,247,65,566,170,45,32,11,256,257,67,570,68,38,12,3,118,135,23,279,19629,12229,3884,1185,36921,25394,6795,69108
CED233,10254,17160,3539,391,31347,5602,638,37594,630,589,330,37,1584,1026,76,2688,925,1566,461,56,3016,586,122,3719,1554,2155,787,93,4600,1613,197,6407,258,236,109,12,617,432,39,1090,127,73,54,16,258,198,18,479,364,142,109,21,638,413,56,1102,0,3,0,0,3,0,0,6,745,453,268,46,1513,1041,122,2676,5,0,0,0,9,10,0,14,0,3,0,0,4,0,0,3,0,0,0,0,0,0,0,0,7,7,4,0,18,3,0,25,11,9,6,0,25,9,0,41,22,27,9,0,54,94,0,157,12594,19800,4616,537,37548,8368,953,46867
CED234,14978,14061,5369,385,34791,11903,1253,47950,572,281,274,28,1153,1977,138,3266,28,22,12,0,64,56,18,135,605,303,282,34,1217,2027,154,3406,177,58,91,9,332,850,36,1214,3,0,0,0,3,18,0,21,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,5,177,55,95,10,336,876,36,1253,40,9,3,0,63,199,0,260,50,12,14,0,77,145,5,238,7,4,3,0,15,14,0,37,25,36,13,0,78,36,12,123,130,64,41,0,232,393,24,650,91,53,17,3,157,103,13,278,15973,14540,5797,430,36746,15307,1477,53532
CED235,10774,21542,5754,590,38662,6567,946,46174,833,1132,460,59,2483,1035,163,3677,533,851,356,58,1795,442,139,2377,1368,1983,811,113,4272,1471,306,6055,338,286,152,33,812,502,56,1371,86,25,23,7,135,206,23,362,53,7,3,4,71,143,61,277,0,0,0,0,3,0,0,0,472,324,182,39,1017,848,145,2014,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,0,15,4,0,15,3,10,3,0,16,5,0,21,23,30,10,0,68,29,4,99,12640,23894,6755,742,44033,8926,1398,54358
CED236,14486,12804,4759,399,32440,12663,1287,46392,353,95,181,17,641,1462,81,2183,92,43,35,0,167,175,28,364,446,131,217,15,807,1636,104,2548,145,59,83,10,293,930,64,1286,16,0,0,0,20,64,3,91,0,0,0,0,0,5,0,11,4,0,3,0,7,0,0,7,159,56,88,10,318,1001,71,1385,22,5,7,3,35,92,3,131,30,12,5,0,44,72,8,126,0,4,0,0,6,19,0,29,45,29,9,0,79,54,6,145,99,46,23,3,171,238,15,432,115,74,20,0,210,120,13,343,15299,13119,5107,426,33950,15658,1487,51098
CED237,8194,13586,3809,620,26207,7342,2227,35774,1855,1534,672,147,4206,2790,815,7811,2582,2270,766,203,5831,2003,1200,9032,4435,3804,1443,353,10036,4791,2018,16840,1205,510,274,106,2094,2443,580,5117,452,102,83,32,667,760,247,1678,1233,253,107,67,1658,1717,539,3924,0,9,0,0,13,8,3,27,2896,875,469,205,4441,4930,1369,10742,3,3,0,0,3,0,0,5,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,59,44,15,5,132,81,53,269,68,51,15,8,143,82,51,280,55,58,28,4,141,74,21,236,15644,18370,5764,1190,40963,17221,5687,63876
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
