CED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED201,1281,958,2245,333,365,696,3,3,7,13,14,26,39,28,66,26556,22393,48947,1189,1659,2847,400,7,405,174,11,192,167,33,199,179,90,264,338,332,672,30678,25891,56562,295,225,518,0,0,0,40,33,71,810,437,1245,77,145,219,17,9,27,1232,847,2073,0,0,0,4,3,14,22,26,44,33,52,82,3,3,6,66,82,148,238,135,367,1533,1061,2593,276,206,478,4,10,18,10,6,11,293,218,507,969,1406,2375,2128,3979,6104,236,217,451,35832,32762,68598
CED202,620,508,1128,193,258,447,15,0,16,6,15,19,69,62,128,25210,21839,47054,1500,1715,3219,493,12,514,130,13,148,283,64,346,193,90,284,1006,893,1900,29727,25473,55197,40,31,67,0,0,0,36,35,71,244,150,388,23,38,60,35,6,46,377,259,639,0,0,0,0,0,0,11,12,20,17,37,52,4,4,7,34,49,83,234,114,350,651,424,1074,121,138,257,12,11,22,12,3,9,147,146,291,1499,1793,3290,2780,5072,7845,388,341,733,35193,33244,68436
CED203,4439,4540,8982,518,622,1142,15,0,23,1499,2189,3690,119,57,171,21168,17707,38873,920,1484,2404,300,4,308,381,65,454,2441,1312,3756,211,125,340,860,1049,1909,32885,29161,62051,414,413,824,0,0,0,557,582,1133,372,426,797,74,122,198,173,105,281,1590,1639,3228,0,0,0,153,246,398,14,20,38,17,46,59,12,19,33,193,333,534,365,373,741,2143,2353,4496,337,399,739,20,31,50,25,20,46,387,451,834,1281,1655,2933,2473,4601,7069,389,308,704,39560,38521,78078
CED204,538,395,937,232,221,454,12,7,22,15,13,30,46,50,93,23688,20774,44468,1412,1693,3106,464,17,485,197,29,224,387,113,500,185,92,281,1088,1029,2122,28268,24440,52707,26,21,45,0,0,0,39,28,67,157,98,255,19,25,49,36,11,50,277,184,462,0,0,0,0,0,0,20,10,23,12,17,36,12,6,23,48,37,83,245,141,386,566,359,924,82,90,174,5,4,6,9,3,18,102,94,198,1565,1868,3430,2840,5025,7865,352,340,689,33689,32124,65812
CED205,2250,1745,3996,512,686,1196,12,3,11,26,15,44,106,41,148,25547,17421,42967,1241,1822,3061,344,4,348,137,7,146,216,25,235,263,116,373,484,537,1021,31138,22418,53556,528,394,917,0,0,0,112,95,204,694,429,1120,67,142,213,30,8,41,1427,1070,2498,0,0,0,9,12,17,33,15,50,35,78,111,13,8,19,88,105,188,264,152,416,1781,1325,3104,368,329,695,11,9,18,10,0,11,386,340,723,1080,1295,2373,1863,2827,4693,414,288,707,36658,28491,65151
CED206,1840,1874,3716,280,289,570,6,3,13,28,56,79,137,32,172,27460,18959,46423,1516,1872,3393,549,12,563,141,9,153,118,10,125,254,105,360,243,270,509,32573,23507,56076,285,252,540,0,0,0,79,87,164,470,382,849,68,112,182,26,8,30,929,840,1768,0,0,0,10,7,15,39,38,80,23,45,66,7,6,8,74,99,173,278,161,439,1282,1102,2386,216,245,461,3,9,16,8,6,20,231,256,488,523,1064,1588,2063,3153,5216,546,385,926,37211,29460,66675
CED207,1098,865,1956,222,204,422,16,8,21,4,0,9,28,9,36,27136,22364,49503,1384,1299,2688,764,6,770,167,10,181,120,27,149,161,86,245,514,445,965,31610,25326,56934,198,143,348,0,0,0,42,32,66,568,398,963,63,87,153,28,9,33,897,665,1561,0,0,0,0,0,0,13,17,27,27,30,61,3,3,7,43,52,90,266,121,378,1199,835,2033,193,164,354,4,3,8,13,0,10,204,167,372,1318,2024,3343,2483,4724,7206,360,304,663,37175,33380,70554
CED208,3876,3155,7032,612,842,1449,8,0,8,293,307,608,71,46,108,22664,18435,41102,964,1819,2782,243,4,251,222,13,241,518,89,606,229,106,332,1088,1172,2257,30795,25991,56784,822,674,1498,0,0,0,264,252,513,745,524,1265,102,205,306,78,30,110,2016,1686,3695,0,0,0,54,74,129,21,22,45,25,58,82,17,16,30,116,172,291,208,180,392,2340,2036,4379,502,483,987,13,19,27,10,5,15,524,503,1030,1448,1681,3130,2469,4194,6665,270,216,494,37851,34625,72477
CED209,606,317,919,313,304,621,7,4,17,20,20,39,40,23,65,26296,22455,48749,1291,1574,2868,421,11,432,157,13,171,402,114,512,227,102,334,949,842,1796,30728,25783,56512,37,16,53,0,0,0,25,20,42,323,165,489,15,27,43,28,3,29,425,237,659,0,0,0,0,0,0,23,28,48,17,40,58,5,5,9,45,72,119,246,136,376,716,442,1156,185,107,290,9,3,16,21,0,21,218,116,333,2034,2332,4373,2951,5389,8338,362,335,693,37007,34396,71401
CED210,895,595,1492,380,446,827,19,10,28,12,10,17,79,68,142,23345,20225,43573,1444,1740,3185,367,11,380,164,22,186,417,140,556,205,84,280,949,1079,2022,28277,24418,52691,49,41,94,0,0,0,58,55,109,266,194,461,35,24,55,47,9,56,456,325,780,0,0,0,0,0,0,27,33,65,19,42,56,16,5,21,59,88,142,217,134,350,734,547,1274,145,147,292,11,9,13,11,9,20,165,168,332,907,1287,2188,2572,4545,7113,360,323,686,33009,31282,64284
CED211,3693,2788,6483,430,436,864,10,0,9,48,39,83,61,38,98,23313,19915,43232,1002,1575,2575,300,6,304,202,19,217,325,64,393,179,76,254,568,550,1117,30130,25510,55635,643,471,1115,0,0,0,208,167,372,707,478,1190,106,179,282,115,29,143,1776,1322,3097,0,0,0,19,17,38,20,24,45,18,33,50,3,10,9,66,89,151,236,116,350,2077,1527,3602,340,337,678,7,11,19,20,5,28,369,357,722,1354,1631,2989,2229,4396,6631,276,214,490,36435,33640,70071
CED212,848,612,1457,282,287,575,8,0,13,8,8,14,37,25,61,25676,22067,47742,1381,1459,2841,469,14,480,166,15,181,164,51,220,194,103,298,469,552,1020,29710,25200,54911,176,119,299,0,0,0,27,19,47,412,233,645,50,67,115,36,6,43,695,446,1143,0,0,0,0,3,0,4,9,18,35,40,75,10,7,18,59,59,114,242,118,362,996,624,1623,147,140,287,3,0,8,10,3,14,165,143,308,1218,1842,3063,2277,4339,6615,315,313,635,34680,32465,67140
CED213,224,122,345,195,122,316,11,9,23,22,7,31,21,13,32,25529,21263,46792,1355,1332,2691,802,17,818,129,19,142,166,49,213,255,136,392,1135,762,1896,29842,23857,53695,35,25,59,0,0,0,8,3,10,230,131,365,14,23,35,0,0,0,283,188,465,0,0,0,3,3,3,7,9,23,23,19,47,3,0,4,35,41,75,278,104,382,594,328,923,72,48,117,9,9,18,9,9,17,83,66,152,1853,2579,4427,2604,4708,7310,400,375,779,35378,31911,67294
