CED_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
CED201,12,36,46,3853,3686,7535,130,150,280,3991,3872,7866,35,36,75,4040,3631,7670,145,93,239,4216,3759,7977,49,32,80,3918,3776,7691,102,105,208,4072,3911,7981,32,45,76,4404,4209,8611,134,128,263,4576,4372,8953,36,29,60,4548,4362,8913,155,122,282,4741,4515,9257,23,15,38,4196,4227,8421,154,156,315,4366,4399,8769,14,11,21,4321,4541,8864,170,170,338,4493,4724,9220,14,12,29,4245,4444,8685,169,160,330,4432,4616,9045,20,16,35,4213,4612,8826,156,142,302,4391,4770,9163,19,22,43,4401,4970,9366,152,176,322,4571,5161,9732,9,15,21,4519,4929,9454,190,162,349,4715,5107,9825,16,13,24,4330,4652,8988,174,141,316,4521,4808,9325,12,8,21,3769,4166,7933,168,179,350,3951,4353,8303,18,26,39,8876,10695,19567,436,553,986,9329,11266,20593,304,310,614,63633,66895,130524,2429,2447,4872,66363,69652,136018
CED202,124,134,256,4603,4259,8855,264,261,530,4994,4656,9644,124,143,271,4807,4694,9507,263,268,526,5198,5101,10299,127,126,248,4518,4285,8799,263,262,525,4906,4670,9576,102,108,215,4652,4393,9039,274,288,560,5030,4788,9818,91,100,193,4636,4603,9236,347,306,657,5077,5012,10086,60,73,133,4162,4277,8440,289,283,569,4511,4638,9144,57,59,116,4034,4348,8378,269,279,549,4360,4683,9043,31,62,93,4093,4480,8572,252,270,521,4381,4805,9187,53,59,115,4416,4845,9268,287,294,581,4761,5202,9960,49,65,111,4595,5099,9695,290,323,616,4931,5486,10417,39,51,89,4683,5043,9728,341,324,658,5059,5418,10474,33,38,67,4494,4945,9438,300,357,660,4829,5341,10168,31,24,56,4277,4672,8951,307,321,621,4615,5014,9623,51,50,97,11224,13534,24764,993,1181,2166,12263,14762,27028,975,1086,2060,69203,73479,142677,4729,5020,9746,74900,79575,154483
CED203,61,69,133,4548,4398,8945,305,281,587,4922,4750,9670,47,43,95,4108,3928,8040,268,238,508,4427,4209,8637,45,44,95,3479,3335,6809,187,213,404,3711,3589,7306,57,60,123,3571,3456,7026,239,221,460,3865,3742,7604,64,80,144,5590,5963,11551,404,425,828,6056,6470,12524,62,69,129,7063,7380,14443,578,537,1119,7702,7984,15689,53,40,94,7120,7351,14474,568,555,1124,7739,7951,15697,35,33,73,5847,6307,12157,427,415,841,6314,6753,13072,38,47,83,5546,5737,11285,411,346,761,5992,6128,12125,44,40,78,5164,5534,10698,334,356,694,5541,5928,11468,29,52,80,4260,4646,8905,285,290,569,4580,4980,9557,26,30,50,3846,4085,7932,247,261,506,4120,4370,8489,17,19,36,3063,3371,6434,206,228,438,3294,3625,6912,31,37,72,9414,12025,21434,721,988,1703,10166,13049,23210,607,672,1279,72623,77511,150133,5200,5353,10552,78431,83533,161964
CED204,154,139,298,4178,4046,8219,308,309,619,4641,4491,9136,133,121,247,4596,4186,8783,349,308,658,5073,4613,9684,116,110,225,4278,4110,8387,329,278,607,4714,4496,9212,103,115,217,4296,4139,8430,301,284,592,4700,4537,9240,106,103,208,4174,4221,8390,280,270,553,4560,4591,9155,87,82,175,3758,3960,7714,262,269,534,4111,4313,8423,53,61,118,3827,4002,7824,268,283,557,4148,4352,8498,60,40,98,3789,4136,7927,255,286,543,4100,4465,8571,60,62,120,4223,4590,8808,275,310,586,4557,4953,9513,63,64,130,4469,4743,9204,346,306,658,4874,5115,9989,41,47,88,4475,4961,9435,321,345,664,4843,5353,10194,46,37,91,4591,5019,9611,374,350,723,5012,5414,10422,32,35,71,4487,4726,9213,340,364,703,4857,5125,9984,42,62,102,12072,13842,25912,1067,1316,2390,13182,15218,28405,1102,1092,2191,67194,70669,137869,5084,5293,10373,73379,77047,150431
CED205,24,21,45,4432,4114,8555,258,220,475,4714,4355,9076,23,19,41,4303,4093,8395,189,191,378,4516,4305,8816,27,26,56,4263,3927,8193,178,173,350,4471,4128,8591,34,24,55,4811,4368,9177,213,194,412,5056,4583,9642,31,29,56,6324,5071,11396,304,263,569,6655,5365,12019,9,15,30,6041,5382,11419,341,304,638,6386,5701,12088,8,8,20,5946,5492,11435,343,299,643,6296,5798,12090,20,16,32,5112,4803,9919,280,213,495,5407,5032,10443,14,27,43,4925,4868,9793,249,228,476,5191,5119,10308,15,17,26,4806,4866,9676,235,213,444,5054,5096,10150,15,16,27,4424,4520,8939,236,213,444,4671,4746,9414,11,12,21,4048,4390,8436,232,225,459,4290,4625,8916,5,14,19,3711,4075,7782,189,191,378,3907,4276,8181,22,26,44,11675,13899,25576,741,906,1649,12437,14829,27270,249,261,514,74822,73866,148690,3979,3825,7806,79055,77956,157011
CED206,54,51,106,5216,4870,10083,362,303,664,5627,5229,10858,46,55,100,5370,5072,10451,316,306,621,5739,5434,11168,38,46,83,5428,5286,10711,323,303,628,5788,5631,11424,59,55,115,5828,5738,11566,308,300,612,6198,6097,12292,48,54,102,6408,5729,12137,342,295,639,6800,6071,12877,33,34,67,5933,5590,11520,384,349,737,6352,5970,12325,28,29,52,5351,5254,10606,314,304,624,5689,5585,11275,18,25,45,4898,4965,9860,308,279,586,5226,5271,10490,24,34,56,4912,5271,10186,261,251,512,5196,5560,10754,31,37,64,5317,5834,11149,289,292,579,5637,6161,11794,18,23,42,5509,5591,11098,287,277,565,5814,5891,11706,16,23,36,4717,4929,9644,245,268,518,4978,5222,10196,6,14,18,3915,3994,7910,234,238,474,4152,4245,8397,20,24,38,8790,9704,18496,565,748,1315,9370,10474,19846,439,494,929,77580,77822,155407,4552,4520,9068,82569,82835,165406
CED207,76,57,131,4422,4129,8552,222,184,400,4714,4368,9089,74,86,162,4508,4205,8718,226,189,410,4809,4482,9283,83,97,184,4304,4120,8422,200,201,401,4586,4416,9006,76,102,177,4432,4197,8626,204,188,389,4710,4487,9196,42,50,92,4174,3933,8105,206,170,373,4416,4154,8569,46,46,94,4157,4179,8334,185,199,381,4387,4428,8817,41,28,64,4210,4609,8812,218,213,436,4466,4848,9313,28,43,68,4171,4232,8406,190,181,373,4394,4456,8853,41,37,74,4456,4840,9297,223,215,440,4718,5091,9808,37,40,78,4687,4971,9666,210,223,434,4941,5238,10180,45,34,81,4510,4902,9413,248,225,474,4808,5158,9966,30,31,66,4411,4616,9033,257,249,504,4700,4895,9596,17,20,39,3829,4200,8029,178,220,397,4025,4432,8463,26,52,79,9821,11189,21013,687,851,1537,10539,12097,22636,661,715,1380,66104,68329,134432,3441,3511,6950,70203,72559,142766
CED208,16,14,28,4103,3861,7961,215,206,414,4328,4077,8409,6,9,18,4082,4035,8116,165,150,311,4250,4196,8452,21,15,33,4062,3822,7882,151,157,311,4235,3995,8226,23,22,49,5396,5519,10915,210,222,433,5630,5767,11393,26,29,53,9141,8543,17687,410,364,778,9580,8937,18523,10,17,28,7050,6653,13700,343,342,683,7404,7005,14408,13,12,26,5793,5647,11438,307,290,597,6120,5943,12061,6,4,10,4701,4899,9597,233,205,434,4935,5113,10052,11,13,24,4736,5208,9939,240,200,441,4991,5416,10402,13,9,29,4840,5433,10272,219,215,434,5072,5657,10735,7,14,23,4365,4705,9073,203,176,381,4580,4894,9474,8,9,15,3885,4323,8207,156,174,336,4048,4508,8556,6,4,7,3277,3775,7055,165,184,352,3449,3964,7414,10,18,34,10722,14195,24915,587,800,1386,11314,15018,26333,182,193,377,76144,80615,156762,3602,3690,7289,79930,84500,164433
CED209,70,70,137,4750,4282,9032,237,225,463,5054,4581,9632,76,71,151,5010,4682,9694,236,241,474,5326,4988,10317,68,76,138,4733,4463,9196,266,221,489,5063,4757,9821,80,58,141,4406,4211,8613,240,222,461,4722,4494,9214,57,31,85,4434,3920,8349,269,213,481,4760,4162,8919,33,25,61,3823,3835,7656,231,212,438,4084,4075,8156,27,38,66,4091,4526,8620,221,219,441,4347,4777,9123,27,40,68,4303,4549,8852,222,203,424,4552,4793,9343,28,44,70,4744,5072,9811,283,262,537,5048,5373,10427,27,43,75,4556,4988,9542,283,246,532,4868,5275,10140,28,24,52,4400,4812,9216,233,246,484,4662,5084,9748,28,24,47,4503,4872,9378,257,254,512,4791,5150,9940,16,19,37,4438,4667,9101,292,295,585,4743,4976,9724,32,33,60,12000,14243,26246,859,1061,1916,12892,15340,28230,597,595,1194,70187,73118,143300,4129,4116,8243,74915,77827,152740
CED210,104,105,214,4189,4024,8212,269,235,503,4559,4368,8921,95,98,194,4087,4004,8092,249,245,490,4438,4350,8781,102,105,205,4092,3783,7874,239,221,458,4435,4100,8537,87,111,201,4396,4167,8557,248,243,492,4733,4517,9253,71,81,157,4486,4474,8966,282,328,609,4845,4886,9727,48,56,107,4469,4593,9064,305,303,603,4824,4954,9778,51,60,118,4348,4508,8854,270,276,545,4672,4841,9513,58,45,100,4039,4166,8206,227,221,452,4321,4435,8755,42,45,87,4395,4628,9019,264,241,504,4699,4918,9619,61,35,99,4397,4707,9106,298,298,595,4757,5039,9801,47,52,97,4439,4858,9301,279,303,585,4764,5211,9975,28,34,66,4303,4810,9113,291,314,604,4623,5159,9783,32,33,72,4101,4537,8638,279,293,575,4415,4864,9279,37,53,87,11655,14124,25780,1026,1296,2318,12712,15477,28193,878,925,1800,67391,71389,138776,4525,4808,9337,72793,77125,149914
