CED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED201,25,50,157,144,326,648,1217,1139,593,4312,8,32,76,82,122,166,145,151,66,832,263,313,745,734,817,875,842,774,612,5972,3387,9244,17985,18186,19538,17612,11841,6122,2600,106511
CED202,92,103,237,248,447,879,1867,1662,995,6535,3,23,43,57,74,58,41,39,16,359,564,700,1221,1292,1578,1679,1735,1339,779,10878,4234,10070,18169,19146,20883,19789,15720,7879,3411,119296
CED203,32,60,215,281,468,1077,2774,3548,1559,10007,11,50,122,132,192,320,505,894,318,2549,494,903,2440,1833,1563,1229,1247,1231,907,11848,3587,12490,31361,25166,20997,15382,10803,8431,3957,132176
CED204,78,124,273,282,459,832,1720,1693,1074,6531,10,23,93,95,118,97,83,37,19,576,600,648,1510,1503,1748,1871,1861,1540,965,12238,3910,9127,16901,18070,20168,20403,16133,8505,3755,116978
CED205,64,166,545,637,724,1185,1993,2026,946,8279,10,217,544,545,504,527,450,474,188,3469,432,680,1571,1205,1159,1176,1195,1174,836,9438,3994,11926,24115,20712,19505,17058,14204,9199,3808,124524
CED206,117,200,766,1104,1464,2026,3066,2030,650,11428,25,70,279,360,559,755,751,615,221,3637,661,767,1727,1392,1512,1332,1245,826,385,9844,5370,12805,23528,21189,23448,18554,12133,5796,1887,124701
CED207,57,82,259,297,356,593,1350,1103,674,4762,10,26,71,78,116,71,71,74,39,559,361,421,892,949,1135,1120,1159,904,561,7504,3665,8543,18119,18652,20135,18050,13754,6323,2545,109787
CED208,45,76,131,155,279,595,1479,1957,1146,5861,19,60,167,150,188,251,283,377,144,1634,471,872,1508,1014,957,921,884,1069,838,8533,5971,18452,26437,20432,20187,15947,11977,9537,4782,133729
CED209,68,67,144,207,244,496,1319,1414,1109,5058,11,25,49,52,73,77,54,41,31,403,442,526,969,1107,1209,1358,1459,1171,807,9038,3780,8901,17267,19755,19886,19659,16037,8206,3975,117458
CED210,100,135,319,387,552,1090,2137,2100,1254,8074,19,38,107,139,137,122,171,188,77,998,486,736,1655,1444,1666,1662,1800,1511,926,11889,3809,9675,19272,18362,19753,19053,15393,8819,3961,118089
CED211,89,80,277,281,357,525,1070,1303,1016,4997,10,48,179,145,212,245,193,182,71,1291,266,322,904,885,841,757,870,1047,858,6754,3087,8422,20135,21441,19382,15844,13335,8570,4363,114579
CED212,65,84,228,252,356,546,1309,1186,778,4810,10,26,41,63,69,49,69,73,28,430,476,572,1205,1223,1402,1369,1460,1322,809,9837,3459,8408,17274,19110,20449,18209,15358,8727,3703,114700
CED213,91,85,218,209,378,709,1777,1700,1031,6195,12,11,36,61,70,72,91,90,38,485,476,486,947,1186,1479,1726,2061,1723,1065,11152,3728,7488,14596,17680,20957,21606,20307,10922,4542,121819
CED214,52,108,388,444,708,1285,2513,2641,1323,9453,16,68,278,255,332,446,482,616,294,2780,441,841,2167,1774,1511,1363,1293,1202,784,11377,3452,11343,30338,26523,21565,16796,11312,7465,3547,132341
CED215,68,128,283,297,517,1023,2273,2036,1028,7651,10,19,53,45,80,79,90,91,36,496,609,798,1651,1572,1925,2147,2220,1746,882,13550,3358,7489,15649,15596,18807,21178,18134,9335,3620,113165
CED216,39,25,59,88,128,271,650,924,943,3122,8,10,46,48,70,81,75,118,66,517,339,410,933,1003,1210,1043,980,852,768,7536,3020,8076,15017,19511,23353,18327,13607,7570,5114,113599
CED217,98,123,472,725,1202,2032,2682,1269,446,9049,15,58,218,339,521,576,431,340,120,2613,673,1064,2463,2256,1873,1547,1351,679,220,12122,5402,12777,30393,31750,24267,18904,11817,4320,1332,140972
CED218,23,41,68,75,126,267,744,1082,640,3068,8,16,74,40,63,79,117,231,80,715,351,864,2655,1450,1181,1040,962,940,540,9987,3073,13535,32798,21335,19017,15309,11727,7206,3571,127572
CED219,123,237,714,870,1008,1435,1871,1361,671,8292,32,174,609,798,630,503,356,255,87,3438,670,870,1954,1727,1574,1477,1191,951,560,10965,5470,14123,32583,29883,24830,19635,11683,5590,2100,145901
CED220,36,73,307,446,781,1231,2263,2290,1225,8645,10,90,284,313,552,667,585,552,268,3319,352,554,1135,1040,972,922,1004,1022,769,7774,3524,10443,21870,21410,20206,16604,12464,8283,4146,118947
CED221,73,79,196,229,382,844,1857,1788,1102,6551,8,16,45,52,77,63,75,61,26,414,577,619,1165,1377,1652,1980,1946,1411,829,11558,3369,6830,14013,16107,19331,20952,17092,8494,3746,109948
