CED_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED224,52566,57818,110387,1671,1820,3495,230,256,485,6753,7314,14068,202,232,436,101,97,201,151,146,293,47,45,89,16,26,45,69,76,145,0,0,0,7575,8193,15767,1950,2333,4278,97,96,202,11295,12442,23738,4946,5143,10094,68808,75407,144213
CED225,62603,63443,126044,1243,1371,2612,158,168,325,6812,7111,13931,142,155,295,48,44,96,76,75,155,27,23,53,20,26,51,21,19,34,0,3,4,7313,7623,14942,701,759,1454,105,96,202,9367,9847,19209,4911,4933,9845,76880,78220,155100
CED226,86675,87428,174102,2940,3056,5992,678,665,1344,10804,10563,21360,383,377,760,224,225,448,226,227,458,74,69,150,57,68,127,70,69,140,0,0,0,12520,12264,24785,2704,3097,5798,176,151,324,18334,18570,36904,9092,7700,16794,114095,113700,227795
CED227,53275,54058,107328,3100,3449,6546,415,435,847,3106,3430,6536,179,166,339,281,271,553,101,108,208,20,22,42,71,67,139,11,20,27,0,0,3,4185,4515,8694,442,421,867,158,140,301,7881,8524,16404,6702,6629,13322,67856,69208,137058
CED228,62620,65485,128107,2002,1907,3910,282,279,563,7028,6953,13980,186,206,392,110,126,234,101,94,198,40,37,80,31,22,49,45,40,87,4,0,5,7827,7767,15585,1679,1813,3494,163,128,291,11667,11616,23285,6596,6487,13085,80882,83593,164476
CED229,79928,81321,161255,3092,3259,6352,409,401,805,9598,10016,19612,444,377,824,106,80,183,123,117,240,42,49,90,72,58,135,38,35,70,0,0,3,10833,11133,21964,1101,1226,2333,154,125,282,15178,15745,30924,7356,7588,14943,102463,104657,207122
CED230,62610,65669,128286,3452,3882,7328,190,203,398,6251,6944,13204,235,239,479,47,51,101,82,91,172,23,28,54,44,42,90,11,19,31,3,0,3,6893,7627,14521,378,440,822,142,127,265,10865,12078,22942,6786,7124,13908,80262,84871,165134
CED231,59389,62996,122392,3875,4276,8148,933,1021,1956,12897,13982,26877,672,747,1420,282,303,580,501,494,993,128,157,282,73,87,160,204,241,446,0,4,4,15695,17028,32722,8410,9728,18145,261,279,539,28239,31313,59553,12442,12164,24599,100071,106469,206540
CED232,51018,53537,104550,2522,2615,5135,659,670,1328,9167,9825,18993,509,549,1056,158,150,309,324,303,633,95,92,186,58,52,108,90,76,168,0,0,0,11057,11720,22776,3444,3835,7280,180,146,332,17203,18319,35521,9301,9515,18813,77522,81366,158890
CED233,54682,58060,112740,903,971,1867,117,121,245,5080,5314,10393,112,131,240,75,103,177,72,83,158,16,18,29,8,9,19,16,23,42,0,0,0,5506,5800,11302,1170,1337,2509,78,79,153,7650,8181,15833,3816,3975,7794,66146,70219,136365
CED234,55859,56599,112454,3242,3461,6708,467,508,971,3584,3852,7437,245,259,496,55,61,115,104,83,185,42,49,89,54,38,93,10,8,22,0,0,0,4559,4854,9411,399,496,893,160,155,316,8368,8966,17330,7065,6909,13975,71285,72476,143762
CED235,66777,68207,134985,1247,1186,2436,216,211,425,6805,6688,13500,141,127,268,98,90,190,93,78,174,20,23,43,45,32,75,17,23,41,0,0,0,7439,7274,14713,1360,1535,2896,112,87,199,10166,10073,20237,5178,5261,10438,82119,83546,165663
CED236,51722,52895,104616,2905,3094,6000,170,185,352,3370,3640,7009,172,198,373,137,162,301,106,115,221,35,39,73,46,51,97,8,14,23,0,0,0,4045,4402,8453,351,330,679,104,109,212,7412,7937,15347,6709,5743,12458,65842,66578,132421
CED237,60593,64034,124634,2206,2078,4286,461,421,887,8576,8877,17455,347,346,694,154,158,314,214,191,411,58,62,118,39,42,83,68,106,171,0,0,0,9933,10211,20142,2280,2418,4698,194,188,384,14609,14891,29504,6597,6710,13307,81801,85642,167442
CED294,810,544,1354,300,188,486,94,89,185,1046,961,2005,103,111,216,28,24,54,57,42,106,16,15,31,10,15,28,5,11,18,0,3,3,1368,1270,2645,331,340,666,94,64,159,2095,1859,3954,1374,795,2164,4279,3200,7480
CED297,13,0,12,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,12,0,11,3,0,3,28,4,29
