CED_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
CED201,11,166,0,180,4170,226,4576,86,141,0,230,4305,200,4741,2075,239,36,2355,6109,400,8863,4843,137,113,5091,3303,425,8824,2909,209,58,3181,5721,391,9287,484,758,8,1252,6811,402,8467,74,1034,5,1113,4162,345,5617,20,198,3,224,2261,297,2771,6,6,0,13,805,118,936,10519,2902,221,13640,37641,2800,54086,25,253,7,277,3883,214,4372,193,286,4,486,3885,147,4515,3131,408,125,3661,5062,405,9126,5976,295,264,6529,2499,361,9391,2893,545,118,3555,6317,402,10270,289,2074,28,2387,6372,402,9165,70,1605,5,1683,4163,388,6241,29,192,0,217,2754,388,3359,3,16,0,21,1420,224,1669,12601,5675,550,18826,36354,2930,58110,35,423,3,460,8048,440,8953,278,434,4,717,8189,346,9257,5205,647,162,6020,11169,802,17992,10823,430,374,11628,5798,782,18208,5803,757,173,6733,12034,793,19554,774,2829,33,3642,13185,801,17628,143,2638,10,2796,8327,734,11857,43,390,3,437,5012,679,6138,7,22,0,29
CED202,35,194,3,236,4300,498,5030,212,172,7,389,4294,393,5077,2763,267,77,3111,5144,613,8866,4976,220,159,5348,3173,613,9144,2889,378,71,3342,5925,721,9990,449,971,12,1438,7289,715,9442,75,974,6,1054,5746,777,7575,13,185,3,200,2814,515,3531,9,5,0,21,934,203,1158,11424,3363,340,15129,39632,5045,59807,63,390,7,465,3879,452,4788,433,417,13,867,3800,345,5012,3966,565,248,4781,3944,597,9323,5935,376,391,6702,2715,597,10008,2742,992,147,3879,6274,745,10904,235,2374,26,2631,6955,762,10353,73,1666,7,1745,5586,826,8153,15,257,5,276,3359,723,4361,23,15,0,35,1853,366,2251,13482,7053,839,21378,38362,5413,65149,96,591,7,698,8178,946,9818,651,588,22,1258,8089,741,10086,6726,833,326,7886,9090,1204,18191,10908,595,546,12051,5891,1212,19151,5628,1370,219,7223,12201,1467,20892,687,3341,36,4070,14249,1480,19794,147,2637,8,2794,11332,1601,15729,29,439,9,478,6180,1233,7893,29,25,4,55
CED203,18,146,0,163,3342,361,3865,56,131,8,194,5386,475,6056,1876,321,24,2223,11923,1298,15445,5260,202,105,5573,5770,963,12304,3335,182,75,3596,5778,746,10116,608,382,17,1007,5852,560,7411,68,732,9,806,3655,503,4970,16,314,3,337,2929,451,3713,4,26,0,26,1221,240,1482,11238,2434,244,13915,45853,5600,65370,21,219,0,246,3162,336,3742,152,307,8,466,5510,494,6470,2996,667,93,3757,10976,1206,15939,6350,517,326,7195,4858,835,12887,3339,528,163,4036,6131,746,10910,287,1235,29,1554,5832,608,7989,66,1296,3,1366,3900,587,5851,22,345,0,361,3810,550,4722,6,27,0,39,1909,529,2475,13240,5136,640,19016,46073,5895,70983,43,360,7,407,6508,696,7604,211,435,13,655,10897,972,12524,4869,991,114,5980,22893,2506,31381,11610,717,432,12765,10628,1797,25189,6665,716,244,7630,11912,1489,21025,898,1610,53,2560,11676,1168,15403,126,2034,13,2174,7554,1090,10818,42,656,3,696,6738,1004,8437,15,49,0,62
CED204,15,210,0,227,3930,548,4700,233,210,10,448,3722,389,4560,2539,281,69,2895,4510,857,8259,4618,198,158,4981,2900,778,8658,2818,371,89,3276,5571,867,9712,501,986,17,1505,7479,887,9869,83,971,8,1060,5955,855,7864,14,205,0,222,3101,632,3951,4,12,0,16,1073,276,1365,10826,3441,350,14623,38236,6085,58947,63,363,4,428,3633,482,4537,486,350,28,863,3441,290,4591,3665,566,240,4467,3575,619,8664,5598,352,399,6351,2409,660,9423,2631,942,161,3731,6008,728,10472,261,2383,24,2670,7068,803,10539,69,1564,11,1643,5770,860,8279,12,229,0,248,3531,785,4558,22,17,0,39,1787,563,2389,12806,6770,864,20438,37220,5787,63446,78,571,4,649,7564,1028,9240,724,555,35,1314,7164,675,9155,6210,842,307,7361,8082,1473,16921,10214,556,556,11333,5312,1441,18082,5451,1312,249,7012,11578,1598,20184,759,3373,43,4173,14547,1684,20411,146,2543,17,2702,11722,1714,16144,32,437,0,468,6630,1410,8506,23,26,0,52
CED205,27,146,3,174,4526,357,5056,79,180,3,268,5965,431,6655,2269,256,24,2547,9244,898,12682,4833,132,49,5013,4910,679,10599,2845,119,51,3016,6076,631,9722,539,516,16,1061,6608,526,8200,122,1112,8,1245,4960,492,6700,11,411,0,423,3432,449,4301,6,12,0,17,1218,195,1436,10725,2883,153,13769,46939,4650,65359,34,215,3,255,4024,314,4583,286,269,14,572,4466,328,5365,4022,400,79,4498,6248,746,11494,5992,251,155,6392,3211,544,10152,2777,402,76,3258,6050,533,9841,362,1524,25,1912,6473,517,8898,116,1853,11,1971,5032,529,7534,24,372,3,399,3998,517,4912,10,18,0,21,1967,388,2376,13621,5292,363,19279,41467,4414,65166,56,358,5,428,8547,664,9642,367,452,14,838,10429,758,12019,6288,652,101,7042,15493,1646,24185,10821,384,204,11405,8123,1222,20751,5630,519,130,6273,12124,1160,19564,901,2035,40,2977,13077,1040,17092,237,2968,18,3215,9999,1020,14233,36,785,6,822,7424,971,9220,11,29,0,44
CED206,22,189,4,216,5467,514,6198,137,213,5,356,5955,490,6800,2456,288,23,2767,8277,996,12039,4730,145,70,4945,4716,757,10418,3087,224,46,3362,7281,816,11450,540,649,21,1214,7263,655,9131,78,821,5,911,4500,527,5935,17,180,0,201,2189,321,2710,0,11,0,17,604,116,731,11072,2719,186,13980,46244,5187,65414,47,333,7,392,5189,514,6097,488,374,19,879,4842,360,6071,4348,446,104,4899,5854,805,11558,6148,298,189,6636,3521,668,10825,2963,701,96,3757,7555,735,12050,271,1862,40,2174,6634,657,9464,79,1278,17,1374,4284,563,6221,26,185,0,205,2503,385,3098,3,16,0,19,942,204,1162,14366,5486,477,20334,41330,4887,66542,74,526,9,607,10655,1023,12292,628,588,22,1236,10795,850,12877,6802,734,134,7661,14131,1799,23598,10873,441,262,11584,8234,1429,21246,6048,926,148,7116,14833,1549,23501,814,2508,60,3387,13902,1311,18597,160,2104,26,2282,8784,1089,12150,44,358,0,404,4691,707,5806,6,25,0,30
CED207,12,198,3,209,4112,387,4710,128,157,4,283,3881,256,4416,2703,273,50,3031,5355,466,8847,5118,193,177,5490,3123,496,9113,2925,343,74,3345,5867,534,9745,441,896,12,1353,6854,519,8726,76,1058,3,1137,4990,524,6654,25,199,0,224,2360,337,2919,8,4,0,9,813,140,965,11431,3325,331,15087,37352,3655,56095,34,335,3,375,3762,343,4487,304,311,15,629,3324,201,4154,3879,531,243,4658,4164,454,9276,5964,356,409,6736,2366,454,9553,2739,842,157,3735,6124,536,10398,216,2369,18,2605,6205,526,9334,66,1709,8,1785,4744,576,7104,17,202,3,218,2734,458,3404,5,10,0,21,1295,270,1586,13228,6673,861,20756,34715,3817,59291,48,531,6,584,7875,729,9196,429,465,18,910,7200,457,8569,6589,806,295,7689,9518,921,18127,11082,547,590,12222,5489,948,18660,5672,1185,226,7081,11991,1070,20147,662,3260,33,3957,13058,1045,18057,135,2771,11,2918,9736,1103,13756,39,405,3,441,5088,790,6326,16,21,0,34
CED208,24,143,0,174,5124,328,5630,33,173,4,212,8871,501,9580,2017,213,21,2252,10452,809,13515,5159,133,94,5387,3979,554,9925,3566,142,63,3772,5405,477,9649,614,461,16,1085,5997,416,7493,125,952,5,1085,3922,359,5365,39,416,4,458,3253,402,4108,3,28,0,31,1553,260,1843,11582,2664,204,14452,48555,4103,67115,25,247,3,272,5185,305,5767,93,298,8,400,8117,420,8937,3102,395,62,3565,8654,738,12951,6479,287,246,7016,3054,461,10534,3642,382,135,4158,5914,485,10556,394,1381,30,1808,6219,447,8469,113,1759,16,1891,4288,456,6631,39,492,0,533,4321,583,5446,9,30,0,37,2395,511,2942,13903,5276,500,19673,48149,4403,72227,48,390,6,446,10311,632,11393,132,466,11,612,16988,924,18523,5123,611,80,5814,19109,1546,26469,11638,419,339,12398,7036,1015,20452,7207,525,199,7930,11313,964,20204,1007,1839,46,2888,12217,856,15963,235,2719,19,2976,8208,812,11994,76,913,3,992,7576,989,9552,16,56,0,68
CED209,20,187,4,209,4122,392,4722,106,157,4,268,4180,310,4760,2365,265,56,2688,5219,525,8429,5858,184,143,6186,2845,571,9605,3368,271,91,3733,5186,610,9528,576,1039,12,1633,7255,644,9533,93,1301,6,1398,5686,682,7769,18,231,0,253,3013,459,3727,8,19,0,24,1154,210,1393,12417,3655,318,16395,38669,4404,59465,29,326,4,355,3761,379,4494,224,295,18,544,3385,238,4162,3533,497,201,4225,4156,468,8851,6657,375,424,7455,2207,498,10165,3273,726,144,4145,5676,545,10360,249,2417,19,2689,6808,632,10128,67,2120,14,2201,5358,721,8273,21,304,3,325,3518,638,4483,11,18,0,30,2163,386,2588,14060,7080,828,21970,37033,4506,63504,43,515,7,565,7884,769,9214,332,451,21,807,7562,547,8919,5897,761,259,6914,9370,993,17281,12519,559,565,13642,5054,1070,19771,6637,1002,234,7880,10865,1150,19893,826,3457,33,4318,14067,1279,19665,156,3421,22,3598,11038,1402,16039,35,539,6,576,6532,1096,8209,23,37,0,58
CED210,22,184,4,209,4076,452,4733,228,158,3,397,4024,432,4845,2435,290,59,2787,5676,1028,9491,4509,173,117,4792,3359,872,9018,2540,326,76,2941,5754,831,9525,403,902,15,1314,6992,731,9036,93,1030,9,1133,5391,758,7279,15,212,0,237,3150,560,3938,4,11,0,16,1171,306,1497,10252,3285,282,13821,39578,5964,59364,48,364,3,415,3720,388,4517,483,313,25,814,3711,360,4886,3712,558,231,4497,4664,632,9797,5408,390,308,6110,2704,540,9350,2465,896,109,3470,6114,671,10253,243,2230,22,2494,6766,762,10027,69,1721,10,1800,5543,781,8124,20,276,3,300,3836,752,4885,14,7,0,25,1941,504,2467,12462,6750,719,19932,39000,5376,64305,73,541,7,620,7791,837,9253,713,469,28,1212,7729,793,9727,6144,846,289,7285,10335,1662,19286,9915,558,423,10901,6064,1409,18372,5004,1221,186,6409,11864,1503,19774,642,3135,34,3812,13760,1492,19062,161,2746,19,2932,10931,1539,15404,38,493,5,536,6983,1308,8824,15,24,0,43
