CED_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
CED201,7,18,20,3,0,3,16,367,4,189,379,299,43,10,11,6,0,0,6,11,0,0,31,998,0,0,0,6,3,17,44,23,6,8,3,6,3,4,10,130,0,0,0,0,6,48,143,206,32,18,23,13,21,11,7,534,0,3,5,36,53,52,13,9,3,0,4,0,0,0,6,186,5,0,22,117,328,902,626,689,109,97,70,77,60,42,43,3176,0,48,52,30,18,3,0,0,0,0,0,0,0,0,0,152,0,218,268,68,50,15,13,13,3,0,0,0,5,0,21,672,10,13,30,107,265,326,398,236,75,64,29,39,30,18,49,1684,0,0,0,3,11,31,49,23,15,12,4,20,7,0,3,182,0,0,0,30,159,354,209,218,42,46,50,50,31,25,37,1251,0,28,40,32,150,159,35,8,0,5,4,0,0,0,11,469,0,0,8,28,64,128,227,261,23,34,26,22,30,14,13,881
CED202,4,8,10,0,0,0,8,254,3,100,118,55,13,6,6,11,0,0,0,0,0,3,20,335,0,4,3,4,6,10,39,28,0,3,0,0,0,0,3,93,0,0,0,0,5,5,16,14,4,0,3,0,3,0,4,52,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,21,3,0,15,26,24,32,34,51,13,3,3,15,9,3,12,235,0,62,95,52,25,12,7,9,0,0,3,0,0,0,16,276,0,339,281,59,41,13,26,15,0,3,0,0,5,0,34,821,3,11,46,145,275,258,304,135,39,55,34,19,21,13,60,1429,0,0,0,0,0,0,20,34,0,3,8,3,3,3,0,76,0,0,0,5,36,72,76,94,32,58,53,31,32,12,20,525,0,17,9,3,23,9,7,5,0,3,0,0,0,0,6,97,0,0,7,12,8,8,13,25,0,4,0,3,3,11,0,88
CED203,38,26,19,16,11,3,25,529,21,1450,2770,1299,134,62,67,47,17,41,54,57,56,25,334,6441,0,3,0,4,13,40,108,69,13,11,6,15,15,16,9,327,0,0,0,3,11,10,40,56,8,8,17,7,13,4,11,192,0,16,85,334,282,231,119,52,5,7,10,13,8,5,47,1218,0,0,12,29,125,205,170,141,21,21,55,73,90,56,38,1025,0,135,140,56,25,3,4,4,0,3,0,0,0,0,27,394,0,41,42,20,21,15,31,18,3,0,0,4,8,7,8,213,3,9,30,86,259,319,588,428,141,173,103,88,85,47,86,2454,0,0,0,0,4,18,49,102,36,58,63,93,102,48,14,587,0,0,0,5,83,254,108,155,27,73,72,77,69,44,28,1011,0,21,33,28,50,45,17,12,4,0,3,8,0,0,7,231,0,0,7,13,29,43,108,48,6,13,15,13,32,14,12,347
CED204,3,9,10,3,0,0,9,231,5,70,93,46,7,3,0,6,0,0,0,0,0,0,24,261,0,0,0,0,3,5,18,13,6,6,3,0,0,0,6,54,0,0,0,0,0,3,18,10,8,3,6,3,3,4,0,60,0,0,0,6,3,5,7,3,0,0,0,0,0,0,18,37,0,0,14,23,36,26,30,28,3,7,0,4,7,8,17,200,0,42,36,23,3,0,0,0,0,0,0,0,0,0,10,116,0,152,134,38,34,8,21,16,0,10,6,0,0,0,24,448,3,6,28,130,282,214,243,142,29,24,23,3,12,4,83,1232,0,0,0,0,0,0,15,27,0,3,8,0,3,0,0,61,0,0,0,11,32,86,71,88,32,28,54,25,40,17,25,501,0,16,13,3,6,13,5,3,0,0,0,0,0,0,3,65,3,0,3,15,7,7,19,9,0,0,4,0,0,3,4,69
CED205,4,10,0,0,9,3,3,208,14,412,999,504,61,25,27,23,0,4,9,7,9,6,95,2193,0,3,0,4,20,40,74,51,3,12,5,15,13,0,8,257,0,0,0,4,26,76,257,340,66,47,39,43,39,26,26,990,0,7,16,121,141,108,64,39,9,4,10,8,7,4,19,558,0,4,37,203,590,974,653,609,177,150,196,213,223,139,101,4275,0,57,58,31,14,0,4,0,0,0,0,0,0,0,8,176,0,169,144,24,18,15,19,13,0,0,0,0,0,0,11,420,8,8,29,111,244,286,519,294,90,129,80,89,56,34,80,2050,0,0,0,9,19,46,153,331,137,236,299,202,189,98,50,1772,0,0,0,8,135,375,237,321,52,67,115,92,88,49,47,1599,0,52,57,67,198,244,47,15,3,0,4,0,7,0,20,723,0,0,6,28,69,152,233,200,46,52,48,49,45,45,13,979
CED206,9,9,11,6,5,0,14,196,3,644,1710,1060,139,45,69,23,4,15,19,10,10,6,162,3916,0,0,3,0,0,8,19,12,0,0,0,0,0,0,0,46,0,0,0,3,3,3,20,21,0,6,0,10,5,4,5,91,0,3,29,471,739,670,578,406,57,71,91,66,68,38,185,3482,0,0,3,21,51,107,53,54,8,22,13,12,12,12,28,394,0,337,633,374,95,44,17,3,0,0,4,0,0,0,61,1578,0,59,49,13,8,3,3,3,0,0,3,0,0,3,7,153,3,4,14,58,146,251,547,322,105,145,138,93,88,49,90,2049,0,0,0,4,10,62,231,305,102,163,149,218,164,126,52,1597,0,0,6,71,277,738,376,410,65,101,107,91,114,56,52,2456,0,27,44,43,185,107,10,9,3,0,0,0,3,0,7,441,0,0,3,6,20,49,67,52,3,17,8,4,13,10,3,249
CED207,3,9,4,3,0,0,4,302,6,277,340,157,23,15,11,16,7,4,0,3,6,0,45,907,0,3,4,5,6,12,27,18,3,0,3,6,3,0,4,89,0,0,0,0,3,7,21,15,5,3,0,3,3,0,0,61,0,0,3,15,19,20,9,12,0,0,0,0,3,0,3,88,0,0,24,22,47,41,55,87,18,11,17,7,21,12,9,382,0,37,46,5,5,0,0,0,0,0,0,0,0,0,13,111,4,423,529,170,154,38,54,25,0,10,8,0,3,5,45,1456,8,19,43,172,355,339,379,156,46,42,28,29,15,13,83,1714,0,0,0,0,3,3,12,6,0,0,0,11,3,0,0,42,0,0,4,0,47,131,103,101,18,11,32,24,14,4,17,508,0,19,37,26,79,43,20,11,0,5,0,4,0,0,5,247,0,0,3,14,13,5,37,28,9,4,3,0,0,0,9,128
CED208,9,15,16,9,9,3,16,360,14,415,875,373,45,19,18,11,4,16,19,28,5,8,76,1933,0,3,3,3,36,65,158,82,24,22,24,18,31,35,16,521,0,0,0,12,29,91,441,538,81,96,90,93,88,54,52,1665,0,3,11,43,31,32,6,6,0,0,0,0,0,3,3,138,3,5,45,147,480,877,774,656,162,186,210,326,418,358,170,4803,0,47,43,15,7,0,0,0,0,0,0,0,0,0,4,116,0,119,103,24,15,10,32,21,7,8,3,8,11,6,14,368,7,12,59,147,263,239,424,247,73,75,78,29,47,57,58,1809,0,0,3,0,5,21,49,87,21,45,45,74,75,35,10,470,0,0,5,18,103,232,124,162,70,60,76,71,104,70,33,1126,0,26,55,50,156,135,32,29,3,9,3,10,0,4,14,513,0,0,6,37,64,132,292,210,41,62,103,89,133,132,44,1346
CED209,17,8,15,12,12,0,14,361,3,180,203,73,14,3,5,22,0,3,7,0,6,0,30,547,0,0,6,3,9,4,35,30,5,3,3,3,4,0,10,125,0,0,0,0,0,4,25,20,5,3,8,3,5,0,4,90,0,0,4,9,7,3,11,4,4,0,0,0,0,0,7,52,0,0,12,32,37,52,34,50,7,23,9,18,15,8,6,294,0,45,49,19,9,6,3,5,0,0,0,0,0,0,8,142,0,323,229,38,33,25,25,31,0,0,3,3,6,3,33,748,4,18,36,143,254,257,360,195,63,58,33,45,29,21,65,1586,0,0,3,0,3,4,8,25,13,22,3,9,15,3,4,109,0,0,3,8,36,87,76,91,19,12,19,18,28,13,20,425,0,23,18,9,30,18,8,3,0,3,4,0,0,0,9,130,0,0,0,22,9,24,22,34,3,3,0,8,5,0,5,137
CED210,12,24,8,3,3,0,14,356,5,320,539,238,38,15,25,9,0,9,3,10,6,10,74,1300,0,3,0,3,3,7,12,10,3,3,0,0,6,4,3,65,0,0,0,0,0,9,16,24,3,8,11,5,0,8,4,85,0,0,0,11,10,10,3,5,0,0,0,0,0,4,17,57,0,0,8,23,30,27,47,40,11,10,16,15,14,15,19,267,0,108,89,47,13,3,0,3,0,0,4,0,0,0,14,286,0,454,294,64,36,10,17,4,6,3,0,0,3,7,45,944,3,14,39,151,247,251,318,193,44,44,30,18,15,12,85,1458,0,0,0,0,3,3,6,68,15,32,76,24,43,12,22,305,0,0,3,10,77,156,245,246,31,31,31,39,51,28,35,980,0,64,73,25,70,49,16,9,0,3,0,0,0,0,29,329,0,3,4,12,22,17,41,29,0,0,0,9,3,7,7,146
