CED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED201,39570,115551,4087,7805,1786,4313,5869,12122,770,1265,234,383,149,247,6,7,1159,1897,26,39,102,130,0,0,132,376,261,540,85,176,46946,130286,3079,..,50025,130286
CED202,48951,125048,5628,10235,594,1291,6218,11526,1298,1891,70,108,0,0,4,8,1370,2009,66,94,73,112,14,30,417,952,574,1185,322,642,57439,140408,7943,..,65382,140408
CED203,34998,96632,9471,20080,6697,15866,16172,35944,5141,8815,1689,2908,1901,3360,5,8,8733,15092,0,0,4,11,0,0,313,699,318,710,212,462,60427,148839,5617,..,66041,148839
CED204,51243,127649,3295,5109,405,793,3701,5902,619,972,56,87,16,15,3,4,699,1086,121,162,103,152,14,29,118,236,353,581,289,608,56291,135818,7542,..,63826,135818
CED205,38983,115532,5381,12881,2451,7211,7833,20096,4115,9497,714,1426,594,1162,14,29,5434,12109,28,45,74,129,7,19,177,503,283,700,129,277,52659,148710,4418,..,57080,148710
CED206,42128,136052,4250,10270,2117,6068,6369,16340,1028,2756,51,100,101,236,4,8,1185,3100,15,18,174,221,0,9,182,559,371,799,128,328,50179,156616,3431,..,53607,156616
CED207,45916,126580,2486,4117,720,1601,3208,5720,153,277,49,87,3,6,8,14,213,387,115,156,95,127,12,41,33,92,259,414,184,414,49773,133511,4473,..,54249,133511
CED208,35877,103686,7518,16579,4981,14586,12501,31162,6068,13402,1629,3064,1348,2181,9,21,9055,18666,3,9,0,3,0,5,52,119,56,145,225,529,57713,154187,5657,..,63374,154187
CED209,48963,128356,3707,6058,919,1901,4631,7961,439,665,36,62,10,10,3,5,486,742,83,145,183,253,20,51,175,544,460,990,207,451,54750,138494,17700,..,72449,138494
CED210,48196,121105,4931,8082,1175,2376,6102,10461,1906,3010,107,157,186,307,3,8,2207,3485,25,43,100,131,0,3,129,302,255,476,185,404,56949,135935,8980,..,65931,135935
