CED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED201,12383,24771,275,1495,1856,8465,357,1575,9042,34675,11535,46216,1467,6202,2112,7479,4325,14022,7907,27698,19445,73914,60,261,371,1279,152,523,1602,4276,2185,6337,384,1224,705,1648,2286,5069,3374,7940,5562,14274,510,1077,37889,114038
CED202,15549,30803,247,1406,1706,7926,432,1971,9189,36304,11570,47613,850,3565,1357,4487,2876,9054,5080,17104,16645,64711,85,396,487,1784,249,897,2782,7561,3609,10636,287,914,700,1543,2255,4777,3248,7230,6857,17869,520,1079,39577,114466
CED203,14843,29586,157,883,1477,6724,261,1185,10413,39082,12303,47875,857,3615,1447,5152,2946,9524,5252,18289,17557,66169,54,262,290,963,135,459,1840,4658,2324,6337,262,842,724,1647,2701,5927,3690,8423,6009,14757,1085,2284,39494,112787
CED204,15913,31473,279,1526,1596,7418,393,1788,8694,34301,10965,45030,684,2798,1377,4556,2691,8354,4751,15710,15712,60745,79,364,539,1913,213,748,2684,7171,3521,10194,277,842,710,1547,2187,4594,3174,6982,6690,17172,589,1214,38905,110604
CED205,13520,27204,253,1486,2046,9510,338,1580,10114,38578,12753,51151,1284,5438,2357,8237,3974,12745,7616,26417,20366,77570,83,406,487,1753,178,635,1858,4993,2603,7790,357,1190,882,2080,2686,5937,3919,9207,6524,16995,978,2109,41392,123878
CED206,11143,22487,661,3896,2600,12871,701,3440,10093,40972,14061,61176,1904,8437,2080,7498,5354,17962,9337,33892,23394,95070,168,807,593,2271,284,1085,2192,6349,3230,10517,525,1758,718,1714,3197,7342,4438,10818,7677,21329,698,1508,42909,140394
CED207,14033,27919,314,1770,1710,8073,482,2210,9370,36772,11882,48822,1240,5228,1395,4817,3933,12699,6563,22736,18451,71555,85,387,434,1482,197,666,2029,5420,2744,7952,356,1152,688,1549,2392,5147,3438,7844,6185,15802,451,951,39117,116231
CED208,14117,28239,140,716,1830,8155,199,878,10599,39720,12761,49462,1099,4583,2364,8268,3275,10291,6736,23140,19499,72604,46,225,389,1287,102,336,1510,3791,2044,5637,334,1021,1037,2391,2498,5363,3867,8775,5912,14413,1017,2205,40547,117459
CED209,16135,31829,250,1350,1860,8500,343,1541,10381,41041,12829,52428,932,3794,1600,5329,2776,8550,5305,17679,18139,70108,69,311,415,1418,133,460,1951,5184,2572,7375,251,771,651,1404,1786,3695,2687,5873,5256,13245,463,951,39990,116130
CED210,15154,30040,225,1279,1430,6660,340,1569,8289,32115,10285,41628,843,3507,1350,4593,3079,9661,5273,17757,15559,59385,110,488,524,1916,252,891,2829,7608,3709,10902,313,1039,775,1690,2655,5718,3741,8447,7458,19352,617,1275,38781,110050
