CED_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED201,28,666,2765,2059,2377,1874,603,139,55,10564,0,215,2078,1602,1615,1236,306,50,14,7119,0,84,1310,1567,1471,1008,226,35,15,5726,0,22,704,1134,1079,720,120,26,16,3826,3,26,755,1583,1542,984,146,32,16,5079,9,11,173,585,743,471,82,24,13,2097,475,478,942,911,973,949,869,695,561,6852,8953,9257,17992,18208,19554,17628,11857,6138,2603,112194
CED202,22,613,2354,2124,2274,1810,671,195,87,10145,12,201,1638,1573,1678,1132,312,93,32,6681,0,83,1066,1440,1398,960,211,54,19,5225,0,31,566,990,1019,690,120,38,15,3470,3,22,580,1163,1284,864,172,30,9,4129,10,21,167,574,688,463,166,56,25,2165,1026,810,1316,1386,1605,1607,1638,1172,720,11285,9818,10086,18191,19151,20892,19794,15729,7893,3412,124957
CED203,11,645,4083,2660,2077,1335,429,131,64,11439,4,229,3066,2117,1542,929,237,53,21,8190,9,73,2221,2124,1484,828,174,30,14,6949,0,27,1130,1556,1112,657,99,19,16,4621,0,29,1492,2583,1905,860,145,23,11,7042,11,31,430,1638,1316,498,146,26,26,4118,790,1020,2622,1975,1650,1299,1189,1167,914,12621,7604,12524,31381,25189,21025,15403,10818,8437,3953,136350
CED204,23,589,2123,1880,2138,1774,703,249,95,9574,9,244,1439,1469,1573,1184,365,79,29,6384,0,70,929,1302,1362,1035,257,59,23,5040,0,37,500,836,923,633,153,37,17,3133,3,23,517,1145,1271,798,190,71,22,4035,13,25,152,530,654,465,191,70,19,2121,1086,741,1582,1527,1713,1850,1781,1337,1018,12640,9240,9155,16921,18082,20184,20411,16144,8506,3757,122395
CED205,14,613,3022,2176,1992,1399,651,233,91,10185,0,230,1769,1508,1280,926,360,96,39,6220,3,91,1209,1263,1128,756,277,77,18,4823,0,25,618,881,768,555,166,46,17,3076,3,28,678,1502,1250,779,209,70,24,4545,3,23,193,656,796,533,171,63,24,2462,729,798,1758,1300,1263,1167,1128,1065,765,9969,9642,12019,24185,20751,19564,17092,14233,9220,3812,130519
CED206,29,725,2770,2210,2371,1602,405,86,29,10233,7,241,1700,1505,1616,1074,207,31,4,6372,3,101,1024,1114,1315,734,137,18,9,4452,7,43,580,743,826,495,81,5,7,2786,3,24,504,1039,1020,600,88,11,0,3288,7,17,164,383,470,274,57,31,6,1413,1134,934,1943,1573,1733,1444,1216,730,313,11007,12292,12877,23598,21246,23501,18597,12150,5806,1893,131960
CED207,17,682,2764,2226,2426,1918,716,135,62,10943,9,238,1898,1697,1633,1245,354,50,18,7141,0,82,1335,1393,1446,1044,230,39,21,5590,0,38,591,1043,1068,642,128,25,9,3549,5,18,688,1397,1350,788,178,25,11,4465,9,15,160,467,585,396,128,44,21,1819,823,572,1098,1168,1352,1232,1215,847,493,8802,9196,8569,18127,18660,20147,18057,13756,6326,2548,115387
CED208,35,718,3261,1981,1876,1374,650,301,144,10352,8,267,2228,1565,1479,998,358,154,88,7144,8,114,1548,1569,1549,952,287,111,54,6196,14,59,952,1344,1217,742,176,71,30,4600,12,35,1239,2381,2063,1156,293,104,58,7345,11,28,337,1513,1588,763,174,74,53,4549,697,1013,1602,1125,1118,968,934,1091,970,9518,11393,18523,26469,20452,20204,15963,11994,9552,4788,139344
CED209,20,583,2442,2196,2234,1889,891,273,115,10650,4,213,1813,1794,1572,1197,464,121,54,7226,3,93,1277,1670,1531,1085,304,84,32,6084,3,31,655,1203,1117,769,188,54,25,4050,0,15,695,1619,1478,1013,274,81,21,5208,9,22,232,768,928,601,267,97,35,2958,888,620,1068,1218,1327,1406,1479,1104,840,9952,9214,8919,17281,19771,19893,19665,16039,8209,3978,122969
CED210,17,608,2408,2011,2040,1666,623,190,106,9661,15,198,1730,1480,1435,1051,276,52,24,6260,10,88,1150,1207,1237,853,200,58,13,4811,3,37,601,869,897,608,127,24,16,3181,5,17,620,1184,1200,776,185,44,17,4049,15,31,187,590,667,438,165,69,27,2179,933,860,1773,1578,1702,1646,1656,1290,872,12314,9253,9727,19286,18372,19774,19062,15404,8824,3961,123675
