CED_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
CED201,1078,4635,3327,28620,475,38126,0,7,12,69,0,85,15859,125,313,293,113,16707,448,58,40,102,10,657,1640,391,252,794,18,3103,8713,4100,3038,24686,547,41078,1483,34,130,12,9,1663,401,49,23,202,6,674,1910,478,271,2439,50,5153,1758,391,176,954,28,3304,622,93,46,137,10,910,5246,92,79,67,23,5513,1887,955,698,8409,134,12086,2979,803,420,2539,67,6795,702,0,14,9,0,725,319,53,36,65,6,484,157,22,15,67,4,269,394,119,76,254,5,845,240,34,23,24,4,319,430,164,158,89,6,840,885,89,87,191,6,1261,301,16,18,37,0,376,2045,941,702,6779,101,10563,352,28,36,23,3,444,653,77,67,37,5,834,466,25,20,84,7,601,2964,135,79,63,13,3248,172,21,9,35,0,241,1219,18,54,12,10,1316,312,60,50,268,8,696,11405,951,770,1183,123,14432,474,61,36,551,4527,5642,58808,8764,6450,55993,6001,136018
CED202,515,4540,3081,52003,1031,61171,0,20,9,229,5,266,1360,57,77,457,24,1982,461,74,33,183,9,761,1513,663,413,1299,42,3927,6761,4218,3098,48285,1098,63457,559,31,99,15,10,713,199,47,40,391,4,683,1161,521,340,4715,86,6817,391,110,43,362,8,915,236,47,32,92,3,410,1271,53,39,44,9,1417,1533,1145,774,19951,325,23730,981,510,188,2698,54,4427,54,0,6,3,0,63,56,34,8,79,0,173,107,29,9,49,3,202,709,212,135,600,24,1681,155,39,31,39,3,261,364,196,175,102,9,846,438,117,80,348,11,1000,161,22,16,74,3,278,1885,1173,817,14478,236,18603,154,39,18,38,5,251,183,37,15,14,4,252,186,39,32,152,0,406,151,25,21,24,0,226,44,22,0,12,0,74,157,11,20,3,3,197,245,86,67,570,13,976,3736,775,592,1625,78,6803,248,88,48,1494,8825,10696,21265,8665,6020,107338,11197,154483
CED203,1377,4866,3313,23667,500,33719,13,18,11,285,6,331,9677,212,233,298,79,10501,910,87,58,219,8,1279,634,324,193,545,16,1710,7117,4122,2746,23198,545,37726,1162,33,161,17,19,1398,497,106,63,283,13,959,1214,476,327,2390,54,4464,9100,1013,553,2432,173,13273,231,64,44,105,8,446,5417,117,92,64,36,5715,2338,1565,1007,12528,213,17647,12723,2006,920,5383,314,21345,221,3,16,10,0,246,2236,318,182,308,43,3086,2574,239,126,442,56,3431,813,183,112,408,24,1532,272,31,37,34,6,378,736,230,150,62,17,1193,571,157,114,279,13,1135,225,42,47,88,11,403,2056,1126,775,7756,124,11834,460,43,18,59,4,584,221,50,50,7,3,337,644,68,54,134,8,916,840,79,36,54,7,1018,470,64,37,30,13,613,3545,52,82,21,32,3729,266,100,55,393,5,819,14995,1423,1059,1621,226,19323,760,68,48,496,10032,11395,74723,11526,7443,56166,12107,161964
CED204,443,4184,2720,53336,1113,61790,0,13,0,241,4,257,886,56,78,655,25,1706,142,37,29,80,3,286,876,396,228,735,21,2258,5837,4001,2684,49510,1132,63161,483,7,109,22,17,634,162,43,26,409,14,654,966,458,243,5004,110,6777,281,86,50,267,13,701,159,56,22,61,0,292,889,49,26,41,6,1016,1294,1056,621,18334,332,21635,820,393,171,2787,87,4258,64,0,3,4,0,71,54,16,3,50,0,120,40,5,7,24,0,66,288,108,41,228,10,677,171,49,18,40,7,284,295,185,139,107,10,740,303,68,46,217,4,646,113,19,17,70,4,219,1524,1054,734,13747,250,17312,64,12,11,23,0,110,167,44,23,33,5,266,119,23,13,131,8,298,208,25,19,26,0,281,46,5,3,19,0,69,118,14,11,0,0,150,236,102,53,503,12,896,3681,638,482,1521,81,6403,193,69,62,1533,10362,12220,17138,7746,5063,107676,12804,150431
CED205,2246,2429,1944,13225,465,20310,3,12,0,70,0,90,26634,162,347,172,165,27472,1048,74,23,92,19,1251,1039,161,89,278,21,1591,7196,2095,1525,12383,400,23588,1739,25,138,12,19,1931,612,37,20,111,15,796,1318,240,157,1122,43,2883,4899,585,299,1374,79,7238,633,55,45,82,4,824,12582,69,83,55,85,12880,1256,523,362,4593,83,6817,4148,678,334,1498,112,6764,1215,0,27,0,0,1246,847,98,50,61,16,1074,359,43,25,27,0,456,339,80,41,123,13,595,406,28,28,10,6,484,413,98,72,43,0,629,1140,78,52,109,14,1390,603,21,20,35,3,686,1421,523,377,3598,78,5995,1835,53,45,43,20,1992,413,49,31,17,0,510,574,19,37,49,7,684,6325,108,62,60,39,6602,668,68,24,45,12,811,5964,75,124,30,50,6234,155,31,21,164,4,371,30995,838,766,864,344,33804,1435,66,62,231,7527,9320,108958,5755,4360,28598,9335,157011
CED206,3549,3429,2162,17660,500,27296,7,14,5,120,0,141,3060,49,86,105,18,3316,2342,184,124,403,23,3080,446,111,62,185,6,808,6083,2172,1488,14007,491,24241,2929,43,181,38,23,3222,277,29,30,110,7,452,1029,219,166,1176,39,2622,3851,659,291,1310,71,6182,267,37,25,52,4,385,6757,118,63,47,38,7022,1033,590,317,5279,106,7330,9696,1782,952,4942,252,17636,99,0,5,0,0,110,6395,1298,529,601,132,8953,1877,224,104,301,20,2525,3488,527,374,1406,46,5836,403,43,55,22,21,547,334,99,61,26,8,532,959,119,78,262,12,1424,197,14,30,28,0,268,1084,463,382,3548,109,5594,833,64,44,89,7,1039,111,15,25,9,0,163,837,73,32,100,15,1065,2260,57,23,31,16,2393,10315,1017,552,577,118,12582,3204,27,45,29,43,3337,93,25,22,99,3,240,35728,1425,974,1132,399,39663,1691,159,92,477,8405,10823,100132,10009,6133,38642,10494,165406
CED207,796,6290,4532,43746,772,56133,0,8,8,156,13,182,1823,58,120,267,29,2298,256,65,24,87,4,437,2989,778,533,1771,79,6147,11889,6128,4645,37021,831,60505,593,16,115,17,16,758,332,58,57,396,5,851,2075,687,481,3569,101,6914,462,158,75,435,9,1144,345,71,49,127,7,597,1151,102,47,49,8,1355,2175,1259,826,11496,207,15962,2392,896,366,2834,74,6557,68,4,13,3,0,84,178,28,23,48,0,277,93,13,6,66,3,191,310,133,67,291,4,806,218,30,30,36,3,311,524,257,196,98,7,1073,644,114,79,265,9,1107,200,21,30,84,0,329,2489,1428,1040,10117,172,15255,100,25,6,32,0,160,494,96,68,32,0,692,213,32,20,129,11,402,365,68,52,75,0,558,57,14,6,15,0,92,208,7,16,0,3,228,407,113,87,355,8,962,5707,924,696,1504,83,8919,311,75,55,900,6101,7438,32897,11559,8303,82048,7961,142766
CED208,1143,3952,3115,21644,341,30194,0,8,3,63,0,75,39449,270,554,353,255,40883,446,53,45,110,8,663,893,267,154,473,17,1810,7103,3427,2385,21458,401,34784,1261,24,126,27,8,1444,507,74,67,214,5,882,1305,397,252,1972,56,3986,6459,680,372,1986,69,9573,454,61,35,103,11,667,7956,103,94,48,40,8248,1703,1048,664,9396,132,12951,4202,763,394,2571,95,8010,1962,6,46,9,4,2021,267,49,21,64,3,403,211,32,16,51,0,315,296,97,40,183,12,624,155,26,25,15,10,227,498,192,129,78,8,899,982,101,90,201,14,1380,603,39,40,56,6,740,1746,918,720,6788,108,10282,319,33,7,42,0,402,430,71,33,14,4,555,457,30,34,54,3,581,3457,93,77,58,19,3700,172,19,3,11,0,214,2513,43,75,26,25,2685,203,57,52,286,5,612,14720,1020,1027,1255,131,18155,696,53,41,381,7267,8438,93033,8262,6274,48166,8701,164433
CED209,587,5307,3887,48862,855,59499,0,8,3,134,3,148,1521,63,107,302,16,2019,482,132,44,230,3,894,1506,580,382,1204,39,3711,8352,4978,3704,45117,958,63107,450,7,94,36,14,601,228,64,56,403,7,753,1457,595,387,4486,86,7020,440,147,42,364,10,1011,257,55,34,120,6,472,1352,41,32,53,16,1494,1820,1389,888,17834,255,22185,1548,560,254,2579,70,5013,105,0,10,5,0,117,111,30,11,82,0,238,180,38,15,58,3,303,339,108,72,240,3,772,194,33,36,26,10,301,394,208,192,62,4,863,560,157,103,383,12,1210,160,30,22,76,5,293,2191,1417,1027,14560,257,19450,164,19,14,27,0,220,324,52,54,36,4,478,215,55,50,140,6,465,237,30,14,36,0,310,69,20,0,13,0,99,200,3,9,4,8,222,318,132,74,512,13,1060,4303,851,700,1761,94,7709,238,71,55,1343,7542,9257,25064,10022,7157,100868,9630,152740
CED210,825,4912,3362,42086,982,52164,3,7,11,229,12,260,1446,49,94,268,14,1870,2286,252,160,594,43,3332,1859,571,345,1266,50,4090,7903,4519,3223,38635,951,55226,1052,27,167,32,19,1284,204,51,46,286,3,590,1666,528,319,3830,101,6443,779,136,53,409,24,1404,451,81,46,152,17,751,1428,53,20,47,3,1559,1846,1194,777,14560,270,18643,2947,790,298,2793,123,6956,87,0,8,3,0,99,103,27,18,41,0,191,986,120,56,223,18,1402,623,156,88,402,18,1284,246,57,34,41,17,385,375,235,136,91,3,841,1007,172,97,385,29,1687,314,50,40,73,7,481,2206,1255,914,11464,248,16095,761,70,49,97,18,1000,182,51,33,45,5,307,458,46,49,177,11,744,157,22,21,16,4,213,265,43,17,47,5,379,541,19,35,9,3,615,354,92,70,421,8,940,7320,932,605,1585,164,10607,406,90,71,1060,9279,10911,35110,9798,6671,86602,11732,149914
