CED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED201,14053,1612,238,112,18,16026,17878,1681,224,51,19,19851,4821,1354,318,17,21,6532,461,231,151,0,0,841,1250,270,26,12,9,1568,53,50,39,3,0,139,68,18,4,49,3,146,91,21,7,0,3,115,6742,1939,541,81,40,9338,164,423,101,0,0,686,739,225,51,17,8,1038,39570,5869,1159,261,85,46946
CED202,17490,1329,192,251,80,19342,19513,988,88,158,79,20822,6400,2401,629,51,32,9519,1139,516,156,0,6,1822,2331,373,127,33,22,2884,154,171,79,0,10,412,193,55,21,31,16,316,226,47,10,4,6,291,10439,3565,1018,125,97,15248,312,91,8,10,12,429,1202,247,65,24,58,1594,48951,6218,1370,574,322,57439
CED203,15010,2873,608,37,36,18560,10804,4251,1534,59,41,16686,5003,6104,4850,130,71,16151,659,1006,700,0,0,2372,1782,1117,566,65,18,3555,74,97,88,0,3,261,161,96,45,5,6,310,191,72,42,3,3,318,7874,8490,6286,211,97,22965,200,109,42,0,10,358,1110,452,261,7,31,1861,34998,16172,8733,318,212,60427
CED204,18995,653,87,141,76,19958,19747,322,77,51,90,20283,6413,1537,255,23,47,8278,1046,517,82,0,6,1647,2694,308,59,37,23,3122,242,101,36,0,0,371,231,29,39,60,5,360,241,29,11,8,5,289,10857,2519,480,136,78,14068,289,22,11,0,4,332,1354,185,44,28,35,1651,51243,3701,699,353,289,56291
CED205,16691,1576,669,56,19,19013,12168,1931,963,55,17,15134,6020,2717,2769,44,37,11578,631,423,235,12,4,1308,1787,502,333,13,10,2644,62,50,71,0,0,184,234,64,67,68,3,437,146,42,34,4,0,232,8878,3801,3505,142,57,16384,191,178,102,6,4,485,1047,340,193,27,26,1645,38983,7833,5434,283,129,52659
CED206,15208,1101,124,104,16,16549,17791,1892,201,43,22,19959,4161,2175,398,22,22,6782,1018,284,176,40,3,1508,1826,420,93,11,18,2378,70,33,34,0,0,143,375,90,42,114,3,627,147,31,10,12,0,206,7602,3041,755,190,55,11639,221,111,28,0,3,360,1303,229,71,28,39,1673,42128,6369,1185,371,128,50179
CED207,15625,880,47,136,37,16721,22592,723,49,26,45,23438,3924,888,56,10,27,4905,352,146,3,0,0,504,1769,156,12,4,27,1974,73,65,8,0,4,152,149,11,3,63,5,235,152,16,3,0,0,178,6418,1289,80,80,68,7937,277,175,32,3,4,495,998,133,6,17,22,1174,45916,3208,213,259,184,49773
CED208,15404,2914,1566,13,32,19927,11371,3055,1693,13,48,16179,5125,4012,3826,18,61,13043,507,585,483,0,5,1581,1948,985,694,12,26,3664,66,164,219,0,0,447,197,119,126,0,19,453,136,54,64,0,0,256,7971,5917,5414,35,113,19444,262,295,140,0,0,701,866,321,247,0,35,1470,35877,12501,9055,56,225,57713
CED209,18931,1225,80,148,69,20456,19745,708,63,88,49,20655,5281,1619,165,48,24,7135,425,209,41,0,0,686,2480,401,39,38,19,2984,182,109,18,4,3,315,238,37,11,106,9,404,247,39,11,4,6,311,8855,2426,294,197,71,11832,364,106,15,8,3,503,1075,164,32,21,15,1303,48963,4631,486,460,207,54750
CED210,17825,1158,360,84,48,19474,17187,937,270,21,35,18449,7053,2335,1079,28,45,10539,1345,712,129,0,3,2192,2437,411,173,14,12,3043,222,190,46,0,0,456,261,56,28,69,9,427,202,43,20,15,4,286,11517,3747,1469,125,77,16934,309,48,13,14,4,391,1357,217,94,13,21,1701,48196,6102,2207,255,185,56949
CED211,16810,2088,166,3,17,19093,16646,2365,421,12,33,19479,6130,2650,898,19,25,9718,477,383,72,0,3,928,1716,488,99,3,15,2319,113,117,78,0,3,308,113,47,3,0,3,166,146,38,5,0,0,201,8693,3722,1150,20,45,13644,242,160,40,0,3,439,878,242,48,0,28,1193,43272,8576,1829,41,129,53847
CED212,14544,1753,901,139,21,17362,18605,1554,565,20,22,20760,5940,2564,1350,15,20,9888,781,367,226,0,3,1386,1790,507,232,17,14,2552,94,61,15,0,0,172,129,54,26,140,4,351,131,42,22,5,0,202,8861,3598,1870,175,39,14552,291,457,73,0,0,830,1057,266,159,22,8,1518,43361,7634,3580,361,85,55020
CED213,19516,1710,208,253,62,21748,19606,929,55,25,51,20669,5731,1547,189,13,21,7505,343,261,9,0,0,614,2363,291,48,21,17,2744,56,60,3,0,0,113,387,40,4,96,8,534,317,37,13,9,3,370,9192,2235,260,142,54,11881,414,294,10,5,11,731,1444,237,52,34,17,1788,50175,5412,581,466,194,56821
CED214,14634,2645,679,64,35,18055,13373,4370,1220,42,49,19050,5972,4166,4759,88,47,15034,458,721,643,0,8,1827,2033,806,602,40,33,3516,115,61,206,3,0,388,251,101,110,24,5,491,184,53,39,3,3,289,9014,5916,6360,158,102,21549,202,64,39,3,10,326,1156,361,330,33,34,1922,38380,13358,8639,296,231,60896
CED215,20388,478,310,306,84,21567,17247,174,132,52,70,17668,5467,706,881,25,35,7112,1112,331,271,0,8,1719,2568,117,101,27,41,2855,196,74,53,3,4,323,531,35,22,77,17,678,305,20,29,5,7,360,10185,1278,1348,136,110,13053,300,60,13,8,8,380,1428,106,96,36,112,1780,49548,2094,1898,535,381,54441
CED216,14613,4423,1487,43,47,20625,12049,3825,1396,63,71,17403,3148,3070,3570,106,40,9937,159,362,422,0,0,943,1102,840,507,47,20,2521,18,44,130,0,0,201,59,28,48,3,3,142,104,63,41,0,3,212,4599,4404,4729,155,75,13957,150,161,177,0,0,489,652,327,249,7,9,1245,32063,13145,8035,268,202,53716
CED217,13389,1170,68,33,14,14678,27262,2205,98,6,45,29620,6825,1858,202,12,26,8917,471,198,106,0,3,774,2196,358,31,13,7,2604,99,62,31,0,0,199,237,67,5,71,0,384,153,31,3,0,0,187,9981,2567,378,93,38,13056,249,103,11,0,0,368,1534,213,29,3,7,1792,52421,6255,587,141,107,59516
CED218,10090,4544,3192,27,39,17895,7595,3691,4108,35,43,15471,2241,3776,14650,166,55,20894,94,231,1202,0,4,1529,809,980,2013,47,25,3864,19,81,183,3,6,294,39,42,129,3,3,225,72,80,120,3,8,293,3273,5193,18304,218,97,27085,130,115,163,3,7,417,450,313,683,11,21,1472,21533,13856,26454,295,197,62343
