CED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
CED201,20,41,149,11,9,79,313,3,28,14,4,5,0,65,16,326,65,18,19,4,442,40,112,76,16,32,0,276,42,83,84,15,3,0,223,209,59,115,30,0,8,416,1521,72,421,17,14,6,2057,3373,58,409,3,25,5,3872,892,4,86,5,7,0,993,166,3,16,0,3,0,189,52,0,9,0,0,0,65,18,0,3,0,0,0,25,7,0,0,0,0,0,13,42,0,4,0,0,0,51,133,53,100,17,20,16,339,6532,841,1568,139,146,115,9338
CED202,23,96,247,16,54,180,621,16,83,39,32,4,0,185,296,816,243,82,28,24,1491,827,334,370,113,41,17,1702,849,169,455,70,32,6,1574,2908,172,672,41,52,18,3859,3136,34,491,11,36,16,3720,1131,14,160,9,28,10,1350,139,3,47,3,6,4,205,25,0,12,0,0,3,50,21,4,9,0,0,0,26,3,0,3,0,0,0,6,4,0,0,0,0,0,11,13,0,10,0,0,4,24,139,100,118,29,29,21,436,9519,1822,2884,412,316,291,15248
CED203,44,155,277,14,15,195,703,4,108,29,27,8,3,174,66,992,143,36,35,10,1280,240,322,248,60,19,3,896,402,186,155,20,15,9,781,1538,129,308,27,28,11,2041,4735,155,776,22,91,17,5800,4809,99,717,9,42,16,5696,2186,18,392,7,16,9,2627,1002,5,175,0,10,3,1198,429,6,65,4,4,0,508,178,3,52,3,0,0,233,69,0,9,0,0,0,80,167,3,33,0,3,0,204,269,179,173,30,34,31,723,16151,2372,3555,261,310,318,22965
CED204,13,94,234,13,43,182,585,6,66,28,23,6,7,139,157,689,263,45,45,21,1219,603,366,442,80,50,14,1547,618,172,413,98,46,7,1355,2331,97,670,70,52,17,3246,3077,37,641,13,53,17,3832,1147,9,225,5,18,4,1404,140,3,47,0,5,0,200,31,3,16,0,5,0,57,15,0,7,0,3,0,23,5,0,4,0,0,0,12,0,0,3,0,0,0,8,13,0,7,0,0,0,26,104,101,110,24,44,26,414,8278,1647,3122,371,360,289,14068
CED205,46,64,256,11,10,123,511,13,59,15,9,3,0,104,68,468,119,17,29,12,711,154,214,179,46,64,8,666,318,131,128,19,25,7,624,1526,106,305,28,51,15,2041,3639,112,675,15,107,22,4566,3405,51,459,8,71,16,4011,1332,7,197,8,28,3,1570,505,0,73,0,7,3,592,124,0,35,0,3,0,165,63,0,18,0,3,0,84,18,0,3,0,0,0,25,111,0,18,0,6,0,138,252,83,164,29,36,26,578,11578,1308,2644,184,437,232,16384
CED206,28,62,196,18,10,120,443,5,56,13,3,3,0,81,25,463,73,3,18,8,594,55,237,110,20,32,0,457,66,140,121,22,26,0,374,326,156,244,21,107,8,864,3518,176,945,26,274,27,4964,2258,89,405,11,100,11,2872,222,14,56,4,13,3,311,37,0,13,3,3,0,52,28,6,8,0,7,0,50,15,3,10,0,0,0,27,4,0,3,0,0,0,8,62,0,22,0,7,0,85,137,100,154,9,27,31,454,6782,1508,2378,143,627,206,11639
CED207,14,28,155,14,33,123,359,7,21,18,24,7,3,72,28,194,99,37,11,3,375,68,77,128,24,40,3,344,120,38,189,4,19,0,377,396,25,230,9,25,10,703,1531,53,505,16,48,8,2168,2101,22,425,7,15,8,2577,397,0,78,0,7,0,486,79,0,11,0,0,0,92,21,3,5,0,0,0,23,15,0,7,0,0,0,19,3,0,0,0,0,0,3,19,0,11,0,0,0,25,109,40,119,19,23,11,316,4905,504,1974,152,235,178,7937
CED208,49,79,345,22,21,144,672,6,59,20,29,3,4,120,88,625,186,58,36,10,1002,188,264,321,118,53,7,950,273,125,171,59,36,0,670,488,126,247,60,34,8,962,2056,104,520,28,54,9,2771,5199,82,758,19,74,13,6149,2586,13,440,15,48,7,3106,1107,3,191,3,22,6,1327,445,0,102,0,8,0,560,134,3,48,0,10,0,194,47,3,22,0,7,0,73,143,0,50,0,6,4,202,249,81,243,38,38,38,685,13043,1581,3664,447,453,256,19444
CED209,13,39,268,13,89,232,649,14,20,37,15,6,0,94,82,297,207,48,40,9,682,263,138,365,78,54,9,913,305,55,291,49,38,10,749,831,27,423,30,40,15,1366,2170,46,561,28,41,6,2859,2482,16,480,14,31,8,3024,643,0,133,0,4,4,789,155,0,22,0,3,0,176,38,0,19,0,0,0,54,12,0,15,0,0,0,30,10,0,12,0,0,0,22,16,0,23,0,3,0,45,89,45,136,38,55,20,382,7135,686,2984,315,404,311,11832
CED210,25,126,196,13,51,167,580,10,106,26,30,12,3,191,126,915,170,87,41,17,1362,653,357,362,117,50,12,1554,701,192,345,96,39,3,1372,2373,222,652,61,57,18,3387,3908,103,743,18,62,12,4844,2047,15,301,13,38,11,2432,343,8,80,0,9,3,443,96,0,24,0,3,0,125,19,0,5,0,0,0,34,16,0,9,0,0,0,19,4,0,0,0,3,0,8,18,0,8,0,0,0,27,198,132,125,21,54,24,563,10539,2192,3043,456,427,286,16934
