CED_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
CED201,..,1550,180,1729,17,1742,..,146,3,154,0,154,..,1267,43,1310,6,1312,..,680,72,745,0,745,..,1924,75,2002,17,2014,..,168,8,178,0,181,..,957,61,1022,5,1026,..,5142,264,5407,31,5436,..,1515,155,1665,15,1683,..,156,21,175,0,178,..,472,200,672,9,682,..,99,9,114,3,112,..,71,5,77,0,82,..,529,123,648,9,660,..,484,68,552,0,550,..,199,15,215,4,220,..,35,4,43,0,39,..,238,42,274,4,282,..,429,14,447,3,445,..,527,28,554,3,558,..,562,12,573,4,578,..,223,3,229,0,229,..,1742,61,1802,8,1815,..,602,69,671,8,683,..,1024,46,1073,10,1079,..,216,39,263,0,261,..,129,17,149,0,149,..,862,282,1146,9,1152,..,3161,678,3841,77,3920,..,31090,5694,36777,326,37104,..,299,47,342,4539,4885,94024,31388,5738,37126,4867,136018
CED202,..,244,39,279,3,283,..,74,9,86,0,86,..,254,17,271,0,271,..,311,42,353,3,359,..,92,11,99,3,108,..,93,17,108,0,108,..,137,11,148,0,148,..,965,104,1069,7,1078,..,407,31,436,4,442,..,141,25,163,0,163,..,45,3,45,0,45,..,46,14,64,0,64,..,213,5,222,0,225,..,67,11,76,0,76,..,99,14,110,0,111,..,84,4,86,0,86,..,18,0,21,0,21,..,121,5,127,7,135,..,160,7,164,0,164,..,43,3,46,0,46,..,197,16,208,0,214,..,52,3,51,0,54,..,453,26,476,0,472,..,201,14,215,0,218,..,87,7,92,0,92,..,110,18,130,0,132,..,30,3,32,0,32,..,130,28,157,4,159,..,1295,232,1526,45,1574,..,7009,924,7928,101,8033,..,387,21,415,9404,9812,136633,7395,948,8343,9503,154483
CED203,..,7569,2254,9822,108,9934,..,405,39,443,0,441,..,1603,77,1686,21,1699,..,1209,117,1326,17,1348,..,511,24,534,3,538,..,713,70,781,12,787,..,1376,104,1477,7,1484,..,5816,428,6242,57,6299,..,8078,2022,10099,115,10218,..,399,42,442,3,449,..,137,41,187,0,185,..,1962,466,2425,26,2455,..,266,29,299,3,306,..,438,123,563,6,566,..,203,23,225,0,226,..,135,12,143,0,144,..,87,3,92,0,90,..,278,73,354,0,359,..,319,17,334,3,334,..,294,16,314,0,313,..,452,9,458,7,464,..,180,11,189,0,191,..,1239,51,1288,17,1305,..,1146,121,1268,14,1274,..,528,34,563,6,568,..,304,87,391,4,399,..,352,43,400,3,405,..,2618,919,3534,28,3567,..,3739,748,4492,114,4601,..,46428,11450,57879,659,58537,..,377,91,469,10324,10794,92630,46807,11543,58346,10987,161964
CED204,..,208,29,234,0,235,..,59,7,61,0,65,..,191,11,205,3,203,..,204,27,232,0,231,..,101,8,109,0,116,..,70,8,77,0,78,..,128,14,140,0,140,..,747,75,821,4,829,..,331,25,354,3,359,..,83,3,83,3,85,..,46,15,63,0,63,..,16,0,21,0,21,..,54,0,54,3,65,..,31,3,37,0,37,..,55,7,62,0,66,..,49,8,57,0,57,..,26,0,25,0,25,..,23,5,34,0,35,..,163,0,164,4,169,..,93,0,93,0,93,..,169,3,172,3,172,..,39,0,40,0,39,..,462,7,472,7,480,..,134,10,146,0,146,..,71,3,77,3,82,..,65,10,73,4,80,..,32,9,36,0,36,..,86,27,109,3,112,..,1310,689,2008,59,2060,..,5305,1256,6556,113,6666,..,369,28,395,10936,11333,132424,5668,1281,6954,11046,150431
CED205,..,4705,967,5676,54,5726,..,726,52,777,5,782,..,2706,164,2868,13,2889,..,3376,348,3726,42,3765,..,4544,273,4825,34,4855,..,1242,144,1383,15,1398,..,1327,105,1435,7,1438,..,13925,1087,15012,113,15129,..,2493,516,3013,41,3049,..,286,57,342,3,341,..,820,325,1144,8,1155,..,288,52,334,5,342,..,121,7,134,0,130,..,847,280,1127,3,1133,..,664,137,803,14,811,..,448,90,533,13,544,..,408,48,454,11,467,..,1437,480,1908,19,1929,..,509,17,529,6,530,..,839,61,901,4,904,..,666,26,691,3,695,..,333,27,362,3,364,..,2346,131,2479,11,2493,..,969,178,1152,12,1164,..,3474,512,3987,34,4015,..,258,49,309,3,310,..,544,160,709,5,714,..,4024,1788,5815,31,5847,..,11567,4045,15615,245,15857,..,70508,17558,88063,769,88837,..,430,162,590,7567,8160,60016,70939,17719,88658,8335,157011
CED206,..,3350,579,3927,42,3970,..,299,19,318,5,319,..,1623,76,1701,23,1722,..,2549,329,2869,38,2909,..,2028,139,2165,8,2174,..,1835,170,2001,27,2029,..,816,243,1056,9,1068,..,9142,975,10113,111,10232,..,5800,762,6564,85,6651,..,58,12,75,0,75,..,63,26,89,0,89,..,1486,298,1785,11,1797,..,1494,123,1611,17,1633,..,263,124,389,7,393,..,459,52,516,10,526,..,105,14,118,0,123,..,1130,102,1233,26,1263,..,677,125,799,6,807,..,831,20,852,14,864,..,200,12,213,5,219,..,1219,49,1266,14,1279,..,312,35,345,3,350,..,2564,117,2676,32,2713,..,1161,199,1352,7,1363,..,476,54,524,4,530,..,192,56,247,0,247,..,9354,2562,11918,113,12030,..,2218,949,3164,23,3194,..,11568,4084,15650,226,15873,..,68041,15125,83168,951,84119,..,502,182,687,8803,9484,71801,68545,15307,83853,9752,165406
CED207,..,309,36,345,3,341,..,21,0,21,0,21,..,277,15,295,0,299,..,211,25,231,8,241,..,176,7,186,0,185,..,25,0,25,0,27,..,159,17,174,0,177,..,873,69,938,12,947,..,1180,165,1345,17,1362,..,138,22,157,0,158,..,42,22,56,0,56,..,57,9,65,0,66,..,37,3,41,0,41,..,152,27,176,3,182,..,242,35,277,0,274,..,100,11,107,0,112,..,30,0,28,0,34,..,65,7,73,0,78,..,136,9,146,3,146,..,98,12,111,3,112,..,211,3,220,0,219,..,54,0,58,0,58,..,502,19,525,6,532,..,314,31,347,3,348,..,55,3,56,0,56,..,122,30,145,0,146,..,41,4,49,0,49,..,159,39,200,3,201,..,1829,877,2704,53,2756,..,9551,1853,11404,141,11549,..,312,48,360,6482,6842,124376,9867,1900,11770,6617,142766
CED208,..,6050,1388,7434,64,7501,..,653,51,697,3,705,..,2097,75,2175,16,2191,..,966,79,1045,10,1054,..,2670,78,2756,21,2774,..,439,17,457,3,454,..,1256,83,1338,5,1348,..,8082,383,8467,59,8521,..,2422,485,2910,45,2960,..,676,93,764,3,766,..,1333,515,1846,10,1858,..,138,12,149,0,155,..,67,0,69,0,69,..,588,138,731,0,731,..,471,60,528,0,532,..,486,92,578,13,589,..,39,0,38,0,38,..,213,28,241,0,245,..,356,9,366,3,370,..,1444,111,1556,12,1568,..,480,11,491,0,491,..,327,8,335,3,341,..,2609,141,2753,12,2767,..,774,92,861,7,869,..,1192,42,1231,5,1239,..,446,95,534,0,538,..,97,14,114,0,115,..,1835,420,2250,12,2264,..,3845,654,4506,114,4621,..,60193,13951,74148,545,74695,..,349,95,445,7108,7546,82193,60549,14038,74591,7653,164433
CED209,..,325,22,352,3,352,..,81,9,93,0,93,..,258,3,256,0,258,..,286,26,310,0,305,..,152,9,159,0,161,..,89,9,92,0,92,..,125,10,137,0,136,..,985,69,1047,5,1054,..,731,61,795,16,811,..,188,18,201,0,204,..,65,20,87,0,87,..,114,16,126,4,129,..,73,4,80,4,90,..,209,28,238,0,240,..,109,10,118,0,118,..,76,10,84,0,84,..,6,0,6,0,6,..,97,5,103,4,112,..,125,3,124,0,124,..,159,3,161,0,158,..,145,3,144,0,147,..,70,3,76,0,77,..,493,8,501,3,508,..,253,16,264,6,272,..,106,4,108,0,108,..,101,14,118,0,118,..,45,5,49,0,48,..,164,33,201,0,201,..,1437,219,1652,32,1688,..,8339,946,9278,123,9400,..,326,29,356,7933,8294,135047,8660,977,9635,8054,152740
CED210,..,601,117,721,10,731,..,36,3,33,0,33,..,302,20,315,4,320,..,451,46,501,10,511,..,99,5,108,0,108,..,134,17,153,0,153,..,231,8,236,7,243,..,1247,103,1350,14,1367,..,1567,273,1834,43,1880,..,115,11,125,0,125,..,59,17,77,0,77,..,751,189,938,16,955,..,182,11,190,3,192,..,158,55,212,0,208,..,326,62,391,4,396,..,160,41,204,0,203,..,31,0,31,0,31,..,557,148,700,12,711,..,344,11,353,0,353,..,123,6,127,0,128,..,390,10,404,3,406,..,98,3,101,4,103,..,954,23,983,10,988,..,311,80,394,8,399,..,90,9,99,0,99,..,157,47,202,3,202,..,229,53,283,0,286,..,376,176,555,9,563,..,2793,1044,3836,92,3928,..,14628,3180,17807,275,18080,..,433,37,476,9855,10328,121509,15059,3221,18276,10127,149914
