CED_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
CED201,3,360,..,48,6,58,0,57,..,39,0,43,0,43,..,268,56,326,5,329,..,265,51,309,0,309,..,118,7,128,3,132,..,19,0,21,0,21,..,123,18,141,5,148,..,244,10,253,0,255,..,272,16,285,0,286,..,338,5,348,4,350,..,126,3,130,0,130,..,983,34,1015,9,1022,..,315,38,358,7,362,..,504,26,532,8,535,..,147,30,180,0,179,..,65,12,76,0,76,..,454,169,623,3,621,..,1618,365,1980,47,2029,..,16044,3227,19268,175,19445,..,156,23,181,2313,2493,47714,16199,3252,19451,2488,69652,94024,..,..,..,..,94024,..,177,0,177,0,185,..,1016,103,1118,5,1123,..,3,0,3,0,3,..,3631,1062,4698,32,4728,..,5743,2040,7785,48,7837,..,646,135,774,8,786,..,10018,3235,13255,89,13343,..,262,20,280,9,287,..,259,4,261,3,265,..,310,8,314,3,317,..,823,25,846,10,857
CED202,0,26,..,21,8,28,0,28,..,117,3,120,0,121,..,29,4,31,0,31,..,60,4,71,0,71,..,40,3,45,0,45,..,14,0,9,0,9,..,53,0,54,0,59,..,94,3,101,0,101,..,28,0,30,0,30,..,120,9,131,0,131,..,33,0,40,0,36,..,281,10,298,0,297,..,96,7,105,0,106,..,37,4,44,0,44,..,74,12,84,0,88,..,16,3,13,0,13,..,66,14,86,3,89,..,661,94,758,23,778,..,3594,467,4067,52,4120,..,210,10,221,4837,5055,70399,3806,482,4283,4888,79575,136633,..,..,..,..,136633,..,103,3,107,0,107,..,188,15,205,3,209,..,23,5,27,0,31,..,154,40,193,0,194,..,733,210,947,7,955,..,64,18,81,0,81,..,944,272,1213,9,1221,..,204,33,234,3,242,..,263,3,268,3,269,..,197,10,205,0,211,..,322,10,327,3,330
CED203,0,93,..,991,283,1276,9,1286,..,145,15,167,3,164,..,187,57,241,3,244,..,123,16,135,0,140,..,77,3,78,0,83,..,44,3,49,0,50,..,136,43,176,3,181,..,197,8,202,0,206,..,164,13,179,0,177,..,271,4,276,3,280,..,96,8,104,0,103,..,728,31,763,8,766,..,584,65,652,0,652,..,235,9,243,3,245,..,202,67,268,0,268,..,178,31,209,0,209,..,1354,531,1884,20,1906,..,1831,386,2219,55,2266,..,23243,6568,29811,318,30126,..,182,41,219,5310,5531,47878,23423,6611,30031,5624,83533,92630,..,..,..,..,92630,..,50,4,52,0,52,..,3688,940,4623,55,4682,..,25,0,25,0,25,..,1268,647,1916,20,1929,..,4010,2058,6067,44,6109,..,296,151,444,3,452,..,5578,2856,8431,63,8490,..,524,95,616,10,626,..,136,7,143,4,149,..,621,17,639,6,652,..,511,17,531,8,533
CED204,0,30,..,8,0,8,0,8,..,23,0,28,3,27,..,19,0,21,0,21,..,36,4,45,0,45,..,27,7,34,0,34,..,10,0,7,0,7,..,12,4,14,0,19,..,97,0,101,0,102,..,71,0,71,0,71,..,125,0,125,0,125,..,25,0,26,0,28,..,315,3,314,7,322,..,64,8,74,0,74,..,42,3,46,0,46,..,51,4,58,3,60,..,16,3,18,0,18,..,44,12,55,3,56,..,650,358,1008,30,1038,..,2767,662,3435,66,3501,..,202,4,205,5268,5471,68073,2969,674,3642,5335,77047,132424,..,..,..,..,132424,..,84,3,83,0,83,..,155,17,172,0,173,..,16,0,16,0,16,..,121,37,157,0,156,..,411,246,660,9,663,..,30,13,39,0,39,..,558,289,852,8,858,..,53,8,63,0,63,..,141,3,144,4,148,..,170,7,174,0,174,..,295,3,297,3,303
CED205,4,600,..,138,25,163,3,163,..,70,3,71,0,71,..,362,127,488,0,492,..,368,84,452,9,461,..,227,54,281,5,292,..,216,25,242,8,246,..,726,256,977,10,987,..,298,16,308,6,314,..,452,32,477,4,483,..,387,17,397,3,401,..,175,15,192,0,189,..,1303,77,1374,11,1385,..,512,104,619,3,623,..,1567,225,1791,12,1801,..,180,37,214,3,222,..,250,96,341,4,343,..,1925,1090,3019,21,3039,..,5307,2003,7309,107,7412,..,34249,9720,43972,383,44351,..,222,94,312,3691,4008,29598,34468,9809,44278,4074,77956,60016,..,..,..,..,60016,..,120,0,125,0,125,..,2108,389,2499,20,2516,..,3,0,3,0,3,..,4957,1473,6431,23,6450,..,10677,4232,14909,73,14984,..,936,363,1298,4,1308,..,16572,6072,22638,105,22746,..,682,143,822,14,841,..,158,11,172,3,168,..,750,31,779,8,788,..,483,10,489,12,501
CED206,0,41,..,715,170,882,9,890,..,795,70,866,11,877,..,99,53,158,0,158,..,253,36,286,9,288,..,65,8,72,0,74,..,606,49,654,12,665,..,353,64,417,3,422,..,492,13,505,9,510,..,119,8,127,4,127,..,679,29,713,5,714,..,170,23,191,0,199,..,1459,79,1531,21,1548,..,609,111,717,4,722,..,227,20,245,4,248,..,133,34,165,0,165,..,4480,1538,6022,56,6078,..,1070,601,1668,10,1677,..,5561,2295,7853,128,7982,..,33406,8653,42059,485,42547,..,251,103,351,4299,4652,35639,33654,8753,42411,4787,82835,71801,..,..,..,..,71801,..,29,0,33,0,33,..,12604,2991,15596,165,15757,..,7,0,9,0,9,..,689,230,914,4,924,..,805,308,1118,12,1126,..,207,70,281,0,281,..,1702,605,2310,17,2327,..,1709,289,1997,23,2020,..,47,0,47,0,45,..,190,8,198,3,203,..,203,12,221,3,227
CED207,0,33,..,32,5,38,0,38,..,19,0,25,0,25,..,71,7,82,3,87,..,129,21,150,0,150,..,53,3,59,0,59,..,14,0,14,0,15,..,36,0,37,0,38,..,93,3,96,3,98,..,59,4,63,4,69,..,125,0,128,0,132,..,27,0,26,0,26,..,314,9,321,6,333,..,164,20,182,0,184,..,33,0,29,0,29,..,80,14,97,0,97,..,21,5,24,0,24,..,82,29,108,0,107,..,905,453,1360,31,1389,..,4975,1012,5988,77,6066,..,162,21,179,3271,3445,63043,5132,1037,6173,3344,72559,124376,..,..,..,..,124376,..,171,4,179,0,179,..,216,21,238,3,238,..,37,0,36,0,37,..,296,73,370,0,370,..,771,286,1049,10,1062,..,56,11,74,0,74,..,1125,369,1492,10,1501,..,104,15,126,0,126,..,691,17,704,3,707,..,222,8,223,4,229,..,753,17,764,8,770
CED208,7,980,..,77,8,83,0,84,..,31,0,38,0,38,..,276,74,346,0,346,..,269,39,308,0,312,..,259,58,320,4,326,..,25,0,23,0,23,..,106,12,117,0,117,..,224,3,232,0,233,..,731,58,789,3,792,..,300,3,303,0,303,..,205,3,210,3,209,..,1459,71,1531,6,1540,..,407,44,453,4,459,..,604,35,636,5,638,..,276,60,336,0,342,..,41,11,50,0,50,..,941,259,1202,9,1209,..,1907,343,2246,55,2303,..,30925,7809,38731,265,38994,..,186,59,246,3602,3848,41660,31113,7868,38978,3868,84500,82193,..,..,..,..,82193,..,149,0,153,0,153,..,752,91,843,5,852,..,7,0,7,0,7,..,6012,1883,7897,27,7927,..,18944,6656,25595,126,25717,..,1381,590,1967,9,1974,..,26334,9124,35464,161,35626,..,218,31,244,4,254,..,199,4,207,9,215,..,617,26,646,3,645,..,567,20,583,6,596
CED209,0,48,..,58,10,67,5,71,..,37,7,45,5,48,..,90,14,105,0,107,..,72,10,76,0,76,..,49,10,57,0,57,..,7,0,7,0,7,..,50,3,52,3,53,..,84,3,85,0,85,..,83,0,83,0,83,..,99,3,98,0,99,..,40,0,40,0,40,..,310,8,311,0,312,..,146,4,156,5,156,..,31,0,39,0,39,..,69,10,88,0,88,..,17,0,20,0,25,..,77,15,88,0,88,..,664,97,760,16,776,..,4163,494,4651,69,4717,..,167,12,180,3996,4174,68934,4331,506,4834,4058,77827,135047,..,..,..,..,135047,..,113,0,114,0,117,..,325,44,365,4,366,..,11,0,11,0,11,..,202,56,254,3,258,..,804,213,1014,11,1028,..,50,18,73,0,73,..,1050,287,1341,17,1355,..,213,22,233,0,233,..,266,4,267,3,271,..,261,13,268,0,269,..,511,15,522,8,530
CED210,0,39,..,371,114,485,8,496,..,89,3,93,0,93,..,80,35,115,0,115,..,198,36,237,3,243,..,75,27,104,0,104,..,13,0,13,0,13,..,270,96,362,5,364,..,201,7,208,0,208,..,67,3,73,0,73,..,234,5,244,3,247,..,54,0,53,0,56,..,559,19,573,5,581,..,176,49,229,3,232,..,41,3,46,0,46,..,102,28,131,0,131,..,115,24,137,0,137,..,178,102,278,3,284,..,1357,569,1934,45,1978,..,7425,1818,9243,133,9375,..,211,17,233,4573,4807,62943,7643,1831,9477,4706,77125,121509,..,..,..,..,121509,..,72,0,72,3,72,..,294,97,391,9,393,..,16,0,16,0,16,..,194,32,224,3,223,..,683,203,877,14,889,..,56,24,76,0,76,..,928,255,1182,17,1199,..,1615,331,1947,16,1964,..,320,8,328,6,331,..,211,10,222,4,226,..,505,13,520,6,528
