CED_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
CED228,0,0,3,33,32,48,50,28,8,203,3,40,85,272,75,58,38,12,4,585,4,0,0,48,0,3,0,0,0,61,0,22,25,66,8,3,3,0,0,128,0,3,3,59,80,121,119,46,7,434,0,0,6,69,52,22,17,10,3,180,7,27,18,64,31,14,9,3,0,177,36,164,596,2397,1701,1377,471,169,60,6968,0,0,0,7,4,3,10,3,0,32,0,0,0,17,3,0,4,0,0,28,51,176,423,1245,522,412,355,261,113,3552,317,458,673,1784,712,611,573,394,149,5680,5018,9222,11655,24930,10662,8743,6363,3855,1444,81884,0,0,8,17,3,3,4,0,0,29,4109,7244,7505,11938,5582,4249,2262,1377,909,45181,3,3,9,63,6,7,0,0,0,91,0,3,23,95,73,67,44,29,0,337,0,3,0,18,23,25,11,4,0,84,6,14,10,57,21,5,5,0,0,120,0,0,6,52,61,38,74,18,3,257
CED229,0,0,0,4,10,28,11,9,0,66,10,92,75,540,198,80,37,14,0,1052,0,0,0,18,0,3,0,0,0,27,4,14,26,62,7,4,3,0,0,119,0,6,21,121,117,89,67,23,5,459,4,13,24,197,132,57,26,6,0,460,12,33,17,72,30,20,13,7,0,201,3,11,12,52,22,15,3,0,0,118,0,4,5,16,14,19,13,6,3,78,0,7,22,65,35,10,3,0,0,142,31,158,160,807,406,278,191,111,30,2168,434,737,720,1904,981,862,629,287,105,6665,9154,16171,13474,30567,13625,10499,7053,2816,829,104184,0,9,31,31,9,0,0,0,0,84,8019,12968,10478,21841,9768,7257,4433,1777,794,77335,0,4,0,44,12,0,0,0,0,70,0,0,0,20,15,12,0,3,0,48,0,0,0,21,4,4,0,0,0,30,3,5,11,46,25,19,9,0,0,113,0,0,0,23,22,10,9,3,0,64
CED230,0,0,0,7,16,21,16,21,0,74,3,37,18,220,42,29,25,6,3,389,0,0,4,49,0,0,0,0,0,59,3,12,8,13,4,0,0,0,0,47,0,0,0,3,0,3,3,0,0,13,0,0,0,6,12,0,4,0,0,24,3,14,9,48,26,20,38,5,0,161,0,3,9,22,15,6,0,0,0,61,0,4,3,3,20,16,20,6,3,77,0,0,6,33,14,11,7,0,0,71,13,65,122,377,186,149,174,101,27,1198,307,590,590,1355,939,935,866,511,198,6294,5942,11251,9660,19318,10423,10190,8750,4447,1414,81396,0,0,16,23,9,0,0,0,0,50,5270,9762,8099,16075,8305,8027,6141,3109,1645,66438,0,6,0,32,5,3,0,0,0,41,0,0,0,21,6,11,7,4,0,44,0,0,3,30,14,8,0,0,0,56,0,3,7,36,19,12,10,4,3,93,0,4,0,27,15,11,8,4,0,65
CED231,0,0,0,15,8,12,9,7,3,63,0,8,86,255,32,23,12,8,0,419,5,3,177,464,17,6,5,4,0,675,5,14,200,426,20,3,4,0,0,671,0,5,6,33,17,14,8,0,0,85,0,0,12,111,39,31,15,6,4,221,15,49,117,446,86,45,31,7,3,804,8,66,312,635,372,377,153,86,36,2035,0,0,13,34,12,3,6,8,0,74,0,0,11,48,4,3,4,0,0,65,91,192,1052,2912,569,317,221,144,29,5536,473,547,2052,4894,1087,880,562,290,139,10930,4347,5443,21238,46168,9355,7040,4596,2090,852,101128,0,3,8,12,6,4,3,0,0,39,3342,4029,7754,19442,4761,3820,2327,880,469,46821,0,0,27,36,3,0,0,0,0,76,0,0,3,40,11,17,6,8,0,85,0,0,32,36,13,18,8,3,0,112,5,11,76,307,28,22,3,0,0,450,3,0,14,145,10,12,8,8,3,216
CED232,0,0,0,20,5,16,10,10,3,66,0,4,27,167,26,19,15,8,0,267,3,3,22,126,5,9,7,0,0,171,10,8,41,124,10,3,0,0,0,197,0,0,3,36,11,11,0,5,0,56,0,0,3,67,30,11,9,0,3,127,31,92,112,350,123,86,59,7,4,873,0,6,52,130,32,23,7,3,0,261,0,0,8,61,15,8,10,4,3,109,0,0,4,43,17,12,4,0,0,84,57,143,340,2123,484,421,523,319,206,4612,293,369,825,3556,1031,840,617,278,147,7961,3932,5857,8753,33329,9641,7781,5575,2424,1140,78431,0,0,0,19,3,0,0,0,0,22,3225,4511,5240,16493,5930,4696,2827,1144,593,44659,0,0,10,28,0,3,0,0,0,45,0,0,0,39,17,11,8,3,0,77,0,0,0,14,3,0,0,0,0,18,9,10,43,250,47,27,11,0,0,404,3,0,5,81,15,6,16,0,0,129
CED233,0,0,0,4,10,13,12,14,4,63,0,16,23,107,61,69,68,20,12,375,5,21,39,156,26,36,40,5,0,321,3,5,17,21,7,3,7,3,0,60,0,0,0,11,19,30,33,17,4,121,0,3,0,14,23,22,12,7,3,86,9,37,41,36,30,23,26,9,4,213,0,0,30,125,124,127,46,15,0,467,0,3,0,7,9,9,7,3,0,46,0,0,3,18,16,15,6,0,0,51,12,77,95,354,242,270,234,191,87,1580,93,242,284,605,403,386,307,295,153,2770,3484,8307,9429,15279,9547,8241,6444,4479,1548,66759,0,0,0,7,6,0,0,0,0,18,2974,6462,6316,8227,5954,4356,3531,2230,1194,41238,0,0,0,15,3,8,0,0,0,28,0,0,0,4,9,4,0,3,0,23,0,0,0,17,20,15,9,3,0,61,0,7,10,30,17,15,5,6,3,91,0,3,0,11,13,11,3,0,3,40
CED234,0,0,0,0,7,7,15,7,0,36,4,14,5,47,14,7,3,0,0,97,0,0,6,30,0,0,0,0,0,38,0,10,8,13,3,0,3,0,0,38,0,0,0,0,4,14,16,9,0,47,0,7,9,36,53,19,13,6,0,140,0,8,7,24,5,15,7,3,3,80,0,0,0,16,7,3,0,0,0,27,0,0,0,3,3,7,9,3,3,29,0,3,4,9,10,0,0,0,0,24,9,68,115,255,132,109,90,60,22,849,310,604,594,1366,944,1084,990,591,224,6697,4356,9454,8498,15284,9470,10082,8593,4794,1616,72140,0,27,115,124,30,3,6,0,0,298,3851,7814,6570,12148,7923,8012,6221,3830,1895,58270,0,0,0,10,0,0,3,0,0,18,0,0,0,0,0,0,0,3,0,6,0,0,3,9,0,0,0,0,0,16,0,3,0,21,11,8,0,0,3,52,0,0,0,3,0,0,0,0,0,5
CED235,0,0,3,23,27,34,34,31,6,148,11,84,120,599,230,178,88,23,9,1343,0,0,3,40,6,3,0,0,0,56,6,9,15,52,6,3,0,0,0,88,0,15,69,358,428,612,597,245,51,2376,3,3,8,112,106,74,37,16,0,364,4,26,9,39,21,22,12,0,0,121,11,32,78,510,343,315,84,26,9,1410,0,0,4,9,8,13,3,3,3,35,0,6,11,51,13,4,3,0,0,90,50,205,292,1005,516,419,306,162,45,2987,307,445,538,1449,614,582,525,301,84,4845,6104,10733,11575,24766,10645,8908,6320,3266,968,83288,0,7,12,54,17,9,3,0,0,100,5131,8218,8100,12706,6201,4316,2372,1111,561,48728,5,4,3,77,15,3,0,0,0,108,0,0,6,57,43,38,15,9,0,172,0,4,8,66,30,29,8,3,0,150,3,9,10,28,13,3,3,0,0,62,0,3,0,18,15,18,18,3,0,65
CED236,0,0,0,0,0,10,3,0,0,22,5,8,0,41,11,7,3,3,0,81,0,0,19,108,0,0,0,0,0,125,0,9,4,15,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,7,0,0,15,0,4,8,23,7,19,27,7,0,96,0,4,0,11,10,3,0,0,0,32,0,0,0,9,3,4,6,3,3,40,0,6,4,8,10,3,3,0,0,33,5,20,23,97,47,53,64,46,22,374,204,503,503,1137,849,952,855,535,200,5730,3633,8347,7770,13729,9206,9934,8286,4210,1417,66534,0,0,0,0,0,0,0,0,0,0,3247,7194,6247,11387,7824,8138,6296,3670,1981,55980,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,3,0,0,0,6,0,0,0,0,0,11,0,3,6,26,15,14,4,3,3,68,0,0,0,3,0,0,4,0,0,7
CED237,0,0,0,14,19,21,7,13,9,76,11,38,39,244,91,65,27,10,4,529,0,0,10,65,3,5,0,0,0,91,4,17,36,65,10,0,0,0,0,141,0,0,0,29,10,18,14,3,4,79,6,7,19,294,308,153,77,32,6,903,9,27,28,201,53,17,22,3,3,365,3,25,43,206,89,118,39,12,7,537,0,0,0,24,8,4,11,3,0,52,0,0,5,35,0,6,0,0,0,41,54,137,204,1239,336,218,235,148,72,2648,330,461,623,2200,685,493,387,354,167,5697,5467,8564,10366,31662,9939,6912,4614,3680,1714,82916,0,3,9,27,0,0,0,0,0,42,4566,6752,7630,18401,6430,4199,1827,1338,993,52135,0,28,22,166,23,7,3,0,0,253,0,0,0,42,10,19,6,6,0,90,0,0,8,9,4,5,0,0,0,26,4,3,12,143,18,11,3,3,0,201,4,3,4,59,13,15,10,0,3,108
