CED_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
CED201,5,0,0,0,0,6,0,3,0,289,3,306,4,3,0,3,0,0,0,14,3,102,4,125,0,8,0,4,0,3,0,26,0,61,0,99,0,0,0,0,0,3,0,20,0,32,0,59,5,13,4,0,0,4,0,39,0,410,5,485,0,11,0,8,0,30,3,90,13,170,0,334,15,42,3,22,3,74,5,115,4,1160,20,1467,11,45,6,34,3,139,3,143,13,528,9,934,53,74,0,116,9,217,8,139,19,571,8,1208,129,69,4,235,12,158,6,83,6,337,8,1056,151,47,4,212,4,165,5,64,3,96,4,757,241,26,5,200,7,106,10,34,6,96,3,739,793,58,7,340,28,188,4,37,11,115,0,1585,550,20,8,245,29,74,4,22,8,29,0,995,358,5,5,107,23,24,4,10,0,19,0,556,198,0,0,27,5,44,0,10,3,6,0,307,212,17,6,91,12,56,3,16
CED202,10,5,0,8,0,6,0,4,0,158,3,197,3,6,0,0,0,7,0,14,4,92,0,126,4,8,0,3,0,3,0,26,0,64,0,111,0,0,0,0,0,4,0,14,3,36,0,63,12,20,5,11,0,16,0,69,7,516,11,671,4,17,0,17,0,28,5,103,13,222,3,420,24,70,5,46,4,82,3,203,30,1820,22,2308,26,87,8,78,3,182,13,206,16,688,5,1318,77,131,13,184,20,226,20,190,33,687,9,1589,200,114,17,350,17,201,13,125,15,414,9,1474,199,48,6,282,17,159,18,58,11,116,0,918,277,50,7,259,28,139,6,34,9,96,4,921,807,83,24,425,44,227,21,53,22,134,6,1847,520,28,11,256,38,60,9,25,3,48,3,1005,290,7,11,126,20,20,3,3,3,23,0,501,166,3,5,35,9,43,0,3,3,21,4,292,210,30,9,126,17,57,8,22
CED203,0,0,3,4,0,3,0,3,0,296,6,316,0,10,0,0,0,0,0,17,6,128,3,159,0,3,0,3,0,6,0,35,3,61,0,117,0,0,0,0,0,5,0,17,3,27,0,55,3,17,0,7,0,16,0,46,8,649,13,748,3,30,0,8,0,33,0,68,7,144,0,297,9,66,8,19,5,91,7,112,5,1431,19,1765,21,81,0,48,0,179,4,127,16,337,7,823,44,136,3,192,9,193,9,100,5,337,8,1032,142,106,7,264,14,157,10,81,11,253,11,1058,155,49,8,262,12,150,5,41,8,62,3,751,260,55,9,238,19,119,8,23,11,81,0,819,906,66,19,421,34,178,17,52,5,100,3,1803,882,39,14,248,28,87,11,23,7,42,0,1370,585,20,6,141,24,30,13,4,0,19,0,858,405,5,3,51,10,66,3,3,3,11,0,568,689,28,9,149,28,66,5,25
CED204,5,3,3,0,0,3,0,3,0,114,3,142,8,4,0,0,0,0,0,15,3,106,0,145,3,4,0,3,0,4,0,20,3,57,0,93,0,0,0,0,0,3,0,7,0,32,0,50,21,28,0,11,0,15,3,68,12,524,11,694,3,21,0,3,0,28,3,111,8,201,4,393,19,61,6,44,3,95,12,196,20,1818,21,2305,32,95,13,87,3,170,14,220,34,726,12,1398,70,138,13,221,12,215,18,205,25,849,20,1788,232,145,6,351,22,189,13,127,26,488,9,1615,199,58,11,279,24,157,8,71,16,131,0,948,280,71,18,238,14,109,11,51,14,123,3,931,662,86,17,458,61,181,26,74,16,160,8,1749,435,43,19,257,41,61,3,25,6,59,3,949,292,21,12,121,13,28,5,17,6,30,0,546,131,11,7,42,5,46,0,16,3,14,0,271,204,27,14,125,14,66,4,22
CED205,3,0,0,0,0,3,0,10,3,488,5,516,0,4,0,3,0,6,0,19,3,157,0,191,0,7,0,4,0,5,0,40,3,108,4,166,0,0,0,0,0,11,0,49,7,49,0,113,0,17,0,3,0,10,3,63,4,709,10,826,0,18,4,10,0,58,0,101,18,206,0,415,8,40,0,22,3,108,6,132,15,1617,25,1983,17,69,3,42,0,217,3,146,14,639,11,1168,42,104,10,137,8,241,4,143,17,652,14,1374,132,77,11,206,19,197,11,99,22,397,13,1179,133,39,7,142,10,150,4,54,10,150,0,694,202,33,0,148,20,115,4,33,9,129,4,690,538,46,7,233,23,142,6,59,15,159,3,1234,399,17,4,152,13,56,3,19,3,87,0,754,230,14,0,65,6,26,3,3,0,40,0,395,119,7,5,25,3,41,0,10,3,32,0,252,205,25,8,79,9,47,9,21
CED206,3,3,0,0,0,11,0,5,4,299,8,332,0,0,0,0,0,3,0,15,4,125,5,156,0,3,0,0,0,7,0,27,3,82,0,125,0,0,0,0,0,8,0,13,0,37,0,69,0,7,0,6,0,23,0,59,7,647,13,759,3,9,0,3,0,55,0,89,11,204,7,384,7,26,4,19,0,101,3,128,22,1472,27,1802,19,43,0,38,4,200,4,132,22,427,15,897,40,62,4,106,7,251,8,99,21,376,9,983,106,51,7,199,16,180,11,77,21,233,8,904,139,27,7,170,9,124,5,31,8,53,0,580,210,34,6,158,18,117,3,34,10,55,0,638,593,35,14,235,30,140,9,29,10,69,4,1167,386,10,9,124,19,39,6,15,0,22,4,633,198,4,5,56,10,17,0,3,0,11,0,303,97,0,3,21,10,36,0,0,5,9,0,175,122,4,8,38,6,23,0,9
CED207,13,0,3,6,0,3,0,0,0,146,3,177,0,5,0,5,0,4,0,13,3,86,0,112,3,7,0,0,0,3,0,26,4,55,3,105,5,0,0,0,0,5,0,16,0,28,0,59,6,14,0,6,0,10,3,44,5,390,8,500,5,23,3,12,3,26,0,99,16,174,3,369,5,42,10,34,3,75,11,175,17,1283,27,1677,14,76,4,65,3,166,13,180,11,615,7,1168,45,129,13,168,17,205,9,165,21,598,11,1376,137,106,12,252,24,190,12,101,12,386,6,1237,171,53,3,267,20,125,14,57,7,99,3,821,301,49,13,233,22,142,10,45,18,101,0,922,968,61,16,464,49,200,25,64,16,106,3,1971,628,35,10,269,31,60,10,22,5,39,0,1104,376,7,11,119,29,16,5,3,3,29,3,597,171,7,3,37,10,44,3,12,0,9,0,284,197,12,4,105,12,41,4,3
CED208,3,3,0,0,0,6,0,3,0,605,8,623,0,8,0,0,0,3,3,17,3,159,3,196,0,9,0,0,0,3,0,53,3,90,0,159,0,4,0,0,0,8,0,41,3,55,0,101,0,29,0,3,0,17,5,75,10,581,6,717,6,24,0,6,0,40,0,97,4,195,4,382,10,85,3,15,0,83,3,137,6,1210,18,1573,7,74,3,44,3,165,6,125,7,532,4,969,51,113,5,111,3,212,4,134,18,666,8,1333,111,86,4,214,8,171,7,109,14,398,4,1133,120,38,8,160,11,144,3,54,14,129,3,667,200,33,0,139,10,116,6,35,18,138,0,696,642,52,13,269,33,183,9,70,13,219,7,1511,529,34,6,188,22,82,7,34,6,93,0,995,387,25,0,110,19,31,0,16,5,54,0,648,262,4,3,32,12,58,0,18,3,32,0,428,469,24,10,120,7,71,5,32
CED209,20,9,0,4,0,3,0,0,0,147,3,188,3,7,0,5,0,4,0,10,0,88,0,121,0,6,3,5,0,0,0,28,7,55,0,111,0,0,0,0,0,0,0,13,0,34,0,58,19,18,3,9,0,11,3,55,3,475,7,601,6,34,3,9,0,30,5,90,4,218,5,402,16,69,9,43,3,65,9,193,16,1500,26,1943,31,123,7,71,9,118,8,209,10,755,11,1351,62,140,10,197,16,195,19,216,28,868,12,1761,149,134,17,326,23,156,17,162,27,549,8,1555,146,64,10,251,8,129,10,86,17,176,5,904,227,54,10,283,26,130,18,62,3,187,9,1010,798,112,27,460,42,184,19,97,11,243,8,1997,573,49,9,314,30,53,8,31,10,89,4,1173,331,27,9,130,15,20,3,15,4,43,3,610,166,14,5,46,3,48,5,14,8,23,0,327,259,38,9,148,12,65,4,47
CED210,5,3,0,0,0,3,0,3,3,186,0,198,3,3,0,0,0,3,0,7,0,99,0,119,0,5,0,0,0,3,0,29,0,57,3,99,0,0,0,0,0,9,0,19,3,35,0,69,5,23,0,6,0,12,4,78,6,701,4,837,0,14,0,12,0,33,0,99,5,224,3,389,10,55,3,28,3,93,3,177,15,1875,40,2303,12,70,3,68,5,193,15,200,24,724,6,1317,45,107,3,173,14,226,18,164,24,737,9,1524,163,121,9,293,14,166,17,117,19,442,14,1370,156,44,4,242,19,146,7,45,12,102,0,771,250,49,12,264,12,113,10,40,10,123,0,884,802,49,11,371,40,156,18,41,9,126,7,1634,517,25,17,260,34,40,14,25,4,35,0,972,285,12,3,94,15,32,4,9,0,26,0,485,145,5,8,34,10,38,3,8,5,21,0,267,223,22,14,122,8,50,5,26
