CED_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED201,2260,3655,7065,7112,8051,5553,921,71,17,34706,2006,745,1709,1963,1875,3294,5050,3043,1485,21163,113,115,353,314,343,317,275,246,163,2238,4372,4515,9126,9391,10270,9165,6241,3359,1669,58110,500,3323,10231,9502,10683,7260,973,43,12,42530,2822,3107,3224,4226,4419,3737,1248,115,11,22917,122,162,563,418,296,364,116,11,3,2054,82,130,241,197,216,148,44,18,4,1088,3527,6723,14263,14354,15619,11509,2385,187,29,68598,120,374,478,366,405,304,14,0,0,2072,708,319,242,269,237,200,28,4,0,2002,822,692,717,636,643,507,42,4,0,4074,4351,7422,14986,14985,16262,12018,2427,192,30,72668,4366,1554,2326,2561,2629,4964,8907,5524,2328,35169,233,280,684,663,663,645,522,420,245,4356,8953,9257,17992,18208,19554,17628,11857,6138,2603,112194
CED202,2536,3694,6703,7416,8162,5777,1059,86,29,35452,1998,1016,2081,2059,2097,3919,6478,3840,1962,25454,257,303,536,535,647,655,612,433,264,4243,4788,5012,9323,10008,10904,10353,8153,4361,2251,65149,803,3299,8588,8982,9946,6572,991,96,28,39309,2967,2925,3777,4722,4857,4203,1404,163,28,25037,143,234,650,482,491,568,183,22,0,2769,127,210,233,217,243,180,75,27,7,1323,4039,6664,13248,14405,15545,11523,2652,314,61,68436,266,537,639,432,492,324,18,0,0,2715,581,380,301,287,256,218,46,4,3,2077,843,920,943,723,747,549,67,4,3,4787,4881,7581,14191,15123,16291,12068,2718,313,66,73225,4422,1874,2935,2948,3340,6471,11810,6829,2941,43575,514,636,1063,1075,1261,1253,1194,744,403,8155,9818,10086,18191,19151,20892,19794,15729,7893,3412,124957
CED203,1693,4415,12058,9770,8132,4421,706,66,14,41283,1821,1620,2769,2351,2122,3053,4694,4224,2015,24661,224,433,1114,765,657,519,455,432,443,5033,3742,6470,15939,12887,10910,7989,5851,4722,2475,70983,221,2658,15562,12530,10129,5329,743,59,12,47242,2002,4276,6376,5660,4710,3042,840,95,19,27005,85,198,726,630,369,260,69,14,4,2349,99,235,409,281,238,156,50,20,10,1481,2404,7367,23065,19099,15442,8786,1699,183,39,78078,125,409,961,641,515,324,12,3,0,2991,669,751,636,355,286,185,41,8,0,2927,786,1165,1591,996,803,512,53,12,0,5921,3190,8535,24663,20094,16244,9297,1755,192,39,84003,3961,3165,4440,3467,3470,5113,8236,7458,3282,42599,452,831,2277,1625,1311,992,829,792,630,9756,7604,12524,31381,25189,21025,15403,10818,8437,3953,136350
CED204,2368,3396,6151,6870,7948,5991,1191,120,36,34081,1907,947,1958,1983,1903,3832,6448,3924,1880,24776,262,247,551,569,618,716,640,519,468,4586,4537,4591,8664,9423,10472,10539,8279,4558,2389,63446,683,3145,7857,8138,9450,6503,971,115,25,36890,2847,2672,3550,4474,4891,4657,1574,212,36,24912,148,224,606,516,506,609,208,19,5,2835,119,154,192,200,211,188,76,33,11,1176,3790,6187,12207,13329,15055,11963,2826,375,76,65812,229,435,476,415,384,352,15,5,0,2306,557,323,259,261,223,224,60,4,0,1910,785,760,736,669,608,571,75,11,0,4221,4577,6943,12940,14004,15666,12540,2897,389,80,70034,4131,1680,2898,2999,3234,6448,11961,7186,2995,43525,531,524,1086,1083,1289,1425,1288,927,686,8837,9240,9155,16921,18082,20184,20411,16144,8506,3757,122395
CED205,1628,3325,7600,6799,6626,4337,964,87,17,31380,2775,1777,3236,2882,2771,4139,6161,4455,2051,30251,185,263,657,470,445,425,408,370,312,3539,4583,5365,11494,10152,9841,8898,7534,4912,2376,65166,195,2562,11012,9788,9305,5759,1016,54,17,39701,1968,3622,4449,4085,3661,3024,1192,187,23,22209,79,127,473,326,239,265,102,17,3,1632,80,215,492,296,268,173,61,22,7,1613,2319,6530,16419,14490,13474,9225,2364,280,43,65151,131,544,1019,693,621,367,31,0,0,3404,742,665,521,377,319,210,48,10,0,2888,875,1207,1542,1070,940,573,80,12,4,6289,3195,7734,17960,15555,14415,9798,2445,294,47,71441,6053,3688,4803,4139,4195,6445,10994,8226,3309,51858,393,594,1422,1052,957,851,799,704,456,7222,9642,12019,24185,20751,19564,17092,14233,9220,3812,130519
CED206,2333,4103,7022,6565,7454,4312,635,37,3,32469,3484,1666,3850,3714,3987,4624,5142,2753,984,30197,278,307,692,546,604,529,440,310,172,3877,6097,6071,11558,10825,12050,9464,6221,3098,1162,66542,474,3560,10135,8941,10279,6101,754,36,5,40283,2691,3744,3968,3964,4340,2989,834,57,8,22601,105,196,504,363,301,316,72,4,0,1863,119,297,485,339,401,210,54,17,0,1931,3393,7800,15096,13609,15326,9616,1710,117,15,66675,266,723,1017,731,630,345,24,0,0,3737,950,529,398,397,334,235,26,7,0,2872,1212,1254,1416,1124,963,580,46,7,0,6601,4606,9053,16511,14732,16288,10194,1757,125,16,73280,7107,3146,5636,5353,5974,7350,9557,5143,1609,50872,578,681,1448,1166,1243,1058,835,534,269,7809,12292,12877,23598,21246,23501,18597,12150,5806,1893,131960
CED207,2412,3345,6998,7206,8149,5678,1167,95,10,35056,1911,634,1879,1945,1784,3211,5538,3028,1376,21305,160,173,403,403,464,444,401,284,199,2927,4487,4154,9276,9553,10398,9334,7104,3404,1586,59291,871,3712,9897,9365,10418,6707,1171,80,11,42237,2864,2516,3462,4660,4840,4341,1520,169,19,24396,132,157,692,482,443,517,178,20,3,2623,109,141,251,252,293,177,54,26,3,1296,3973,6524,14301,14754,16004,11745,2923,297,38,70554,173,312,347,315,316,240,22,3,0,1728,619,226,194,210,204,150,45,0,0,1644,793,537,532,525,519,392,66,6,0,3374,4763,7061,14838,15281,16524,12134,2992,304,38,73933,4094,1123,2483,2573,2711,5072,9978,5534,2216,35781,332,378,805,813,912,851,792,493,293,5672,9196,8569,18127,18660,20147,18057,13756,6326,2548,115387
CED208,2288,4710,9255,7712,7962,4794,1076,110,20,37914,3272,3863,3032,2412,2186,3306,5198,4927,2531,30714,205,369,660,408,411,372,362,409,394,3597,5767,8937,12951,10534,10556,8469,6631,5446,2942,72227,221,2467,12250,10442,10416,5818,882,68,8,42579,2633,5008,5159,4430,4467,3339,1325,210,29,26589,130,237,618,411,304,271,110,9,3,2095,103,192,300,212,212,107,47,25,10,1208,3086,7903,18326,15490,15408,9527,2373,314,53,72477,78,389,946,485,468,314,19,0,0,2699,988,1413,716,364,276,213,40,9,0,4021,1068,1802,1660,848,744,528,61,11,0,6723,4158,9708,19986,16337,16149,10054,2435,320,52,79197,6813,8023,5128,3222,3220,5204,8918,8532,4148,53197,422,790,1355,898,837,708,639,695,589,6944,11393,18523,26469,20452,20204,15963,11994,9552,4788,139344
CED209,2568,3233,6766,7838,8268,5968,1302,107,30,36083,1727,711,1656,1877,1615,3628,6433,3977,2292,23920,193,219,422,454,473,534,535,401,263,3497,4494,4162,8851,10165,10360,10128,8273,4483,2588,63504,629,2865,8835,9728,9992,6532,1108,113,24,39823,3152,3057,3740,5303,5215,4839,1805,222,29,27365,193,217,710,534,485,617,206,24,0,2989,110,163,228,229,220,169,66,33,13,1224,4086,6305,13511,15791,15911,12154,3188,397,66,71401,171,274,354,301,345,298,6,8,3,1761,591,338,218,219,181,207,40,4,0,1795,761,609,565,523,529,502,48,11,5,3563,4853,6909,14077,16312,16437,12658,3238,410,68,74967,3968,1531,2325,2505,2461,5931,11746,7093,3522,41087,404,476,874,947,997,1071,1059,702,387,6921,9214,8919,17281,19771,19893,19665,16039,8209,3978,122969
CED210,2261,3566,6951,6841,7498,5317,919,90,20,33464,2039,1011,2300,2055,2155,4091,6624,4297,2065,26641,217,306,543,457,593,619,583,502,383,4201,4517,4886,9797,9350,10253,10027,8124,4885,2467,64305,591,3172,9151,8358,9101,5886,766,68,12,37098,2672,2859,3683,4331,4470,3997,1230,152,23,23417,154,182,615,491,444,477,137,15,3,2513,124,175,273,204,229,174,55,13,9,1257,3538,6390,13723,13382,14240,10530,2194,250,46,64284,236,518,663,495,554,369,11,0,0,2849,545,327,311,283,221,251,57,3,0,2005,787,847,973,781,776,620,65,11,0,4854,4325,7237,14693,14157,15014,11154,2257,252,44,69139,4472,1901,3489,3256,3591,6729,12014,7699,3336,46483,457,590,1109,957,1165,1181,1136,876,577,8053,9253,9727,19286,18372,19774,19062,15404,8824,3961,123675
