CED_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
CED201,46311,..,..,..,..,46311,..,82,0,89,0,84,..,518,43,563,3,560,..,0,0,0,0,0,..,1755,484,2241,17,2257,..,2729,887,3615,20,3639,..,299,47,352,3,351,..,4788,1418,6211,39,6250,..,124,10,133,0,130,..,114,6,113,0,115,..,141,3,145,0,143,..,368,14,375,3,384,..,810,65,874,3,880,..,68,0,73,0,73,..,633,13,644,0,649,..,367,29,399,0,399,..,985,31,1009,6,1017,..,89,3,90,0,97,..,506,22,529,5,536,..,2648,96,2745,16,2761,..,719,67,789,13,801,..,71,4,80,0,80,..,233,86,321,4,323,..,48,8,58,0,59,..,35,4,35,0,39,..,258,63,321,5,328,..,221,19,240,0,242,..,79,6,87,0,87,..,22,0,17,0,18,..,110,16,132,0,132,..,184,9,195,0,198,..,257,14,273,0,275,..,222,3,226,0,226,..,92
CED202,66232,..,..,..,..,66232,..,51,3,53,0,53,..,111,7,124,3,123,..,13,3,16,0,16,..,76,15,93,0,93,..,360,106,464,4,464,..,27,10,37,0,37,..,459,135,592,4,595,..,101,17,116,0,116,..,112,4,116,0,116,..,92,3,92,0,92,..,138,3,141,0,141,..,137,20,148,0,153,..,48,0,49,0,49,..,138,5,142,0,142,..,181,11,193,3,197,..,48,5,57,3,59,..,49,4,54,0,54,..,72,8,77,0,77,..,535,39,573,5,584,..,210,11,216,3,219,..,52,10,66,0,66,..,19,0,17,0,17,..,32,5,37,0,37,..,99,4,105,0,105,..,33,8,40,0,40,..,35,7,38,0,40,..,42,0,44,0,44,..,8,0,8,0,8,..,63,4,68,5,79,..,63,3,62,0,62,..,17,0,19,0,19,..,73,9,81,0,86,..,14
CED203,44756,..,..,..,..,44756,..,29,4,31,0,31,..,1977,369,2352,31,2380,..,14,0,14,0,14,..,590,272,869,10,871,..,1937,1002,2939,18,2963,..,124,81,206,0,206,..,2655,1359,4015,28,4039,..,244,41,285,7,293,..,61,3,63,0,61,..,303,15,316,3,323,..,226,6,238,4,240,..,3774,941,4714,51,4769,..,249,10,258,0,257,..,933,35,968,12,977,..,723,53,777,10,787,..,283,8,287,3,292,..,467,31,499,4,505,..,753,41,794,8,805,..,3409,176,3590,37,3626,..,3792,739,4527,59,4583,..,141,17,159,0,159,..,71,23,93,0,95,..,969,179,1147,14,1166,..,119,13,136,3,138,..,254,63,321,4,323,..,77,6,83,0,84,..,53,6,63,0,63,..,40,3,40,0,40,..,142,35,173,0,178,..,121,5,125,0,126,..,124,9,135,0,135,..,182,0,184,3,190,..,80
CED204,64350,..,..,..,..,64350,..,42,0,42,0,42,..,89,5,96,0,96,..,11,0,11,0,11,..,53,17,67,0,67,..,188,111,296,4,300,..,17,6,22,0,22,..,253,132,389,4,392,..,24,0,23,0,23,..,61,0,66,0,69,..,76,3,72,0,72,..,140,0,140,0,141,..,111,10,124,0,124,..,32,0,27,0,27,..,109,3,110,0,110,..,117,11,131,0,132,..,57,0,54,0,59,..,36,3,37,0,39,..,62,5,70,0,70,..,409,30,433,3,440,..,171,9,181,0,181,..,28,0,32,0,34,..,21,10,34,0,34,..,11,0,11,0,11,..,34,0,34,3,36,..,10,3,17,0,17,..,22,3,20,0,20,..,19,4,21,0,21,..,14,0,14,0,14,..,8,8,14,0,14,..,65,0,68,0,66,..,31,0,31,0,31,..,46,3,43,3,47,..,15
CED205,30420,..,..,..,..,30420,..,62,0,60,0,60,..,1119,167,1284,8,1297,..,0,0,0,0,0,..,2457,640,3095,8,3106,..,5218,1821,7035,30,7067,..,466,162,628,0,633,..,8139,2624,10759,44,10803,..,317,65,382,9,388,..,62,4,65,0,67,..,350,11,364,7,367,..,222,3,228,3,233,..,2317,415,2734,22,2754,..,390,23,406,3,412,..,1417,56,1475,6,1482,..,2057,152,2206,20,2230,..,2395,90,2489,23,2510,..,724,57,786,6,789,..,693,45,736,7,744,..,7679,432,8107,61,8161,..,1220,210,1430,23,1451,..,108,17,131,0,130,..,406,140,550,4,553,..,153,20,175,6,177,..,52,3,58,0,59,..,480,152,635,3,638,..,302,48,349,5,356,..,215,33,249,3,252,..,192,28,213,4,215,..,711,223,930,13,941,..,215,6,214,0,219,..,394,27,421,0,421,..,279,13,293,3,298,..,159
CED206,36163,..,..,..,..,36163,..,14,0,19,0,19,..,6379,1349,7729,85,7807,..,4,0,4,0,4,..,337,95,433,3,435,..,382,142,530,7,534,..,115,27,149,0,148,..,843,265,1110,11,1113,..,865,124,982,12,993,..,23,0,23,0,23,..,82,3,84,5,89,..,110,4,111,4,113,..,1666,250,1921,17,1934,..,145,7,159,0,158,..,859,21,883,11,893,..,1469,138,1607,18,1629,..,1045,42,1090,3,1087,..,1188,60,1252,24,1269,..,422,101,520,9,532,..,5131,372,5505,58,5566,..,2758,334,3089,42,3134,..,24,6,30,0,30,..,38,13,49,0,49,..,775,129,900,10,909,..,696,51,751,7,761,..,157,71,233,7,235,..,210,23,236,3,238,..,38,8,45,0,45,..,524,52,583,15,596,..,320,59,385,0,383,..,346,8,350,6,355,..,84,5,85,5,90,..,535,17,554,5,559,..,144
CED207,61335,..,..,..,..,61335,..,87,5,88,0,88,..,114,7,125,3,127,..,3,0,3,0,3,..,154,34,182,0,182,..,347,122,472,3,476,..,21,9,31,0,31,..,522,163,691,3,694,..,56,4,58,0,58,..,302,9,313,0,316,..,91,3,97,0,97,..,346,8,352,3,351,..,152,13,167,0,163,..,7,0,7,0,7,..,135,3,143,0,142,..,109,8,120,3,129,..,86,3,88,0,93,..,19,0,19,0,19,..,79,4,91,0,87,..,445,25,469,7,475,..,638,59,694,8,706,..,60,10,67,0,67,..,20,7,25,0,25,..,24,4,25,0,30,..,15,0,20,0,20,..,74,18,92,0,92,..,113,12,127,0,125,..,49,3,48,0,49,..,14,0,17,0,17,..,33,6,34,0,34,..,42,3,46,0,46,..,36,4,40,0,45,..,87,3,89,0,89,..,28
CED208,40529,..,..,..,..,40529,..,73,0,73,0,73,..,412,46,458,4,461,..,0,0,0,0,0,..,2821,850,3670,13,3686,..,8776,2993,11767,55,11826,..,681,279,963,3,965,..,12278,4123,16400,74,16475,..,98,8,111,5,114,..,97,8,104,7,111,..,303,11,317,0,317,..,258,8,262,3,268,..,3003,573,3578,35,3614,..,370,19,388,0,392,..,1156,28,1188,11,1199,..,584,31,618,5,621,..,1439,30,1472,14,1481,..,309,5,315,3,317,..,704,33,736,7,745,..,4557,155,4715,40,4751,..,1125,183,1313,17,1335,..,298,43,335,3,339,..,647,221,868,9,875,..,62,3,67,3,69,..,32,0,32,0,32,..,320,64,381,0,381,..,205,14,223,0,220,..,229,30,263,4,267,..,18,0,18,0,18,..,108,18,122,0,127,..,133,3,141,0,141,..,711,57,765,7,773,..,177,0,183,0,183,..,122
CED209,66113,..,..,..,..,66113,..,65,0,64,0,66,..,208,30,233,0,238,..,6,0,6,0,6,..,90,31,119,0,123,..,395,106,501,3,509,..,31,5,40,0,40,..,519,140,663,8,665,..,106,5,109,0,109,..,130,3,132,0,129,..,113,7,120,0,120,..,234,4,235,3,238,..,160,11,170,3,174,..,52,4,55,0,55,..,149,3,148,0,155,..,155,12,167,0,172,..,87,4,92,0,92,..,58,0,59,0,59,..,75,3,75,0,75,..,574,28,598,3,603,..,356,15,378,3,382,..,70,9,80,0,79,..,30,5,36,0,36,..,52,8,57,3,62,..,36,4,40,0,38,..,123,14,138,0,138,..,42,0,47,0,47,..,25,6,29,0,29,..,5,0,5,0,5,..,48,3,50,0,57,..,36,0,36,0,36,..,73,3,76,0,76,..,47,0,47,0,47,..,26
CED210,58565,..,..,..,..,58565,..,35,0,35,0,36,..,148,47,195,8,201,..,4,0,4,0,4,..,94,22,109,3,114,..,326,96,422,0,419,..,30,23,53,0,53,..,449,133,578,7,584,..,791,141,929,13,934,..,139,3,142,0,142,..,99,3,100,3,104,..,222,4,225,0,231,..,316,50,367,7,372,..,17,0,17,0,17,..,175,7,182,3,187,..,254,19,268,0,270,..,52,3,53,0,53,..,79,10,89,0,89,..,124,4,128,7,138,..,698,43,741,5,752,..,762,99,868,29,889,..,49,0,57,0,57,..,28,13,37,0,37,..,383,71,455,8,457,..,90,4,98,3,104,..,72,25,95,0,98,..,128,20,149,0,152,..,83,15,100,0,99,..,16,0,17,0,17,..,287,52,338,4,344,..,142,3,148,0,148,..,55,0,52,0,54,..,158,0,162,0,162,..,42
