CED_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED201,0,0,6,20,25,10,0,0,0,63,6,66,126,475,240,209,106,16,11,1251,0,6,3,100,62,154,75,17,54,469,0,12,16,66,105,177,191,110,41,712,11,112,159,208,157,143,63,11,3,881,4,48,109,283,189,198,129,43,14,1005,0,0,0,22,46,48,45,30,15,205,15,129,276,1037,625,558,329,89,29,3082,8,8,12,144,25,49,16,0,0,264,3,25,40,175,47,25,5,0,0,321,0,0,0,12,10,9,15,6,0,53,0,0,4,18,32,33,18,13,0,112,7,42,48,105,62,33,24,6,3,331,6,24,48,398,334,291,89,26,11,1215,0,3,3,10,39,24,30,22,8,143,0,3,9,47,9,20,12,4,0,104,12,93,208,836,541,533,448,370,234,3268,256,421,555,1439,810,821,673,460,230,5668,7866,15960,18204,36200,19554,17628,11857,6138,2603,136018
CED202,0,0,7,20,22,3,0,0,0,56,9,61,55,237,73,69,17,3,0,525,0,3,0,32,4,10,14,8,15,97,0,11,23,70,94,129,199,92,29,650,3,13,4,30,19,11,3,0,0,88,0,25,39,116,65,49,37,9,0,350,0,0,0,4,17,32,22,20,8,111,5,17,11,80,24,15,18,3,3,171,0,0,4,40,3,0,0,0,0,47,3,13,28,77,20,10,4,0,0,155,0,0,0,4,16,4,13,7,0,48,0,0,0,10,6,5,0,0,0,27,7,32,38,98,57,82,60,3,3,375,3,5,18,71,25,10,3,0,0,142,0,3,0,17,27,22,31,23,7,125,0,0,19,30,8,8,11,0,0,83,16,86,140,406,238,226,185,147,59,1502,493,954,1195,2529,1673,1618,1508,876,399,11239,9644,19880,19905,37341,20892,19794,15729,7893,3412,154483
CED203,0,0,0,53,15,4,3,0,0,74,10,45,90,510,139,117,67,24,4,1011,0,0,4,89,24,47,31,21,20,231,0,12,12,161,81,76,76,34,16,476,8,23,39,184,52,21,11,3,0,347,0,4,37,234,53,34,19,3,0,386,0,0,0,23,30,40,35,38,12,175,8,28,100,475,98,104,70,29,4,909,3,8,32,200,19,10,3,3,0,271,13,18,78,253,51,21,3,0,0,443,0,11,9,194,210,275,317,235,60,1306,0,0,3,87,81,31,25,25,3,262,14,58,66,337,104,47,29,9,3,669,30,67,503,1034,556,453,178,70,25,2926,0,0,3,44,11,10,12,4,4,89,0,0,12,57,10,12,0,0,0,93,197,387,568,2556,659,555,416,281,123,5733,584,831,1364,4230,1558,1250,947,846,497,12108,9670,15946,20131,56576,21025,15403,10818,8437,3953,161964
CED204,0,3,0,46,23,8,3,0,0,81,11,45,53,215,87,58,21,8,0,501,0,0,0,14,0,9,11,6,17,65,0,4,13,56,71,107,139,74,28,486,0,0,11,21,5,19,7,3,0,69,3,21,51,110,56,44,40,11,3,344,0,0,0,3,10,7,15,17,0,54,0,19,15,75,30,31,21,12,8,214,0,3,23,132,3,6,0,0,0,167,20,155,139,92,17,11,3,0,0,434,0,0,0,0,3,3,3,0,0,18,0,0,3,10,3,0,4,0,0,20,3,31,23,82,52,59,55,6,5,320,0,8,20,78,28,5,3,0,0,146,0,4,4,18,16,23,36,12,3,118,0,3,8,18,11,6,7,0,0,50,8,57,99,274,166,157,150,90,28,1034,536,1067,1120,2615,1760,1832,1570,1007,554,12066,9136,18903,18394,35005,20184,20411,16144,8506,3757,150431
CED205,0,0,7,20,9,0,0,0,0,40,23,80,210,653,317,204,74,25,11,1599,0,0,18,99,98,221,146,95,56,723,0,8,7,37,49,73,146,115,56,492,18,167,196,252,113,126,83,25,3,979,7,45,82,167,126,107,104,51,10,693,0,0,7,97,100,143,121,102,33,607,75,535,820,3303,1230,983,634,309,131,8020,3,12,56,274,68,74,34,6,7,540,21,125,109,255,61,32,11,3,0,619,0,0,4,62,42,64,48,24,7,258,3,3,22,95,134,115,103,55,30,561,13,66,54,74,53,29,18,11,8,323,20,79,320,1692,1201,953,344,138,73,4820,0,0,4,7,7,17,17,19,11,74,0,6,26,72,14,6,10,0,0,127,91,390,721,2074,1107,1045,847,559,178,7014,517,828,1097,2498,1106,1002,928,720,460,9157,9076,17412,21666,44934,19564,17092,14233,9220,3812,157011
CED206,0,3,9,18,14,0,3,0,0,50,25,140,236,842,496,474,177,44,19,2456,0,0,3,78,64,145,94,35,30,441,0,4,7,25,60,89,90,51,17,353,12,33,47,54,41,36,23,3,0,249,0,6,23,67,35,31,25,8,0,195,0,0,7,25,69,100,96,63,7,367,19,139,230,749,616,340,190,70,23,2372,0,3,5,42,6,11,3,0,0,71,5,35,26,163,38,20,7,0,0,293,4,12,14,148,231,341,271,94,29,1144,28,91,266,1619,1774,990,549,207,37,5558,9,43,43,70,43,20,10,4,0,242,6,38,93,704,657,444,152,74,26,2203,0,0,0,0,8,10,5,6,3,37,0,3,18,33,9,4,3,0,0,71,116,584,827,2538,1661,1427,926,456,137,8673,686,1345,1382,3047,1616,1383,1093,550,216,11327,10858,22592,25166,44848,23501,18597,12150,5806,1893,165406
CED207,0,0,0,30,33,11,5,3,0,76,3,33,52,192,114,77,34,9,0,508,0,5,6,42,29,61,46,32,19,247,3,9,19,83,151,192,218,116,31,818,3,13,25,32,36,14,7,0,0,128,0,38,91,216,161,109,80,29,11,733,0,0,0,0,10,17,19,13,0,59,5,7,14,139,53,78,37,21,7,352,0,4,6,35,11,4,0,0,0,61,6,41,32,116,34,4,0,0,0,238,0,0,0,3,11,12,14,5,0,49,0,0,0,14,12,0,3,5,0,27,5,20,42,107,77,62,61,5,0,394,0,3,28,77,28,17,6,0,0,172,0,0,8,19,35,49,23,21,9,166,0,0,10,31,22,19,0,0,0,87,14,55,101,440,297,277,247,180,60,1668,373,695,782,1980,1255,1141,1003,565,324,8120,9089,18290,17762,36786,20147,18057,13756,6326,2548,142766
CED208,4,3,4,27,26,13,3,0,0,82,15,53,126,546,166,127,62,16,0,1126,0,12,3,100,62,138,106,57,29,513,0,13,19,59,75,88,120,92,53,510,14,116,491,380,136,120,69,11,8,1346,4,31,119,242,156,92,63,39,11,765,0,0,3,13,30,33,27,34,9,143,45,192,682,1647,471,366,304,120,54,3872,10,31,116,499,69,87,32,6,3,854,12,23,97,298,85,32,22,7,0,574,0,0,0,12,16,18,14,15,7,82,0,0,5,29,25,8,7,9,3,95,37,68,130,154,85,43,43,9,0,562,16,38,344,772,436,475,205,73,32,2392,0,0,9,13,16,11,12,20,4,81,0,8,40,74,24,15,11,0,0,162,65,238,523,1427,583,535,527,460,220,4576,405,600,1254,2335,953,837,716,713,459,8281,8409,16681,29914,46924,20204,15963,11994,9552,4788,164433
CED209,0,3,0,28,18,10,3,0,0,73,4,30,48,164,75,59,34,3,0,425,0,0,3,37,15,23,24,14,22,130,3,27,21,91,119,151,192,120,41,767,0,11,19,35,31,19,10,0,0,137,7,33,53,168,112,63,45,19,6,504,0,0,0,5,22,22,25,19,3,103,0,17,54,83,29,25,13,10,4,237,0,3,4,31,8,0,0,0,0,49,8,13,20,61,28,7,4,0,0,136,0,0,3,9,10,21,14,16,0,74,0,0,0,11,5,3,7,3,0,34,12,58,30,145,76,62,56,16,7,458,4,10,32,76,22,18,7,0,0,157,0,3,3,30,29,32,30,23,7,152,0,8,10,48,16,21,3,0,0,110,23,100,164,508,212,215,213,137,89,1653,410,832,913,2104,1330,1400,1286,797,363,9419,9632,20141,18139,37047,19893,19665,16039,8209,3978,152740
CED210,0,3,0,23,22,7,5,3,0,64,11,77,157,352,190,117,55,8,9,980,0,0,0,48,27,68,59,61,59,329,0,11,13,92,121,244,240,168,35,935,0,19,31,35,30,18,16,0,0,146,4,16,24,103,45,51,31,21,9,294,0,0,0,19,67,99,112,93,19,414,0,7,9,107,19,18,16,0,3,196,7,4,10,18,6,3,4,0,0,46,12,159,114,116,36,17,4,3,0,456,0,0,8,59,94,167,152,96,18,597,0,0,8,29,35,15,18,15,0,122,9,42,40,125,51,43,50,3,3,366,0,11,44,185,91,51,12,3,3,403,0,3,4,30,30,35,51,21,11,182,0,4,5,48,9,3,6,0,0,78,38,128,196,618,296,401,425,383,183,2669,457,896,1143,2491,1562,1602,1385,959,548,11037,8921,17318,18980,37663,19774,19062,15404,8824,3961,149914
