CED_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
CED201,2060,250,20,7,2004,238,4576,1984,520,64,15,1945,218,4741,3393,2189,355,119,2389,417,8863,2857,2931,656,255,1711,423,8824,2994,3086,673,243,1860,432,9287,2490,2698,700,278,1857,441,8467,1097,1571,640,333,1598,370,5617,419,616,301,212,916,314,2771,128,127,51,31,466,132,936,17409,13989,3457,1493,14745,2982,54086,2160,371,42,9,1576,211,4372,1999,889,131,90,1261,147,4515,2303,2684,1079,1203,1441,416,9126,1035,2911,2053,2077,938,376,9391,1119,3592,2354,1650,1153,407,10270,1012,2986,2061,1458,1235,405,9165,483,1405,1328,1200,1387,429,6241,297,600,474,449,1110,432,3359,157,202,90,60,906,252,1669,10564,15638,9623,8204,11009,3070,58110,4217,621,61,19,3580,450,8953,3980,1404,196,107,3204,363,9257,5702,4873,1440,1321,3830,826,17992,3888,5836,2705,2328,2654,799,18208,4109,6679,3027,1896,3009,835,19554,3507,5690,2764,1735,3090,851,17628,1576,2978,1974,1535,2987,804,11857,708,1218,782,654,2026,743,6138,284,328,141,94
CED202,2144,328,35,23,2008,488,5030,1891,839,118,57,1755,411,5077,3108,2551,573,213,1782,643,8866,2710,3160,866,398,1355,641,9144,2764,3373,828,414,1823,781,9990,2305,2977,890,442,2048,785,9442,1191,1921,943,623,2047,855,7575,407,697,412,303,1135,570,3531,132,152,91,58,510,219,1158,16660,16009,4756,2539,14463,5388,59807,2225,497,65,42,1508,450,4788,1753,1325,310,240,1027,349,5012,1708,2878,1366,1872,881,613,9323,1015,3076,2298,2284,700,629,10008,1135,3873,2369,1717,1037,768,10904,986,3283,2259,1633,1377,808,10353,470,1702,1679,1754,1641,901,8153,320,679,630,649,1293,786,4361,201,290,130,139,1098,401,2251,9810,17598,11116,10340,10577,5708,65149,4369,822,99,65,3518,938,9818,3640,2168,430,295,2788,761,10086,4815,5428,1938,2083,2663,1258,18191,3734,6240,3168,2685,2063,1265,19151,3898,7246,3199,2132,2863,1547,20892,3284,6259,3155,2078,3422,1597,19794,1655,3624,2624,2377,3691,1751,15729,732,1371,1037,955,2435,1363,7893,332,434,218,200
CED203,1588,233,19,16,1634,373,3865,2150,893,109,48,2377,481,6056,5794,3668,474,197,3986,1325,15445,3902,3951,868,322,2260,1005,12304,2904,3215,717,272,2231,781,10116,1812,2157,603,277,1995,575,7411,900,1210,503,213,1607,530,4970,567,698,362,201,1392,486,3713,189,208,91,60,677,265,1482,19810,16225,3740,1611,18157,5819,65370,1683,391,43,15,1258,353,3742,2536,1447,232,81,1659,507,6470,4874,4757,1284,1243,2539,1235,15939,2221,4060,2261,2226,1260,857,12887,1479,3712,2136,1426,1376,782,10910,1032,2535,1403,1044,1358,627,7989,504,1352,1020,906,1448,627,5851,475,934,661,550,1489,626,4722,248,314,189,125,1040,556,2475,15051,19507,9221,7607,13430,6166,70983,3272,623,64,31,2891,721,7604,4690,2341,339,134,4038,987,12524,10677,8423,1756,1434,6528,2562,31381,6124,8010,3128,2545,3522,1865,25189,4378,6933,2852,1696,3604,1562,21025,2842,4694,2006,1315,3348,1199,15403,1405,2565,1524,1121,3050,1155,10818,1040,1628,1019,752,2881,1110,8437,435,521,278,181
CED204,2006,336,30,12,1786,525,4700,1780,830,115,44,1409,390,4560,2713,2435,507,224,1486,892,8259,2380,3031,881,373,1178,820,8658,2634,3237,858,417,1610,954,9712,2357,3172,996,471,1923,940,9869,1232,2033,1055,734,1888,925,7864,483,789,470,405,1111,690,3951,142,178,91,101,549,305,1365,15743,16045,5003,2777,12940,6437,58947,2101,491,70,36,1344,497,4537,1607,1295,269,222,888,314,4591,1537,2675,1307,1704,802,642,8664,926,2965,2098,2164,584,690,9423,1221,3726,2289,1568,900,762,10472,1088,3419,2299,1639,1228,874,10539,510,1717,1757,1834,1515,947,8279,317,722,622,776,1244,878,4558,192,265,151,147,1032,606,2389,9500,17271,10865,10092,9527,6186,63446,4111,826,106,53,3132,1016,9240,3387,2121,381,264,2297,702,9155,4252,5112,1813,1932,2282,1529,16921,3305,5993,2983,2537,1759,1504,18082,3857,6966,3150,1987,2509,1713,20184,3446,6589,3297,2114,3152,1817,20411,1741,3749,2810,2570,3398,1865,16144,802,1519,1086,1174,2356,1565,8506,337,437,245,245
CED205,1884,400,36,29,2355,355,5056,2151,806,106,52,3085,452,6655,3857,2406,458,217,4796,954,12682,2929,2857,700,294,3098,732,10599,2634,2653,677,303,2800,651,9722,2042,2293,643,320,2359,542,8200,1234,1721,698,410,2101,529,6700,687,919,489,294,1440,477,4301,180,179,79,71,722,203,1436,17595,14229,3888,1990,22755,4904,65359,1868,501,45,24,1847,310,4583,1828,1000,187,154,1869,324,5365,2295,2695,1222,1591,2906,779,11494,1160,2573,1887,2131,1846,565,10152,1009,2776,2076,1585,1830,560,9841,918,2424,1831,1446,1740,538,8898,550,1667,1549,1410,1794,566,7534,463,904,741,665,1558,585,4912,189,279,154,101,1227,425,2376,10269,14826,9690,9107,16630,4650,65166,3752,900,78,44,4202,664,9642,3981,1808,299,211,4951,776,12019,6153,5107,1682,1810,7705,1735,24185,4081,5427,2579,2423,4942,1298,20751,3647,5429,2753,1888,4632,1213,19564,2955,4716,2472,1758,4101,1083,17092,1789,3386,2248,1818,3898,1098,14233,1146,1817,1227,956,2998,1062,9220,368,461,236,174
CED206,1969,398,53,31,3196,551,6198,2055,676,98,46,3388,535,6800,3372,2043,385,205,4969,1070,12039,2667,2512,592,269,3577,804,10418,2905,2703,679,320,3980,865,11450,2145,2184,602,305,3208,693,9131,1045,1222,496,299,2296,568,5935,403,442,192,167,1145,360,2710,91,74,31,29,367,137,731,16650,12261,3121,1671,26126,5579,65414,2212,711,100,39,2519,507,6097,1909,1123,288,237,2123,391,6071,2101,2588,1227,1814,2970,860,11558,967,2664,1818,2403,2251,716,10825,1092,3244,2216,2117,2619,771,12050,890,2355,1710,1551,2285,673,9464,500,1175,956,1030,1933,633,6221,319,525,315,324,1179,440,3098,110,102,48,41,645,220,1162,10100,14482,8673,9549,18524,5206,66542,4181,1111,156,67,5720,1059,12292,3965,1801,391,286,5509,924,12877,5479,4628,1610,2018,7940,1931,23598,3632,5171,2417,2679,5831,1522,21246,3998,5946,2890,2437,6592,1640,23501,3033,4541,2306,1854,5498,1369,18597,1541,2399,1452,1331,4226,1202,12150,721,968,505,485,2325,797,5806,208,174,80,74
CED207,2209,259,15,12,1824,392,4710,1837,512,63,25,1710,269,4416,3312,2460,459,166,1964,488,8847,3003,3136,777,304,1390,498,9113,3137,3296,751,309,1682,570,9745,2434,2779,789,364,1809,551,8726,1200,1813,902,544,1601,593,6654,362,645,342,261,931,381,2919,115,132,74,48,439,156,965,17608,15039,4168,2032,13338,3908,56095,2299,377,43,12,1398,356,4487,1746,869,181,129,1015,212,4154,1939,2852,1266,1822,928,468,9276,968,3170,2116,2218,608,470,9553,1135,3891,2439,1593,789,559,10398,979,3084,2177,1462,1067,567,9334,425,1662,1604,1460,1328,631,7104,302,548,537,518,978,526,3404,152,183,107,67,775,293,1586,9948,16635,10475,9280,8885,4076,59291,4512,631,53,22,3221,746,9196,3583,1383,240,150,2729,483,8569,5252,5315,1729,1995,2888,951,18127,3972,6313,2888,2521,1995,973,18660,4272,7187,3187,1901,2469,1130,20147,3410,5865,2962,1827,2873,1122,18057,1624,3472,2506,1998,2928,1219,13756,660,1190,883,773,1907,909,6326,267,316,188,118
CED208,2325,424,45,17,2510,314,5630,3202,1208,156,60,4458,500,9580,4583,2893,416,183,4630,818,13515,3235,3225,754,247,1903,565,9925,3008,3273,735,252,1868,515,9649,2039,2463,689,291,1597,415,7493,1080,1615,644,285,1359,380,5365,676,1033,482,261,1216,449,4108,236,316,142,97,767,290,1843,20392,16455,4046,1691,20294,4235,67115,2554,591,57,22,2237,308,5767,3123,1484,203,79,3623,423,8937,3368,3329,1163,1173,3178,754,12951,1325,3062,2219,2197,1259,462,10534,1274,3672,2375,1578,1174,477,10556,1019,2763,1812,1233,1184,458,8469,612,1709,1413,1125,1289,478,6631,527,1104,956,819,1396,645,5446,346,365,281,184,1232,542,2942,14150,18075,10477,8412,16566,4544,72227,4884,1011,101,39,4747,617,11393,6323,2690,356,145,8081,924,18523,7954,6214,1571,1350,7808,1571,26469,4563,6284,2974,2444,3158,1027,20452,4284,6947,3111,1832,3039,989,20204,3058,5231,2504,1522,2785,875,15963,1700,3330,2051,1412,2644,859,11994,1206,2135,1430,1075,2604,1093,9552,580,678,423,281
CED209,2156,301,29,8,1840,391,4722,2011,714,100,30,1576,332,4760,3157,2457,467,188,1612,556,8429,3069,3451,910,337,1234,608,9605,2871,3393,886,302,1438,636,9528,2470,3206,1022,416,1753,663,9533,1335,2334,1031,616,1718,729,7769,498,845,479,344,1047,518,3727,153,211,104,77,611,233,1393,17704,16919,5035,2314,12832,4662,59465,2289,438,51,16,1315,388,4494,1765,1013,194,127,813,251,4162,1855,2842,1232,1678,758,493,8851,1002,3140,2426,2553,508,536,10165,1044,3837,2540,1641,742,557,10360,1060,3356,2342,1589,1107,663,10128,539,1846,1949,1816,1385,745,8273,271,769,763,783,1227,664,4483,213,300,189,141,1319,427,2588,10029,17547,11683,10351,9173,4713,63504,4439,744,81,26,3153,778,9214,3773,1732,295,156,2390,580,8919,5007,5298,1692,1870,2371,1046,17281,4063,6597,3334,2888,1744,1144,19771,3913,7229,3429,1945,2187,1191,19893,3534,6567,3370,2007,2859,1328,19665,1874,4182,2979,2439,3100,1473,16039,766,1613,1243,1129,2275,1175,8209,360,515,298,221
CED210,1821,287,42,21,2116,445,4733,1774,718,102,40,1771,440,4845,3334,2360,434,199,2106,1061,9491,2646,2848,710,313,1598,908,9018,2653,2929,734,350,1977,875,9525,2137,2714,825,405,2167,790,9036,1189,1759,836,537,2119,833,7279,460,769,443,356,1290,618,3938,160,199,99,84,640,318,1497,16178,14582,4222,2302,15794,6289,59364,1981,481,58,29,1580,392,4517,1723,1156,304,207,1115,381,4886,2024,2962,1330,1623,1197,658,9797,1042,2804,2002,2134,800,566,9350,1177,3497,2160,1496,1200,723,10253,1109,2981,2101,1490,1544,801,10027,569,1631,1625,1602,1822,881,8124,375,737,704,687,1549,834,4885,215,301,165,143,1117,523,2467,10221,16536,10455,9410,11931,5756,64305,3802,765,106,53,3699,830,9253,3490,1877,407,250,2884,820,9727,5356,5322,1765,1819,3302,1721,19286,3694,5656,2709,2450,2395,1472,18372,3837,6432,2885,1850,3181,1600,19774,3245,5690,2924,1889,3717,1593,19062,1765,3390,2460,2140,3940,1715,15404,840,1501,1147,1045,2842,1452,8824,373,498,268,220
