CED_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
CED201,0,3,0,28,32,64,33,13,4,185,0,5,8,24,0,9,4,3,3,51,0,3,14,46,12,0,0,0,0,74,0,0,0,13,22,51,104,90,45,334,9,97,124,261,157,139,72,18,13,887,0,0,3,10,9,24,21,17,3,93,0,9,4,38,10,10,7,0,0,83,0,0,7,14,15,4,0,0,0,45,4,33,65,290,146,138,67,14,8,768,0,3,0,49,33,89,35,11,34,265,0,5,5,32,55,93,93,56,27,363,7,48,80,118,84,82,39,9,4,458,0,21,61,147,93,116,63,29,4,532,0,0,0,17,22,28,24,9,13,111,3,58,120,526,322,274,144,41,21,1516,3,5,8,78,18,28,11,0,0,152,0,16,24,117,45,22,5,0,0,223,0,0,0,6,3,7,8,3,0,27,0,0,3,8,15,17,9,0,0,51,3,21,28,56,31,17,12,5,0,169
CED202,0,0,3,11,4,9,0,0,0,25,0,0,3,4,3,0,4,0,0,17,0,0,4,21,3,0,0,0,0,28,0,3,5,17,22,84,174,110,30,435,5,34,59,223,161,138,86,29,13,745,0,0,3,3,14,15,14,6,6,59,0,6,8,23,3,0,0,0,0,33,0,0,3,16,14,4,0,0,0,35,4,26,25,145,58,61,17,3,0,341,0,0,0,18,3,9,7,8,11,64,0,5,11,28,52,74,104,47,16,338,0,6,4,18,10,6,0,0,0,45,0,12,17,55,34,22,22,3,0,179,0,0,0,4,11,17,13,10,7,58,0,6,4,36,5,3,14,0,0,82,0,0,3,15,3,0,0,0,0,23,0,6,13,59,15,10,0,0,0,107,0,0,0,0,3,0,3,3,0,13,0,0,0,3,3,3,0,0,0,9,3,8,21,59,28,49,21,0,0,189
CED203,0,6,19,69,21,12,17,9,6,143,0,3,3,11,0,0,0,0,0,27,0,10,92,266,9,10,0,0,0,380,0,0,4,44,9,5,24,20,6,115,9,34,89,756,171,133,42,20,5,1260,0,0,3,25,0,11,4,3,0,42,8,31,9,111,11,8,0,0,0,178,0,0,0,27,12,0,0,0,0,41,3,25,51,310,101,89,50,14,3,649,0,0,5,59,10,24,22,17,14,146,0,0,5,74,36,37,38,19,8,217,6,21,22,113,25,9,7,0,0,206,0,0,19,119,28,13,13,3,0,207,0,0,0,11,16,25,23,25,4,106,0,17,48,201,41,50,29,19,3,418,0,3,21,114,11,11,0,0,0,159,4,7,36,194,43,15,3,0,0,309,0,3,3,111,123,137,158,125,35,694,0,0,0,50,38,21,7,14,0,137,9,28,37,194,53,23,20,4,0,361
CED204,0,0,0,14,11,0,4,0,0,30,0,8,39,111,33,15,7,9,0,230,3,0,0,15,0,0,0,0,0,25,0,3,7,15,21,44,77,36,13,208,3,20,36,189,124,139,74,24,9,615,0,0,0,6,9,10,13,12,3,50,0,7,4,19,0,0,3,0,0,31,0,3,0,31,12,6,3,0,0,58,3,22,23,153,72,43,19,3,0,341,0,0,0,9,0,3,8,3,8,35,0,0,5,21,38,63,68,38,16,249,0,0,7,12,4,13,3,0,0,37,0,9,18,60,23,23,24,6,3,166,0,0,0,0,3,3,6,3,0,19,0,10,4,43,17,16,9,6,4,109,0,3,11,65,3,5,0,0,0,88,15,85,73,57,18,5,3,0,0,251,0,0,0,0,0,3,3,0,0,9,0,0,0,8,0,0,4,0,0,9,0,15,15,47,31,28,28,6,3,170
CED205,0,7,16,99,57,102,86,73,46,491,7,11,71,159,50,33,12,9,4,362,3,0,5,45,0,3,0,0,0,63,0,4,3,7,11,14,59,71,49,217,26,141,215,278,116,113,70,18,8,996,0,0,0,0,5,10,19,17,3,59,30,137,115,340,32,23,10,0,0,679,0,0,3,11,4,0,0,0,0,24,19,39,109,377,190,142,58,20,8,964,0,0,6,54,54,110,84,62,39,410,0,3,5,19,22,34,78,58,37,250,9,83,81,145,71,69,52,8,0,525,5,16,44,80,67,57,51,25,8,353,0,0,3,37,55,78,70,53,25,318,40,255,342,1432,616,474,301,180,76,3712,3,10,33,152,46,41,18,4,3,306,5,79,64,169,59,19,8,3,0,405,0,0,4,33,20,37,30,7,3,133,0,0,5,51,69,55,51,22,15,275,9,30,30,33,19,15,9,3,3,146
CED206,0,0,3,23,19,31,7,4,3,99,0,0,3,8,3,3,3,6,3,32,3,31,65,103,7,0,0,0,0,205,0,4,3,3,8,21,29,8,9,80,32,204,221,333,136,87,31,6,0,1049,0,0,4,0,5,12,21,5,6,53,32,50,56,294,38,10,12,0,0,496,0,3,3,10,9,0,3,0,0,24,9,59,109,492,293,307,107,26,12,1426,0,0,0,43,40,72,50,18,15,241,0,0,3,12,24,47,50,26,6,180,4,18,27,32,20,18,12,0,0,141,0,6,5,31,18,18,8,4,0,94,0,0,0,9,45,50,53,31,4,193,12,73,110,363,314,149,89,40,9,1164,0,0,0,30,3,6,0,0,0,47,0,13,13,114,31,14,8,0,0,202,3,3,3,72,117,176,128,47,22,569,14,48,131,833,918,463,280,113,22,2826,3,16,28,41,14,5,5,0,0,117
CED207,0,0,0,17,5,15,5,7,0,51,0,52,122,213,48,21,10,4,0,472,0,0,0,13,5,0,0,0,0,25,0,4,7,41,47,138,248,150,96,741,3,44,73,271,202,174,71,23,10,876,0,3,3,10,29,22,37,17,0,119,0,3,0,6,4,3,0,0,0,16,0,0,0,16,17,8,0,0,0,35,3,17,25,125,82,59,24,9,0,348,0,0,3,22,14,34,24,22,9,133,0,7,11,45,66,90,109,75,21,419,0,3,6,20,19,8,3,0,0,65,0,20,52,120,78,60,39,20,11,395,0,0,0,0,5,3,4,6,0,29,5,9,5,74,24,43,23,10,4,188,0,0,3,27,3,3,0,0,0,39,3,20,11,83,28,7,3,0,0,151,0,0,0,5,7,4,7,3,0,27,0,0,0,4,7,0,3,0,0,16,0,10,19,59,39,33,29,3,0,197
CED208,0,0,37,73,28,31,18,11,6,213,0,3,14,27,9,6,7,6,0,62,0,3,24,64,0,3,0,0,0,94,0,8,9,19,16,13,44,38,23,178,8,79,140,256,167,119,57,26,22,879,0,3,4,15,4,12,6,10,3,50,3,22,16,78,4,3,7,3,0,141,0,0,0,11,18,9,0,0,0,43,6,38,69,333,106,86,54,11,0,704,0,4,3,63,40,83,59,36,18,304,0,4,9,25,36,46,61,52,32,264,6,69,271,208,81,68,45,11,0,754,5,15,66,119,83,48,37,21,8,406,0,0,0,10,15,17,16,14,3,73,18,93,272,724,234,202,156,70,36,1807,3,18,70,286,39,64,16,4,0,498,3,19,52,207,65,27,10,3,0,386,0,0,0,3,6,11,7,15,4,46,0,0,4,9,8,7,4,10,3,46,17,44,63,83,45,24,18,3,0,292
CED209,0,0,4,10,7,3,3,0,0,26,0,0,4,5,0,0,0,0,0,10,0,0,3,8,3,0,0,0,0,22,0,3,9,20,28,72,124,64,44,366,6,48,71,266,154,123,83,15,12,766,0,5,3,18,17,29,34,15,9,122,0,0,8,18,3,0,4,0,0,34,0,0,0,17,11,8,3,3,0,47,4,14,28,114,58,48,39,3,0,304,0,0,0,20,11,12,7,5,17,74,3,13,9,40,57,78,95,65,25,387,0,6,11,18,13,13,3,0,0,75,0,18,24,88,57,29,24,12,3,258,0,0,0,3,5,12,11,5,0,35,0,10,19,40,17,15,6,3,4,102,0,3,0,19,5,0,0,0,0,28,4,6,12,50,20,7,4,0,0,102,0,0,0,9,5,6,9,3,0,29,0,0,0,4,0,0,3,0,0,12,8,29,20,92,42,32,25,8,4,260
CED210,0,3,3,14,5,0,3,3,0,24,3,5,38,85,30,16,15,0,0,191,0,0,6,26,0,0,0,0,0,29,0,0,3,16,16,71,180,130,61,475,5,30,68,249,149,126,64,25,11,723,0,3,0,15,19,22,33,23,4,114,5,33,30,45,3,3,0,0,0,109,0,0,0,11,11,7,5,3,0,39,8,32,73,231,132,94,46,4,8,632,0,0,0,29,15,35,37,40,40,193,0,9,7,45,53,123,123,93,20,475,0,12,14,24,13,10,10,0,0,84,3,3,15,50,27,24,17,15,4,155,0,0,0,7,31,45,61,43,21,205,3,4,3,47,7,12,10,0,3,88,3,0,3,12,5,3,4,0,0,27,4,80,55,79,29,16,6,3,0,273,0,0,5,32,45,87,83,52,16,310,0,0,3,13,11,3,14,8,0,54,3,20,21,72,23,17,26,4,4,189
