CED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED201,6,22,0,426,26,3,0,14,8,33,0,22,14,69,506,699,19,7,13,14,8,9,0,3,6,112,72,254,2771,455,75,1674,152,1329,61,873,120,4228,639,12383
CED202,12,43,3,527,33,3,4,22,3,34,6,23,10,115,662,925,17,7,10,22,3,14,7,11,5,162,87,347,2884,722,147,2244,226,1508,129,1190,201,5470,841,15549
CED203,3,33,0,1042,45,10,8,25,5,31,5,15,5,101,738,980,15,0,9,10,0,5,0,3,4,140,102,293,4165,723,100,2074,197,1406,86,805,115,4243,919,14843
CED204,10,68,4,557,32,13,9,35,5,36,5,26,8,131,699,984,26,7,3,20,5,9,4,15,4,167,101,365,2670,840,150,2307,227,1399,137,1278,207,5800,899,15913
CED205,3,67,3,468,21,7,4,11,0,27,4,14,6,88,631,818,13,3,5,5,0,3,0,7,12,144,89,281,2058,515,78,1291,115,1464,73,1037,164,5911,810,13520
CED206,3,17,3,232,25,3,3,31,3,40,4,15,13,98,424,669,15,0,9,10,3,17,0,6,10,145,115,333,1972,330,85,1224,133,1384,63,790,163,4385,618,11143
CED207,7,30,0,421,36,7,7,13,9,37,3,12,6,114,541,785,27,9,16,20,6,11,3,9,6,159,91,351,3097,644,119,2077,232,1373,118,1059,165,4440,709,14033
CED208,3,92,3,849,22,7,8,18,4,27,8,10,3,103,712,912,9,5,3,7,4,3,0,4,4,115,72,227,2823,643,70,1435,140,1415,74,1078,141,5455,852,14117
CED209,3,110,3,699,40,5,0,23,8,30,6,33,10,135,727,1019,7,9,9,23,6,13,0,17,6,147,79,309,2862,909,142,2345,204,1249,135,1373,170,5849,901,16135
CED210,4,63,0,542,34,9,4,18,11,45,4,12,6,158,663,958,18,4,8,13,5,13,0,9,4,202,128,410,2666,620,109,2001,187,1371,123,1120,153,5929,889,15154
CED211,3,61,3,720,29,7,5,16,7,20,3,17,3,93,596,790,11,4,16,4,0,7,4,9,7,105,77,240,3124,537,85,1720,151,1400,65,1024,151,4935,738,13927
CED212,5,69,4,645,48,9,0,27,4,34,3,18,3,128,652,929,22,3,12,14,7,16,7,11,3,180,85,355,2981,579,98,1808,199,1318,106,1040,174,5248,823,14363
CED213,13,165,3,696,26,11,5,20,3,33,0,28,9,183,820,1147,28,14,12,17,7,16,3,17,11,264,160,550,2534,913,181,2151,193,1417,137,1463,212,7511,1123,17834
CED214,5,28,0,1227,46,9,6,19,17,24,0,32,5,101,743,1000,20,3,13,9,3,8,0,6,5,138,121,328,4574,625,122,1997,230,1624,83,830,141,4065,945,15245
CED215,9,49,0,514,29,10,3,27,9,39,0,25,14,164,846,1172,29,5,6,29,7,15,0,12,11,207,142,463,2402,761,165,2248,216,1457,145,1327,273,6735,1136,16872
CED216,6,251,0,2050,28,9,3,21,7,23,0,12,7,75,707,886,24,5,8,9,3,14,3,4,5,109,70,253,2988,713,102,1649,166,1357,87,1179,124,4273,824,13464
CED217,0,12,0,316,32,5,5,25,12,49,3,28,7,83,503,756,21,3,7,22,3,3,0,7,10,150,109,335,3221,412,113,1644,214,1774,69,815,156,4140,692,13256
CED218,24,334,3,2891,58,7,3,34,6,26,0,12,3,82,998,1225,14,0,5,13,3,12,0,11,3,76,57,188,5440,819,94,2176,211,1735,92,1177,111,3615,1083,16559
CED219,0,16,3,246,61,4,4,31,7,44,3,27,9,101,543,839,30,0,15,13,5,14,4,4,13,140,107,343,3568,422,97,1915,203,1880,82,931,171,4224,756,14249
