CED_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED201,180,4140,256,4576,208,4299,237,4741,556,7876,433,8863,796,7572,452,8824,1112,7720,453,9287,1181,6859,425,8467,690,4562,363,5617,310,2140,324,2771,77,728,131,936,5112,45905,3068,54086,207,3932,226,4372,285,4064,166,4515,847,7840,441,9126,1340,7652,399,9391,1940,7904,432,10270,2002,6736,424,9165,978,4822,436,6241,335,2577,443,3359,56,1355,257,1669,8001,46882,3219,58110,390,8070,485,8953,493,8362,401,9257,1409,15715,866,17992,2131,15222,856,18208,3056,15620,879,19554,3187,13594,844,17628,1671,9385,802,11857,650,4720,767,6138,133,2081,382,2603,13119,92788,6287,112194
CED202,182,4348,495,5030,243,4427,410,5077,600,7624,640,8866,967,7515,658,9144,1286,7916,784,9990,1385,7290,759,9442,910,5821,841,7575,392,2575,564,3531,99,833,233,1158,6067,48353,5394,59807,236,4087,468,4788,368,4269,375,5012,1046,7636,641,9323,1605,7762,645,10008,2246,7866,796,10904,2405,7140,812,10353,1332,5909,911,8153,453,3116,791,4361,84,1781,396,2251,9764,49556,5831,65149,417,8430,968,9818,606,8694,786,10086,1647,15261,1283,18191,2566,15281,1309,19151,3528,15779,1581,20892,3787,14432,1570,19794,2245,11724,1751,15729,841,5694,1351,7893,179,2608,625,3412,15826,97906,11227,124957
CED203,168,3320,380,3865,273,5281,505,6056,834,13259,1357,15445,1034,10249,1029,12304,1396,7925,795,10116,1181,5635,597,7411,567,3862,536,4970,455,2760,499,3713,118,1087,280,1482,6025,53379,5967,65370,154,3218,363,3742,362,5587,520,6470,1145,13544,1248,15939,1628,10349,910,12887,2372,7741,795,10910,1907,5436,649,7989,970,4257,626,5851,545,3544,631,4722,80,1830,561,2475,9157,55519,6313,70983,322,6539,747,7604,629,10872,1025,12524,1976,26803,2605,31381,2659,20596,1941,25189,3772,15670,1583,21025,3089,11074,1244,15403,1539,8117,1159,10818,997,6306,1138,8437,198,2924,843,3953,15181,108895,12279,136350
CED204,183,3951,572,4700,243,3906,413,4560,576,6802,880,8259,868,6953,830,8658,1222,7558,934,9712,1492,7446,932,9869,882,6096,889,7864,420,2845,681,3951,138,927,311,1365,6017,46485,6441,58947,263,3754,517,4537,304,3977,312,4591,1045,6964,652,8664,1510,7187,724,9423,2159,7523,781,10472,2503,7177,862,10539,1279,6042,955,8279,468,3237,851,4558,112,1653,618,2389,9661,47512,6274,63446,445,7710,1090,9240,544,7881,723,9155,1627,13769,1535,16921,2386,14141,1554,18082,3382,15082,1718,20184,3997,14617,1791,20411,2163,12136,1844,16144,891,6078,1532,8506,247,2583,927,3757,15674,94000,12714,122395
CED205,224,4460,372,5056,382,5806,465,6655,857,10861,964,12682,1020,8833,752,10599,1189,7887,646,9722,1067,6562,568,8200,864,5301,530,6700,522,3272,511,4301,127,1091,220,1436,6258,54071,5019,65359,248,4015,320,4583,377,4651,339,5365,1071,9603,821,11494,1457,8102,596,10152,1724,7552,558,9841,1753,6582,562,8898,1199,5754,585,7534,516,3806,595,4912,80,1867,431,2376,8422,51930,4809,65166,473,8473,696,9642,763,10459,799,12019,1925,20469,1785,24185,2475,16933,1347,20751,2919,15443,1205,19564,2822,13143,1127,17092,2064,11055,1110,14233,1034,7076,1102,9220,209,2958,650,3812,14683,106004,9833,130519
CED206,311,5309,573,6198,462,5799,538,6800,922,10018,1101,12039,1231,8373,815,10418,1548,9029,879,11450,1285,7160,686,9131,696,4668,571,5935,319,2024,363,2710,55,545,127,731,6825,52927,5660,65414,389,5168,542,6097,547,5112,411,6071,1434,9211,913,11558,1963,8112,748,10825,2616,8623,814,12050,1959,6809,699,9464,987,4578,651,6221,287,2376,434,3098,38,903,229,1162,10212,50895,5438,66542,696,10473,1115,12292,1009,10912,950,12877,2357,19225,2011,23598,3195,16489,1564,21246,4161,17649,1694,23501,3244,13969,1385,18597,1691,9243,1217,12150,601,4398,803,5806,89,1448,357,1893,17042,103822,11101,131960
CED207,184,4124,400,4710,202,3940,269,4416,566,7777,501,8847,869,7710,529,9113,1247,7925,568,9745,1232,6976,516,8726,768,5320,567,6654,302,2237,381,2919,77,720,163,965,5449,46742,3906,56095,208,3916,358,4487,296,3623,225,4154,947,7839,493,9276,1511,7552,490,9553,2179,7629,594,10398,2205,6578,555,9334,1086,5388,629,7104,328,2552,521,3404,56,1232,295,1586,8815,46313,4166,59291,395,8037,763,9196,502,7571,496,8569,1514,15614,996,18127,2384,15259,1021,18660,3425,15556,1160,20147,3430,13556,1073,18057,1849,10712,1196,13756,623,4791,907,6326,138,1952,458,2548,14269,93050,8069,115387
CED208,193,5080,352,5630,377,8673,523,9580,746,11921,848,13515,935,8400,590,9925,1374,7742,532,9649,1192,5868,434,7493,722,4262,378,5365,524,3151,434,4108,189,1368,289,1843,6255,56471,4382,67115,216,5217,334,5767,411,8091,439,8937,936,11229,786,12951,1434,8600,505,10534,2134,7907,506,10556,1964,6034,476,8469,1149,4999,483,6631,704,4078,659,5446,141,2239,557,2942,9086,58404,4739,72227,413,10297,681,11393,786,16768,961,18523,1685,23153,1632,26469,2363,16997,1088,20452,3513,15657,1041,20204,3157,11900,912,15963,1870,9265,861,11994,1231,7229,1087,9552,327,3611,850,4788,15342,114875,9126,139344
CED209,159,4152,410,4722,181,4229,348,4760,486,7368,577,8429,852,8131,616,9605,1198,7682,649,9528,1519,7346,666,9533,923,6126,715,7769,416,2799,512,3727,130,1032,224,1393,5869,48869,4729,59465,203,3885,399,4494,256,3653,247,4162,814,7522,509,8851,1458,8142,571,10165,2145,7632,578,10360,2426,7027,677,10128,1359,6156,759,8273,458,3327,693,4483,92,2049,438,2588,9217,49401,4881,63504,365,8037,809,9214,439,7884,599,8919,1298,14891,1090,17281,2307,16272,1187,19771,3347,15312,1229,19893,3948,14376,1347,19665,2283,12285,1479,16039,867,6126,1206,8209,228,3087,668,3978,15090,98269,9612,122969
CED210,197,4059,477,4733,250,4153,450,4845,614,7813,1064,9491,900,7206,919,9018,1241,7384,900,9525,1351,6908,772,9036,880,5577,821,7279,455,2869,611,3938,116,1062,324,1497,6003,47019,6334,59364,248,3862,408,4517,331,4179,372,4886,1100,8025,666,9797,1628,7129,595,9350,2168,7353,725,10253,2294,6939,795,10027,1339,5907,880,8124,462,3584,840,4885,105,1830,532,2467,9679,48812,5817,64305,451,7923,884,9253,584,8328,821,9727,1715,15838,1731,19286,2524,14338,1513,18372,3414,14739,1627,19774,3650,13845,1569,19062,2225,11482,1699,15404,920,6453,1449,8824,214,2890,851,3961,15684,95832,12149,123675
CED211,154,3906,231,4295,207,3988,206,4395,569,8689,500,9760,922,9044,523,10484,1219,7680,476,9377,1210,5911,368,7490,842,4790,380,6011,437,2882,356,3675,133,1136,262,1528,5687,48035,3291,57011,180,3723,219,4115,262,3600,193,4050,877,8998,518,10397,1529,8950,486,10968,2013,7570,431,10018,1979,5999,401,8375,1282,5544,510,7339,537,3703,660,4898,132,2193,518,2841,8791,50281,3932,63002,327,7632,453,8412,463,7587,391,8448,1446,17685,1023,20153,2453,17996,1004,21451,3235,15252,911,19401,3181,11912,767,15861,2127,10330,887,13342,973,6587,1015,8576,267,3326,777,4369,14476,98314,7225,120018
