CED_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
CED201,0,0,9,45,225,202,251,153,22,34,5,20,22,6,13,1005,0,4,43,253,204,719,776,672,96,79,63,58,39,32,50,3082,0,0,0,7,33,51,74,71,5,13,14,11,14,15,10,321,0,0,13,30,3,6,3,0,0,0,0,0,0,0,4,53,0,0,3,55,17,16,12,4,0,0,0,0,0,0,3,112,18,454,1118,1717,792,551,396,267,66,49,40,43,28,15,171,5725,0,0,3,31,26,36,85,65,16,10,10,9,15,7,7,331,0,0,3,10,494,364,127,107,17,9,11,13,19,9,33,1215,0,0,5,4,20,3,25,21,4,4,6,5,6,0,0,104,28,246,374,823,942,1100,952,491,95,107,78,89,62,43,123,5552,78,1549,3116,4714,4651,7118,7845,7106,1203,1187,990,1050,854,476,1071,43023
CED202,0,3,10,16,40,27,114,72,14,14,7,4,9,9,8,350,0,4,3,14,11,17,14,43,10,19,12,11,10,4,3,171,0,0,0,6,5,14,39,41,7,8,6,5,14,8,6,155,0,5,3,26,0,0,3,0,0,0,0,0,0,0,3,48,0,0,3,5,3,0,3,4,0,0,0,0,0,0,0,27,28,488,1031,1377,536,328,405,338,64,60,46,39,33,8,203,4984,0,4,14,52,40,42,83,53,12,20,11,13,14,0,7,375,0,0,0,3,20,17,8,36,3,3,13,12,4,3,6,142,0,0,0,3,9,7,24,24,8,3,0,0,3,0,0,83,4,124,190,355,203,169,295,333,35,54,33,43,70,54,78,2052,44,1470,2147,2585,1491,1245,1955,2194,361,447,397,361,395,301,651,16031
CED203,0,0,6,9,67,74,91,63,14,7,6,18,15,15,12,386,0,3,20,35,50,169,116,162,19,48,56,80,65,60,28,909,0,0,0,0,23,51,84,82,19,20,41,25,49,31,29,443,0,51,142,617,147,200,58,14,4,3,16,0,15,0,43,1306,0,3,3,91,37,44,29,20,3,4,8,6,3,5,9,262,12,169,439,662,425,420,580,488,110,117,113,128,96,51,141,3952,0,3,3,55,60,88,122,102,34,28,31,28,40,27,39,669,0,0,0,20,779,660,265,273,63,118,106,197,215,144,92,2926,0,0,3,0,10,8,18,36,7,0,3,3,3,3,0,93,4,166,264,782,634,801,1145,1305,267,382,531,759,743,511,281,8590,65,2543,6393,6399,3864,5362,6065,7344,1456,1929,2403,2896,2868,1880,1957,53408
CED204,0,0,9,22,37,32,107,74,21,8,15,7,4,4,3,344,0,4,11,22,14,18,39,46,8,15,3,5,4,7,12,214,0,0,0,0,9,8,28,177,34,19,38,45,24,20,27,434,0,0,3,9,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,4,0,3,3,3,0,0,0,0,0,0,5,20,33,439,903,1124,453,333,444,256,41,28,27,35,16,7,202,4345,0,7,7,74,41,34,65,30,7,10,7,3,10,5,14,320,0,0,0,3,10,9,13,23,3,3,5,4,4,9,61,146,0,0,0,0,3,15,11,10,3,0,0,3,0,3,0,50,8,92,142,225,132,107,223,451,67,75,122,98,121,54,176,2084,60,1074,1641,1988,1233,1081,1733,2009,334,320,430,351,375,220,885,13731
CED205,0,3,10,34,153,121,183,106,17,22,3,7,13,18,3,693,0,9,83,369,346,1392,1330,1930,319,689,409,336,417,234,154,8020,0,3,0,11,55,91,94,159,15,36,27,42,43,25,20,619,0,0,11,86,35,55,36,13,0,0,3,0,3,0,11,258,0,3,3,189,143,120,62,23,0,0,3,3,3,0,13,561,31,332,705,910,396,257,248,193,25,56,32,28,26,6,115,3364,0,3,3,24,24,22,71,43,21,15,24,21,16,10,13,323,0,0,0,31,1466,1548,545,506,91,92,121,110,113,50,152,4820,0,0,0,3,5,4,31,52,6,6,3,3,5,7,3,127,10,194,471,1555,1575,2656,3456,2454,622,942,910,644,597,417,482,16984,82,1685,4116,6394,6882,12438,14247,14898,2855,4086,4200,4025,3895,2366,2511,84691
CED206,0,0,4,14,38,29,52,26,4,0,0,12,8,0,3,195,0,3,17,152,98,592,417,561,73,132,67,90,54,57,66,2372,0,0,0,3,10,52,67,60,9,15,25,8,17,12,16,293,0,9,52,687,124,122,56,25,4,5,12,3,6,3,32,1144,0,3,10,1537,914,1284,908,355,88,59,57,46,51,39,204,5558,5,180,522,625,192,156,136,132,30,22,28,15,15,10,83,2144,0,0,3,24,20,32,50,45,10,14,10,13,11,7,5,242,0,0,0,12,742,787,219,157,36,45,35,46,26,27,69,2203,0,0,0,0,5,7,12,30,3,0,3,6,6,0,0,71,3,171,430,1647,1164,1797,1764,1270,293,306,383,481,519,369,436,11039,27,1869,4579,8909,5818,9456,10171,9056,1785,1809,2746,2161,1953,1441,2282,64053
CED207,0,0,9,46,160,93,186,154,16,6,14,19,14,8,15,733,3,4,21,73,16,56,50,57,0,14,9,11,5,14,7,352,0,0,0,7,13,20,42,74,8,14,10,8,7,18,10,238,0,0,9,17,5,7,0,0,0,0,0,0,0,0,3,49,0,0,0,12,7,8,3,0,0,0,0,0,0,0,0,27,23,573,1741,2912,1056,678,663,432,62,50,52,46,36,9,274,8611,0,5,20,58,38,47,101,62,13,13,11,13,3,3,4,394,0,0,0,3,34,39,22,29,10,0,4,3,7,7,10,172,0,0,5,3,6,11,12,31,0,3,0,3,5,0,0,87,5,128,277,366,277,327,451,620,96,143,170,103,113,50,105,3228,79,1816,3590,4635,2629,2327,2817,2733,428,496,468,419,355,212,780,23775
CED208,0,5,12,43,105,99,240,136,19,21,24,10,14,20,15,765,0,10,64,183,178,590,627,704,111,196,239,256,332,302,91,3872,0,0,6,13,37,62,138,107,24,21,37,39,38,27,33,574,0,12,10,36,6,9,4,0,0,3,0,0,0,0,4,82,0,3,4,30,12,6,10,6,0,3,0,6,12,5,0,95,41,400,648,791,428,305,452,288,82,53,81,59,47,67,121,3873,0,4,14,53,33,78,134,71,15,23,24,35,34,22,17,562,0,3,4,35,979,414,151,218,48,81,75,98,142,92,62,2392,0,0,3,3,13,12,45,51,12,8,8,6,10,10,3,162,13,260,418,682,766,1147,1257,932,218,253,323,406,460,388,259,7777,115,1791,4261,4451,4781,8221,11483,11895,2548,3185,3952,5070,6243,4194,2800,74980
CED209,0,0,8,48,58,53,130,126,20,14,0,6,17,11,3,504,0,0,5,14,8,26,33,64,6,18,0,12,20,20,6,237,0,0,0,4,4,11,31,43,4,8,12,4,3,0,8,136,0,5,17,35,3,11,3,0,0,0,0,0,0,0,0,74,0,0,0,13,5,3,3,0,0,0,0,0,3,0,0,34,45,636,1283,1489,629,487,633,642,142,73,119,75,66,19,236,6558,0,3,8,59,55,52,86,89,17,9,27,22,13,7,20,458,0,0,0,8,33,15,8,21,11,6,8,8,14,9,12,157,0,0,7,3,9,9,30,36,3,0,6,3,0,0,0,110,13,202,231,300,136,163,283,336,76,95,105,101,84,43,98,2271,84,1789,2438,2666,1551,1581,2313,2814,587,541,593,582,615,353,742,19263
CED210,0,3,7,46,32,41,46,51,24,7,7,15,11,0,7,294,0,0,5,18,14,21,14,36,6,25,21,6,10,0,8,196,0,0,0,0,9,21,46,163,33,23,40,28,40,34,19,456,0,4,126,293,68,55,22,3,4,0,0,0,7,0,15,597,0,0,0,41,10,16,20,5,0,0,0,3,0,3,13,122,28,656,1581,1688,561,455,388,417,72,57,55,47,46,34,234,6302,0,4,9,50,21,33,83,60,18,17,13,9,23,11,13,366,0,0,0,0,96,72,54,43,8,10,15,3,14,16,66,403,0,0,0,0,7,0,23,26,0,3,8,0,0,0,3,78,5,299,575,818,272,393,513,622,120,161,262,140,187,130,228,4736,57,2538,4181,4492,1836,2007,2415,2993,523,649,828,615,813,588,1219,25763
